,stock-price,td-change,stock-code,stock-code-prefix,stock-name,main-fund,super-fund,super-percent,big-fund,big-percent,mid-fund,mid-percent,small-fund,small-percent,unknow-code1,main_percent,f204,f205,f206
0,15.5,9.85,601138,1,工业富联,487072716.0,343085500.0,13.17,143987216.0,5.53,-208181568.0,-7.99,-278891136.0,-10.71,1592981459,18.7,-,-,-
1,26.37,3.21,000002,0,万  科Ａ,472665824.0,539273728.0,15.22,-66607904.0,-1.88,-291320496.0,-8.22,-181345328.0,-5.12,1592981460,13.34,-,-,-
2,34.69,5.99,002008,0,大族激光,324369561.0,162954697.0,7.62,161414864.0,7.55,-124416320.0,-5.82,-199953248.0,-9.35,1592981460,15.17,-,-,-
3,226.74,6.33,603160,1,汇顶科技,324326334.0,279096382.0,11.04,45229952.0,1.79,-180875840.0,-7.16,-143450480.0,-5.68,1592981460,12.83,-,-,-
4,57.21,1.74,000651,0,格力电器,274506912.0,273516720.0,9.36,990192.0,0.03,-145674976.0,-4.99,-128831952.0,-4.41,1592981460,9.39,-,-,-
5,33.91,1.68,600036,1,招商银行,238133372.0,110889164.0,7.27,127244208.0,8.34,-90772160.0,-5.95,-147361213.0,-9.66,1592981460,15.61,-,-,-
6,71.79,4.0,002049,0,紫光国微,230271264.0,123860240.0,3.91,106411024.0,3.36,-77078928.0,-2.43,-153192336.0,-4.84,1592981460,7.27,-,-,-
7,12.38,5.99,002065,0,东华软件,220696468.0,158937044.0,7.95,61759424.0,3.09,-94564592.0,-4.73,-126131872.0,-6.31,1592981460,11.03,-,-,-
8,17.49,2.58,002456,0,欧菲光,206052496.0,255195536.0,9.74,-49143040.0,-1.88,-97194688.0,-3.71,-108857808.0,-4.16,1592981460,7.87,-,-,-
9,14.73,2.94,600048,1,保利地产,203095456.0,130303088.0,9.01,72792368.0,5.03,-96764752.0,-6.69,-106330718.0,-7.35,1592981459,14.05,-,-,-
10,24.97,3.52,002463,0,沪电股份,175132884.0,133392996.0,8.17,41739888.0,2.56,-91699248.0,-5.61,-83433632.0,-5.11,1592981460,10.72,-,-,-
11,36.59,3.6,002230,0,科大讯飞,167166801.0,107234033.0,4.28,59932768.0,2.39,-98047776.0,-3.92,-69119024.0,-2.76,1592981460,6.68,-,-,-
12,31.74,10.02,300373,0,扬杰科技,163607724.0,179540396.0,12.42,-15932672.0,-1.1,-101697920.0,-7.04,-61909824.0,-4.28,1592981457,11.32,-,-,-
13,74.98,5.72,603005,1,晶方科技,162933388.0,157708572.0,8.55,5224816.0,0.28,-66138944.0,-3.59,-96794432.0,-5.25,1592981459,8.84,-,-,-
14,33.52,3.49,688126,1,沪硅产业-U,162832672.0,123252336.0,3.86,39580336.0,1.24,-115340048.0,-3.61,-47492624.0,-1.49,1592981459,5.1,-,-,-
15,25.29,10.0,300494,0,盛天网络,155527441.0,161850705.0,14.11,-6323264.0,-0.55,-98538720.0,-8.59,-56988717.0,-4.97,1592981460,13.56,-,-,-
16,50.04,4.21,600309,1,万华化学,154414130.0,77361954.0,6.2,77052176.0,6.17,-54615888.0,-4.38,-99798261.0,-8.0,1592981459,12.37,-,-,-
17,17.37,5.66,600438,1,通威股份,148645165.0,115476493.0,6.17,33168672.0,1.77,-80202000.0,-4.28,-68443152.0,-3.66,1592981459,7.94,-,-,-
18,36.53,2.12,600547,1,山东黄金,147607587.0,70090547.0,4.41,77517040.0,4.88,-71005008.0,-4.47,-76602576.0,-4.82,1592981459,9.29,-,-,-
19,29.88,2.15,600183,1,生益科技,144353424.0,111417904.0,9.34,32935520.0,2.76,-74018640.0,-6.2,-70334768.0,-5.9,1592981460,12.1,-,-,-
20,24.3,1.08,600030,1,中信证券,144253712.0,61498896.0,2.07,82754816.0,2.78,-74812240.0,-2.51,-69441472.0,-2.33,1592981460,4.84,-,-,-
21,12.89,1.18,600837,1,海通证券,143725066.0,112305738.0,8.35,31419328.0,2.34,-56704208.0,-4.22,-87020869.0,-6.47,1592981459,10.68,-,-,-
22,17.13,10.02,300438,0,鹏辉能源,135876266.0,131953658.0,25.23,3922608.0,0.75,-78021154.0,-14.92,-57855112.0,-11.06,1592981457,25.98,-,-,-
23,167.26,4.97,002916,0,深南电路,132729401.0,79466937.0,4.78,53262464.0,3.21,-94422272.0,-5.68,-38307120.0,-2.31,1592981460,7.99,-,-,-
24,56.05,2.11,002624,0,完美世界,130165049.0,47380297.0,4.43,82784752.0,7.73,-86599504.0,-8.09,-43565565.0,-4.07,1592981460,12.16,-,-,-
25,12.8,1.59,000001,0,平安银行,128738304.0,88841952.0,4.81,39896352.0,2.16,-57894384.0,-3.13,-70843936.0,-3.83,1592981460,6.97,-,-,-
26,13.49,5.89,002079,0,苏州固锝,128636230.0,151479622.0,11.82,-22843392.0,-1.78,-65560976.0,-5.11,-63075280.0,-4.92,1592981460,10.03,-,-,-
27,30.3,0.97,002415,0,海康威视,123733003.0,102251435.0,8.74,21481568.0,1.84,-81043072.0,-6.93,-42689920.0,-3.65,1592981460,10.58,-,-,-
28,3.43,9.94,300459,0,金科文化,118795800.0,108228708.0,21.85,10567092.0,2.13,-48177885.0,-9.73,-70617915.0,-14.26,1592981460,23.98,-,-,-
29,172.17,1.94,300750,0,宁德时代,116133856.0,140085712.0,5.96,-23951856.0,-1.02,-20732640.0,-0.88,-95401200.0,-4.06,1592981460,4.94,-,-,-
30,5.79,7.22,002839,0,张家港行,115913431.0,118374633.0,16.71,-2461202.0,-0.35,-58590265.0,-8.27,-57323166.0,-8.09,1592981460,16.37,-,-,-
31,50.28,1.97,300136,0,信维通信,115679481.0,87760137.0,6.35,27919344.0,2.02,-79809760.0,-5.77,-35869744.0,-2.59,1592981460,8.37,-,-,-
32,169.86,1.19,002371,0,北方华创,112329055.0,90802047.0,6.2,21527008.0,1.47,-61054448.0,-4.17,-51274592.0,-3.5,1592981460,7.67,-,-,-
