datetime,main,small,mid,big,super
2020-07-01 09:31:00,-224304224.0,178902032.0,45402208.0,-141568144.0,-82736080.0
2020-07-01 09:32:00,-354100784.0,313606080.0,40494720.0,-225648160.0,-128452624.0
2020-07-01 09:33:00,-462717824.0,419361104.0,43356720.0,-308604512.0,-154113312.0
2020-07-01 09:34:00,-638599456.0,553704784.0,84894688.0,-443576288.0,-195023168.0
2020-07-01 09:35:00,-774969024.0,665202976.0,109766064.0,-623615040.0,-151353984.0
2020-07-01 09:36:00,-969858640.0,858884624.0,110974016.0,-764008576.0,-205850064.0
2020-07-01 09:37:00,-1148850848.0,1019859792.0,128991024.0,-919742464.0,-229108384.0
2020-07-01 09:38:00,-1139997280.0,1079363152.0,60634112.0,-993225568.0,-146771712.0
2020-07-01 09:39:00,-1158760624.0,1190382432.0,-31621824.0,-1032597008.0,-126163616.0
2020-07-01 09:40:00,-1249152720.0,1289488032.0,-40335344.0,-1102992752.0,-146159968.0
2020-07-01 09:41:00,-1283933536.0,1365091968.0,-81158464.0,-1226874960.0,-57058576.0
2020-07-01 09:42:00,-1423924304.0,1492103632.0,-68179360.0,-1344823152.0,-79101152.0
2020-07-01 09:43:00,-1506561840.0,1594892352.0,-88330528.0,-1449864480.0,-56697360.0
2020-07-01 09:44:00,-1509149536.0,1641578608.0,-132429104.0,-1526054896.0,16905360.0
2020-07-01 09:45:00,-1510446080.0,1703580608.0,-193134560.0,-1562178800.0,51732720.0
2020-07-01 09:46:00,-1568801520.0,1787881440.0,-219079952.0,-1580596592.0,11795072.0
2020-07-01 09:47:00,-1536995936.0,1829277792.0,-292281888.0,-1683869920.0,146873984.0
2020-07-01 09:48:00,-1676100320.0,1942850432.0,-266750128.0,-1804756688.0,128656368.0
2020-07-01 09:49:00,-1787490528.0,2063452912.0,-275962400.0,-1900293520.0,112802992.0
2020-07-01 09:50:00,-1867419872.0,2152165200.0,-284745360.0,-1944950352.0,77530480.0
2020-07-01 09:51:00,-2068627904.0,2306384032.0,-237756160.0,-2039842432.0,-28785472.0
2020-07-01 09:52:00,-2114523776.0,2397309008.0,-282785264.0,-2107027312.0,-7496464.0
2020-07-01 09:53:00,-2264979952.0,2546990880.0,-282010960.0,-2219609216.0,-45370736.0
2020-07-01 09:54:00,-2326736816.0,2653127200.0,-326390416.0,-2299508352.0,-27228464.0
2020-07-01 09:55:00,-2448085984.0,2749171632.0,-301085712.0,-2360751952.0,-87334032.0
2020-07-01 09:56:00,-2621829168.0,2905326016.0,-283496896.0,-2473578368.0,-148250800.0
2020-07-01 09:57:00,-2674312912.0,2985686528.0,-311373664.0,-2547250928.0,-127061984.0
2020-07-01 09:58:00,-2679745616.0,3055015248.0,-375269680.0,-2591685056.0,-88060560.0
2020-07-01 09:59:00,-2712585808.0,3108475264.0,-395889504.0,-2645288304.0,-67297504.0
2020-07-01 10:00:00,-2692865152.0,3153792864.0,-460927744.0,-2714875952.0,22010800.0
