datetime,main,small,mid,big,super
2020-06-19 09:31:00,-79507232.0,61159152.0,18348080.0,-52272768.0,-27234464.0
2020-06-19 09:32:00,-141039435.0,109593616.0,31445840.0,-83789088.0,-57250347.0
2020-06-19 09:33:00,-185407342.0,163912000.0,21495360.0,-139668528.0,-45738814.0
2020-06-19 09:34:00,-237597918.0,215887984.0,21709952.0,-199378960.0,-38218958.0
2020-06-19 09:35:00,-259420708.0,264907408.0,-5486704.0,-232953168.0,-26467540.0
2020-06-19 09:36:00,-284135445.0,325043264.0,-40907824.0,-296092384.0,11956939.0
2020-06-19 09:37:00,-345223250.0,389184064.0,-43960816.0,-359496816.0,14273566.0
2020-06-19 09:38:00,-381103600.0,428455392.0,-47351792.0,-398870432.0,17766832.0
2020-06-19 09:39:00,-417922215.0,454928016.0,-37005808.0,-428804928.0,10882713.0
2020-06-19 09:40:00,-450858382.0,490436112.0,-39577744.0,-443087488.0,-7770894.0
2020-06-19 09:41:00,-464395532.0,515029760.0,-50634256.0,-441446304.0,-22949228.0
2020-06-19 09:42:00,-465709276.0,531086032.0,-65376784.0,-425928864.0,-39780412.0
2020-06-19 09:43:00,-481537230.0,553263888.0,-71726672.0,-457623360.0,-23913870.0
2020-06-19 09:44:00,-499200414.0,577519376.0,-78318992.0,-503082928.0,3882514.0
2020-06-19 09:45:00,-525665190.0,600789040.0,-75123888.0,-513680320.0,-11984870.0
2020-06-19 09:46:00,-508884020.0,615831968.0,-106947984.0,-534616976.0,25732956.0
2020-06-19 09:47:00,-542693965.0,658061856.0,-115367920.0,-572404000.0,29710035.0
2020-06-19 09:48:00,-562298643.0,689684592.0,-127385984.0,-586294635.0,23995992.0
2020-06-19 09:49:00,-547365084.0,698870480.0,-151505440.0,-621297499.0,73932415.0
2020-06-19 09:50:00,-549085825.0,714942800.0,-165857024.0,-699627207.0,150541382.0
2020-06-19 09:51:00,-565502910.0,741193936.0,-175691056.0,-750514327.0,185011417.0
2020-06-19 09:52:00,-606717067.0,773193696.0,-166476640.0,-808642116.0,201925049.0
2020-06-19 09:53:00,-651051624.0,813587552.0,-162535936.0,-850107256.0,199055632.0
2020-06-19 09:54:00,-659855851.0,835501904.0,-175646064.0,-887838877.0,227983026.0
2020-06-19 09:55:00,-676296236.0,860829040.0,-184532800.0,-915976068.0,239679832.0
2020-06-19 09:56:00,-698179692.0,889301968.0,-191122272.0,-941712865.0,243533173.0
2020-06-19 09:57:00,-684644986.0,891532384.0,-206887408.0,-968995200.0,284350214.0
2020-06-19 09:58:00,-699100039.0,911273104.0,-212173088.0,-1003593237.0,304493198.0
2020-06-19 09:59:00,-726857814.0,943128236.0,-216270448.0,-1035772951.0,308915137.0
2020-06-19 10:00:00,-771574940.0,992047150.0,-220472240.0,-1069478590.0,297903650.0
2020-06-19 10:01:00,-831134357.0,1041035486.0,-209901168.0,-1126285267.0,295150910.0
2020-06-19 10:02:00,-858595632.0,1083776188.0,-225180592.0,-1147353605.0,288757973.0
