datetime,main,small,mid,big,super
2020-07-01 09:31:00,-2065659.0,738568.0,1327091.0,-1504655.0,-561004.0
2020-07-01 09:32:00,-3038715.0,1713015.0,1325700.0,-2577548.0,-461167.0
2020-07-01 09:33:00,-3211198.0,2465638.0,745561.0,-2082059.0,-1129139.0
2020-07-01 09:34:00,-5803786.0,3365799.0,2437988.0,-4368208.0,-1435578.0
2020-07-01 09:35:00,-9580335.0,5591256.0,3989080.0,-6090118.0,-3490217.0
2020-07-01 09:36:00,-9254519.0,6579818.0,2674702.0,-5768092.0,-3486427.0
2020-07-01 09:37:00,-10284113.0,8548750.0,1735365.0,-5781784.0,-4502329.0
2020-07-01 09:38:00,-11972340.0,9475522.0,2496821.0,-7916201.0,-4056139.0
2020-07-01 09:39:00,-12149598.0,9958973.0,2190630.0,-8054944.0,-4094654.0
2020-07-01 09:40:00,-13204577.0,10708620.0,2495962.0,-8745283.0,-4459294.0
2020-07-01 09:41:00,-17838275.0,12843228.0,4995053.0,-10154366.0,-7683909.0
2020-07-01 09:42:00,-21359460.0,15408422.0,5951044.0,-13507156.0,-7852304.0
2020-07-01 09:43:00,-26297713.0,18162405.0,8135317.0,-14476893.0,-11820820.0
2020-07-01 09:44:00,-30341531.0,21260927.0,9080614.0,-12827691.0,-17513840.0
2020-07-01 09:45:00,-31109078.0,21209195.0,9899892.0,-14469765.0,-16639313.0
2020-07-01 09:46:00,-30281257.0,21229979.0,9051288.0,-13267770.0,-17013487.0
2020-07-01 09:47:00,-28718994.0,20103257.0,8615747.0,-11842588.0,-16876406.0
2020-07-01 09:48:00,-30035209.0,20524612.0,9510608.0,-8763509.0,-21271700.0
2020-07-01 09:49:00,-31146204.0,20900863.0,10245351.0,-9446989.0,-21699215.0
2020-07-01 09:50:00,-29256003.0,19586402.0,9669612.0,-9254188.0,-20001815.0
2020-07-01 09:51:00,-28626559.0,19122528.0,9504043.0,-8310908.0,-20315651.0
2020-07-01 09:52:00,-27915104.0,18081278.0,9833837.0,-7987029.0,-19928075.0
2020-07-01 09:53:00,-31901337.0,19856429.0,12044921.0,-7182070.0,-24719267.0
2020-07-01 09:54:00,-29846878.0,19546625.0,10300267.0,-6732445.0,-23114433.0
2020-07-01 09:55:00,-29462407.0,19232706.0,10229716.0,-5585159.0,-23877248.0
2020-07-01 09:56:00,-32536832.0,21868138.0,10668708.0,-6436402.0,-26100430.0
2020-07-01 09:57:00,-34502717.0,23405953.0,11096778.0,-7165824.0,-27336893.0
2020-07-01 09:58:00,-36873805.0,24607083.0,12266736.0,-7024602.0,-29849203.0
2020-07-01 09:59:00,-39119839.0,25795068.0,13324785.0,-5678214.0,-33441625.0
2020-07-01 10:00:00,-40622654.0,26527990.0,14094678.0,-6975141.0,-33647513.0
2020-07-01 10:01:00,-40314740.0,26010042.0,14304711.0,-5345322.0,-34969418.0
2020-07-01 10:02:00,-41521093.0,26459271.0,15061835.0,-5790736.0,-35730357.0
2020-07-01 10:03:00,-44964490.0,28451559.0,16512944.0,-6494850.0,-38469640.0
2020-07-01 10:04:00,-46150699.0,28989665.0,17161047.0,-5532431.0,-40618268.0
2020-07-01 10:05:00,-52211158.0,32123055.0,20088116.0,-6956205.0,-45254953.0
2020-07-01 10:06:00,-54976980.0,33449220.0,21527774.0,-6033091.0,-48943889.0
2020-07-01 10:07:00,-54703992.0,32430052.0,22273955.0,-5185159.0,-49518833.0
2020-07-01 10:08:00,-53603912.0,32463136.0,21140790.0,-5350224.0,-48253688.0
2020-07-01 10:09:00,-45204208.0,29375404.0,15828818.0,-6991715.0,-38212493.0
2020-07-01 10:10:00,-46889500.0,29976737.0,16912778.0,-8168387.0,-38721113.0
2020-07-01 10:11:00,-45751433.0,28729255.0,17022193.0,-9559662.0,-36191771.0
2020-07-01 10:12:00,-46013403.0,28762324.0,17251094.0,-8762051.0,-37251352.0
2020-07-01 10:13:00,-45699897.0,27817281.0,17882631.0,-9436449.0,-36263448.0
2020-07-01 10:14:00,-46504971.0,28229071.0,18275915.0,-9160973.0,-37343998.0
2020-07-01 10:15:00,-47541770.0,29206762.0,18335024.0,-8157763.0,-39384007.0
2020-07-01 10:16:00,-48008746.0,29526437.0,18482325.0,-8624739.0,-39384007.0
2020-07-01 10:17:00,-49923119.0,29741298.0,20181838.0,-8050112.0,-41873007.0
2020-07-01 10:18:00,-49372948.0,29333323.0,20039642.0,-8529459.0,-40843489.0
2020-07-01 10:19:00,-50013054.0,29287200.0,20725871.0,-6658422.0,-43354632.0
2020-07-01 10:20:00,-49219626.0,28343426.0,20876217.0,-5864994.0,-43354632.0
2020-07-01 10:21:00,-48890079.0,27618127.0,21271970.0,-5495379.0,-43394700.0
2020-07-01 10:22:00,-49214728.0,27654309.0,21560437.0,-5820028.0,-43394700.0
2020-07-01 10:23:00,-47749932.0,27784088.0,19965863.0,-4316470.0,-43433462.0
2020-07-01 10:24:00,-46820963.0,28079076.0,18741906.0,-3034113.0,-43786850.0
2020-07-01 10:25:00,-45906170.0,28299816.0,17606373.0,-4444841.0,-41461329.0
2020-07-01 10:26:00,-43731615.0,27793501.0,15938134.0,-5154885.0,-38576730.0
2020-07-01 10:27:00,-45647131.0,28417581.0,17229571.0,-6435393.0,-39211738.0
2020-07-01 10:28:00,-46132912.0,28567165.0,17565770.0,-6351740.0,-39781172.0
2020-07-01 10:29:00,-44448203.0,27351396.0,17096831.0,-5017082.0,-39431121.0
2020-07-01 10:30:00,-41690240.0,26612617.0,15077648.0,-2259119.0,-39431121.0
2020-07-01 10:31:00,-41943805.0,26916760.0,15027071.0,-1051586.0,-40892219.0
2020-07-01 10:32:00,-40472007.0,27066886.0,13405147.0,-984644.0,-39487363.0
2020-07-01 10:33:00,-40520496.0,26794607.0,13725913.0,-1033133.0,-39487363.0
2020-07-01 10:34:00,-39787064.0,25943525.0,13843563.0,-1583072.0,-38203992.0
2020-07-01 10:35:00,-38391229.0,25008857.0,13382395.0,-82592.0,-38308637.0
2020-07-01 10:36:00,-39213047.0,26361443.0,12851627.0,-617847.0,-38595200.0
2020-07-01 10:37:00,-39556529.0,25471643.0,14084909.0,-1201112.0,-38355417.0
2020-07-01 10:38:00,-36844677.0,23656102.0,13188599.0,-4275548.0,-32569129.0
2020-07-01 10:39:00,-35909208.0,23282717.0,12626514.0,-5951600.0,-29957608.0
2020-07-01 10:40:00,-34916435.0,22876750.0,12039708.0,-4949295.0,-29967140.0
2020-07-01 10:41:00,-34519052.0,21964821.0,12554255.0,-4500850.0,-30018202.0
2020-07-01 10:42:00,-33909074.0,21243784.0,12665313.0,-3895744.0,-30013330.0
2020-07-01 10:43:00,-33617923.0,21749240.0,11868706.0,-2727863.0,-30890060.0
2020-07-01 10:44:00,-33104791.0,22202218.0,10902596.0,-2354811.0,-30749980.0
2020-07-01 10:45:00,-33207833.0,22301079.0,10906778.0,-2340277.0,-30867556.0
2020-07-01 10:46:00,-33554745.0,22761034.0,10793735.0,-3545979.0,-30008766.0
2020-07-01 10:47:00,-33417467.0,23520953.0,9896539.0,-3839295.0,-29578172.0
2020-07-01 10:48:00,-32524415.0,22764447.0,9759994.0,-5104312.0,-27420103.0
2020-07-01 10:49:00,-31779979.0,22125511.0,9654495.0,-4359876.0,-27420103.0
2020-07-01 10:50:00,-29517442.0,21958946.0,7558522.0,-2088229.0,-27429213.0
2020-07-01 10:51:00,-29185179.0,22171880.0,7013323.0,-1463535.0,-27721644.0
2020-07-01 10:52:00,-31237210.0,23455037.0,7782196.0,-4533900.0,-26703310.0
2020-07-01 10:53:00,-31716515.0,23441132.0,8275407.0,-4878377.0,-26838138.0
2020-07-01 10:54:00,-28950010.0,22756456.0,6193578.0,-2139721.0,-26810289.0
2020-07-01 10:55:00,-29442692.0,23591408.0,5851307.0,-2582298.0,-26860394.0
2020-07-01 10:56:00,-27817566.0,22867407.0,4950181.0,-1865548.0,-25952018.0
2020-07-01 10:57:00,-27001104.0,22259581.0,4741544.0,-2609481.0,-24391623.0
2020-07-01 10:58:00,-27318328.0,23044919.0,4273430.0,-2130082.0,-25188246.0
2020-07-01 10:59:00,-26798481.0,22693618.0,4104883.0,-1454860.0,-25343621.0
2020-07-01 11:00:00,-25428901.0,22481017.0,2947904.0,-3712302.0,-21716599.0
2020-07-01 11:01:00,-22742378.0,21043455.0,1698943.0,-3894495.0,-18847883.0
2020-07-01 11:02:00,-23688934.0,21622725.0,2066228.0,-4007954.0,-19680980.0
