datetime,main,small,mid,big,super
2020-06-19 09:31:00,206396.0,-190473.0,-15923.0,241109.0,-34713.0
2020-06-19 09:32:00,2102565.0,-983604.0,-1118961.0,2137278.0,-34713.0
2020-06-19 09:33:00,2102565.0,-1039152.0,-1063412.0,2137278.0,-34713.0
2020-06-19 09:34:00,1848450.0,-651610.0,-1196838.0,1883163.0,-34713.0
2020-06-19 09:35:00,1899117.0,-474121.0,-1424995.0,1933830.0,-34713.0
2020-06-19 09:36:00,1090177.0,277222.0,-1367398.0,1124890.0,-34713.0
2020-06-19 09:37:00,1355260.0,313214.0,-1668473.0,1446001.0,-90741.0
2020-06-19 09:38:00,1241655.0,342973.0,-1584627.0,1540065.0,-298410.0
2020-06-19 09:39:00,1243006.0,612137.0,-1855142.0,1541416.0,-298410.0
2020-06-19 09:40:00,1347117.0,687598.0,-2034715.0,1645527.0,-298410.0
2020-06-19 09:41:00,1350891.0,615970.0,-1966860.0,1649301.0,-298410.0
2020-06-19 09:42:00,1714499.0,358939.0,-2073438.0,2012909.0,-298410.0
2020-06-19 09:43:00,1693415.0,442021.0,-2135436.0,1991825.0,-298410.0
2020-06-19 09:44:00,1769152.0,563097.0,-2332249.0,2067562.0,-298410.0
2020-06-19 09:45:00,2165968.0,330169.0,-2496137.0,2464378.0,-298410.0
2020-06-19 09:46:00,1948652.0,430963.0,-2379614.0,2247062.0,-298410.0
2020-06-19 09:47:00,1955573.0,398499.0,-2354072.0,2253983.0,-298410.0
2020-06-19 09:48:00,1582046.0,655001.0,-2237047.0,1880456.0,-298410.0
2020-06-19 09:49:00,1408738.0,922396.0,-2331135.0,1707148.0,-298410.0
2020-06-19 09:50:00,3498751.0,-175129.0,-3323624.0,1775282.0,1723469.0
2020-06-19 09:51:00,2763761.0,72702.0,-2836464.0,1040292.0,1723469.0
2020-06-19 09:52:00,3061131.0,84409.0,-3145540.0,1337662.0,1723469.0
2020-06-19 09:53:00,3267259.0,39022.0,-3306281.0,1543790.0,1723469.0
2020-06-19 09:54:00,3104443.0,1678.0,-3106120.0,1380974.0,1723469.0
2020-06-19 09:55:00,2830463.0,345591.0,-3176053.0,1099051.0,1731412.0
2020-06-19 09:56:00,2781520.0,264011.0,-3045529.0,1012837.0,1768683.0
2020-06-19 09:57:00,1798582.0,920926.0,-2719506.0,-23869.0,1822451.0
2020-06-19 09:58:00,1407192.0,1454482.0,-2861671.0,-449475.0,1856667.0
2020-06-19 09:59:00,1430594.0,1611817.0,-3042408.0,-466399.0,1896993.0
2020-06-19 10:00:00,2282329.0,1379156.0,-3661481.0,342566.0,1939763.0
2020-06-19 10:01:00,1861165.0,1443157.0,-3304317.0,-131755.0,1992920.0
2020-06-19 10:02:00,1932681.0,1318378.0,-3251053.0,-96288.0,2028969.0
2020-06-19 10:03:00,1174602.0,1861569.0,-3036164.0,-903247.0,2077849.0
2020-06-19 10:04:00,1081268.0,1968432.0,-3049694.0,-1262366.0,2343634.0
2020-06-19 10:05:00,690362.0,2392512.0,-3082867.0,-1675268.0,2365630.0
2020-06-19 10:06:00,-159415.0,2798644.0,-2639222.0,-2567815.0,2408400.0
2020-06-19 10:07:00,-273292.0,2982266.0,-2708967.0,-2704299.0,2431007.0
2020-06-19 10:08:00,-341698.0,3146607.0,-2804903.0,-2802644.0,2460946.0
2020-06-19 10:09:00,-458693.0,3240354.0,-2781654.0,-2919639.0,2460946.0
2020-06-19 10:10:00,-1414546.0,3987913.0,-2573360.0,-3875492.0,2460946.0
2020-06-19 10:11:00,-804071.0,3841476.0,-3037397.0,-3265017.0,2460946.0
2020-06-19 10:12:00,-815653.0,3875624.0,-3059963.0,-3295540.0,2479887.0
2020-06-19 10:13:00,-1089910.0,4036145.0,-2946227.0,-3582628.0,2492718.0
2020-06-19 10:14:00,-831495.0,4024542.0,-3193039.0,-3363928.0,2532433.0
2020-06-19 10:15:00,-942272.0,4068010.0,-3125729.0,-3540693.0,2598421.0
2020-06-19 10:16:00,-660738.0,4097403.0,-3436657.0,-3286043.0,2625305.0
2020-06-19 10:17:00,-732966.0,4350128.0,-3617154.0,-3396764.0,2663798.0
2020-06-19 10:18:00,-772152.0,4446476.0,-3674316.0,-3445726.0,2673574.0
2020-06-19 10:19:00,-585977.0,4404062.0,-3818078.0,-3307820.0,2721843.0
2020-06-19 10:20:00,-1443038.0,4915342.0,-3472296.0,-4172213.0,2729175.0
2020-06-19 10:21:00,-1703156.0,4825583.0,-3122419.0,-4435386.0,2732230.0
2020-06-19 10:22:00,-1414712.0,4627629.0,-3212910.0,-4146942.0,2732230.0
2020-06-19 10:23:00,-954783.0,4524858.0,-3570068.0,-3687013.0,2732230.0
2020-06-19 10:24:00,-831794.0,4631245.0,-3799443.0,-3715376.0,2883582.0
2020-06-19 10:25:00,-832062.0,4619938.0,-3787868.0,-3715644.0,2883582.0
2020-06-19 10:26:00,-963887.0,4626406.0,-3662511.0,-3847469.0,2883582.0
2020-06-19 10:27:00,-843964.0,4957777.0,-4113806.0,-3727546.0,2883582.0
2020-06-19 10:28:00,-897123.0,5094689.0,-4197559.0,-3780705.0,2883582.0
2020-06-19 10:29:00,-896573.0,5043992.0,-4147412.0,-3780155.0,2883582.0
2020-06-19 10:30:00,-903026.0,4944817.0,-4041784.0,-3786608.0,2883582.0
2020-06-19 10:31:00,-1014781.0,5025421.0,-4010634.0,-3898363.0,2883582.0
2020-06-19 10:32:00,890609.0,4578584.0,-5469187.0,-3336587.0,4227196.0
2020-06-19 10:33:00,996436.0,4456004.0,-5452434.0,-3230760.0,4227196.0
2020-06-19 10:34:00,940397.0,4542728.0,-5483119.0,-3286799.0,4227196.0
2020-06-19 10:35:00,676766.0,4800148.0,-5476908.0,-3550430.0,4227196.0
2020-06-19 10:36:00,663724.0,4871902.0,-5535620.0,-3563472.0,4227196.0
2020-06-19 10:37:00,639809.0,5049151.0,-5688954.0,-3587387.0,4227196.0
2020-06-19 10:38:00,-24039.0,5235391.0,-5211346.0,-4251235.0,4227196.0
2020-06-19 10:39:00,-42611.0,5213306.0,-5170690.0,-4269807.0,4227196.0
2020-06-19 10:40:00,-6111.0,4991266.0,-4985151.0,-4233307.0,4227196.0
2020-06-19 10:41:00,-185905.0,4909474.0,-4723566.0,-4413101.0,4227196.0
2020-06-19 10:42:00,-185905.0,4945594.0,-4759685.0,-4413101.0,4227196.0
2020-06-19 10:43:00,-506176.0,4999214.0,-4493033.0,-4733372.0,4227196.0
2020-06-19 10:44:00,-427735.0,4696268.0,-4268527.0,-4654931.0,4227196.0
2020-06-19 10:45:00,-452101.0,4743686.0,-4291580.0,-4679297.0,4227196.0
2020-06-19 10:46:00,-423472.0,4823485.0,-4400009.0,-4650668.0,4227196.0
2020-06-19 10:47:00,-955279.0,5244218.0,-4288934.0,-5218939.0,4263660.0
2020-06-19 10:48:00,-787490.0,5112990.0,-4325496.0,-5051150.0,4263660.0
2020-06-19 10:49:00,733710.0,4334475.0,-5068181.0,-3529950.0,4263660.0
2020-06-19 10:50:00,817992.0,4486734.0,-5304723.0,-3445668.0,4263660.0
2020-06-19 10:51:00,858127.0,4268811.0,-5126936.0,-3405533.0,4263660.0
2020-06-19 10:52:00,830387.0,3988152.0,-4818537.0,-3433273.0,4263660.0
2020-06-19 10:53:00,778637.0,3877722.0,-4656358.0,-3485023.0,4263660.0
2020-06-19 10:54:00,510229.0,4000103.0,-4510331.0,-3753431.0,4263660.0
2020-06-19 10:55:00,516021.0,4048783.0,-4564803.0,-3747639.0,4263660.0
2020-06-19 10:56:00,298568.0,4180393.0,-4478960.0,-3965092.0,4263660.0
2020-06-19 10:57:00,329842.0,4198216.0,-4528057.0,-3933818.0,4263660.0
2020-06-19 10:58:00,-139528.0,4315151.0,-4175622.0,-4403188.0,4263660.0
2020-06-19 10:59:00,-98599.0,4314733.0,-4216133.0,-4362259.0,4263660.0
2020-06-19 11:00:00,-395341.0,4192647.0,-3797307.0,-4659001.0,4263660.0
2020-06-19 11:01:00,-162756.0,4357944.0,-4195190.0,-4426416.0,4263660.0
2020-06-19 11:02:00,-163273.0,4296954.0,-4133683.0,-4426933.0,4263660.0
2020-06-19 11:03:00,-54063.0,4300391.0,-4246331.0,-4317723.0,4263660.0
2020-06-19 11:04:00,-65849.0,4289597.0,-4223751.0,-4329509.0,4263660.0
2020-06-19 11:05:00,-42906.0,4228622.0,-4185719.0,-4306566.0,4263660.0
2020-06-19 11:06:00,-119409.0,4366765.0,-4247360.0,-4383069.0,4263660.0
2020-06-19 11:07:00,-565817.0,4842058.0,-4276246.0,-4829477.0,4263660.0
2020-06-19 11:08:00,-497090.0,4744586.0,-4247501.0,-4760750.0,4263660.0
2020-06-19 11:09:00,-466912.0,4809679.0,-4342772.0,-4730572.0,4263660.0
2020-06-19 11:10:00,-351460.0,4713914.0,-4362459.0,-4615120.0,4263660.0
2020-06-19 11:11:00,-351460.0,4860629.0,-4509174.0,-4615120.0,4263660.0
2020-06-19 11:12:00,-332644.0,4636009.0,-4303370.0,-4596304.0,4263660.0
2020-06-19 11:13:00,-1141910.0,4855350.0,-3713444.0,-5405570.0,4263660.0
2020-06-19 11:14:00,-1123890.0,4854492.0,-3730606.0,-5387550.0,4263660.0
2020-06-19 11:15:00,-1100457.0,4836625.0,-3736171.0,-5364117.0,4263660.0
2020-06-19 11:16:00,-1040193.0,4868319.0,-3828129.0,-5303853.0,4263660.0
2020-06-19 11:17:00,-994723.0,4671388.0,-3676669.0,-5258383.0,4263660.0
2020-06-19 11:18:00,-956881.0,4487935.0,-3531059.0,-5220541.0,4263660.0
2020-06-19 11:19:00,-949722.0,4473685.0,-3523968.0,-5213382.0,4263660.0
2020-06-19 11:20:00,-1159821.0,4661090.0,-3501273.0,-5423481.0,4263660.0
2020-06-19 11:21:00,-1046295.0,4545369.0,-3499078.0,-5309955.0,4263660.0
2020-06-19 11:22:00,-903438.0,4492489.0,-3589055.0,-5167098.0,4263660.0
2020-06-19 11:23:00,-783859.0,4308994.0,-3525140.0,-5047519.0,4263660.0
2020-06-19 11:24:00,-449041.0,3849423.0,-3400387.0,-4712701.0,4263660.0
2020-06-19 11:25:00,-400649.0,3809109.0,-3408465.0,-4664309.0,4263660.0
2020-06-19 11:26:00,-273807.0,3953422.0,-3679619.0,-4537467.0,4263660.0
2020-06-19 11:27:00,-51339.0,3794047.0,-3742712.0,-4314999.0,4263660.0
2020-06-19 11:28:00,-34558.0,3783267.0,-3748713.0,-4298218.0,4263660.0
2020-06-19 11:29:00,-58835.0,3773836.0,-3715006.0,-4322495.0,4263660.0
2020-06-19 11:30:00,-101160.0,3926942.0,-3825788.0,-4311366.0,4210206.0
2020-06-19 13:01:00,932431.0,3989772.0,-4922210.0,-3277775.0,4210206.0
2020-06-19 13:02:00,932431.0,4072800.0,-5005237.0,-3277775.0,4210206.0
2020-06-19 13:03:00,1158109.0,4081861.0,-5239977.0,-3052097.0,4210206.0
2020-06-19 13:04:00,1166845.0,4093113.0,-5259964.0,-3043361.0,4210206.0
2020-06-19 13:05:00,994856.0,4133847.0,-5128709.0,-3215350.0,4210206.0
2020-06-19 13:06:00,999770.0,4189450.0,-5189227.0,-3210436.0,4210206.0
2020-06-19 13:07:00,1093408.0,4066398.0,-5159815.0,-3116798.0,4210206.0
2020-06-19 13:08:00,1215223.0,4033139.0,-5248371.0,-2994983.0,4210206.0
2020-06-19 13:09:00,1036036.0,4048371.0,-5084416.0,-2913716.0,3949752.0
2020-06-19 13:10:00,1046572.0,3867797.0,-4914378.0,-2902134.0,3948706.0
2020-06-19 13:11:00,827758.0,4146053.0,-4973818.0,-3050866.0,3878624.0
2020-06-19 13:12:00,793288.0,4197912.0,-4991206.0,-3076968.0,3870256.0
2020-06-19 13:13:00,1412483.0,3881837.0,-5294327.0,-2756406.0,4168889.0
2020-06-19 13:14:00,1376896.0,3981705.0,-5358609.0,-2772061.0,4148957.0
2020-06-19 13:15:00,1367367.0,4278217.0,-5645593.0,-2781590.0,4148957.0
2020-06-19 13:16:00,1197988.0,4312567.0,-5510563.0,-2949459.0,4147447.0
2020-06-19 13:17:00,1176518.0,4211031.0,-5387557.0,-2968815.0,4145333.0
2020-06-19 13:18:00,656815.0,4565732.0,-5222555.0,-3488518.0,4145333.0
2020-06-19 13:19:00,790422.0,4507884.0,-5298313.0,-3354911.0,4145333.0
2020-06-19 13:20:00,1872870.0,3945042.0,-5817920.0,-2272463.0,4145333.0
2020-06-19 13:21:00,1818300.0,3778944.0,-5597253.0,-2326127.0,4144427.0
2020-06-19 13:22:00,1517794.0,4007863.0,-5525666.0,-2626331.0,4144125.0
2020-06-19 13:23:00,1507481.0,4139534.0,-5647024.0,-2636644.0,4144125.0
2020-06-19 13:24:00,1919384.0,3987650.0,-5907043.0,-2224741.0,4144125.0
2020-06-19 13:25:00,1753193.0,3875872.0,-5629073.0,-2390932.0,4144125.0
2020-06-19 13:26:00,1691881.0,3696293.0,-5388182.0,-2452244.0,4144125.0
2020-06-19 13:27:00,1434199.0,3773876.0,-5208083.0,-2709926.0,4144125.0
2020-06-19 13:28:00,1370135.0,3951755.0,-5321899.0,-2773990.0,4144125.0
