datetime,main,small,mid,big,super
2020-07-02 09:31:00,617502.0,414129.0,-1031630.0,395479.0,222023.0
2020-07-02 09:32:00,-203425.0,612176.0,-408748.0,-468078.0,264653.0
2020-07-02 09:33:00,-296453.0,290741.0,5716.0,-665854.0,369401.0
2020-07-02 09:34:00,726309.0,-210308.0,-515996.0,-216975.0,943284.0
2020-07-02 09:35:00,676839.0,77199.0,-754032.0,-318819.0,995658.0
2020-07-02 09:36:00,3104478.0,-1387475.0,-1716998.0,807646.0,2296832.0
2020-07-02 09:37:00,6685224.0,-3153717.0,-3531501.0,1359887.0,5325337.0
2020-07-02 09:38:00,6829253.0,-4387965.0,-2441282.0,213901.0,6615352.0
2020-07-02 09:39:00,8742397.0,-5552741.0,-3189650.0,808873.0,7933524.0
2020-07-02 09:40:00,11059968.0,-6193000.0,-4866964.0,3114556.0,7945412.0
2020-07-02 09:41:00,11964724.0,-5637647.0,-6327073.0,4049453.0,7915271.0
2020-07-02 09:42:00,11925420.0,-5068998.0,-6856417.0,4034755.0,7890665.0
2020-07-02 09:43:00,10981159.0,-4022321.0,-6958832.0,1926217.0,9054942.0
2020-07-02 09:44:00,10909762.0,-4980312.0,-5929443.0,1891297.0,9018465.0
2020-07-02 09:45:00,12496304.0,-6812666.0,-5683632.0,1745597.0,10750707.0
2020-07-02 09:46:00,10555073.0,-5548405.0,-5006662.0,944929.0,9610144.0
2020-07-02 09:47:00,9890948.0,-5176992.0,-4713951.0,361640.0,9529308.0
2020-07-02 09:48:00,8754254.0,-3923583.0,-4830666.0,-684054.0,9438308.0
2020-07-02 09:49:00,9889384.0,-3681784.0,-6207595.0,402709.0,9486675.0
2020-07-02 09:50:00,9904136.0,-2913820.0,-6990311.0,411371.0,9492765.0
2020-07-02 09:51:00,10497965.0,-3609851.0,-6888108.0,1105956.0,9392009.0
2020-07-02 09:52:00,10179493.0,-2947268.0,-7232220.0,1116220.0,9063273.0
2020-07-02 09:53:00,12485301.0,-3796100.0,-8689195.0,3432168.0,9053133.0
2020-07-02 09:54:00,16154051.0,-4403108.0,-11750937.0,4193915.0,11960136.0
2020-07-02 09:55:00,19364093.0,-5197276.0,-14166812.0,7397867.0,11966226.0
