datetime,main,small,mid,big,super
2020-06-16 09:31:00,1196896.0,-1819440.0,622544.0,1196896.0,0.0
2020-06-16 09:32:00,5841296.0,-5028992.0,-812303.0,2889646.0,2951650.0
2020-06-16 09:33:00,4579021.0,-4465869.0,-113150.0,1627371.0,2951650.0
2020-06-16 09:34:00,7182841.0,-5049273.0,-2133566.0,4342151.0,2840690.0
2020-06-16 09:35:00,7968705.0,-5972947.0,-1995757.0,5091435.0,2877270.0
2020-06-16 09:36:00,7529008.0,-6146923.0,-1382083.0,5825670.0,1703338.0
2020-06-16 09:37:00,9483374.0,-7100251.0,-2383121.0,7901800.0,1581574.0
2020-06-16 09:38:00,9909383.0,-7645909.0,-2263472.0,8444609.0,1464774.0
2020-06-16 09:39:00,10032410.0,-7793252.0,-2239157.0,8615524.0,1416886.0
2020-06-16 09:40:00,9039546.0,-7315795.0,-1723750.0,7732744.0,1306802.0
2020-06-16 09:41:00,8101090.0,-6863368.0,-1237721.0,6863200.0,1237890.0
2020-06-16 09:42:00,7765710.0,-6923269.0,-842439.0,4633125.0,3132585.0
2020-06-16 09:43:00,7496014.0,-6381616.0,-1114395.0,4363429.0,3132585.0
2020-06-16 09:44:00,7380968.0,-5886226.0,-1494738.0,4248383.0,3132585.0
2020-06-16 09:45:00,9423726.0,-7077531.0,-2346192.0,5305497.0,4118229.0
2020-06-16 09:46:00,8514601.0,-5845928.0,-2668670.0,5409772.0,3104829.0
2020-06-16 09:47:00,7959676.0,-5831799.0,-2127875.0,4828735.0,3130941.0
2020-06-16 09:48:00,8076996.0,-6234758.0,-1842237.0,4946055.0,3130941.0
2020-06-16 09:49:00,7262872.0,-6048173.0,-1214697.0,4125835.0,3137037.0
2020-06-16 09:50:00,8867930.0,-5877495.0,-2990432.0,5824041.0,3043889.0
2020-06-16 09:51:00,9104915.0,-5792854.0,-3312058.0,6399698.0,2705217.0
2020-06-16 09:52:00,8508942.0,-5850834.0,-2658106.0,6270239.0,2238703.0
2020-06-16 09:53:00,8985594.0,-6107013.0,-2878580.0,6790755.0,2194839.0
2020-06-16 09:54:00,12077627.0,-6772994.0,-5304633.0,9935348.0,2142279.0
2020-06-16 09:55:00,13489012.0,-6787370.0,-6701642.0,11346733.0,2142279.0
2020-06-16 09:56:00,13111031.0,-7420686.0,-5690344.0,10979920.0,2131111.0
2020-06-16 09:57:00,13200303.0,-7335448.0,-5864853.0,11447487.0,1752816.0
2020-06-16 09:58:00,12561933.0,-6984422.0,-5577508.0,11989808.0,572125.0
2020-06-16 09:59:00,11758545.0,-6055758.0,-5702783.0,12534310.0,-775765.0
2020-06-16 10:00:00,10794335.0,-5890524.0,-4903807.0,11138649.0,-344314.0
2020-06-16 10:01:00,10176609.0,-5843609.0,-4332995.0,10612245.0,-435636.0
2020-06-16 10:02:00,9801918.0,-5219646.0,-4582267.0,10307852.0,-505934.0
2020-06-16 10:03:00,8818922.0,-4859181.0,-3959735.0,9324856.0,-505934.0
2020-06-16 10:04:00,8583754.0,-4403508.0,-4180241.0,9176608.0,-592854.0
2020-06-16 10:05:00,8200772.0,-3904458.0,-4296309.0,5116647.0,3084125.0
2020-06-16 10:06:00,9945591.0,-4008699.0,-5936886.0,5527073.0,4418518.0
2020-06-16 10:07:00,11550361.0,-4681274.0,-6869081.0,7018419.0,4531942.0
2020-06-16 10:08:00,10125907.0,-2926201.0,-7199700.0,6265844.0,3860063.0
2020-06-16 10:09:00,10371399.0,-3026748.0,-7344645.0,6511336.0,3860063.0
2020-06-16 10:10:00,9524055.0,-2166588.0,-7357461.0,5663992.0,3860063.0
2020-06-16 10:11:00,9395848.0,-1253673.0,-8142168.0,5535785.0,3860063.0
2020-06-16 10:12:00,9842004.0,-1826892.0,-8015105.0,5981941.0,3860063.0
2020-06-16 10:13:00,8087057.0,-1333482.0,-6753568.0,5798006.0,2289051.0
2020-06-16 10:14:00,9160249.0,-2383228.0,-6777014.0,6871198.0,2289051.0
2020-06-16 10:15:00,8463097.0,-2216295.0,-6246796.0,6174046.0,2289051.0
2020-06-16 10:16:00,8856504.0,-2448355.0,-6408143.0,7613589.0,1242915.0
2020-06-16 10:17:00,6063606.0,-981471.0,-5082130.0,4827407.0,1236199.0
2020-06-16 10:18:00,5415637.0,-134303.0,-5281328.0,4180898.0,1234739.0
2020-06-16 10:19:00,4776866.0,720856.0,-5497717.0,3582131.0,1194735.0
2020-06-16 10:20:00,1282678.0,2933357.0,-4216031.0,4066319.0,-2783641.0
2020-06-16 10:21:00,-3315153.0,5988336.0,-2673179.0,5113556.0,-8428709.0
2020-06-16 10:22:00,-3649193.0,6151886.0,-2502689.0,4819812.0,-8469005.0
2020-06-16 10:23:00,-4782447.0,6820122.0,-2037670.0,3798102.0,-8580549.0
2020-06-16 10:24:00,-5420646.0,6757066.0,-1336416.0,3167495.0,-8588141.0
2020-06-16 10:25:00,-5543513.0,6604945.0,-1061428.0,3099232.0,-8642745.0
2020-06-16 10:26:00,-5803335.0,6677142.0,-873802.0,2879998.0,-8683333.0
2020-06-16 10:27:00,-5556947.0,6579254.0,-1022303.0,2881110.0,-8438057.0
2020-06-16 10:28:00,-5005789.0,5921333.0,-915541.0,3344348.0,-8350137.0
2020-06-16 10:29:00,-4846671.0,6290740.0,-1444066.0,3503466.0,-8350137.0
2020-06-16 10:30:00,-4758706.0,6431726.0,-1673017.0,3591431.0,-8350137.0
2020-06-16 10:31:00,-4581415.0,6741805.0,-2160387.0,3768722.0,-8350137.0
2020-06-16 10:32:00,-5641381.0,7169462.0,-1528077.0,3951296.0,-9592677.0
2020-06-16 10:33:00,-6274933.0,7276250.0,-1001313.0,3317744.0,-9592677.0
2020-06-16 10:34:00,-4853015.0,6710248.0,-1857229.0,4739662.0,-9592677.0
2020-06-16 10:35:00,-3519376.0,6025290.0,-2505910.0,6073301.0,-9592677.0
2020-06-16 10:36:00,-3155951.0,6132341.0,-2976387.0,6290609.0,-9446560.0
2020-06-16 10:37:00,-2353405.0,5581088.0,-3227680.0,7151245.0,-9504650.0
2020-06-16 10:38:00,-2307447.0,5689554.0,-3382105.0,7227033.0,-9534480.0
2020-06-16 10:39:00,236308.0,4292393.0,-4528699.0,9785936.0,-9549628.0
2020-06-16 10:40:00,3492240.0,2519104.0,-6011343.0,12021777.0,-8529537.0
2020-06-16 10:41:00,5409531.0,1295254.0,-6704785.0,12608851.0,-7199320.0
2020-06-16 10:42:00,8427831.0,-1051233.0,-7376597.0,12299551.0,-3871720.0
2020-06-16 10:43:00,8682229.0,-966381.0,-7715847.0,12553949.0,-3871720.0
2020-06-16 10:44:00,9203992.0,-1374458.0,-7829533.0,13075712.0,-3871720.0
2020-06-16 10:45:00,9365269.0,-1747778.0,-7617491.0,13236989.0,-3871720.0
2020-06-16 10:46:00,9695353.0,-1659636.0,-8035719.0,13567073.0,-3871720.0
2020-06-16 10:47:00,10259795.0,-2021090.0,-8238706.0,14131515.0,-3871720.0
2020-06-16 10:48:00,10861688.0,-2861334.0,-8000355.0,14733408.0,-3871720.0
2020-06-16 10:49:00,10721224.0,-2858607.0,-7862617.0,14592944.0,-3871720.0
2020-06-16 10:50:00,11213269.0,-3322342.0,-7890928.0,14850416.0,-3637147.0
2020-06-16 10:51:00,13671147.0,-4172042.0,-9499106.0,14200038.0,-528891.0
2020-06-16 10:52:00,13855517.0,-3953692.0,-9901826.0,14384408.0,-528891.0
2020-06-16 10:53:00,14584863.0,-4754400.0,-9830465.0,15113754.0,-528891.0
2020-06-16 10:54:00,14092557.0,-4465561.0,-9626999.0,14897472.0,-804915.0
2020-06-16 10:55:00,11580090.0,-3340724.0,-8239369.0,14550882.0,-2970792.0
2020-06-16 10:56:00,10892605.0,-2966428.0,-7926181.0,13985134.0,-3092529.0
2020-06-16 10:57:00,11075775.0,-2833639.0,-8242140.0,14168304.0,-3092529.0
2020-06-16 10:58:00,9364714.0,-1772940.0,-7591777.0,12459847.0,-3095133.0
2020-06-16 10:59:00,9532800.0,-1815885.0,-7716918.0,12756831.0,-3224031.0
2020-06-16 11:00:00,9932685.0,-1765448.0,-8167241.0,13156716.0,-3224031.0
2020-06-16 11:01:00,9007923.0,-1568070.0,-7439857.0,12250182.0,-3242259.0
2020-06-16 11:02:00,9512353.0,-1492557.0,-8019799.0,12757867.0,-3245514.0
2020-06-16 11:03:00,9511292.0,-1665350.0,-7845944.0,12789356.0,-3278064.0
2020-06-16 11:04:00,9848696.0,-1854876.0,-7993822.0,13128713.0,-3280017.0
2020-06-16 11:05:00,9992529.0,-1946414.0,-8046117.0,13279056.0,-3286527.0
2020-06-16 11:06:00,9738579.0,-1861604.0,-7876978.0,13025106.0,-3286527.0
2020-06-16 11:07:00,11387167.0,-2576741.0,-8810429.0,14673694.0,-3286527.0
2020-06-16 11:08:00,11070016.0,-2275687.0,-8794331.0,14356543.0,-3286527.0
2020-06-16 11:09:00,11009976.0,-2014764.0,-8995214.0,14296503.0,-3286527.0
2020-06-16 11:10:00,11299552.0,-2235246.0,-9064308.0,14586079.0,-3286527.0
2020-06-16 11:11:00,11530093.0,-2192450.0,-9337645.0,14834197.0,-3304104.0
2020-06-16 11:12:00,11592488.0,-2094642.0,-9497848.0,14896592.0,-3304104.0
2020-06-16 11:13:00,13306797.0,-2437065.0,-10869734.0,16610901.0,-3304104.0
2020-06-16 11:14:00,13327101.0,-2622211.0,-10704893.0,16631205.0,-3304104.0
2020-06-16 11:15:00,12209179.0,-2219871.0,-9989311.0,15513283.0,-3304104.0
2020-06-16 11:16:00,12152845.0,-1865499.0,-10287349.0,15456949.0,-3304104.0
2020-06-16 11:17:00,12506514.0,-2106678.0,-10399839.0,15810618.0,-3304104.0
2020-06-16 11:18:00,12418464.0,-2070965.0,-10347501.0,15722568.0,-3304104.0
2020-06-16 11:19:00,12989728.0,-2331215.0,-10658515.0,16293832.0,-3304104.0
2020-06-16 11:20:00,12630236.0,-2034051.0,-10596187.0,15934340.0,-3304104.0
