datetime,main,small,mid,big,super
2020-07-08 09:31:00,-1228477.0,1153669.0,74808.0,-1228477.0,0.0
2020-07-08 09:32:00,-1472343.0,1402904.0,69439.0,-1472343.0,0.0
2020-07-08 09:33:00,-1472343.0,1889988.0,-417645.0,-1472343.0,0.0
2020-07-08 09:34:00,-1472343.0,2294332.0,-821990.0,-1472343.0,0.0
2020-07-08 09:35:00,-1472343.0,2206047.0,-733705.0,-1472343.0,0.0
2020-07-08 09:36:00,-1462173.0,2530970.0,-1068799.0,-1462173.0,0.0
2020-07-08 09:37:00,-1851283.0,2558663.0,-707382.0,-1851283.0,0.0
2020-07-08 09:38:00,-1862245.0,2593850.0,-731608.0,-1862245.0,0.0
2020-07-08 09:39:00,-1862245.0,2688641.0,-826399.0,-1862245.0,0.0
2020-07-08 09:40:00,-1643703.0,2366289.0,-722589.0,-1643703.0,0.0
2020-07-08 09:41:00,-1655498.0,2611082.0,-955586.0,-1655498.0,0.0
2020-07-08 09:42:00,-1655498.0,2831350.0,-1175854.0,-1655498.0,0.0
2020-07-08 09:43:00,-822220.0,2368422.0,-1546204.0,-822220.0,0.0
2020-07-08 09:44:00,-1264637.0,2328030.0,-1063396.0,-1264637.0,0.0
2020-07-08 09:45:00,-1121672.0,2372714.0,-1251045.0,-1121672.0,0.0
2020-07-08 09:46:00,-1215033.0,2349462.0,-1134432.0,-1215033.0,0.0
2020-07-08 09:47:00,-1202528.0,2391222.0,-1188698.0,-1202528.0,0.0
2020-07-08 09:48:00,-1202528.0,2567389.0,-1364865.0,-1202528.0,0.0
2020-07-08 09:49:00,-1531154.0,2612089.0,-1080937.0,-1531154.0,0.0
2020-07-08 09:50:00,-1805812.0,3235654.0,-1429843.0,-1805812.0,0.0
2020-07-08 09:51:00,-1897250.0,3412185.0,-1514935.0,-1897250.0,0.0
2020-07-08 09:52:00,-2198099.0,3790308.0,-1592209.0,-2198099.0,0.0
2020-07-08 09:53:00,-2005379.0,4058215.0,-2052836.0,-2005379.0,0.0
2020-07-08 09:54:00,-2832653.0,4115353.0,-1282700.0,-2832653.0,0.0
2020-07-08 09:55:00,-2951967.0,4430977.0,-1479010.0,-2951967.0,0.0
2020-07-08 09:56:00,-2356235.0,4308714.0,-1952480.0,-2356235.0,0.0
2020-07-08 09:57:00,-3061241.0,4916615.0,-1855375.0,-3061241.0,0.0
2020-07-08 09:58:00,-3076537.0,5069713.0,-1993177.0,-3076537.0,0.0
2020-07-08 09:59:00,-4895324.0,6070865.0,-1175540.0,-4895324.0,0.0
2020-07-08 10:00:00,-5498356.0,6764529.0,-1266171.0,-5498356.0,0.0
2020-07-08 10:01:00,-5800248.0,7160092.0,-1359841.0,-5800248.0,0.0
2020-07-08 10:02:00,-5800248.0,7167077.0,-1366826.0,-5800248.0,0.0
2020-07-08 10:03:00,-5800248.0,6834098.0,-1033846.0,-5800248.0,0.0
2020-07-08 10:04:00,-5765747.0,6885427.0,-1119676.0,-5765747.0,0.0
2020-07-08 10:05:00,-5752475.0,6932428.0,-1179949.0,-5752475.0,0.0
2020-07-08 10:06:00,-5723945.0,6866714.0,-1142765.0,-5723945.0,0.0
2020-07-08 10:07:00,-5100498.0,6694829.0,-1594327.0,-5100498.0,0.0
2020-07-08 10:08:00,-5100498.0,6697061.0,-1596559.0,-5100498.0,0.0
2020-07-08 10:09:00,-4881341.0,6652162.0,-1770817.0,-4881341.0,0.0
2020-07-08 10:10:00,-4946365.0,6583150.0,-1636781.0,-4946365.0,0.0
2020-07-08 10:11:00,-4673936.0,6366687.0,-1692748.0,-4673936.0,0.0
2020-07-08 10:12:00,-4817606.0,6393337.0,-1575728.0,-4817606.0,0.0
2020-07-08 10:13:00,-5104190.0,6536111.0,-1431919.0,-5104190.0,0.0
2020-07-08 10:14:00,-5125134.0,6548256.0,-1423120.0,-5125134.0,0.0
2020-07-08 10:15:00,-4899699.0,6538318.0,-1638617.0,-4899699.0,0.0
2020-07-08 10:16:00,-4738736.0,6448582.0,-1709844.0,-4738736.0,0.0
2020-07-08 10:17:00,-4314989.0,6207282.0,-1892291.0,-4314989.0,0.0
2020-07-08 10:18:00,-4314989.0,6069618.0,-1754626.0,-4314989.0,0.0
2020-07-08 10:19:00,-4643187.0,6122771.0,-1479580.0,-4643187.0,0.0
2020-07-08 10:20:00,-5436120.0,6602903.0,-1166779.0,-5436120.0,0.0
2020-07-08 10:21:00,-5669324.0,6774437.0,-1105110.0,-5669324.0,0.0
2020-07-08 10:22:00,-5636004.0,6741116.0,-1105110.0,-5636004.0,0.0
2020-07-08 10:23:00,-5636004.0,6716679.0,-1080673.0,-5636004.0,0.0
2020-07-08 10:24:00,-5636004.0,6718944.0,-1082938.0,-5636004.0,0.0
2020-07-08 10:25:00,-5636004.0,6541557.0,-905551.0,-5636004.0,0.0
2020-07-08 10:26:00,-5571493.0,6558730.0,-987235.0,-5571493.0,0.0
2020-07-08 10:27:00,-6031918.0,6740432.0,-708512.0,-6031918.0,0.0
2020-07-08 10:28:00,-6031918.0,6659120.0,-627200.0,-6031918.0,0.0
2020-07-08 10:29:00,-6031918.0,6668250.0,-636330.0,-6031918.0,0.0
2020-07-08 10:30:00,-5886430.0,6696827.0,-810395.0,-5886430.0,0.0
2020-07-08 10:31:00,-5886430.0,6715127.0,-828695.0,-5886430.0,0.0
2020-07-08 10:32:00,-5886430.0,6715150.0,-828719.0,-5886430.0,0.0
2020-07-08 10:33:00,-5969695.0,6743481.0,-773785.0,-5969695.0,0.0
2020-07-08 10:34:00,-5999890.0,6845015.0,-845125.0,-5999890.0,0.0
2020-07-08 10:35:00,-6000805.0,6882470.0,-881666.0,-6000805.0,0.0
2020-07-08 10:36:00,-6000805.0,6901130.0,-900326.0,-6000805.0,0.0
