datetime,main,small,mid,big,super
2020-07-06 09:31:00,-19065232.0,-409696.0,19474928.0,12645297.0,-31710529.0
2020-07-06 09:32:00,-75905146.0,20299469.0,55605677.0,30147065.0,-106052211.0
2020-07-06 09:33:00,-111452596.0,31611274.0,79841322.0,14152675.0,-125605271.0
2020-07-06 09:34:00,-128187762.0,41902991.0,86284772.0,-3968031.0,-124219731.0
2020-07-06 09:35:00,-142997192.0,47714291.0,95282901.0,-16927481.0,-126069711.0
2020-07-06 09:36:00,-173008841.0,59778054.0,113230786.0,-22676518.0,-150332323.0
2020-07-06 09:37:00,-175844328.0,61573969.0,114270357.0,-37630023.0,-138214305.0
2020-07-06 09:38:00,-193679873.0,67535768.0,126144101.0,-41265339.0,-152414534.0
2020-07-06 09:39:00,-232910783.0,90076991.0,142833789.0,-48093090.0,-184817693.0
2020-07-06 09:40:00,-226263119.0,92500206.0,133762910.0,-64774215.0,-161488904.0
2020-07-06 09:41:00,-240554032.0,103751872.0,136802158.0,-75264936.0,-165289096.0
2020-07-06 09:42:00,-279536633.0,120666610.0,158870022.0,-89412040.0,-190124593.0
2020-07-06 09:43:00,-286553217.0,130050092.0,156503124.0,-102136466.0,-184416751.0
2020-07-06 09:44:00,-306439340.0,140091969.0,166347370.0,-110995025.0,-195444315.0
2020-07-06 09:45:00,-315010156.0,146866504.0,168143651.0,-105501836.0,-209508320.0
2020-07-06 09:46:00,-321866211.0,153469093.0,168397117.0,-122056551.0,-199809660.0
2020-07-06 09:47:00,-313343987.0,155905879.0,157438107.0,-121049082.0,-192294905.0
2020-07-06 09:48:00,-318717644.0,159186171.0,159531473.0,-117110180.0,-201607464.0
2020-07-06 09:49:00,-322984879.0,160906674.0,162078206.0,-113098432.0,-209886447.0
2020-07-06 09:50:00,-321049393.0,159404830.0,161644563.0,-117338523.0,-203710870.0
2020-07-06 09:51:00,-323373935.0,161901912.0,161472024.0,-105040292.0,-218333643.0
2020-07-06 09:52:00,-331757460.0,164125055.0,167632406.0,-91302225.0,-240455235.0
2020-07-06 09:53:00,-326091964.0,155279229.0,170812736.0,-92414297.0,-233677667.0
2020-07-06 09:54:00,-327822225.0,152997456.0,174824771.0,-90351048.0,-237471177.0
2020-07-06 09:55:00,-342858154.0,148994238.0,193863918.0,-91753984.0,-251104170.0
2020-07-06 09:56:00,-309970154.0,130406111.0,179564044.0,-84973464.0,-224996690.0
2020-07-06 09:57:00,-303475216.0,124086576.0,179388640.0,-86581214.0,-216894002.0
2020-07-06 09:58:00,-245924533.0,92464710.0,153459822.0,-79652245.0,-166272288.0
2020-07-06 09:59:00,-218685181.0,79334332.0,139350848.0,-76954067.0,-141731114.0
2020-07-06 10:00:00,-214109608.0,74861507.0,139248100.0,-72529425.0,-141580183.0
2020-07-06 10:01:00,-188432610.0,61375930.0,127056681.0,-60835226.0,-127597384.0
2020-07-06 10:02:00,-159476218.0,47362056.0,112114163.0,-53517254.0,-105958964.0
2020-07-06 10:03:00,-136334342.0,37670578.0,98663765.0,-48600906.0,-87733436.0
2020-07-06 10:04:00,-114837468.0,25136230.0,89701239.0,-38645644.0,-76191824.0
2020-07-06 10:05:00,-88587567.0,9376839.0,79210728.0,-39539208.0,-49048359.0
2020-07-06 10:06:00,-68436646.0,-5452335.0,73888981.0,-38409408.0,-30027238.0
2020-07-06 10:07:00,-37325868.0,-24293767.0,61619636.0,-37911288.0,585420.0
2020-07-06 10:08:00,-38194616.0,-32204107.0,70398725.0,-27292077.0,-10902539.0
2020-07-06 10:09:00,-23515356.0,-40900124.0,64415482.0,-20514016.0,-3001340.0
2020-07-06 10:10:00,-1271372.0,-54156957.0,55428330.0,-8539704.0,7268332.0
2020-07-06 10:11:00,-4322039.0,-55245695.0,59567736.0,-12121834.0,7799795.0
2020-07-06 10:12:00,858935.0,-58960278.0,58101346.0,-4585602.0,5444537.0
2020-07-06 10:13:00,10459651.0,-60582361.0,50122714.0,3045194.0,7414457.0
2020-07-06 10:14:00,18721399.0,-67187678.0,48466284.0,11081203.0,7640196.0
2020-07-06 10:15:00,34924493.0,-75481052.0,40556565.0,14948880.0,19975613.0
2020-07-06 10:16:00,80483141.0,-98636562.0,18153425.0,22182222.0,58300919.0
2020-07-06 10:17:00,112991615.0,-115706959.0,2715347.0,38098940.0,74892675.0
2020-07-06 10:18:00,128143410.0,-120697588.0,-7445819.0,42369527.0,85773883.0
2020-07-06 10:19:00,144827194.0,-125025839.0,-19801353.0,41695315.0,103131879.0
2020-07-06 10:20:00,178340115.0,-140626081.0,-37714032.0,49124442.0,129215673.0
2020-07-06 10:21:00,231694940.0,-163333168.0,-68361771.0,50136881.0,181558059.0
2020-07-06 10:22:00,249481670.0,-172402234.0,-77079436.0,33667695.0,215813975.0
2020-07-06 10:23:00,260012826.0,-180182628.0,-79830199.0,35109328.0,224903498.0
2020-07-06 10:24:00,270223671.0,-182688219.0,-87535453.0,42900543.0,227323128.0
2020-07-06 10:25:00,281718322.0,-187232642.0,-94485681.0,48294545.0,233423777.0
2020-07-06 10:26:00,274336332.0,-180973216.0,-93363118.0,48470126.0,225866206.0
2020-07-06 10:27:00,269998098.0,-176377953.0,-93620147.0,34096560.0,235901538.0
2020-07-06 10:28:00,259433245.0,-172403275.0,-87029972.0,25156310.0,234276935.0
2020-07-06 10:29:00,262341458.0,-171394559.0,-90946901.0,21070576.0,241270882.0
2020-07-06 10:30:00,257192569.0,-166840715.0,-90351856.0,10915880.0,246276689.0
2020-07-06 10:31:00,250417889.0,-163781385.0,-86636505.0,225846.0,250192043.0
2020-07-06 10:32:00,241517158.0,-156177196.0,-85339964.0,-3129698.0,244646856.0
2020-07-06 10:33:00,238589258.0,-152140257.0,-86449003.0,-2896119.0,241485377.0
2020-07-06 10:34:00,227064107.0,-145805444.0,-81258665.0,-6764443.0,233828550.0
2020-07-06 10:35:00,223877100.0,-145805375.0,-78071728.0,-1876957.0,225754057.0
