datetime,main,small,mid,big,super
2020-06-30 09:31:00,-740997.0,-112269.0,853266.0,110308.0,-851305.0
2020-06-30 09:32:00,-1532668.0,509763.0,1022907.0,1560693.0,-3093361.0
2020-06-30 09:33:00,-1449741.0,48454.0,1401288.0,640842.0,-2090583.0
2020-06-30 09:34:00,-2892808.0,923810.0,1969000.0,-713991.0,-2178817.0
2020-06-30 09:35:00,-5036870.0,1370124.0,3666747.0,-2858053.0,-2178817.0
2020-06-30 09:36:00,-6966329.0,1482314.0,5484016.0,-5880655.0,-1085674.0
2020-06-30 09:37:00,-7759742.0,1488426.0,6271317.0,-6674068.0,-1085674.0
2020-06-30 09:38:00,-5304876.0,935468.0,4369410.0,-5654225.0,349349.0
2020-06-30 09:39:00,-6263744.0,2776311.0,3487434.0,-5953084.0,-310660.0
2020-06-30 09:40:00,-4524205.0,1520576.0,3003630.0,-5829424.0,1305219.0
2020-06-30 09:41:00,-4667025.0,1916283.0,2750744.0,-5681940.0,1014915.0
2020-06-30 09:42:00,-2670881.0,558616.0,2112266.0,-6680936.0,4010055.0
2020-06-30 09:43:00,-4284001.0,806691.0,3477310.0,-6503426.0,2219425.0
2020-06-30 09:44:00,1824070.0,-1445576.0,-378495.0,-2600435.0,4424505.0
2020-06-30 09:45:00,4158886.0,-2444701.0,-1714188.0,-2639995.0,6798881.0
2020-06-30 09:46:00,6159022.0,-2785638.0,-3373386.0,-2160832.0,8319854.0
2020-06-30 09:47:00,7455999.0,-2807003.0,-4648999.0,-2391714.0,9847713.0
2020-06-30 09:48:00,4482602.0,-797714.0,-3684891.0,-2990017.0,7472619.0
2020-06-30 09:49:00,3722672.0,-846082.0,-2876592.0,-3749378.0,7472050.0
2020-06-30 09:50:00,2915631.0,91493.0,-3007128.0,-4556419.0,7472050.0
2020-06-30 09:51:00,1339345.0,2176931.0,-3516280.0,-5097718.0,6437063.0
2020-06-30 09:52:00,962664.0,2680744.0,-3643412.0,-5474399.0,6437063.0
2020-06-30 09:53:00,1647720.0,2110793.0,-3758516.0,-4456143.0,6103863.0
2020-06-30 09:54:00,795896.0,2343488.0,-3139388.0,-4984847.0,5780743.0
2020-06-30 09:55:00,-237477.0,3605063.0,-3367590.0,-5062567.0,4825090.0
2020-06-30 09:56:00,-788065.0,3473159.0,-2685097.0,-5613155.0,4825090.0
2020-06-30 09:57:00,-1550166.0,4096332.0,-2546169.0,-6375256.0,4825090.0
2020-06-30 09:58:00,-74098.0,3802326.0,-3728232.0,-4899188.0,4825090.0
2020-06-30 09:59:00,-3803237.0,6202832.0,-2399598.0,-5522606.0,1719369.0
2020-06-30 10:00:00,-3669222.0,6497595.0,-2828377.0,-5388591.0,1719369.0
2020-06-30 10:01:00,-3241133.0,6796108.0,-3554978.0,-4960502.0,1719369.0
2020-06-30 10:02:00,-3297224.0,7341971.0,-4044749.0,-5129035.0,1831811.0
2020-06-30 10:03:00,-3047888.0,7597471.0,-4549585.0,-5055259.0,2007371.0
2020-06-30 10:04:00,-3503450.0,8264318.0,-4760871.0,-5640401.0,2136951.0
2020-06-30 10:05:00,-3380575.0,8551007.0,-5170435.0,-5574792.0,2194217.0
2020-06-30 10:06:00,-2541265.0,8768851.0,-6227589.0,-4882076.0,2340811.0
2020-06-30 10:07:00,-2366539.0,8431546.0,-6065011.0,-4718636.0,2352097.0
2020-06-30 10:08:00,-3061248.0,8961593.0,-5900349.0,-5469775.0,2408527.0
2020-06-30 10:09:00,-3764498.0,9491683.0,-5727189.0,-5075728.0,1311230.0
2020-06-30 10:10:00,-4725462.0,10342406.0,-5616949.0,-6063884.0,1338422.0
