datetime,main,small,mid,big,super
2020-06-12 09:31:00,-38652153.0,36697925.0,1954227.0,-5776267.0,-32875886.0
2020-06-12 09:32:00,-52888058.0,51925854.0,962201.0,-19376644.0,-33511414.0
2020-06-12 09:33:00,-56668798.0,59445159.0,-2776365.0,-22019060.0,-34649738.0
2020-06-12 09:34:00,-75431660.0,69574366.0,5857290.0,-32317616.0,-43114044.0
2020-06-12 09:35:00,-112405363.0,94680900.0,17724459.0,-46053125.0,-66352238.0
2020-06-12 09:36:00,-157401747.0,128047666.0,29354077.0,-67052990.0,-90348757.0
2020-06-12 09:37:00,-188925113.0,154402090.0,34523019.0,-83153382.0,-105771731.0
2020-06-12 09:38:00,-211086700.0,171220860.0,39865837.0,-93000795.0,-118085905.0
2020-06-12 09:39:00,-220325858.0,182935209.0,37390646.0,-114518006.0,-105807852.0
2020-06-12 09:40:00,-203636613.0,183901326.0,19735285.0,-156228068.0,-47408545.0
2020-06-12 09:41:00,-210376606.0,190625137.0,19751467.0,-168064199.0,-42312407.0
2020-06-12 09:42:00,-214493569.0,201471867.0,13021698.0,-175207065.0,-39286504.0
2020-06-12 09:43:00,-219914971.0,207640897.0,12274071.0,-182334903.0,-37580068.0
2020-06-12 09:44:00,-227061358.0,216178687.0,10882669.0,-186425522.0,-40635836.0
2020-06-12 09:45:00,-240111335.0,225275278.0,14836056.0,-192540396.0,-47570939.0
2020-06-12 09:46:00,-254199491.0,238432721.0,15766769.0,-198317777.0,-55881714.0
2020-06-12 09:47:00,-264934186.0,248978599.0,15955585.0,-203197568.0,-61736618.0
2020-06-12 09:48:00,-276524676.0,259155975.0,17368699.0,-204437097.0,-72087579.0
2020-06-12 09:49:00,-275086656.0,260545382.0,14541271.0,-208552779.0,-66533877.0
2020-06-12 09:50:00,-281487292.0,265706287.0,15781000.0,-218309905.0,-63177387.0
2020-06-12 09:51:00,-284483665.0,271918400.0,12565260.0,-225495771.0,-58987894.0
2020-06-12 09:52:00,-289606910.0,276366039.0,13240866.0,-229139030.0,-60467880.0
2020-06-12 09:53:00,-290930307.0,278431654.0,12498648.0,-237040271.0,-53890036.0
2020-06-12 09:54:00,-296116418.0,278973255.0,17143158.0,-239200306.0,-56916112.0
2020-06-12 09:55:00,-294684447.0,280675914.0,14008527.0,-241627512.0,-53056935.0
2020-06-12 09:56:00,-292979003.0,282539114.0,10439884.0,-244237194.0,-48741809.0
2020-06-12 09:57:00,-258624681.0,270536890.0,-11912214.0,-247163285.0,-11461396.0
2020-06-12 09:58:00,-249619409.0,269986601.0,-20367197.0,-246278355.0,-3341054.0
2020-06-12 09:59:00,-243063390.0,267174026.0,-24110641.0,-248440106.0,5376716.0
2020-06-12 10:00:00,-247014332.0,270646162.0,-23631835.0,-251696617.0,4682285.0
2020-06-12 10:01:00,-252530823.0,272270494.0,-19739677.0,-256641054.0,4110231.0
2020-06-12 10:02:00,-256055152.0,277126965.0,-21071818.0,-260680763.0,4625611.0
2020-06-12 10:03:00,-253617530.0,278251386.0,-24633862.0,-264242723.0,10625193.0
2020-06-12 10:04:00,-256548686.0,280720997.0,-24172318.0,-261930459.0,5381773.0
2020-06-12 10:05:00,-251839411.0,280432593.0,-28593188.0,-261248946.0,9409535.0
2020-06-12 10:06:00,-253552997.0,282760679.0,-29207688.0,-259104889.0,5551892.0
2020-06-12 10:07:00,-251681164.0,283449756.0,-31768599.0,-255260262.0,3579098.0
2020-06-12 10:08:00,-251113304.0,284287874.0,-33174577.0,-250857352.0,-255952.0
2020-06-12 10:09:00,-252048305.0,285422131.0,-33373831.0,-246663996.0,-5384309.0
2020-06-12 10:10:00,-253677733.0,288267425.0,-34589697.0,-246903372.0,-6774361.0
2020-06-12 10:11:00,-255408608.0,290086500.0,-34677897.0,-245855028.0,-9553580.0
2020-06-12 10:12:00,-260890790.0,290592500.0,-29701715.0,-249642937.0,-11247853.0
2020-06-12 10:13:00,-268595957.0,295010209.0,-26414257.0,-251254174.0,-17341783.0
2020-06-12 10:14:00,-271965027.0,298918661.0,-26953639.0,-256121688.0,-15843339.0
2020-06-12 10:15:00,-273290689.0,300759369.0,-27468684.0,-257423525.0,-15867164.0
2020-06-12 10:16:00,-276395469.0,303082429.0,-26686964.0,-263021438.0,-13374031.0
2020-06-12 10:17:00,-275481330.0,303632744.0,-28151418.0,-262831016.0,-12650314.0
2020-06-12 10:18:00,-276884761.0,304920547.0,-28035790.0,-265819146.0,-11065615.0
2020-06-12 10:19:00,-276839381.0,306836897.0,-29997520.0,-267014257.0,-9825124.0
2020-06-12 10:20:00,-277521042.0,308705532.0,-31184494.0,-267824539.0,-9696503.0
2020-06-12 10:21:00,-282797718.0,310813090.0,-28015376.0,-274158763.0,-8638955.0
2020-06-12 10:22:00,-286386241.0,314078452.0,-27692216.0,-277075690.0,-9310551.0
2020-06-12 10:23:00,-285246956.0,314600344.0,-29353393.0,-271534718.0,-13712238.0
2020-06-12 10:24:00,-285967365.0,317364293.0,-31396932.0,-270700407.0,-15266958.0
2020-06-12 10:25:00,-286516378.0,319381390.0,-32865016.0,-271727441.0,-14788937.0
2020-06-12 10:26:00,-294236346.0,325570050.0,-31333707.0,-277358447.0,-16877899.0
2020-06-12 10:27:00,-300802381.0,330590045.0,-29787667.0,-281832829.0,-18969552.0
2020-06-12 10:28:00,-309878087.0,336625764.0,-26747680.0,-285678407.0,-24199680.0
2020-06-12 10:29:00,-312200434.0,339437815.0,-27237385.0,-288306048.0,-23894386.0
2020-06-12 10:30:00,-313707825.0,340355441.0,-26647619.0,-288091430.0,-25616395.0
2020-06-12 10:31:00,-318434036.0,344930054.0,-26496022.0,-289737508.0,-28696528.0
2020-06-12 10:32:00,-334921569.0,354091325.0,-19169759.0,-293447429.0,-41474140.0
2020-06-12 10:33:00,-334868986.0,353880848.0,-19011866.0,-292504026.0,-42364960.0
2020-06-12 10:34:00,-331907426.0,353450606.0,-21543183.0,-289181698.0,-42725728.0
2020-06-12 10:35:00,-326437491.0,351642431.0,-25204944.0,-287901404.0,-38536087.0
2020-06-12 10:36:00,-319966924.0,349285490.0,-29318570.0,-279086309.0,-40880615.0
2020-06-12 10:37:00,-303157229.0,344484559.0,-41327334.0,-283261784.0,-19895445.0
2020-06-12 10:38:00,-270357636.0,328555061.0,-58197429.0,-283930311.0,13572675.0
2020-06-12 10:39:00,-266934301.0,327689297.0,-60755000.0,-286050804.0,19116503.0
2020-06-12 10:40:00,-257751673.0,325361421.0,-67609753.0,-283266665.0,25514992.0
2020-06-12 10:41:00,-259496175.0,325571586.0,-66075416.0,-286989138.0,27492963.0
2020-06-12 10:42:00,-261079125.0,326700819.0,-65621699.0,-290809896.0,29730771.0
2020-06-12 10:43:00,-260619546.0,327269760.0,-66650220.0,-292661179.0,32041633.0
2020-06-12 10:44:00,-260170951.0,328824679.0,-68653733.0,-289858255.0,29687304.0
2020-06-12 10:45:00,-256040989.0,326065597.0,-70024612.0,-280632468.0,24591479.0
2020-06-12 10:46:00,-256176533.0,327658787.0,-71482259.0,-281999857.0,25823324.0
2020-06-12 10:47:00,-257027158.0,329924131.0,-72896978.0,-282391485.0,25364327.0
2020-06-12 10:48:00,-255044131.0,328419051.0,-73374926.0,-279970594.0,24926463.0
2020-06-12 10:49:00,-251997836.0,328930843.0,-76933012.0,-276186973.0,24189137.0
2020-06-12 10:50:00,-254387685.0,329996235.0,-75608556.0,-277383823.0,22996138.0
2020-06-12 10:51:00,-253770710.0,329462111.0,-75691408.0,-277345888.0,23575178.0
2020-06-12 10:52:00,-254793859.0,330530834.0,-75736982.0,-280956246.0,26162387.0
2020-06-12 10:53:00,-252483674.0,331055097.0,-78571429.0,-282617276.0,30133602.0
2020-06-12 10:54:00,-256942567.0,333003408.0,-76060847.0,-280359536.0,23416969.0
2020-06-12 10:55:00,-257392689.0,334104204.0,-76711521.0,-282381480.0,24988791.0
2020-06-12 10:56:00,-256852738.0,334887859.0,-78035128.0,-284635022.0,27782284.0
2020-06-12 10:57:00,-254413854.0,334767878.0,-80354032.0,-282414900.0,28001046.0
2020-06-12 10:58:00,-250880589.0,332926153.0,-82045573.0,-282396770.0,31516181.0
2020-06-12 10:59:00,-251032629.0,332859292.0,-81826673.0,-282600127.0,31567498.0
2020-06-12 11:00:00,-250956466.0,332611273.0,-81654817.0,-282449901.0,31493435.0
2020-06-12 11:01:00,-250230293.0,333136886.0,-82906602.0,-282683106.0,32452813.0
2020-06-12 11:02:00,-241751749.0,328633584.0,-86881843.0,-276592808.0,34841059.0
2020-06-12 11:03:00,-244500900.0,329856091.0,-85355198.0,-279707527.0,35206627.0
2020-06-12 11:04:00,-239191937.0,327013991.0,-87822062.0,-276676901.0,37484964.0
2020-06-12 11:05:00,-237778930.0,327331593.0,-89552671.0,-273306878.0,35527948.0
2020-06-12 11:06:00,-227813388.0,323747719.0,-95934339.0,-267473768.0,39660380.0
2020-06-12 11:07:00,-217914636.0,319214506.0,-101299879.0,-266994025.0,49079389.0
2020-06-12 11:08:00,-215921487.0,319801553.0,-103880076.0,-267519763.0,51598276.0
2020-06-12 11:09:00,-216579126.0,320219790.0,-103640674.0,-265702479.0,49123353.0
2020-06-12 11:10:00,-216432682.0,320670068.0,-104237396.0,-265325345.0,48892663.0
2020-06-12 11:11:00,-216025420.0,321410607.0,-105385196.0,-265484903.0,49459483.0
2020-06-12 11:12:00,-207501434.0,317164255.0,-109662830.0,-272068602.0,64567168.0
2020-06-12 11:13:00,-206180418.0,314980298.0,-108799888.0,-264902905.0,58722487.0
2020-06-12 11:14:00,-209630746.0,316333054.0,-106702318.0,-269017554.0,59386808.0
2020-06-12 11:15:00,-206152636.0,314381907.0,-108229282.0,-265511553.0,59358917.0
2020-06-12 11:16:00,-199505183.0,310930758.0,-111425585.0,-263992442.0,64487259.0
2020-06-12 11:17:00,-197777486.0,309809300.0,-112031825.0,-264994564.0,67217078.0
2020-06-12 11:18:00,-197859479.0,310066602.0,-112207134.0,-257950319.0,60090840.0
2020-06-12 11:19:00,-202801130.0,310069962.0,-107268843.0,-255849816.0,53048686.0
2020-06-12 11:20:00,-204607045.0,311091871.0,-106484837.0,-259149229.0,54542184.0
2020-06-12 11:21:00,-205927115.0,312298697.0,-106371592.0,-259226082.0,53298967.0
2020-06-12 11:22:00,-205457457.0,314031851.0,-108574405.0,-259311038.0,53853581.0
2020-06-12 11:23:00,-203187742.0,312705571.0,-109517841.0,-260227950.0,57040208.0
2020-06-12 11:24:00,-203325060.0,313224383.0,-109899335.0,-258991303.0,55666243.0
2020-06-12 11:25:00,-205547541.0,313948902.0,-108401371.0,-259912065.0,54364524.0
2020-06-12 11:26:00,-206981086.0,315687932.0,-108706855.0,-260256939.0,53275853.0
2020-06-12 11:27:00,-207412236.0,315229801.0,-107817575.0,-261659549.0,54247313.0
2020-06-12 11:28:00,-211220680.0,318154833.0,-106934163.0,-262505746.0,51285066.0
2020-06-12 11:29:00,-213891931.0,319310980.0,-105419059.0,-261637570.0,47745639.0
2020-06-12 11:30:00,-208893790.0,315481377.0,-106587598.0,-261009292.0,52115502.0
2020-06-12 13:01:00,-214464374.0,319914115.0,-105449751.0,-256928420.0,42464046.0
2020-06-12 13:02:00,-216650608.0,321324851.0,-104674252.0,-258999076.0,42348468.0
2020-06-12 13:03:00,-217411998.0,324086775.0,-106674786.0,-258676526.0,41264528.0
2020-06-12 13:04:00,-215741355.0,325407861.0,-109666515.0,-260296153.0,44554798.0
2020-06-12 13:05:00,-215225301.0,325736016.0,-110510723.0,-261425098.0,46199797.0
2020-06-12 13:06:00,-217586261.0,328389456.0,-110803202.0,-263599627.0,46013366.0
2020-06-12 13:07:00,-219600099.0,328976595.0,-109376503.0,-265708061.0,46107962.0
2020-06-12 13:08:00,-224957688.0,332243473.0,-107285793.0,-266255446.0,41297758.0
2020-06-12 13:09:00,-224938025.0,331972966.0,-107034950.0,-266754513.0,41816488.0
2020-06-12 13:10:00,-227904816.0,334132775.0,-106227969.0,-268298549.0,40393733.0
2020-06-12 13:11:00,-232895193.0,335236319.0,-102341136.0,-268990680.0,36095487.0
2020-06-12 13:12:00,-236579056.0,337042152.0,-100463106.0,-272838239.0,36259183.0
2020-06-12 13:13:00,-242143592.0,340096349.0,-97952767.0,-274120020.0,31976428.0
2020-06-12 13:14:00,-241517957.0,339890037.0,-98372090.0,-274756666.0,33238709.0
2020-06-12 13:15:00,-244227031.0,341845097.0,-97618075.0,-273942101.0,29715070.0
2020-06-12 13:16:00,-244697162.0,343457795.0,-98760642.0,-276321222.0,31624060.0
2020-06-12 13:17:00,-247449008.0,345084498.0,-97635501.0,-281539115.0,34090107.0
2020-06-12 13:18:00,-245375026.0,343311799.0,-97936784.0,-287315904.0,41940878.0
2020-06-12 13:19:00,-240218785.0,340573418.0,-100354645.0,-288749889.0,48531104.0
2020-06-12 13:20:00,-236253553.0,339743640.0,-103490100.0,-284824009.0,48570456.0
2020-06-12 13:21:00,-236277757.0,338010881.0,-101733137.0,-285390532.0,49112775.0
2020-06-12 13:22:00,-230979366.0,336896596.0,-105917243.0,-281153374.0,50174008.0
2020-06-12 13:23:00,-233061611.0,338664187.0,-105602589.0,-284694871.0,51633260.0
2020-06-12 13:24:00,-226647755.0,334177581.0,-107529839.0,-285415555.0,58767800.0
2020-06-12 13:25:00,-203552596.0,326165899.0,-122613315.0,-288134170.0,84581574.0
2020-06-12 13:26:00,-193236137.0,319473957.0,-126237830.0,-286754367.0,93518230.0
2020-06-12 13:27:00,-189460574.0,318942005.0,-129481441.0,-285514074.0,96053500.0
2020-06-12 13:28:00,-189422879.0,319126134.0,-129703265.0,-286951665.0,97528786.0
2020-06-12 13:29:00,-188482584.0,318181371.0,-129698797.0,-288457384.0,99974800.0
2020-06-12 13:30:00,-187057910.0,317244889.0,-130186990.0,-289126934.0,102069024.0
2020-06-12 13:31:00,-184675684.0,316901541.0,-132225868.0,-287989389.0,103313705.0
2020-06-12 13:32:00,-181417265.0,315363505.0,-133946251.0,-286640745.0,105223480.0
2020-06-12 13:33:00,-183613795.0,316167869.0,-132554085.0,-285698957.0,102085162.0
2020-06-12 13:34:00,-184169110.0,315485649.0,-131316550.0,-290410032.0,106240922.0
2020-06-12 13:35:00,-184940540.0,315420293.0,-130479764.0,-290323264.0,105382724.0
2020-06-12 13:36:00,-182058111.0,313459386.0,-131401286.0,-291924252.0,109866141.0
2020-06-12 13:37:00,-185445775.0,315190554.0,-129744791.0,-293120301.0,107674526.0
2020-06-12 13:38:00,-187718159.0,316619865.0,-128901718.0,-294589421.0,106871262.0
2020-06-12 13:39:00,-188016824.0,317782136.0,-129765324.0,-294577863.0,106561039.0
2020-06-12 13:40:00,-187442650.0,317487446.0,-130044809.0,-295628049.0,108185399.0
2020-06-12 13:41:00,-194240549.0,321293976.0,-127053441.0,-297978993.0,103738444.0
2020-06-12 13:42:00,-195221812.0,322597159.0,-127375361.0,-300014228.0,104792416.0
2020-06-12 13:43:00,-194826014.0,321653298.0,-126827298.0,-300445582.0,105619568.0
2020-06-12 13:44:00,-186381753.0,317879090.0,-131497352.0,-297398053.0,111016300.0
2020-06-12 13:45:00,-190943021.0,321761958.0,-130818952.0,-302231655.0,111288634.0
2020-06-12 13:46:00,-193645475.0,322410528.0,-128765068.0,-304519156.0,110873681.0
2020-06-12 13:47:00,-192442806.0,320938745.0,-128495953.0,-303070396.0,110627590.0
2020-06-12 13:48:00,-194817036.0,320676726.0,-125859703.0,-305797757.0,110980721.0
2020-06-12 13:49:00,-186972859.0,316711538.0,-129738692.0,-304233791.0,117260932.0
2020-06-12 13:50:00,-182145885.0,314647421.0,-132501549.0,-299158803.0,117012918.0
2020-06-12 13:51:00,-179967749.0,313412905.0,-133445170.0,-299309391.0,119341642.0
2020-06-12 13:52:00,-175130065.0,311801280.0,-136671228.0,-297784474.0,122654409.0
2020-06-12 13:53:00,-176408103.0,312304502.0,-135896412.0,-298526631.0,122118528.0
2020-06-12 13:54:00,-168367302.0,308984580.0,-140617291.0,-292466054.0,124098752.0
2020-06-12 13:55:00,-154438719.0,302271247.0,-147832542.0,-292469782.0,138031063.0
