datetime,main,small,mid,big,super
2020-06-30 09:31:00,1363082.0,4220698.0,-5583781.0,-212523.0,1575605.0
2020-06-30 09:32:00,2668531.0,5527653.0,-8196185.0,-1337942.0,4006473.0
2020-06-30 09:33:00,-3166074.0,10071781.0,-6905707.0,-7973069.0,4806995.0
2020-06-30 09:34:00,-7326896.0,14715832.0,-7388936.0,-13413240.0,6086344.0
2020-06-30 09:35:00,-9421324.0,16981522.0,-7560197.0,-16755119.0,7333795.0
2020-06-30 09:36:00,-11932996.0,19176469.0,-7243472.0,-19549071.0,7616075.0
2020-06-30 09:37:00,-14088246.0,20692100.0,-6603853.0,-21424527.0,7336281.0
2020-06-30 09:38:00,-16707588.0,22396964.0,-5689375.0,-22594781.0,5887193.0
2020-06-30 09:39:00,-22258530.0,24584723.0,-2326191.0,-25347742.0,3089212.0
2020-06-30 09:40:00,-23183955.0,25214558.0,-2030602.0,-26132521.0,2948566.0
2020-06-30 09:41:00,-24756196.0,25727163.0,-970964.0,-26580380.0,1824184.0
2020-06-30 09:42:00,-27357149.0,26794014.0,563138.0,-29181333.0,1824184.0
2020-06-30 09:43:00,-29085744.0,27764303.0,1321444.0,-30909928.0,1824184.0
2020-06-30 09:44:00,-30776213.0,28252122.0,2524093.0,-32024157.0,1247944.0
2020-06-30 09:45:00,-32211837.0,30928183.0,1283655.0,-33427366.0,1215529.0
2020-06-30 09:46:00,-34709680.0,32682701.0,2026981.0,-32428841.0,-2280839.0
2020-06-30 09:47:00,-35897414.0,34832385.0,1065030.0,-33930520.0,-1966894.0
2020-06-30 09:48:00,-35858254.0,35621895.0,236360.0,-33452862.0,-2405392.0
2020-06-30 09:49:00,-37335461.0,37533211.0,-197749.0,-35016205.0,-2319256.0
2020-06-30 09:50:00,-38768803.0,38368512.0,400291.0,-36497271.0,-2271532.0
2020-06-30 09:51:00,-38240059.0,39759719.0,-1519661.0,-35988897.0,-2251162.0
2020-06-30 09:52:00,-37507552.0,40614272.0,-3106721.0,-36296201.0,-1211351.0
2020-06-30 09:53:00,-41631458.0,42536257.0,-904801.0,-40476271.0,-1155187.0
2020-06-30 09:54:00,-41475424.0,44156107.0,-2680685.0,-40320237.0,-1155187.0
2020-06-30 09:55:00,-44072143.0,46394216.0,-2322074.0,-42916956.0,-1155187.0
2020-06-30 09:56:00,-45357542.0,49128055.0,-3770514.0,-42941047.0,-2416495.0
2020-06-30 09:57:00,-45865483.0,50741719.0,-4876238.0,-43379836.0,-2485647.0
2020-06-30 09:58:00,-47921527.0,52133994.0,-4212469.0,-44304896.0,-3616631.0
2020-06-30 09:59:00,-49721941.0,54231303.0,-4509363.0,-44944232.0,-4777709.0
2020-06-30 10:00:00,-49310689.0,54214303.0,-4903614.0,-44193014.0,-5117675.0
2020-06-30 10:01:00,-48576440.0,53165945.0,-4589505.0,-43458765.0,-5117675.0
2020-06-30 10:02:00,-48722794.0,53228232.0,-4505438.0,-43605119.0,-5117675.0
2020-06-30 10:03:00,-48377258.0,53779029.0,-5401771.0,-43259583.0,-5117675.0
2020-06-30 10:04:00,-48746417.0,54422253.0,-5675836.0,-44386666.0,-4359751.0
2020-06-30 10:05:00,-47264299.0,55138887.0,-7874588.0,-42912428.0,-4351871.0
2020-06-30 10:06:00,-48023267.0,55200280.0,-7177012.0,-43679276.0,-4343991.0
2020-06-30 10:07:00,-47697992.0,55154815.0,-7456824.0,-45622774.0,-2075218.0
2020-06-30 10:08:00,-47503532.0,55447060.0,-7943529.0,-45385470.0,-2118062.0
2020-06-30 10:09:00,-47443963.0,56155941.0,-8711980.0,-45450418.0,-1993545.0
2020-06-30 10:10:00,-46712957.0,57454956.0,-10742002.0,-44944414.0,-1768543.0
2020-06-30 10:11:00,-44405445.0,56847250.0,-12441808.0,-43147946.0,-1257499.0
2020-06-30 10:12:00,-43135274.0,56510509.0,-13375240.0,-40890076.0,-2245198.0
