datetime,main,small,mid,big,super
2020-06-30 09:31:00,-3544923.0,-98007.0,3642930.0,-2541743.0,-1003180.0
2020-06-30 09:32:00,-5599561.0,1264023.0,4335539.0,-3511210.0,-2088351.0
2020-06-30 09:33:00,-4412059.0,864664.0,3547397.0,-2323708.0,-2088351.0
2020-06-30 09:34:00,-4717408.0,2015673.0,2701736.0,-2629057.0,-2088351.0
2020-06-30 09:35:00,-6562212.0,2202091.0,4360123.0,-5487937.0,-1074275.0
2020-06-30 09:36:00,-7548075.0,2176533.0,5371544.0,-6367650.0,-1180425.0
2020-06-30 09:37:00,-6950677.0,1413157.0,5537522.0,-5752864.0,-1197813.0
2020-06-30 09:38:00,-8358650.0,1140184.0,7218468.0,-8411420.0,52770.0
2020-06-30 09:39:00,-6010811.0,984070.0,5026743.0,-6500223.0,489412.0
2020-06-30 09:40:00,-4201973.0,-232300.0,4434275.0,-3107535.0,-1094438.0
2020-06-30 09:41:00,-2995855.0,-1030871.0,4026727.0,-3688424.0,692569.0
2020-06-30 09:42:00,-1489047.0,-1783663.0,3272711.0,-3325102.0,1836055.0
2020-06-30 09:43:00,5201690.0,-3266788.0,-1934901.0,-5060744.0,10262434.0
2020-06-30 09:44:00,10410475.0,-3681319.0,-6729155.0,-4803040.0,15213515.0
2020-06-30 09:45:00,7296103.0,-2630755.0,-4665348.0,-7859412.0,15155515.0
2020-06-30 09:46:00,7104122.0,-2127014.0,-4977108.0,-8008727.0,15112849.0
2020-06-30 09:47:00,7673780.0,-2029840.0,-5643940.0,-7501749.0,15175529.0
2020-06-30 09:48:00,4439349.0,-569997.0,-3869352.0,-7562177.0,12001526.0
2020-06-30 09:49:00,3259317.0,-268279.0,-2991039.0,-9065049.0,12324366.0
2020-06-30 09:50:00,2167612.0,1226918.0,-3394531.0,-7047938.0,9215550.0
2020-06-30 09:51:00,-2360930.0,3562612.0,-1201683.0,-11110310.0,8749380.0
2020-06-30 09:52:00,-2329409.0,4207131.0,-1877723.0,-11154693.0,8825284.0
2020-06-30 09:53:00,-1219240.0,2883218.0,-1663980.0,-12524918.0,11305678.0
2020-06-30 09:54:00,-3969413.0,3526530.0,442882.0,-15514131.0,11544718.0
2020-06-30 09:55:00,-4217936.0,3576568.0,641367.0,-16115254.0,11897318.0
2020-06-30 09:56:00,-5224115.0,3975854.0,1248260.0,-16303666.0,11079551.0
2020-06-30 09:57:00,-4965772.0,5086098.0,-120327.0,-15675623.0,10709851.0
2020-06-30 09:58:00,-2079761.0,4034982.0,-1955223.0,-16211273.0,14131512.0
2020-06-30 09:59:00,2400489.0,2290033.0,-4690523.0,-15401491.0,17801980.0
2020-06-30 10:00:00,550976.0,2438496.0,-2989474.0,-17251004.0,17801980.0
2020-06-30 10:01:00,-2331928.0,3469549.0,-1137623.0,-20133908.0,17801980.0
2020-06-30 10:02:00,-4082381.0,5633050.0,-1550671.0,-21868025.0,17785644.0
2020-06-30 10:03:00,-4411767.0,6180055.0,-1768291.0,-22114995.0,17703228.0
2020-06-30 10:04:00,-4529939.0,6522526.0,-1992590.0,-21437522.0,16907583.0
2020-06-30 10:05:00,-5722702.0,5178210.0,544488.0,-23189780.0,17467078.0
2020-06-30 10:06:00,-5260768.0,4438992.0,821770.0,-23885146.0,18624378.0
2020-06-30 10:07:00,-1714985.0,2349740.0,-634762.0,-20339363.0,18624378.0
2020-06-30 10:08:00,545180.0,354974.0,-900162.0,-20731281.0,21276461.0
2020-06-30 10:09:00,4708652.0,-1698243.0,-3010418.0,-19581851.0,24290503.0
2020-06-30 10:10:00,4030207.0,-1615887.0,-2414330.0,-20029300.0,24059507.0
2020-06-30 10:11:00,11446781.0,-4348190.0,-7098601.0,-17310379.0,28757160.0
2020-06-30 10:12:00,15705280.0,-7365042.0,-8340249.0,-16069178.0,31774458.0
2020-06-30 10:13:00,16083318.0,-7726231.0,-8357098.0,-15691140.0,31774458.0
2020-06-30 10:14:00,17224965.0,-9368492.0,-7856484.0,-15136483.0,32361448.0
2020-06-30 10:15:00,16992024.0,-10225205.0,-6766830.0,-17609444.0,34601468.0
2020-06-30 10:16:00,18373173.0,-11275999.0,-7097185.0,-17592605.0,35965778.0
2020-06-30 10:17:00,20412582.0,-12506510.0,-7906082.0,-16698776.0,37111358.0
2020-06-30 10:18:00,20688903.0,-12682445.0,-8006468.0,-17019086.0,37707989.0
2020-06-30 10:19:00,22167412.0,-12206938.0,-9960483.0,-15570817.0,37738229.0
2020-06-30 10:20:00,21234225.0,-11035734.0,-10198500.0,-17527327.0,38761552.0
2020-06-30 10:21:00,21639588.0,-11489506.0,-10150090.0,-16118418.0,37758006.0
2020-06-30 10:22:00,23148928.0,-11985859.0,-11163078.0,-15935418.0,39084346.0
2020-06-30 10:23:00,23219882.0,-12337044.0,-10882847.0,-15864464.0,39084346.0
2020-06-30 10:24:00,22975837.0,-12884273.0,-10091574.0,-16108509.0,39084346.0
2020-06-30 10:25:00,23799672.0,-12966731.0,-10832951.0,-15284674.0,39084346.0
2020-06-30 10:26:00,26104894.0,-13311516.0,-12793389.0,-13232762.0,39337656.0
2020-06-30 10:27:00,28250263.0,-14543141.0,-13707134.0,-11264201.0,39514464.0
2020-06-30 10:28:00,27953892.0,-13926272.0,-14027634.0,-11698502.0,39652394.0
2020-06-30 10:29:00,24596748.0,-12283173.0,-12313590.0,-15055646.0,39652394.0
2020-06-30 10:30:00,23370994.0,-12017706.0,-11353302.0,-16281400.0,39652394.0
2020-06-30 10:31:00,23371178.0,-12271086.0,-11100105.0,-16281216.0,39652394.0
2020-06-30 10:32:00,24727774.0,-12853827.0,-11873960.0,-16043370.0,40771144.0
2020-06-30 10:33:00,24052552.0,-12957412.0,-11095153.0,-17695346.0,41747898.0
2020-06-30 10:34:00,22099815.0,-11794174.0,-10305654.0,-19705233.0,41805048.0
2020-06-30 10:35:00,21947373.0,-11250155.0,-10697231.0,-19857675.0,41805048.0
2020-06-30 10:36:00,21823142.0,-11456941.0,-10366214.0,-19925236.0,41748378.0
2020-06-30 10:37:00,21739320.0,-11859085.0,-9880249.0,-19941054.0,41680374.0
2020-06-30 10:38:00,22079680.0,-11426031.0,-10653664.0,-19600694.0,41680374.0
2020-06-30 10:39:00,21407609.0,-10437157.0,-10970468.0,-20934725.0,42342334.0
2020-06-30 10:40:00,21793476.0,-11522088.0,-10271404.0,-20351545.0,42145021.0
2020-06-30 10:41:00,21491954.0,-11855428.0,-9636542.0,-20653067.0,42145021.0
2020-06-30 10:42:00,23573457.0,-11908729.0,-11664744.0,-19704724.0,43278181.0
2020-06-30 10:43:00,21137536.0,-10216234.0,-10921318.0,-22140645.0,43278181.0
2020-06-30 10:44:00,20194730.0,-8651349.0,-11543396.0,-23083451.0,43278181.0
2020-06-30 10:45:00,18092475.0,-7484538.0,-10607951.0,-25185706.0,43278181.0
2020-06-30 10:46:00,17187943.0,-5832161.0,-11355796.0,-25073526.0,42261469.0
2020-06-30 10:47:00,15462178.0,-4507162.0,-10955030.0,-26780391.0,42242569.0
2020-06-30 10:48:00,13488615.0,-2129210.0,-11359419.0,-28753954.0,42242569.0
2020-06-30 10:49:00,11917970.0,-1081994.0,-10835991.0,-30385799.0,42303769.0
2020-06-30 10:50:00,10428860.0,-485979.0,-9942897.0,-30814977.0,41243837.0
2020-06-30 10:51:00,8386410.0,805057.0,-9191482.0,-32980923.0,41367333.0
2020-06-30 10:52:00,5540687.0,2283074.0,-7823776.0,-34341145.0,39881832.0
2020-06-30 10:53:00,4380878.0,3401298.0,-7782191.0,-35342833.0,39723711.0
2020-06-30 10:54:00,3437950.0,3215719.0,-6653684.0,-36285761.0,39723711.0
2020-06-30 10:55:00,3676030.0,3837584.0,-7513628.0,-34987944.0,38663974.0
2020-06-30 10:56:00,2007186.0,4993742.0,-7000943.0,-35550798.0,37557984.0
2020-06-30 10:57:00,2299681.0,5857035.0,-8156731.0,-35426191.0,37725872.0
2020-06-30 10:58:00,1712302.0,7167670.0,-8879988.0,-36010970.0,37723272.0
2020-06-30 10:59:00,-1151368.0,8950417.0,-7799065.0,-38565211.0,37413843.0
2020-06-30 11:00:00,-4012545.0,10215778.0,-6203249.0,-39726373.0,35713828.0
2020-06-30 11:01:00,-5144933.0,11641906.0,-6496990.0,-40490355.0,35345422.0
2020-06-30 11:02:00,-6835429.0,12756996.0,-5921584.0,-41900351.0,35064922.0
2020-06-30 11:03:00,-7681733.0,12842480.0,-5160764.0,-42519435.0,34837702.0
2020-06-30 11:04:00,-8573628.0,14294266.0,-5720655.0,-43347310.0,34773682.0
2020-06-30 11:05:00,-10257910.0,15109300.0,-4851407.0,-46058183.0,35800273.0
2020-06-30 11:06:00,-8943118.0,15053293.0,-6110193.0,-44743391.0,35800273.0
2020-06-30 11:07:00,-8188866.0,15399530.0,-7210681.0,-43670599.0,35481733.0
2020-06-30 11:08:00,-7578167.0,15021082.0,-7442930.0,-43101613.0,35523446.0
2020-06-30 11:09:00,-6863042.0,14730375.0,-7867348.0,-42386488.0,35523446.0
2020-06-30 11:10:00,-5615557.0,14202817.0,-8587276.0,-41139003.0,35523446.0
2020-06-30 11:11:00,-5856657.0,14409086.0,-8552444.0,-41380103.0,35523446.0
2020-06-30 11:12:00,-8281590.0,16005732.0,-7724156.0,-42569556.0,34287966.0
2020-06-30 11:13:00,-7977604.0,16243931.0,-8266341.0,-42265570.0,34287966.0
2020-06-30 11:14:00,-7018145.0,16407208.0,-9389077.0,-43923135.0,36904990.0
2020-06-30 11:15:00,-6639721.0,16302241.0,-9662534.0,-43544711.0,36904990.0
2020-06-30 11:16:00,-6677786.0,16907883.0,-10230110.0,-43582776.0,36904990.0
2020-06-30 11:17:00,-6103597.0,17708309.0,-11604726.0,-44527236.0,38423639.0
2020-06-30 11:18:00,-7834176.0,18690045.0,-10855883.0,-46558615.0,38724439.0
2020-06-30 11:19:00,-8334299.0,19293229.0,-10958944.0,-47058738.0,38724439.0
2020-06-30 11:20:00,-8867369.0,18756729.0,-9889375.0,-46997154.0,38129785.0
2020-06-30 11:21:00,-8911614.0,19424822.0,-10513222.0,-46805613.0,37893999.0
2020-06-30 11:22:00,-7102089.0,19476424.0,-12374350.0,-46797470.0,39695381.0
2020-06-30 11:23:00,-4898895.0,19298829.0,-14399949.0,-44594276.0,39695381.0
2020-06-30 11:24:00,524989.0,17125345.0,-17650349.0,-46478113.0,47003102.0
2020-06-30 11:25:00,2390387.0,16031506.0,-18421907.0,-46759110.0,49149497.0
2020-06-30 11:26:00,2991950.0,15829873.0,-18821837.0,-45608985.0,48600935.0
2020-06-30 11:27:00,3562024.0,14498548.0,-18060586.0,-47418752.0,50980776.0
2020-06-30 11:28:00,3013978.0,14968483.0,-17982474.0,-47901411.0,50915389.0
2020-06-30 11:29:00,3220887.0,14455161.0,-17676062.0,-47799592.0,51020479.0
2020-06-30 11:30:00,3302712.0,14656485.0,-17959211.0,-47435609.0,50738321.0
2020-06-30 13:01:00,3412366.0,14609616.0,-18021996.0,-50031196.0,53443562.0
2020-06-30 13:02:00,5338538.0,13850089.0,-19188641.0,-49030218.0,54368756.0
2020-06-30 13:03:00,3659329.0,14713878.0,-18373221.0,-49536888.0,53196217.0
2020-06-30 13:04:00,1971576.0,15527375.0,-17498965.0,-51073451.0,53045027.0
2020-06-30 13:05:00,2865000.0,15629697.0,-18494710.0,-50177117.0,53042117.0
2020-06-30 13:06:00,2216930.0,15819769.0,-18036712.0,-50819367.0,53036297.0
2020-06-30 13:07:00,1753450.0,15893099.0,-17646562.0,-51282847.0,53036297.0
2020-06-30 13:08:00,1395050.0,15403521.0,-16798584.0,-51641247.0,53036297.0
2020-06-30 13:09:00,622008.0,15771071.0,-16393092.0,-52414289.0,53036297.0
2020-06-30 13:10:00,1040769.0,15569835.0,-16610617.0,-51884948.0,52925717.0
2020-06-30 13:11:00,2260161.0,15055495.0,-17315668.0,-50587717.0,52847878.0
2020-06-30 13:12:00,952639.0,13543479.0,-14496130.0,-48629006.0,49581645.0
2020-06-30 13:13:00,2589496.0,13025316.0,-15614824.0,-47171504.0,49761000.0
2020-06-30 13:14:00,11202104.0,9058648.0,-20260764.0,-48657071.0,59859175.0
2020-06-30 13:15:00,12513334.0,8559393.0,-21072740.0,-48711670.0,61225004.0
2020-06-30 13:16:00,12287889.0,8857308.0,-21145212.0,-49138148.0,61426037.0
2020-06-30 13:17:00,11386213.0,10214482.0,-21600711.0,-50040112.0,61426325.0
2020-06-30 13:18:00,13168588.0,9940488.0,-23109093.0,-48594028.0,61762616.0
2020-06-30 13:19:00,13361374.0,10155688.0,-23517081.0,-48699786.0,62061160.0
2020-06-30 13:20:00,15977101.0,9939473.0,-25916593.0,-50226957.0,66204058.0
2020-06-30 13:21:00,16250971.0,9809142.0,-26060133.0,-50192996.0,66443967.0
2020-06-30 13:22:00,18150839.0,9051858.0,-27202717.0,-49798949.0,67949788.0
2020-06-30 13:23:00,19680955.0,8683518.0,-28364494.0,-48392719.0,68073674.0
2020-06-30 13:24:00,21677778.0,7068509.0,-28746308.0,-46766681.0,68444459.0
2020-06-30 13:25:00,21804726.0,6259452.0,-28064200.0,-46751408.0,68556134.0
2020-06-30 13:26:00,21996122.0,7075490.0,-29071634.0,-47506105.0,69502227.0
2020-06-30 13:27:00,22105782.0,6568110.0,-28673915.0,-47668932.0,69774714.0
2020-06-30 13:28:00,21665828.0,6950805.0,-28616654.0,-48063406.0,69729234.0
2020-06-30 13:29:00,21911929.0,6954635.0,-28866586.0,-47555436.0,69467365.0
2020-06-30 13:30:00,20828315.0,7932575.0,-28760912.0,-48725596.0,69553911.0
2020-06-30 13:31:00,19707130.0,9138779.0,-28845930.0,-49894821.0,69601951.0
2020-06-30 13:32:00,18337566.0,9769711.0,-28107298.0,-51505603.0,69843169.0
2020-06-30 13:33:00,18602790.0,9868602.0,-28471413.0,-52878599.0,71481389.0
2020-06-30 13:34:00,18567574.0,10163234.0,-28730828.0,-54408596.0,72976170.0
2020-06-30 13:35:00,19497240.0,10085799.0,-29583058.0,-53950747.0,73447987.0
2020-06-30 13:36:00,19115676.0,9754230.0,-28869925.0,-54328526.0,73444202.0
2020-06-30 13:37:00,19364226.0,10499890.0,-29864136.0,-54079976.0,73444202.0
2020-06-30 13:38:00,21317232.0,9385738.0,-30702991.0,-52115580.0,73432812.0
2020-06-30 13:39:00,18114617.0,12476566.0,-30591206.0,-52272307.0,70386924.0
2020-06-30 13:40:00,16732402.0,15486744.0,-32219168.0,-51980649.0,68713051.0
2020-06-30 13:41:00,15295264.0,16648630.0,-31943916.0,-55038761.0,70334025.0
2020-06-30 13:42:00,15028668.0,18102798.0,-33131488.0,-55951188.0,70979856.0
2020-06-30 13:43:00,14948474.0,19100579.0,-34049075.0,-56327193.0,71275667.0
2020-06-30 13:44:00,13826637.0,20397091.0,-34223750.0,-57525862.0,71352499.0
2020-06-30 13:45:00,10721252.0,22363685.0,-33084960.0,-57699811.0,68421063.0
2020-06-30 13:46:00,10941849.0,23216346.0,-34158217.0,-57523884.0,68465733.0
2020-06-30 13:47:00,10083396.0,23924958.0,-34008376.0,-58337205.0,68420601.0
2020-06-30 13:48:00,8333470.0,25037405.0,-33370896.0,-58574389.0,66907859.0
2020-06-30 13:49:00,8575805.0,25554639.0,-34130465.0,-58500047.0,67075852.0
2020-06-30 13:50:00,8103493.0,25690947.0,-33794461.0,-59217003.0,67320496.0
2020-06-30 13:51:00,7777138.0,26229232.0,-34006391.0,-59586687.0,67363825.0
2020-06-30 13:52:00,7711369.0,26523349.0,-34234738.0,-60136482.0,67847851.0
2020-06-30 13:53:00,7722650.0,26511420.0,-34234090.0,-60128968.0,67851618.0
2020-06-30 13:54:00,8288214.0,26345206.0,-34633441.0,-59660284.0,67948498.0
2020-06-30 13:55:00,6450482.0,27752529.0,-34203032.0,-61533752.0,67984234.0
2020-06-30 13:56:00,4598066.0,28726310.0,-33324395.0,-63386168.0,67984234.0
2020-06-30 13:57:00,3896703.0,28855476.0,-32752199.0,-64300172.0,68196875.0
2020-06-30 13:58:00,3647360.0,28351483.0,-31998864.0,-64643765.0,68291125.0
2020-06-30 13:59:00,3529192.0,28725808.0,-32255020.0,-65251382.0,68780574.0
2020-06-30 14:00:00,3423773.0,28442244.0,-31866039.0,-63968503.0,67392276.0
2020-06-30 14:01:00,3866969.0,27416760.0,-31283751.0,-63525307.0,67392276.0
2020-06-30 14:02:00,1454602.0,28510329.0,-29964953.0,-63548859.0,65003461.0
2020-06-30 14:03:00,392071.0,29358499.0,-29750592.0,-63608795.0,64000866.0
2020-06-30 14:04:00,-93917.0,29438845.0,-29344951.0,-64097016.0,64003099.0
2020-06-30 14:05:00,-2248097.0,31036235.0,-28788161.0,-66251196.0,64003099.0
2020-06-30 14:06:00,-2905368.0,31748454.0,-28843109.0,-66893969.0,63988601.0
2020-06-30 14:07:00,-3951573.0,32602217.0,-28650667.0,-67728706.0,63777133.0
2020-06-30 14:08:00,-4608324.0,32882196.0,-28273894.0,-68385457.0,63777133.0
2020-06-30 14:09:00,-4681558.0,32462565.0,-27781029.0,-68458691.0,63777133.0
2020-06-30 14:10:00,-3009397.0,31113936.0,-28104561.0,-66474539.0,63465142.0
2020-06-30 14:11:00,-1780718.0,30520801.0,-28740106.0,-65981740.0,64201022.0
2020-06-30 14:12:00,-2474614.0,32333464.0,-29858874.0,-66360850.0,63886236.0
2020-06-30 14:13:00,-3423872.0,32886078.0,-29462229.0,-66583517.0,63159645.0
2020-06-30 14:14:00,-3915516.0,33811066.0,-29895574.0,-65527794.0,61612278.0
2020-06-30 14:15:00,-2119006.0,33331819.0,-31212838.0,-65580365.0,63461359.0
2020-06-30 14:16:00,-4866088.0,35629644.0,-30763582.0,-65305755.0,60439667.0
2020-06-30 14:17:00,-5756966.0,35668678.0,-29911737.0,-67774181.0,62017215.0
2020-06-30 14:18:00,-7030607.0,36863822.0,-29833240.0,-69052289.0,62021682.0
2020-06-30 14:19:00,-8032673.0,38077434.0,-30044785.0,-70152629.0,62119956.0
