datetime,main,small,mid,big,super
2020-07-31 09:31:00,-44612271.0,29292248.0,15320021.0,-5666253.0,-38946018.0
2020-07-31 09:32:00,-50235384.0,33315504.0,16919877.0,-9698744.0,-40536640.0
2020-07-31 09:33:00,-61324946.0,39145524.0,22179420.0,-10216991.0,-51107955.0
2020-07-31 09:34:00,-68946205.0,44759074.0,24187129.0,-12668458.0,-56277747.0
2020-07-31 09:35:00,-68266875.0,45897530.0,22369342.0,-12510993.0,-55755882.0
2020-07-31 09:36:00,-75240926.0,51050558.0,24190365.0,-16950202.0,-58290724.0
2020-07-31 09:37:00,-83411145.0,57224155.0,26186987.0,-22992847.0,-60418298.0
2020-07-31 09:38:00,-86574549.0,59696162.0,26878385.0,-21651446.0,-64923103.0
2020-07-31 09:39:00,-89764415.0,64682251.0,25082164.0,-25578996.0,-64185419.0
2020-07-31 09:40:00,-94847952.0,66961965.0,27885987.0,-29690940.0,-65157012.0
2020-07-31 09:41:00,-101183042.0,73519250.0,27663790.0,-32676136.0,-68506906.0
2020-07-31 09:42:00,-107170510.0,75361538.0,31808970.0,-32020818.0,-75149692.0
2020-07-31 09:43:00,-111336763.0,77893444.0,33443318.0,-34290712.0,-77046051.0
2020-07-31 09:44:00,-119501587.0,82513886.0,36987700.0,-36090275.0,-83411312.0
2020-07-31 09:45:00,-121651211.0,82716379.0,38934832.0,-36721117.0,-84930094.0
2020-07-31 09:46:00,-125793120.0,88946035.0,36847085.0,-42674351.0,-83118769.0
2020-07-31 09:47:00,-126139369.0,91794321.0,34345049.0,-44773464.0,-81365905.0
2020-07-31 09:48:00,-129926604.0,93875866.0,36050738.0,-47951840.0,-81974764.0
2020-07-31 09:49:00,-129399072.0,97178567.0,32220506.0,-51120364.0,-78278708.0
2020-07-31 09:50:00,-132926261.0,100369801.0,32556461.0,-54464329.0,-78461932.0
2020-07-31 09:51:00,-133678618.0,103839941.0,29838679.0,-57855633.0,-75822985.0
2020-07-31 09:52:00,-136368939.0,106422468.0,29946473.0,-59542626.0,-76826313.0
2020-07-31 09:53:00,-143237787.0,110431315.0,32806475.0,-59440719.0,-83797068.0
