datetime,main,small,mid,big,super
2020-06-22 09:31:00,-3755136.0,1421698.0,2333437.0,-2816647.0,-938489.0
2020-06-22 09:32:00,-5008565.0,2104509.0,2904054.0,-4021116.0,-987449.0
2020-06-22 09:33:00,-8233613.0,4383623.0,3849990.0,-6484303.0,-1749310.0
2020-06-22 09:34:00,-10123562.0,6145408.0,3978156.0,-6806763.0,-3316799.0
2020-06-22 09:35:00,-19101769.0,11653772.0,7447999.0,-11555274.0,-7546495.0
2020-06-22 09:36:00,-20566196.0,13628628.0,6937570.0,-13022943.0,-7543253.0
2020-06-22 09:37:00,-26892659.0,16121175.0,10771487.0,-17753428.0,-9139231.0
2020-06-22 09:38:00,-30635173.0,19074320.0,11560855.0,-21612682.0,-9022491.0
2020-06-22 09:39:00,-32560144.0,20257799.0,12302348.0,-23633721.0,-8926423.0
2020-06-22 09:40:00,-35940908.0,21158295.0,14782615.0,-21272867.0,-14668041.0
2020-06-22 09:41:00,-38199838.0,23283000.0,14916839.0,-23531797.0,-14668041.0
2020-06-22 09:42:00,-38433250.0,24467103.0,13966148.0,-22622291.0,-15810959.0
2020-06-22 09:43:00,-38787565.0,24514037.0,14273530.0,-22460792.0,-16326773.0
2020-06-22 09:44:00,-47452730.0,29542482.0,17910250.0,-26896935.0,-20555795.0
2020-06-22 09:45:00,-54518058.0,32937691.0,21580370.0,-27481506.0,-27036552.0
2020-06-22 09:46:00,-54973231.0,33363883.0,21609351.0,-28113159.0,-26860072.0
2020-06-22 09:47:00,-57779763.0,35894999.0,21884767.0,-31012204.0,-26767559.0
2020-06-22 09:48:00,-59410048.0,37078319.0,22331732.0,-33551983.0,-25858065.0
2020-06-22 09:49:00,-62134894.0,38439571.0,23695326.0,-35060816.0,-27074078.0
2020-06-22 09:50:00,-62721433.0,39695512.0,23025923.0,-35658195.0,-27063238.0
2020-06-22 09:51:00,-62229848.0,41070210.0,21159640.0,-35166610.0,-27063238.0
2020-06-22 09:52:00,-63570935.0,42162013.0,21408923.0,-36517724.0,-27053211.0
2020-06-22 09:53:00,-63801071.0,42547939.0,21253133.0,-36747860.0,-27053211.0
2020-06-22 09:54:00,-65297866.0,44383876.0,20913991.0,-38244655.0,-27053211.0
2020-06-22 09:55:00,-66818541.0,45441460.0,21377084.0,-39765330.0,-27053211.0
2020-06-22 09:56:00,-68001114.0,47069612.0,20931505.0,-40947903.0,-27053211.0
2020-06-22 09:57:00,-72584691.0,51234904.0,21349791.0,-47829523.0,-24755168.0
2020-06-22 09:58:00,-76551050.0,52929170.0,23621883.0,-53423773.0,-23127277.0
2020-06-22 09:59:00,-76569666.0,53139638.0,23430031.0,-53241509.0,-23328157.0
2020-06-22 10:00:00,-78139021.0,54908494.0,23230530.0,-54810864.0,-23328157.0
2020-06-22 10:01:00,-83827798.0,58003060.0,25824743.0,-56769461.0,-27058337.0
2020-06-22 10:02:00,-87113993.0,60316501.0,26797497.0,-60055656.0,-27058337.0
2020-06-22 10:03:00,-87074490.0,60393451.0,26681043.0,-60099144.0,-26975346.0
2020-06-22 10:04:00,-87766648.0,60969359.0,26797294.0,-59571132.0,-28195516.0
2020-06-22 10:05:00,-88049927.0,62850240.0,25199691.0,-59956566.0,-28093361.0
2020-06-22 10:06:00,-90543445.0,64166292.0,26377157.0,-59783352.0,-30760093.0
2020-06-22 10:07:00,-91665726.0,65440410.0,26225320.0,-60411617.0,-31254109.0
2020-06-22 10:08:00,-94589592.0,67105283.0,27484314.0,-60451946.0,-34137646.0
2020-06-22 10:09:00,-94929599.0,68288197.0,26641407.0,-60791953.0,-34137646.0
2020-06-22 10:10:00,-95815104.0,68878871.0,26936236.0,-61475858.0,-34339246.0
2020-06-22 10:11:00,-95302071.0,69066390.0,26235684.0,-62209578.0,-33092493.0
2020-06-22 10:12:00,-95678533.0,69172955.0,26505581.0,-62552692.0,-33125841.0
2020-06-22 10:13:00,-94036222.0,69626759.0,24409466.0,-63644666.0,-30391556.0
2020-06-22 10:14:00,-96031111.0,70210503.0,25820612.0,-65562498.0,-30468613.0
2020-06-22 10:15:00,-101161682.0,72545308.0,28616375.0,-68976733.0,-32184949.0
2020-06-22 10:16:00,-105431209.0,76230526.0,29200684.0,-68241093.0,-37190116.0
2020-06-22 10:17:00,-109202121.0,77524332.0,31677790.0,-69499411.0,-39702710.0
2020-06-22 10:18:00,-109244580.0,78375180.0,30869401.0,-71704099.0,-37540481.0
2020-06-22 10:19:00,-111231698.0,79990939.0,31240760.0,-72665880.0,-38565818.0
2020-06-22 10:20:00,-110830581.0,79566174.0,31264408.0,-72654992.0,-38175589.0
2020-06-22 10:21:00,-111444613.0,80491801.0,30952814.0,-73356486.0,-38088127.0
