datetime,main,small,mid,big,super
2020-06-29 09:31:00,-42429568.0,23972738.0,18456848.0,-58992416.0,16562848.0
2020-06-29 09:32:00,-99364057.0,64559077.0,34804992.0,-98225545.0,-1138512.0
2020-06-29 09:33:00,-192155175.0,131736650.0,60418537.0,-141861076.0,-50294099.0
2020-06-29 09:34:00,-301132666.0,200730662.0,100402016.0,-182490324.0,-118642342.0
2020-06-29 09:35:00,-388122462.0,268283715.0,119838761.0,-236955920.0,-151166542.0
2020-06-29 09:36:00,-502389967.0,349626894.0,152763087.0,-279759341.0,-222630626.0
2020-06-29 09:37:00,-616735971.0,437619835.0,179116150.0,-317141716.0,-299594255.0
2020-06-29 09:38:00,-703626268.0,511319686.0,192306597.0,-359230951.0,-344395317.0
2020-06-29 09:39:00,-752674045.0,556230017.0,196444043.0,-381855434.0,-370818611.0
2020-06-29 09:40:00,-772803353.0,580971861.0,191831507.0,-394718168.0,-378085185.0
2020-06-29 09:41:00,-831730750.0,621782918.0,209947846.0,-430912006.0,-400818744.0
2020-06-29 09:42:00,-855388401.0,649248983.0,206139431.0,-457200754.0,-398187647.0
2020-06-29 09:43:00,-879839795.0,667331781.0,212508028.0,-470946593.0,-408893202.0
2020-06-29 09:44:00,-913714000.0,698084834.0,215629180.0,-499006021.0,-414707979.0
2020-06-29 09:45:00,-934370021.0,720228897.0,214141137.0,-509331404.0,-425038617.0
2020-06-29 09:46:00,-956057492.0,741175268.0,214882237.0,-521323701.0,-434733791.0
2020-06-29 09:47:00,-989729294.0,771796097.0,217933210.0,-541977848.0,-447751446.0
2020-06-29 09:48:00,-1074457066.0,838621476.0,235835603.0,-575492182.0,-498964884.0
2020-06-29 09:49:00,-1165317767.0,901837166.0,263480614.0,-623010253.0,-542307514.0
2020-06-29 09:50:00,-1209439447.0,942063072.0,267376388.0,-645254897.0,-564184550.0
2020-06-29 09:51:00,-1225799963.0,962541714.0,263258262.0,-654521517.0,-571278446.0
2020-06-29 09:52:00,-1266408695.0,998536754.0,267871954.0,-673532419.0,-592876276.0
2020-06-29 09:53:00,-1314291219.0,1037332816.0,276958415.0,-675020918.0,-639270301.0
