datetime,main,small,mid,big,super
2020-06-12 09:31:00,-12190441.0,12343871.0,-153431.0,-10791858.0,-1398583.0
2020-06-12 09:32:00,-17100734.0,18642391.0,-1541658.0,-13099709.0,-4001025.0
2020-06-12 09:33:00,-18723558.0,24353983.0,-5630426.0,-15897001.0,-2826557.0
2020-06-12 09:34:00,-21176804.0,30029799.0,-8852997.0,-13330246.0,-7846558.0
2020-06-12 09:35:00,-21157292.0,31590087.0,-10432798.0,-9967466.0,-11189826.0
2020-06-12 09:36:00,-24114798.0,33257104.0,-9142309.0,-9021539.0,-15093259.0
2020-06-12 09:37:00,-28619463.0,39312563.0,-10693104.0,-8862943.0,-19756520.0
2020-06-12 09:38:00,-29425996.0,41584993.0,-12159000.0,-8165476.0,-21260520.0
2020-06-12 09:39:00,-28752536.0,42778746.0,-14026215.0,-8203093.0,-20549443.0
2020-06-12 09:40:00,-30464042.0,47041203.0,-16577168.0,-10474419.0,-19989623.0
2020-06-12 09:41:00,-30247343.0,48627926.0,-18380589.0,-11348213.0,-18899130.0
2020-06-12 09:42:00,-31610142.0,50806800.0,-19196664.0,-8626612.0,-22983530.0
2020-06-12 09:43:00,-32281607.0,51534947.0,-19253346.0,-7273552.0,-25008055.0
2020-06-12 09:44:00,-33321075.0,51759933.0,-18438865.0,-7086784.0,-26234291.0
2020-06-12 09:45:00,-33834590.0,52578128.0,-18743546.0,-6715840.0,-27118750.0
2020-06-12 09:46:00,-35192199.0,54205163.0,-19012974.0,-5503760.0,-29688439.0
2020-06-12 09:47:00,-38110576.0,57229254.0,-19118689.0,-8416173.0,-29694403.0
2020-06-12 09:48:00,-40781538.0,60169188.0,-19387660.0,-9360931.0,-31420607.0
2020-06-12 09:49:00,-40885670.0,61502436.0,-20616776.0,-8731522.0,-32154148.0
2020-06-12 09:50:00,-43139657.0,61627553.0,-18487905.0,-8407555.0,-34732102.0
2020-06-12 09:51:00,-43187136.0,61905093.0,-18717966.0,-9500418.0,-33686718.0
