datetime,main,small,mid,big,super
2020-07-08 09:31:00,-5985098.0,-1169693.0,7154791.0,5068307.0,-11053405.0
2020-07-08 09:32:00,-10435689.0,3754014.0,6681675.0,9374137.0,-19809826.0
2020-07-08 09:33:00,-11042637.0,6072377.0,4970260.0,10971724.0,-22014361.0
2020-07-08 09:34:00,-15841154.0,9375813.0,6465340.0,2249275.0,-18090429.0
2020-07-08 09:35:00,-15657234.0,10767052.0,4890182.0,-4908542.0,-10748692.0
2020-07-08 09:36:00,-19089590.0,14503564.0,4586025.0,-7048158.0,-12041432.0
2020-07-08 09:37:00,-26048724.0,20658861.0,5389862.0,-14124876.0,-11923848.0
2020-07-08 09:38:00,-19373577.0,22821096.0,-3447519.0,-9749113.0,-9624464.0
2020-07-08 09:39:00,-28926862.0,28942728.0,-15866.0,-10669882.0,-18256980.0
2020-07-08 09:40:00,-29628079.0,27471210.0,2156870.0,-7933760.0,-21694319.0
2020-07-08 09:41:00,-35608452.0,32446233.0,3162219.0,-22703745.0,-12904707.0
2020-07-08 09:42:00,-38670396.0,38755872.0,-85475.0,-25715159.0,-12955237.0
2020-07-08 09:43:00,-39875171.0,42271397.0,-2396225.0,-19180058.0,-20695113.0
2020-07-08 09:44:00,-55322662.0,52969108.0,2353556.0,-18806183.0,-36516479.0
2020-07-08 09:45:00,-63162876.0,57234202.0,5928678.0,-29303802.0,-33859074.0
2020-07-08 09:46:00,-84882994.0,69183656.0,15699341.0,-40553700.0,-44329294.0
2020-07-08 09:47:00,-112494270.0,86944348.0,25549925.0,-39183580.0,-73310690.0
2020-07-08 09:48:00,-111837649.0,87490862.0,24346789.0,-32469070.0,-79368579.0
2020-07-08 09:49:00,-120833625.0,95744177.0,25089450.0,-31791735.0,-89041890.0
2020-07-08 09:50:00,-114278061.0,95847400.0,18430664.0,-32648043.0,-81630018.0
2020-07-08 09:51:00,-116459407.0,96394876.0,20064534.0,-34593105.0,-81866302.0
2020-07-08 09:52:00,-116447411.0,95799024.0,20648390.0,-30305470.0,-86141941.0
2020-07-08 09:53:00,-116766915.0,98087905.0,18679012.0,-35769582.0,-80997333.0
2020-07-08 09:54:00,-116932395.0,100213936.0,16718460.0,-36889764.0,-80042631.0
2020-07-08 09:55:00,-114501934.0,100565082.0,13936852.0,-39402783.0,-75099151.0
2020-07-08 09:56:00,-110817495.0,100363663.0,10453833.0,-39612440.0,-71205055.0
2020-07-08 09:57:00,-114448117.0,103970266.0,10477852.0,-42289701.0,-72158416.0
2020-07-08 09:58:00,-123117122.0,109453788.0,13663334.0,-46005531.0,-77111591.0
2020-07-08 09:59:00,-127037623.0,113722798.0,13314825.0,-49212128.0,-77825495.0
2020-07-08 10:00:00,-139097985.0,119842461.0,19255523.0,-53441929.0,-85656056.0
2020-07-08 10:01:00,-153777245.0,124818361.0,28958882.0,-56498432.0,-97278813.0
2020-07-08 10:02:00,-158173831.0,126556763.0,31617066.0,-63337985.0,-94835846.0
2020-07-08 10:03:00,-156132326.0,125125739.0,31006585.0,-61723108.0,-94409218.0
2020-07-08 10:04:00,-158792703.0,126920067.0,31872633.0,-64848598.0,-93944105.0
2020-07-08 10:05:00,-157508740.0,126325071.0,31183666.0,-69270649.0,-88238091.0
2020-07-08 10:06:00,-159691135.0,126731909.0,32959223.0,-74292734.0,-85398401.0
2020-07-08 10:07:00,-166386731.0,133351036.0,33035692.0,-81830055.0,-84556676.0
2020-07-08 10:08:00,-166410838.0,134758276.0,31652559.0,-80485258.0,-85925580.0
2020-07-08 10:09:00,-166499120.0,136644218.0,29854898.0,-83949728.0,-82549392.0
2020-07-08 10:10:00,-164691741.0,137808967.0,26882771.0,-80374040.0,-84317701.0
2020-07-08 10:11:00,-171257627.0,142880649.0,28376974.0,-85134489.0,-86123138.0
2020-07-08 10:12:00,-164757269.0,141557683.0,23199581.0,-90476162.0,-74281107.0
2020-07-08 10:13:00,-166279451.0,142512379.0,23767068.0,-95817682.0,-70461769.0
2020-07-08 10:14:00,-163610808.0,143560234.0,20050570.0,-101500562.0,-62110246.0
2020-07-08 10:15:00,-166331306.0,145379225.0,20952076.0,-110943918.0,-55387388.0
2020-07-08 10:16:00,-167776085.0,145914500.0,21861580.0,-110079060.0,-57697025.0
2020-07-08 10:17:00,-171752332.0,149012772.0,22739557.0,-108893735.0,-62858597.0
2020-07-08 10:18:00,-175059965.0,151631403.0,23428559.0,-113098631.0,-61961334.0
2020-07-08 10:19:00,-173022508.0,152962205.0,20060300.0,-121024115.0,-51998393.0
2020-07-08 10:20:00,-175251724.0,155079355.0,20172367.0,-122340129.0,-52911595.0
