datetime,main,small,mid,big,super
2020-07-31 09:31:00,-390961.0,-1445999.0,1836958.0,-8913956.0,8522995.0
2020-07-31 09:32:00,14352264.0,-4804594.0,-9547673.0,-20771867.0,35124131.0
2020-07-31 09:33:00,20727616.0,-1829075.0,-18898544.0,-21307706.0,42035322.0
2020-07-31 09:34:00,19922178.0,3062273.0,-22984453.0,-30658849.0,50581027.0
2020-07-31 09:35:00,17514571.0,4089781.0,-21604355.0,-26232772.0,43747343.0
2020-07-31 09:36:00,24676222.0,8425834.0,-33102058.0,-13191197.0,37867419.0
2020-07-31 09:37:00,54762109.0,-1542764.0,-53219348.0,-12894338.0,67656447.0
2020-07-31 09:38:00,50485900.0,4766971.0,-55252872.0,-22337771.0,72823671.0
2020-07-31 09:39:00,47346549.0,8767615.0,-56114165.0,-24023720.0,71370269.0
2020-07-31 09:40:00,41469765.0,16959315.0,-58429080.0,-26712004.0,68181769.0
2020-07-31 09:41:00,48474075.0,14460501.0,-62934576.0,-19274389.0,67748464.0
2020-07-31 09:42:00,50757871.0,17689371.0,-68447243.0,-26441444.0,77199315.0
2020-07-31 09:43:00,52407428.0,17496353.0,-69903783.0,-29817812.0,82225240.0
2020-07-31 09:44:00,49107461.0,24589360.0,-73696823.0,-32842668.0,81950129.0
2020-07-31 09:45:00,45954819.0,28792348.0,-74747167.0,-36008602.0,81963421.0
2020-07-31 09:46:00,51230610.0,20108010.0,-71338619.0,-41973523.0,93204133.0
2020-07-31 09:47:00,49424266.0,19946521.0,-69370787.0,-26020093.0,75444359.0
2020-07-31 09:48:00,37907865.0,23960836.0,-61868701.0,-33277286.0,71185151.0
2020-07-31 09:49:00,42990428.0,25080472.0,-68070900.0,-39310164.0,82300592.0
2020-07-31 09:50:00,31284008.0,31652071.0,-62936079.0,-47414459.0,78698467.0
2020-07-31 09:51:00,64046876.0,13454678.0,-77501554.0,-49731206.0,113778082.0
2020-07-31 09:52:00,75790821.0,9157423.0,-84948244.0,-39933436.0,115724257.0
2020-07-31 09:53:00,82009582.0,5748326.0,-87757907.0,-41217893.0,123227475.0
2020-07-31 09:54:00,88148348.0,1425070.0,-89573417.0,-41233527.0,129381875.0
2020-07-31 09:55:00,95862409.0,-2330062.0,-93532346.0,-32235224.0,128097633.0
2020-07-31 09:56:00,111078423.0,-11030256.0,-100048166.0,-25327443.0,136405866.0
2020-07-31 09:57:00,130390201.0,-22783084.0,-107607117.0,-26254065.0,156644266.0
2020-07-31 09:58:00,148592507.0,-31982894.0,-116609613.0,-25034526.0,173627033.0
2020-07-31 09:59:00,144569258.0,-32038797.0,-112530461.0,-24273311.0,168842569.0
2020-07-31 10:00:00,142899445.0,-31829882.0,-111069563.0,-18036684.0,160936129.0
2020-07-31 10:01:00,133511923.0,-26389294.0,-107122629.0,-16807189.0,150319112.0
2020-07-31 10:02:00,141700736.0,-31338397.0,-110362339.0,-6793425.0,148494161.0
2020-07-31 10:03:00,155769521.0,-38937032.0,-116832488.0,-9043556.0,164813077.0
2020-07-31 10:04:00,163694377.0,-40293422.0,-123400953.0,-2853409.0,166547786.0
2020-07-31 10:05:00,176888117.0,-44212849.0,-132675266.0,3023003.0,173865114.0
2020-07-31 10:06:00,177265405.0,-46839172.0,-130426232.0,13829863.0,163435542.0
2020-07-31 10:07:00,187602292.0,-50698134.0,-136904156.0,13866481.0,173735811.0
2020-07-31 10:08:00,195285835.0,-53391102.0,-141894730.0,17839016.0,177446819.0
2020-07-31 10:09:00,209631508.0,-60302762.0,-149328744.0,11850694.0,197780814.0
2020-07-31 10:10:00,196753077.0,-55270118.0,-141482956.0,2587222.0,194165855.0
2020-07-31 10:11:00,199933325.0,-53241857.0,-146691466.0,8602001.0,191331324.0
2020-07-31 10:12:00,201880190.0,-56266533.0,-145613656.0,8723577.0,193156613.0
2020-07-31 10:13:00,212605150.0,-62793468.0,-149811682.0,17915480.0,194689670.0
2020-07-31 10:14:00,220351378.0,-67584377.0,-152767002.0,18939819.0,201411559.0
2020-07-31 10:15:00,223263581.0,-68482184.0,-154781396.0,20555976.0,202707605.0
2020-07-31 10:16:00,236466428.0,-72207792.0,-164258634.0,16616006.0,219850422.0
2020-07-31 10:17:00,241628637.0,-77365874.0,-164262761.0,13703001.0,227925636.0
2020-07-31 10:18:00,239398742.0,-78368436.0,-161030304.0,12842784.0,226555958.0
2020-07-31 10:19:00,241866260.0,-78696558.0,-163169700.0,9039209.0,232827051.0
2020-07-31 10:20:00,246455130.0,-80783788.0,-165671341.0,8075227.0,238379903.0
2020-07-31 10:21:00,247232668.0,-86240192.0,-160992476.0,4847766.0,242384902.0
2020-07-31 10:22:00,233682103.0,-76689733.0,-156992368.0,-690856.0,234372959.0
2020-07-31 10:23:00,242264255.0,-81427862.0,-160836391.0,-5181866.0,247446121.0
2020-07-31 10:24:00,239842041.0,-82840640.0,-157001399.0,-5832193.0,245674234.0
2020-07-31 10:25:00,234978166.0,-79406468.0,-155571695.0,-3941742.0,238919908.0
2020-07-31 10:26:00,227086932.0,-72683874.0,-154403055.0,-5589293.0,232676225.0
2020-07-31 10:27:00,220737331.0,-65356428.0,-155380900.0,-8341133.0,229078464.0
2020-07-31 10:28:00,215319230.0,-58379924.0,-156939302.0,-3882859.0,219202089.0
2020-07-31 10:29:00,204115122.0,-50886867.0,-153228251.0,-9358457.0,213473579.0
2020-07-31 10:30:00,193205585.0,-45542631.0,-147662950.0,-20685484.0,213891069.0
2020-07-31 10:31:00,183179359.0,-38786962.0,-144392392.0,-24450659.0,207630018.0
2020-07-31 10:32:00,176072589.0,-32951771.0,-143120813.0,-26111687.0,202184276.0
2020-07-31 10:33:00,180394384.0,-32260052.0,-148134328.0,-25530508.0,205924892.0
2020-07-31 10:34:00,168556315.0,-24968883.0,-143587429.0,-26834711.0,195391026.0
2020-07-31 10:35:00,162734994.0,-19158879.0,-143576112.0,-26877980.0,189612974.0
2020-07-31 10:36:00,153213750.0,-10226576.0,-142987171.0,-28381207.0,181594957.0
2020-07-31 10:37:00,140876393.0,-5210041.0,-135666349.0,-41950101.0,182826494.0
2020-07-31 10:38:00,131509313.0,-2207360.0,-129301950.0,-41620182.0,173129495.0
2020-07-31 10:39:00,117244787.0,8791389.0,-126036171.0,-48466375.0,165711162.0
2020-07-31 10:40:00,102461249.0,20527167.0,-122988412.0,-58458351.0,160919600.0
2020-07-31 10:41:00,98162160.0,25017359.0,-123179516.0,-58430478.0,156592638.0
2020-07-31 10:42:00,90596922.0,30947689.0,-121544608.0,-65251457.0,155848379.0
2020-07-31 10:43:00,88495442.0,35113944.0,-123609384.0,-69041171.0,157536613.0
2020-07-31 10:44:00,83529044.0,39115886.0,-122644926.0,-72961269.0,156490313.0
2020-07-31 10:45:00,73725396.0,46947468.0,-120672860.0,-73923054.0,147648450.0
2020-07-31 10:46:00,60032962.0,61111528.0,-121144485.0,-69818424.0,129851386.0
2020-07-31 10:47:00,47891997.0,70804091.0,-118696083.0,-78112889.0,126004886.0
2020-07-31 10:48:00,34184363.0,88014545.0,-122198904.0,-91553759.0,125738122.0
2020-07-31 10:49:00,-3335677.0,115440513.0,-112104832.0,-97452840.0,94117163.0
2020-07-31 10:50:00,-19938630.0,128739132.0,-108800498.0,-111310088.0,91371458.0
2020-07-31 10:51:00,-38922623.0,145666422.0,-106743794.0,-120974701.0,82052078.0
2020-07-31 10:52:00,-47179704.0,154829280.0,-107649570.0,-129411191.0,82231487.0
2020-07-31 10:53:00,-59884598.0,162982869.0,-103098264.0,-132210654.0,72326056.0
2020-07-31 10:54:00,-72535437.0,173568080.0,-101032636.0,-136968622.0,64433185.0
2020-07-31 10:55:00,-94223874.0,188487619.0,-94263738.0,-145305464.0,51081590.0
2020-07-31 10:56:00,-108081573.0,196979066.0,-88897486.0,-157174461.0,49092888.0
2020-07-31 10:57:00,-113500262.0,202104360.0,-88604092.0,-155844990.0,42344728.0
2020-07-31 10:58:00,-118571599.0,206141737.0,-87570132.0,-163176676.0,44605077.0
2020-07-31 10:59:00,-129486311.0,214451871.0,-84965554.0,-168868979.0,39382668.0
