datetime,main,small,mid,big,super
2020-06-22 09:31:00,-9303680.0,-255488.0,9559169.0,12417838.0,-21721518.0
2020-06-22 09:32:00,4706482.0,-10698315.0,5991835.0,9403807.0,-4697325.0
2020-06-22 09:33:00,13131187.0,-16509942.0,3378758.0,20090291.0,-6959104.0
2020-06-22 09:34:00,16960744.0,-15505123.0,-1455618.0,19886033.0,-2925289.0
2020-06-22 09:35:00,27781330.0,-18048724.0,-9732603.0,34261309.0,-6479979.0
2020-06-22 09:36:00,21655179.0,-10233911.0,-11421265.0,17652129.0,4003050.0
2020-06-22 09:37:00,-1607417.0,9020537.0,-7413117.0,-4794573.0,3187156.0
2020-06-22 09:38:00,-23247218.0,25272803.0,-2025582.0,-23103668.0,-143550.0
2020-06-22 09:39:00,-31263431.0,36782393.0,-5518959.0,-35130209.0,3866778.0
2020-06-22 09:40:00,-34929565.0,43358060.0,-8428492.0,-48985553.0,14055988.0
2020-06-22 09:41:00,-42988171.0,45511607.0,-2523433.0,-55923533.0,12935362.0
2020-06-22 09:42:00,-39284402.0,51762534.0,-12478129.0,-51811169.0,12526767.0
2020-06-22 09:43:00,-32288051.0,48744366.0,-16456312.0,-51693765.0,19405714.0
2020-06-22 09:44:00,-22732185.0,45138653.0,-22406464.0,-52505296.0,29773111.0
2020-06-22 09:45:00,-29152437.0,48206130.0,-19053689.0,-60848790.0,31696353.0
2020-06-22 09:46:00,-26950844.0,47357447.0,-20406600.0,-55788488.0,28837644.0
2020-06-22 09:47:00,-27268914.0,48902359.0,-21633441.0,-65190056.0,37921142.0
2020-06-22 09:48:00,-34768404.0,55397126.0,-20628718.0,-69015954.0,34247550.0
2020-06-22 09:49:00,-35367396.0,62620468.0,-27253067.0,-78214584.0,42847188.0
2020-06-22 09:50:00,-30109586.0,65777816.0,-35668226.0,-95592783.0,65483197.0
2020-06-22 09:51:00,-35540379.0,70701761.0,-35161378.0,-102709616.0,67169237.0
2020-06-22 09:52:00,-35228133.0,76353572.0,-41125434.0,-100453713.0,65225580.0
2020-06-22 09:53:00,-46931978.0,82990109.0,-36058126.0,-109210993.0,62279015.0
2020-06-22 09:54:00,-65878544.0,94896667.0,-29018118.0,-122626632.0,56748088.0
2020-06-22 09:55:00,-80628378.0,100061788.0,-19433405.0,-141113237.0,60484859.0
2020-06-22 09:56:00,-93195946.0,109114290.0,-15918339.0,-152152579.0,58956633.0
2020-06-22 09:57:00,-110584925.0,121889404.0,-11304473.0,-167964309.0,57379384.0
2020-06-22 09:58:00,-121715481.0,129450930.0,-7735444.0,-177547245.0,55831764.0
2020-06-22 09:59:00,-142341579.0,137626524.0,4715061.0,-188488354.0,46146775.0
2020-06-22 10:00:00,-152288383.0,142986904.0,9301485.0,-198750871.0,46462488.0
2020-06-22 10:01:00,-158228222.0,145665776.0,12562452.0,-212980169.0,54751947.0
2020-06-22 10:02:00,-162630007.0,150103918.0,12526095.0,-227054846.0,64424839.0
2020-06-22 10:03:00,-160952667.0,150272153.0,10680519.0,-229822111.0,68869444.0
2020-06-22 10:04:00,-168556853.0,149298541.0,19258318.0,-238649275.0,70092422.0
2020-06-22 10:05:00,-161945391.0,147461151.0,14484247.0,-244700779.0,82755388.0
2020-06-22 10:06:00,-159901438.0,150204658.0,9696786.0,-251983730.0,92082292.0
2020-06-22 10:07:00,-153555649.0,148035024.0,5520630.0,-264351190.0,110795541.0
2020-06-22 10:08:00,-159017595.0,147659571.0,11358029.0,-272894930.0,113877335.0
2020-06-22 10:09:00,-155793248.0,146141846.0,9651405.0,-274232761.0,118439513.0
2020-06-22 10:10:00,-148078602.0,142155014.0,5923590.0,-274959115.0,126880513.0
2020-06-22 10:11:00,-141533856.0,140177466.0,1356393.0,-272745123.0,131211267.0
2020-06-22 10:12:00,-134305820.0,135660525.0,-1354702.0,-272573656.0,138267836.0
2020-06-22 10:13:00,-132236534.0,135234338.0,-2997801.0,-274997932.0,142761398.0
2020-06-22 10:14:00,-129021196.0,138382639.0,-9361441.0,-274175292.0,145154096.0
2020-06-22 10:15:00,-131023514.0,141586553.0,-10563038.0,-271184035.0,140160521.0
2020-06-22 10:16:00,-137347564.0,147522220.0,-10174656.0,-276973826.0,139626262.0
2020-06-22 10:17:00,-138443367.0,152852332.0,-14408965.0,-285612528.0,147169161.0
2020-06-22 10:18:00,-147554227.0,157875583.0,-10321357.0,-288267515.0,140713288.0
2020-06-22 10:19:00,-155465426.0,165961305.0,-10495879.0,-287197430.0,131732004.0
2020-06-22 10:20:00,-163690270.0,175023510.0,-11333240.0,-295319497.0,131629227.0
2020-06-22 10:21:00,-177556724.0,186676053.0,-9119329.0,-306501199.0,128944475.0
2020-06-22 10:22:00,-192557959.0,195019561.0,-2461601.0,-314272712.0,121714753.0
2020-06-22 10:23:00,-203996761.0,205327320.0,-1330557.0,-319905348.0,115908587.0
2020-06-22 10:24:00,-213732553.0,213771143.0,-38588.0,-319345598.0,105613045.0
2020-06-22 10:25:00,-220010585.0,218065663.0,1944925.0,-317654078.0,97643493.0
2020-06-22 10:26:00,-223684480.0,223422828.0,261655.0,-319790505.0,96106025.0
2020-06-22 10:27:00,-235443260.0,228439045.0,7004218.0,-325854245.0,90410985.0
2020-06-22 10:28:00,-247830800.0,240102644.0,7728160.0,-328613423.0,80782623.0
2020-06-22 10:29:00,-262809316.0,247182172.0,15627147.0,-339250002.0,76440686.0
2020-06-22 10:30:00,-269147637.0,252332153.0,16815488.0,-343179594.0,74031957.0
2020-06-22 10:31:00,-271370637.0,255940421.0,15430220.0,-345867861.0,74497224.0
2020-06-22 10:32:00,-271366323.0,256480941.0,14885385.0,-343636815.0,72270492.0
2020-06-22 10:33:00,-272434474.0,258278137.0,14156340.0,-349945214.0,77510740.0
2020-06-22 10:34:00,-274938058.0,262710106.0,12227956.0,-359440373.0,84502315.0
2020-06-22 10:35:00,-279558563.0,265826769.0,13731797.0,-365121905.0,85563342.0
2020-06-22 10:36:00,-286653453.0,269296641.0,17356816.0,-372403703.0,85750250.0
2020-06-22 10:37:00,-290529881.0,269965518.0,20564367.0,-371266154.0,80736273.0
2020-06-22 10:38:00,-287573262.0,271061270.0,16511996.0,-369611335.0,82038073.0
2020-06-22 10:39:00,-285035778.0,273109188.0,11926594.0,-366987167.0,81951389.0
2020-06-22 10:40:00,-289341003.0,275830138.0,13510870.0,-372527369.0,83186366.0
2020-06-22 10:41:00,-290315568.0,276420319.0,13895254.0,-376103875.0,85788307.0
2020-06-22 10:42:00,-294240813.0,281311047.0,12929770.0,-374034522.0,79793709.0
2020-06-22 10:43:00,-296879429.0,282855333.0,14024100.0,-375349541.0,78470112.0
2020-06-22 10:44:00,-300814153.0,287002705.0,13811451.0,-381271530.0,80457377.0
2020-06-22 10:45:00,-302334813.0,290349849.0,11984967.0,-382900079.0,80565266.0
2020-06-22 10:46:00,-304645584.0,292840697.0,11804892.0,-384543959.0,79898375.0
2020-06-22 10:47:00,-308464654.0,296408668.0,12055992.0,-382550934.0,74086280.0
2020-06-22 10:48:00,-307150933.0,299341641.0,7809299.0,-382285726.0,75134793.0
2020-06-22 10:49:00,-308018181.0,300546875.0,7471314.0,-383572407.0,75554226.0
2020-06-22 10:50:00,-311608135.0,303786052.0,7822091.0,-389058938.0,77450803.0
2020-06-22 10:51:00,-318961957.0,307055234.0,11906730.0,-385651618.0,66689661.0
2020-06-22 10:52:00,-321411258.0,311601484.0,9809780.0,-386723591.0,65312333.0
2020-06-22 10:53:00,-324088714.0,315519606.0,8569114.0,-388007214.0,63918500.0
2020-06-22 10:54:00,-333842819.0,321757027.0,12085799.0,-392613497.0,58770678.0
2020-06-22 10:55:00,-336608236.0,323557668.0,13050573.0,-397143470.0,60535234.0
2020-06-22 10:56:00,-340781329.0,328212834.0,12568502.0,-402694003.0,61912674.0
2020-06-22 10:57:00,-349606229.0,333509480.0,16096757.0,-409393608.0,59787379.0
2020-06-22 10:58:00,-351860891.0,334713984.0,17146914.0,-412928114.0,61067223.0
2020-06-22 10:59:00,-360263031.0,341996094.0,18266943.0,-412098536.0,51835505.0
2020-06-22 11:00:00,-369456906.0,347193705.0,22263208.0,-415630053.0,46173147.0
2020-06-22 11:01:00,-380241255.0,352462571.0,27778691.0,-422743453.0,42502198.0
2020-06-22 11:02:00,-401161949.0,364505478.0,36656477.0,-420890665.0,19728716.0
2020-06-22 11:03:00,-412146291.0,373930340.0,38215956.0,-425430212.0,13283921.0
2020-06-22 11:04:00,-420482371.0,381120653.0,39361723.0,-428769710.0,8287339.0
2020-06-22 11:05:00,-428657637.0,386052986.0,42604656.0,-434790907.0,6133270.0
2020-06-22 11:06:00,-434391133.0,388526168.0,45864969.0,-437245175.0,2854042.0
2020-06-22 11:07:00,-433329377.0,391244852.0,42084528.0,-437549087.0,4219710.0
2020-06-22 11:08:00,-444229328.0,397842357.0,46386974.0,-438122413.0,-6106915.0
2020-06-22 11:09:00,-449021161.0,402232790.0,46788374.0,-442386441.0,-6634720.0
2020-06-22 11:10:00,-448825776.0,405149633.0,43676146.0,-443488521.0,-5337255.0
2020-06-22 11:11:00,-454205257.0,409112586.0,45092676.0,-448096768.0,-6108489.0
2020-06-22 11:12:00,-458363779.0,410202196.0,48161587.0,-452650325.0,-5713454.0
2020-06-22 11:13:00,-461810417.0,414246891.0,47563530.0,-455110713.0,-6699704.0
2020-06-22 11:14:00,-462238420.0,415860369.0,46378055.0,-455253238.0,-6985182.0
2020-06-22 11:15:00,-466372167.0,418787319.0,47584851.0,-460899732.0,-5472435.0
2020-06-22 11:16:00,-474081384.0,424814754.0,49266632.0,-463462148.0,-10619236.0
2020-06-22 11:17:00,-481686770.0,432106058.0,49580713.0,-466412499.0,-15274271.0
2020-06-22 11:18:00,-484166885.0,434743518.0,49423369.0,-469943535.0,-14223350.0
2020-06-22 11:19:00,-485671481.0,439025037.0,46646447.0,-472956378.0,-12715103.0
2020-06-22 11:20:00,-491826644.0,442885764.0,48940882.0,-479198731.0,-12627913.0
2020-06-22 11:21:00,-504302414.0,450779938.0,53522480.0,-476819096.0,-27483318.0
2020-06-22 11:22:00,-504059264.0,453164133.0,50895134.0,-481004470.0,-23054794.0
2020-06-22 11:23:00,-504949278.0,455234758.0,49714522.0,-480887033.0,-24062245.0
2020-06-22 11:24:00,-505797423.0,458076559.0,47720867.0,-480020913.0,-25776510.0
2020-06-22 11:25:00,-505297784.0,460395558.0,44902229.0,-479740169.0,-25557615.0
2020-06-22 11:26:00,-511272880.0,463382548.0,47890335.0,-479374968.0,-31897912.0
2020-06-22 11:27:00,-520871251.0,468782980.0,52088275.0,-479268934.0,-41602317.0
2020-06-22 11:28:00,-524721777.0,471511502.0,53210278.0,-480381512.0,-44340265.0
2020-06-22 11:29:00,-535368524.0,478584311.0,56784218.0,-481973333.0,-53395191.0
2020-06-22 11:30:00,-530556477.0,477814997.0,52741486.0,-487466937.0,-43089540.0
2020-06-22 13:01:00,-533189263.0,482549025.0,50640244.0,-489243852.0,-43945411.0
2020-06-22 13:02:00,-533629683.0,486783205.0,46846483.0,-495696619.0,-37933064.0
2020-06-22 13:03:00,-543988767.0,492217291.0,51771481.0,-503246829.0,-40741938.0
2020-06-22 13:04:00,-541353516.0,492777932.0,48575589.0,-501938909.0,-39414607.0
2020-06-22 13:05:00,-543774004.0,495792567.0,47981442.0,-505805956.0,-37968048.0
2020-06-22 13:06:00,-545031024.0,499099799.0,45931229.0,-507135212.0,-37895812.0
2020-06-22 13:07:00,-545389217.0,501237037.0,44152185.0,-500723372.0,-44665845.0
2020-06-22 13:08:00,-549385562.0,502934392.0,46451174.0,-501045087.0,-48340475.0
2020-06-22 13:09:00,-550145699.0,504216660.0,45929043.0,-506387508.0,-43758191.0
2020-06-22 13:10:00,-553406567.0,506612366.0,46794206.0,-506623051.0,-46783516.0
2020-06-22 13:11:00,-554754680.0,507219643.0,47535042.0,-505801330.0,-48953350.0
2020-06-22 13:12:00,-556788676.0,508592064.0,48196616.0,-509044931.0,-47743745.0
2020-06-22 13:13:00,-559825075.0,510351295.0,49473785.0,-511211350.0,-48613725.0
2020-06-22 13:14:00,-561160003.0,510254568.0,50905440.0,-517445997.0,-43714006.0
2020-06-22 13:15:00,-561062207.0,510493774.0,50568436.0,-515650131.0,-45412076.0
2020-06-22 13:16:00,-563579254.0,513131589.0,50447668.0,-516455906.0,-47123348.0
2020-06-22 13:17:00,-569785985.0,515581793.0,54204195.0,-523354960.0,-46431025.0
2020-06-22 13:18:00,-574269366.0,517900792.0,56368578.0,-526248148.0,-48021218.0
2020-06-22 13:19:00,-577590596.0,522271175.0,55319425.0,-525459682.0,-52130914.0
2020-06-22 13:20:00,-582858296.0,525446684.0,57411615.0,-528180325.0,-54677971.0
2020-06-22 13:21:00,-578979284.0,528328018.0,50651268.0,-528763903.0,-50215381.0
2020-06-22 13:22:00,-577931857.0,530804562.0,47127297.0,-527794317.0,-50137540.0
