datetime,main,small,mid,big,super
2020-06-29 09:31:00,-5212357.0,3523263.0,1689093.0,-170704.0,-5041653.0
2020-06-29 09:32:00,-7232906.0,3583002.0,3649902.0,-3258661.0,-3974245.0
2020-06-29 09:33:00,-10672403.0,7235044.0,3437358.0,-8030595.0,-2641808.0
2020-06-29 09:34:00,-15871054.0,13170465.0,2700587.0,-12005369.0,-3865685.0
2020-06-29 09:35:00,-26925016.0,19093646.0,7831368.0,-20988468.0,-5936548.0
2020-06-29 09:36:00,-35636329.0,24816762.0,10819563.0,-20210860.0,-15425469.0
2020-06-29 09:37:00,-47074201.0,31617912.0,15456285.0,-21758047.0,-25316154.0
2020-06-29 09:38:00,-53948035.0,37545068.0,16402963.0,-27904119.0,-26043916.0
2020-06-29 09:39:00,-53725465.0,40789570.0,12935891.0,-27359446.0,-26366019.0
2020-06-29 09:40:00,-54649552.0,41626080.0,13023466.0,-24482449.0,-30167103.0
2020-06-29 09:41:00,-47718850.0,38916042.0,8802802.0,-21400040.0,-26318810.0
2020-06-29 09:42:00,-41674314.0,36590652.0,5083655.0,-19778136.0,-21896178.0
2020-06-29 09:43:00,-38785345.0,35423368.0,3361969.0,-18579403.0,-20205942.0
2020-06-29 09:44:00,-41267367.0,34344109.0,6923250.0,-20998853.0,-20268514.0
2020-06-29 09:45:00,-38585216.0,31651549.0,6933658.0,-20798146.0,-17787070.0
2020-06-29 09:46:00,-31521626.0,27095794.0,4425823.0,-14635599.0,-16886027.0
2020-06-29 09:47:00,-33166898.0,29505545.0,3661344.0,-17310177.0,-15856721.0
2020-06-29 09:48:00,-35027078.0,31210596.0,3816472.0,-20103933.0,-14923145.0
2020-06-29 09:49:00,-35480985.0,32390998.0,3089976.0,-22067531.0,-13413454.0
2020-06-29 09:50:00,-33797604.0,31850992.0,1946600.0,-22637906.0,-11159698.0
2020-06-29 09:51:00,-34063016.0,30737527.0,3325477.0,-24342000.0,-9721016.0
2020-06-29 09:52:00,-35429817.0,33823614.0,1606192.0,-23767483.0,-11662334.0
2020-06-29 09:53:00,-31971137.0,33231249.0,-1260123.0,-23024045.0,-8947092.0
2020-06-29 09:54:00,-34581052.0,35274048.0,-693008.0,-24194793.0,-10386259.0
2020-06-29 09:55:00,-31758566.0,33966853.0,-2208297.0,-18179656.0,-13578910.0
2020-06-29 09:56:00,-34653617.0,37482650.0,-2829043.0,-20291943.0,-14361674.0
2020-06-29 09:57:00,-34132691.0,41040180.0,-6907498.0,-29578902.0,-4553789.0
2020-06-29 09:58:00,-44325734.0,47910842.0,-3585117.0,-25771081.0,-18554653.0
2020-06-29 09:59:00,-46145791.0,50915170.0,-4769388.0,-27045729.0,-19100062.0
