datetime,main,small,mid,big,super
2020-06-30 09:31:00,104487.0,1924246.0,-2028733.0,-75602.0,180089.0
2020-06-30 09:32:00,-246034.0,2414835.0,-2168801.0,-632708.0,386674.0
2020-06-30 09:33:00,-4884107.0,5027608.0,-143501.0,947632.0,-5831739.0
2020-06-30 09:34:00,-4885869.0,6063375.0,-1177504.0,1343350.0,-6229219.0
2020-06-30 09:35:00,-6641200.0,6635187.0,6014.0,2116702.0,-8757902.0
2020-06-30 09:36:00,-6986647.0,6796879.0,189769.0,2843776.0,-9830423.0
2020-06-30 09:37:00,-12434445.0,10828685.0,1605762.0,4073664.0,-16508109.0
2020-06-30 09:38:00,-13681961.0,11682186.0,1999776.0,2566273.0,-16248234.0
2020-06-30 09:39:00,-13239674.0,12697247.0,542428.0,3164485.0,-16404159.0
2020-06-30 09:40:00,-14101934.0,14708496.0,-606561.0,2302225.0,-16404159.0
2020-06-30 09:41:00,-15698164.0,16267558.0,-569392.0,2130744.0,-17828908.0
2020-06-30 09:42:00,-17716153.0,17821152.0,-104996.0,1062699.0,-18778852.0
2020-06-30 09:43:00,-16721717.0,17878655.0,-1156934.0,1171073.0,-17892790.0
2020-06-30 09:44:00,-17567623.0,19581107.0,-2013480.0,708663.0,-18276286.0
2020-06-30 09:45:00,-22255423.0,22183248.0,72179.0,1061740.0,-23317163.0
2020-06-30 09:46:00,-21030953.0,22758570.0,-1727614.0,2539826.0,-23570779.0
2020-06-30 09:47:00,-21465436.0,25003495.0,-3538056.0,2755071.0,-24220507.0
2020-06-30 09:48:00,-20583380.0,25458681.0,-4875298.0,3974124.0,-24557504.0
2020-06-30 09:49:00,-17730872.0,24954555.0,-7223681.0,6558431.0,-24289303.0
2020-06-30 09:50:00,-18541479.0,25776119.0,-7234638.0,7299139.0,-25840618.0
2020-06-30 09:51:00,-22757667.0,28252710.0,-5495041.0,5927849.0,-28685516.0
2020-06-30 09:52:00,-23232748.0,28322011.0,-5089261.0,5335677.0,-28568425.0
2020-06-30 09:53:00,-23493769.0,29350085.0,-5856313.0,4038577.0,-27532346.0
2020-06-30 09:54:00,-22995914.0,29485662.0,-6489745.0,3490481.0,-26486395.0
2020-06-30 09:55:00,-21454336.0,29358812.0,-7904472.0,5032059.0,-26486395.0
2020-06-30 09:56:00,-22275981.0,30306473.0,-8030489.0,5164193.0,-27440174.0
2020-06-30 09:57:00,-22292690.0,31096118.0,-8803425.0,5147484.0,-27440174.0
2020-06-30 09:58:00,-23899835.0,32037574.0,-8137735.0,3611079.0,-27510914.0
2020-06-30 09:59:00,-21208632.0,30553380.0,-9344743.0,6745470.0,-27954102.0
2020-06-30 10:00:00,-17268049.0,27859983.0,-10591929.0,6435719.0,-23703768.0
2020-06-30 10:01:00,-17504987.0,28865472.0,-11360479.0,6198781.0,-23703768.0
2020-06-30 10:02:00,-18546021.0,29646508.0,-11100481.0,5157747.0,-23703768.0
2020-06-30 10:03:00,-18882288.0,30682727.0,-11800433.0,4821480.0,-23703768.0
2020-06-30 10:04:00,-21306621.0,32258544.0,-10951917.0,1193787.0,-22500408.0
2020-06-30 10:05:00,-22889897.0,33655911.0,-10766007.0,-389489.0,-22500408.0
2020-06-30 10:06:00,-21648898.0,33265098.0,-11616194.0,851510.0,-22500408.0
2020-06-30 10:07:00,-23685562.0,34939498.0,-11253930.0,2738202.0,-26423764.0
2020-06-30 10:08:00,-24355026.0,35846632.0,-11491601.0,2387158.0,-26742184.0
2020-06-30 10:09:00,-23314696.0,36085913.0,-12771211.0,2043944.0,-25358640.0
2020-06-30 10:10:00,-24766514.0,36515307.0,-11748787.0,1651954.0,-26418468.0
2020-06-30 10:11:00,-28331540.0,38506719.0,-10175173.0,-1913072.0,-26418468.0
2020-06-30 10:12:00,-29828041.0,38695837.0,-8867790.0,-3386083.0,-26441958.0
2020-06-30 10:13:00,-33927304.0,40397338.0,-6470029.0,-3937970.0,-29989334.0
2020-06-30 10:14:00,-36858765.0,41750875.0,-4892106.0,-5823111.0,-31035654.0
2020-06-30 10:15:00,-36287420.0,40519010.0,-4231586.0,-3926796.0,-32360624.0
2020-06-30 10:16:00,-35611338.0,40117255.0,-4505913.0,-3250714.0,-32360624.0
2020-06-30 10:17:00,-36035108.0,40842953.0,-4807842.0,-2416084.0,-33619024.0
2020-06-30 10:18:00,-37922741.0,42231010.0,-4308267.0,-4303717.0,-33619024.0
2020-06-30 10:19:00,-41862303.0,43928791.0,-2066486.0,-6636381.0,-35225922.0
2020-06-30 10:20:00,-41269120.0,43833045.0,-2563923.0,-6043198.0,-35225922.0
2020-06-30 10:21:00,-37668206.0,42981913.0,-5313705.0,-2756894.0,-34911312.0
2020-06-30 10:22:00,-39250130.0,43372554.0,-4122422.0,-4421052.0,-34829078.0
2020-06-30 10:23:00,-40313081.0,43974048.0,-3660965.0,-3016323.0,-37296758.0
2020-06-30 10:24:00,-37877948.0,43112349.0,-5234399.0,-2079927.0,-35798021.0
2020-06-30 10:25:00,-34968417.0,41201317.0,-6232898.0,366564.0,-35334981.0
2020-06-30 10:26:00,-31739277.0,40173937.0,-8434658.0,3595704.0,-35334981.0
2020-06-30 10:27:00,-33220833.0,41023855.0,-7803020.0,4291641.0,-37512474.0
2020-06-30 10:28:00,-32729150.0,40685142.0,-7955990.0,4783324.0,-37512474.0
2020-06-30 10:29:00,-33501792.0,41280983.0,-7779189.0,4010682.0,-37512474.0
2020-06-30 10:30:00,-33400371.0,41291131.0,-7890758.0,4112103.0,-37512474.0
2020-06-30 10:31:00,-34694650.0,41558117.0,-6863466.0,3862426.0,-38557076.0
2020-06-30 10:32:00,-35391635.0,42779895.0,-7388260.0,2980131.0,-38371766.0
2020-06-30 10:33:00,-35776957.0,43197005.0,-7420049.0,2594809.0,-38371766.0
2020-06-30 10:34:00,-35659417.0,43665692.0,-8006276.0,2712349.0,-38371766.0
2020-06-30 10:35:00,-36649004.0,44353586.0,-7704583.0,1722762.0,-38371766.0
2020-06-30 10:36:00,-37449175.0,45044556.0,-7595381.0,1144948.0,-38594123.0
2020-06-30 10:37:00,-39135593.0,45825249.0,-6689657.0,-541470.0,-38594123.0
2020-06-30 10:38:00,-38080930.0,44764435.0,-6683507.0,152338.0,-38233268.0
2020-06-30 10:39:00,-43760840.0,46716378.0,-2955540.0,-1358576.0,-42402264.0
2020-06-30 10:40:00,-45025961.0,47327003.0,-2301043.0,-934171.0,-44091790.0
2020-06-30 10:41:00,-46880035.0,48751857.0,-1871823.0,-1398498.0,-45481537.0
2020-06-30 10:42:00,-48267097.0,50140460.0,-1873364.0,-1390949.0,-46876148.0
2020-06-30 10:43:00,-50340086.0,51484441.0,-1144356.0,-2362640.0,-47977446.0
2020-06-30 10:44:00,-49699387.0,52038076.0,-2338690.0,-3172840.0,-46526547.0
2020-06-30 10:45:00,-52887784.0,53929357.0,-1041572.0,-3492927.0,-49394857.0
2020-06-30 10:46:00,-59320289.0,58365967.0,954324.0,-4266737.0,-55053552.0
2020-06-30 10:47:00,-62544522.0,60833076.0,1711449.0,-5816422.0,-56728100.0
