,f12,f13,f14,f62
0,BK0473,90,券商信托,2884177664.0
1,BK0480,90,航天航空,1672340528.0
2,BK0478,90,有色金属,1128313904.0
3,BK0474,90,保险,737663744.0
4,BK0729,90,船舶制造,731621568.0
5,BK0447,90,电子信息,681991936.0
6,BK0425,90,工程建设,578619552.0
7,BK0479,90,钢铁行业,484088528.0
8,BK0738,90,多元金融,457128816.0
9,BK0732,90,贵金属,442106208.0
10,BK0737,90,软件服务,425058304.0
11,BK0736,90,电信运营,409486832.0
12,BK0457,90,输配电气,260625024.0
13,BK0485,90,旅游酒店,244624704.0
14,BK0428,90,电力行业,241300048.0
15,BK0484,90,国际贸易,164461520.0
16,BK0454,90,塑胶制品,110949552.0
17,BK0476,90,木业家具,87093287.0
18,BK0427,90,公用事业,85762652.0
19,BK0421,90,高速公路,60641389.0
20,BK0731,90,化肥行业,29573066.0
21,BK0725,90,装修装饰,22376828.0
22,BK0429,90,交运设备,16780800.0
23,BK0424,90,水泥建材,11723568.0
24,BK0420,90,民航机场,7975584.0
25,BK0734,90,珠宝首饰,-2645666.0
26,BK0440,90,工艺商品,-13562859.0
27,BK0437,90,煤炭采选,-25081344.0
28,BK0726,90,园林工程,-26855433.0
29,BK0470,90,造纸印刷,-28645792.0
30,BK0740,90,文教休闲,-66461888.0
31,BK0458,90,仪器仪表,-109103648.0
32,BK0438,90,食品饮料,-119778416.0
33,BK0471,90,化纤行业,-130092816.0
34,BK0730,90,农药兽药,-154723728.0
35,BK0739,90,金属制品,-155887584.0
36,BK0450,90,港口水运,-158790080.0
37,BK0464,90,石油行业,-190519680.0
38,BK0728,90,环保工程,-204302512.0
39,BK0436,90,纺织服装,-233984256.0
40,BK0482,90,商业百货,-272349904.0
41,BK0539,90,综合行业,-304277904.0
42,BK0733,90,包装材料,-314862544.0
43,BK0735,90,安防设备,-352544640.0
44,BK0546,90,玻璃陶瓷,-371093856.0
45,BK0538,90,化工行业,-464244448.0
46,BK0422,90,交运物流,-480346672.0
47,BK0537,90,材料行业,-502127808.0
48,BK0545,90,机械行业,-574564224.0
49,BK0448,90,通讯行业,-606299904.0
50,BK0910,90,专用设备,-693422336.0
51,BK0475,90,银行,-1203914496.0
52,BK0477,90,酿酒行业,-1323719936.0
53,BK0456,90,家电行业,-1487271872.0
54,BK0727,90,医疗行业,-1683416416.0
55,BK0433,90,农牧饲渔,-1801494576.0
56,BK0481,90,汽车行业,-1805427264.0
57,BK0451,90,房地产,-1874141952.0
58,BK0486,90,文化传媒,-3264826832.0
59,BK0459,90,电子元件,-3648095488.0
60,BK0465,90,医药制造,-4421917696.0
