date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-12917734144.0,12898708992.0,19021824.0,-7621041408.0,-5296692736.0,-6.36,6.35,0.01,-3.75,-2.61,6869.35,-1.37,0.0,0.0
2020-01-09,-1118201600.0,1861609728.0,-743407872.0,-2052275200.0,934073600.0,-0.59,0.98,-0.39,-1.08,0.49,6997.64,1.87,0.0,0.0
2020-01-10,-7226721024.0,7406316544.0,-179595264.0,-5406423552.0,-1820297472.0,-4.2,4.31,-0.1,-3.14,-1.06,6981.08,-0.24,0.0,0.0
2020-01-13,521300736.0,2375678464.0,-2896978944.0,-3829374976.0,4350675712.0,0.28,1.3,-1.58,-2.09,2.38,7118.54,1.97,0.0,0.0
2020-01-14,-8689707520.0,8807881984.0,-118174464.0,-6320240128.0,-2369467392.0,-4.54,4.61,-0.06,-3.31,-1.24,7114.85,-0.05,0.0,0.0
2020-01-15,-6697455104.0,7444939264.0,-747484416.0,-5749419264.0,-948035840.0,-3.98,4.43,-0.44,-3.42,-0.56,7125.42,0.15,0.0,0.0
2020-01-16,-6467572224.0,6861635584.0,-394063872.0,-4268559872.0,-2199012352.0,-3.82,4.05,-0.23,-2.52,-1.3,7130.16,0.07,0.0,0.0
2020-01-17,-8511711744.0,8274156032.0,237555712.0,-4788778752.0,-3722932992.0,-5.21,5.07,0.15,-2.93,-2.28,7110.72,-0.27,0.0,0.0
2020-01-20,-278995456.0,2258572032.0,-1979576320.0,-2677239808.0,2398244352.0,-0.16,1.27,-1.12,-1.51,1.35,7237.24,1.78,0.0,0.0
2020-01-21,-11765277184.0,10332387328.0,1432889856.0,-7062218752.0,-4703058432.0,-6.84,6.01,0.83,-4.11,-2.74,7144.73,-1.28,0.0,0.0
2020-01-22,-2071531776.0,4162723072.0,-2091191296.0,-3478335232.0,1406803456.0,-1.12,2.25,-1.13,-1.88,0.76,7281.65,1.92,0.0,0.0
2020-01-23,-18782588160.0,16773660160.0,2008928256.0,-10247715584.0,-8534872576.0,-9.09,8.12,0.97,-4.96,-4.13,7040.36,-3.31,0.0,0.0
2020-02-03,-5294801408.0,7090177792.0,-1795376640.0,-6163155968.0,868354560.0,-4.88,6.53,-1.65,-5.68,0.8,6433.43,-8.62,0.0,0.0
2020-02-04,-8645254912.0,9259577344.0,-614326272.0,-7481681408.0,-1163573504.0,-3.7,3.96,-0.26,-3.2,-0.5,6669.46,3.67,0.0,0.0
2020-02-05,-6385197568.0,7368770304.0,-983572480.0,-6131896576.0,-253300992.0,-2.76,3.19,-0.43,-2.65,-0.11,6815.68,2.19,0.0,0.0
2020-02-06,-3007465728.0,4549569536.0,-1542103040.0,-4073996288.0,1066530560.0,-1.23,1.86,-0.63,-1.67,0.44,7006.25,2.8,0.0,0.0
2020-02-07,-11911409408.0,10926465280.0,984944640.0,-6463262208.0,-5448147200.0,-4.82,4.42,0.4,-2.61,-2.2,6996.56,-0.14,0.0,0.0
2020-02-10,-8038139392.0,7073241856.0,964898816.0,-5498229760.0,-2539909632.0,-3.45,3.03,0.41,-2.36,-1.09,7061.57,0.93,0.0,0.0
2020-02-11,-6727925504.0,7107118336.0,-379191296.0,-5013512704.0,-1714412800.0,-3.14,3.32,-0.18,-2.34,-0.8,7109.18,0.67,0.0,0.0
2020-02-12,946479616.0,1689661696.0,-2636140544.0,-3087212544.0,4033692160.0,0.45,0.8,-1.25,-1.46,1.91,7221.48,1.58,0.0,0.0
2020-02-13,-11166482944.0,11102930688.0,63553536.0,-7201866240.0,-3964616704.0,-4.88,4.86,0.03,-3.15,-1.73,7172.58,-0.68,0.0,0.0
2020-02-14,-7428977152.0,8405550336.0,-976576512.0,-5612369664.0,-1816607488.0,-3.46,3.91,-0.45,-2.61,-0.85,7215.13,0.59,0.0,0.0
2020-02-17,2867852032.0,-52845568.0,-2815008768.0,-1614319104.0,4482171136.0,1.19,-0.02,-1.17,-0.67,1.86,7431.55,3.0,0.0,0.0
2020-02-18,-7668941824.0,7670018048.0,-1081344.0,-5175621888.0,-2493319936.0,-2.9,2.9,-0.0,-1.96,-0.94,7447.63,0.22,0.0,0.0
2020-02-19,-12948175616.0,13083611136.0,-135434240.0,-8125443328.0,-4822732288.0,-4.54,4.59,-0.05,-2.85,-1.69,7400.57,-0.63,0.0,0.0
2020-02-20,-670853120.0,3835772928.0,-3164921856.0,-3818201088.0,3147347968.0,-0.24,1.38,-1.14,-1.37,1.13,7589.16,2.55,0.0,0.0
2020-02-21,-3832547328.0,6378573824.0,-2546024448.0,-4881928192.0,1049380864.0,-1.23,2.05,-0.82,-1.57,0.34,7686.88,1.29,0.0,0.0
2020-02-24,-7431106560.0,8153702400.0,-722599936.0,-5953044480.0,-1478062080.0,-2.24,2.46,-0.22,-1.8,-0.45,7786.66,1.3,0.0,0.0
2020-02-25,-13711420160.0,14506733568.0,-795312128.0,-11090579456.0,-2620840704.0,-3.47,3.67,-0.2,-2.81,-0.66,7880.87,1.21,0.0,0.0
2020-02-26,-26989706496.0,21859569664.0,5130137600.0,-12298276864.0,-14691429632.0,-7.53,6.1,1.43,-3.43,-4.1,7591.81,-3.67,0.0,0.0
2020-02-27,-9436685824.0,9234931712.0,201752576.0,-5408055296.0,-4028630528.0,-3.29,3.22,0.07,-1.89,-1.41,7597.13,0.07,0.0,0.0
2020-02-28,-25181116672.0,22329253888.0,2851856384.0,-13481185280.0,-11699931392.0,-8.33,7.39,0.94,-4.46,-3.87,7256.44,-4.48,0.0,0.0
2020-03-02,-1198659584.0,1799090176.0,-600432640.0,-1664753664.0,466094080.0,-0.43,0.65,-0.22,-0.6,0.17,7510.47,3.5,0.0,0.0
2020-03-03,-9972895744.0,9656168448.0,316727296.0,-7411101696.0,-2561794048.0,-3.14,3.04,0.1,-2.33,-0.81,7563.93,0.71,0.0,0.0
2020-03-04,-12889442560.0,11387641856.0,1501798400.0,-6835964928.0,-6053477632.0,-4.82,4.26,0.56,-2.56,-2.26,7532.92,-0.41,0.0,0.0
2020-03-05,-3857071104.0,5622898688.0,-1765826560.0,-4478881792.0,621810688.0,-1.29,1.88,-0.59,-1.5,0.21,7633.78,1.34,0.0,0.0
2020-03-06,-10969264384.0,11460825088.0,-491565056.0,-6873547776.0,-4095716608.0,-4.16,4.35,-0.19,-2.61,-1.55,7566.09,-0.89,0.0,0.0
2020-03-09,-29240010496.0,25444524032.0,3795484672.0,-15117215488.0,-14122795008.0,-9.92,8.63,1.29,-5.13,-4.79,7232.9,-4.4,0.0,0.0
2020-03-10,453249280.0,3684298752.0,-4137545728.0,-2954788864.0,3408038144.0,0.15,1.25,-1.41,-1.0,1.16,7434.47,2.79,0.0,0.0
2020-03-11,-15393159424.0,14190895104.0,1202262016.0,-9100606208.0,-6292553216.0,-5.74,5.29,0.45,-3.39,-2.35,7295.67,-1.87,0.0,0.0
2020-03-12,-17898714880.0,16612802816.0,1285910528.0,-9476404992.0,-8422309888.0,-7.84,7.27,0.56,-4.15,-3.69,7124.04,-2.35,0.0,0.0
2020-03-13,-6407118592.0,8428810240.0,-2021695488.0,-5971034624.0,-436083968.0,-2.49,3.27,-0.78,-2.32,-0.17,7052.24,-1.01,0.0,0.0
2020-03-16,-27906439936.0,23968006400.0,3938435072.0,-13329830400.0,-14576609536.0,-10.88,9.35,1.54,-5.2,-5.68,6644.45,-5.78,0.0,0.0
2020-03-17,-6612667392.0,7831075328.0,-1218408448.0,-5302799360.0,-1309868032.0,-3.06,3.62,-0.56,-2.45,-0.61,6616.35,-0.42,0.0,0.0
2020-03-18,-8504940800.0,9212199168.0,-707256320.0,-6689373184.0,-1815567616.0,-3.72,4.03,-0.31,-2.92,-0.79,6546.81,-1.05,0.0,0.0
2020-03-19,-4720781568.0,6253713152.0,-1532932096.0,-4348651776.0,-372129792.0,-2.25,2.98,-0.73,-2.07,-0.18,6588.88,0.64,0.0,0.0
2020-03-20,-8394490112.0,7988824064.0,405666048.0,-4724882688.0,-3669607424.0,-4.37,4.16,0.21,-2.46,-1.91,6635.79,0.71,0.0,0.0
2020-03-23,-15781181696.0,15360895232.0,420286464.0,-9437970688.0,-6343211008.0,-8.32,8.1,0.22,-4.97,-3.34,6301.5,-5.04,0.0,0.0
2020-03-24,-3824918528.0,5331773696.0,-1506855168.0,-3437394944.0,-387523584.0,-2.02,2.81,-0.8,-1.81,-0.2,6422.39,1.92,0.0,0.0
2020-03-25,2430050816.0,101032960.0,-2531082752.0,-642956032.0,3073006848.0,1.2,0.05,-1.25,-0.32,1.52,6655.65,3.63,0.0,0.0
2020-03-26,-11634359808.0,11508662784.0,125696768.0,-6248781056.0,-5385578752.0,-6.32,6.25,0.07,-3.39,-2.93,6595.98,-0.9,0.0,0.0
2020-03-27,-9295333888.0,9839733760.0,-544399616.0,-5383735296.0,-3911598592.0,-5.49,5.81,-0.32,-3.18,-2.31,6545.82,-0.76,0.0,0.0
2020-03-30,-10470171392.0,10347804160.0,122367232.0,-6195289344.0,-4274882048.0,-6.02,5.95,0.07,-3.56,-2.46,6416.88,-1.97,0.0,0.0
2020-03-31,-3107342592.0,5154972416.0,-2047629824.0,-3728079616.0,620737024.0,-1.97,3.27,-1.3,-2.36,0.39,6504.09,1.36,0.0,0.0
2020-04-01,-2582281984.0,4571897088.0,-1989615360.0,-3062723840.0,480441856.0,-1.53,2.71,-1.18,-1.82,0.28,6502.4,-0.03,0.0,0.0
2020-04-02,3869537024.0,-588864256.0,-3280673024.0,-211143424.0,4080680448.0,2.26,-0.34,-1.91,-0.12,2.38,6683.15,2.78,0.0,0.0
2020-04-03,-6809579520.0,7543641344.0,-734061568.0,-4894051072.0,-1915528448.0,-4.06,4.5,-0.44,-2.92,-1.14,6632.78,-0.75,0.0,0.0
2020-04-07,5188610560.0,-1650369280.0,-3538239488.0,321816576.0,4866793984.0,2.51,-0.8,-1.71,0.16,2.35,6857.98,3.4,0.0,0.0
2020-04-08,-10280731136.0,9797733632.0,482997248.0,-5670400000.0,-4610331136.0,-5.35,5.1,0.25,-2.95,-2.4,6814.78,-0.63,0.0,0.0
2020-04-09,-3199342080.0,4676949248.0,-1477607168.0,-2925740544.0,-273601536.0,-1.77,2.58,-0.82,-1.61,-0.15,6851.49,0.54,0.0,0.0
2020-04-10,-15837564672.0,15764358656.0,73206016.0,-8655743488.0,-7181821184.0,-8.87,8.83,0.04,-4.85,-4.02,6705.05,-2.14,0.0,0.0
2020-04-13,-6915398912.0,7450662144.0,-535263488.0,-4595644416.0,-2319754496.0,-5.12,5.52,-0.4,-3.4,-1.72,6617.78,-1.3,0.0,0.0
2020-04-14,3447995904.0,-1127354624.0,-2320641280.0,-235721472.0,3683717376.0,2.11,-0.69,-1.42,-0.14,2.25,6827.35,3.17,0.0,0.0
2020-04-15,-3710765568.0,5796282880.0,-2085517312.0,-4367757824.0,656992256.0,-1.92,3.01,-1.08,-2.27,0.34,6808.43,-0.28,0.0,0.0
2020-04-16,-1654491648.0,3862063616.0,-2207572224.0,-2859713536.0,1205221888.0,-0.97,2.27,-1.3,-1.68,0.71,6842.36,0.5,0.0,0.0
2020-04-17,-5684540672.0,7301391360.0,-1616850944.0,-4920332800.0,-764207872.0,-2.69,3.46,-0.77,-2.33,-0.36,6887.65,0.66,0.0,0.0
2020-04-20,-2135885568.0,3132757504.0,-996871680.0,-2935762944.0,799877376.0,-1.22,1.8,-0.57,-1.68,0.46,6950.78,0.92,0.0,0.0
2020-04-21,-12063471104.0,11451456000.0,612014848.0,-6560305920.0,-5503165184.0,-6.56,6.23,0.33,-3.57,-2.99,6877.33,-1.06,0.0,0.0
2020-04-22,166548736.0,2006498048.0,-2173046528.0,-2009866752.0,2176415488.0,0.1,1.15,-1.25,-1.15,1.25,6946.99,1.01,0.0,0.0
2020-04-23,-10030529536.0,10002685184.0,27844352.0,-6625337088.0,-3405192448.0,-5.13,5.12,0.01,-3.39,-1.74,6882.87,-0.92,0.0,0.0
2020-04-24,-15302508544.0,14620143360.0,682365696.0,-8144846080.0,-7157662464.0,-8.43,8.06,0.38,-4.49,-3.94,6795.83,-1.26,0.0,0.0
2020-04-27,-4297584384.0,5450081024.0,-1152496640.0,-3860282112.0,-437302272.0,-2.79,3.54,-0.75,-2.5,-0.28,6852.44,0.83,0.0,0.0
2020-04-28,-5383083264.0,7292184576.0,-1909101312.0,-5368344320.0,-14738944.0,-2.92,3.96,-1.04,-2.91,-0.01,6916.54,0.94,0.0,0.0
2020-04-29,-5066785280.0,5455441664.0,-388656640.0,-3309645568.0,-1757139712.0,-3.56,3.84,-0.27,-2.33,-1.24,6926.1,0.14,0.0,0.0
2020-04-30,5557543168.0,-1559134208.0,-3998408704.0,202192384.0,5355350784.0,3.1,-0.87,-2.23,0.11,2.99,7087.23,2.33,0.0,0.0
2020-05-06,-957931008.0,1808428544.0,-850497536.0,-2021773312.0,1063842304.0,-0.5,0.95,-0.45,-1.06,0.56,7189.03,1.44,0.0,0.0
2020-05-07,-7214915584.0,7080461824.0,134453760.0,-4375124224.0,-2839791360.0,-3.91,3.83,0.07,-2.37,-1.54,7169.22,-0.28,0.0,0.0
2020-05-08,-3301048832.0,4510812160.0,-1209763328.0,-2966921216.0,-334127616.0,-1.78,2.44,-0.65,-1.6,-0.18,7231.93,0.87,0.0,0.0
2020-05-11,-11345714688.0,10606573312.0,739141376.0,-6228295680.0,-5117419008.0,-5.97,5.58,0.39,-3.28,-2.69,7180.56,-0.71,0.0,0.0
2020-05-12,-5113735168.0,6653144320.0,-1539409152.0,-5055383808.0,-58351360.0,-3.09,4.02,-0.93,-3.05,-0.04,7202.65,0.31,0.0,0.0
2020-05-13,-1924685056.0,3115840256.0,-1191154944.0,-3010572288.0,1085887232.0,-1.14,1.85,-0.71,-1.79,0.65,7259.07,0.78,0.0,0.0
2020-05-14,-9500826368.0,9788485888.0,-287659520.0,-5966757632.0,-3534068736.0,-5.44,5.61,-0.16,-3.42,-2.02,7163.63,-1.31,0.0,0.0
2020-05-15,-4155255808.0,5477590272.0,-1322334208.0,-3945078016.0,-210177792.0,-2.46,3.25,-0.78,-2.34,-0.12,7164.75,0.02,0.0,0.0
2020-05-18,-15095563008.0,13200221696.0,1895342080.0,-7367417856.0,-7728145152.0,-7.54,6.59,0.95,-3.68,-3.86,7097.87,-0.93,0.0,0.0
2020-05-19,714108416.0,2074236160.0,-2788344576.0,-2524561408.0,3238669824.0,0.41,1.18,-1.58,-1.43,1.84,7224.02,1.78,0.0,0.0
2020-05-20,-10946140672.0,11156179200.0,-210038528.0,-6953123840.0,-3993016832.0,-5.88,5.99,-0.11,-3.73,-2.14,7152.78,-0.99,0.0,0.0
2020-05-21,-10708649472.0,11085777152.0,-377127424.0,-6540999424.0,-4167650048.0,-6.18,6.4,-0.22,-3.78,-2.41,7068.03,-1.18,0.0,0.0
2020-05-22,-9836355328.0,10400279808.0,-563924480.0,-6378519296.0,-3457836032.0,-6.35,6.72,-0.36,-4.12,-2.23,6940.1,-1.81,0.0,0.0
2020-05-25,-5446935552.0,6434154752.0,-987219200.0,-4044720640.0,-1402214912.0,-4.21,4.97,-0.76,-3.12,-1.08,6901.42,-0.56,0.0,0.0
2020-05-26,3920718336.0,-1640442880.0,-2280275200.0,-104272384.0,4024990720.0,2.73,-1.14,-1.59,-0.07,2.8,7047.88,2.12,0.0,0.0
2020-05-27,-6952684288.0,7713129472.0,-760445184.0,-4536745728.0,-2415938560.0,-4.45,4.94,-0.49,-2.9,-1.55,6952.41,-1.35,0.0,0.0
2020-05-28,-7669335552.0,8404813568.0,-735478272.0,-5676991744.0,-1992343808.0,-4.95,5.43,-0.47,-3.67,-1.29,6929.3,-0.33,0.0,0.0
2020-05-29,891521792.0,1445184000.0,-2336705792.0,-1632769536.0,2524291328.0,0.6,0.97,-1.56,-1.09,1.69,6995.42,0.95,0.0,0.0
2020-06-01,9083046144.0,-4736750848.0,-4346297088.0,304232960.0,8778813184.0,4.58,-2.39,-2.19,0.15,4.43,7244.18,3.56,0.0,0.0
2020-06-02,-9297330176.0,9476985088.0,-179658752.0,-5766354432.0,-3530975744.0,-4.24,4.32,-0.08,-2.63,-1.61,7248.87,0.06,0.0,0.0
2020-06-03,-1779294720.0,4972772096.0,-3193475072.0,-4343097344.0,2563802624.0,-0.81,2.27,-1.46,-1.98,1.17,7286.87,0.52,0.0,0.0
2020-06-04,-8289182976.0,8105680128.0,183503104.0,-5341829632.0,-2947353344.0,-4.67,4.56,0.1,-3.01,-1.66,7290.25,0.05,0.0,0.0
2020-06-05,-7436775424.0,7855091456.0,-418316288.0,-4669731072.0,-2767044352.0,-4.44,4.69,-0.25,-2.79,-1.65,7333.62,0.59,0.0,0.0
2020-06-08,-6779099136.0,6878868480.0,-99769088.0,-3955503104.0,-2823596032.0,-3.9,3.96,-0.06,-2.28,-1.62,7334.48,0.01,0.0,0.0
2020-06-09,-2035272960.0,3635713792.0,-1600440832.0,-3021763072.0,986490112.0,-1.27,2.27,-1.0,-1.88,0.61,7387.06,0.72,0.0,0.0
2020-06-10,-4280914688.0,5474080768.0,-1193166592.0,-3628033792.0,-652880896.0,-2.6,3.32,-0.72,-2.2,-0.4,7439.58,0.71,0.0,0.0
2020-06-11,-6156532480.0,7683700480.0,-1527167744.0,-4777575936.0,-1378956544.0,-3.24,4.05,-0.8,-2.52,-0.73,7395.54,-0.59,0.0,0.0
