date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-14846554.0,9077660.0,5768894.0,-6748580.0,-8097974.0,-11.77,7.2,4.57,-5.35,-6.42,4.88,-2.98,0.0,0.0
2020-01-09,20075262.0,-19438982.0,-636279.0,4741243.0,15334019.0,7.6,-7.36,-0.24,1.79,5.8,5.06,3.69,0.0,0.0
2020-01-10,6820825.0,-8006923.0,1186099.0,1273961.0,5546864.0,2.96,-3.47,0.51,0.55,2.41,5.13,1.38,0.0,0.0
2020-01-13,-14053161.0,10885760.0,3167402.0,-2464067.0,-11589094.0,-8.84,6.85,1.99,-1.55,-7.29,5.07,-1.17,0.0,0.0
2020-01-14,7341527.0,-1823698.0,-5517829.0,8693960.0,-1352433.0,5.42,-1.35,-4.07,6.42,-1.0,5.08,0.2,0.0,0.0
2020-01-15,-19952118.0,12366836.0,7585283.0,-9189203.0,-10762915.0,-18.6,11.53,7.07,-8.57,-10.03,4.96,-2.36,0.0,0.0
2020-01-16,-23628887.0,20863529.0,2765359.0,-8267803.0,-15361084.0,-24.26,21.42,2.84,-8.49,-15.77,4.86,-2.02,0.0,0.0
2020-01-17,-13259084.0,13086754.0,172331.0,-11591066.0,-1668018.0,-19.47,19.22,0.25,-17.02,-2.45,4.84,-0.41,0.0,0.0
2020-01-20,-1980735.0,3092220.0,-1111486.0,1169195.0,-3149930.0,-3.04,4.75,-1.71,1.8,-4.84,4.9,1.24,0.0,0.0
2020-01-21,-11184668.0,9541508.0,1643161.0,-7039749.0,-4144919.0,-14.18,12.09,2.08,-8.92,-5.25,4.76,-2.86,0.0,0.0
2020-01-22,-10048793.0,4055006.0,5993787.0,-8390418.0,-1658375.0,-14.89,6.01,8.88,-12.43,-2.46,4.77,0.21,0.0,0.0
2020-01-23,-14236587.0,11331097.0,2905490.0,-14727688.0,491101.0,-14.53,11.57,2.97,-15.03,0.5,4.6,-3.56,0.0,0.0
2020-02-03,-5915922.0,4755767.0,1160157.0,-5371463.0,-544459.0,-26.79,21.53,5.25,-24.32,-2.47,4.14,-10.0,0.0,0.0
2020-02-04,-14911175.0,13875089.0,1036086.0,-10131858.0,-4779317.0,-13.22,12.3,0.92,-8.98,-4.24,4.05,-2.17,0.0,0.0
2020-02-05,-12178197.0,5992437.0,6185760.0,-9597298.0,-2580899.0,-12.63,6.22,6.42,-9.96,-2.68,4.1,1.23,0.0,0.0
2020-02-06,-4842049.0,2276685.0,2565365.0,-2375569.0,-2466480.0,-6.14,2.89,3.25,-3.01,-3.13,4.17,1.71,0.0,0.0
2020-02-07,-6989974.0,4606561.0,2383414.0,-4402568.0,-2587406.0,-10.29,6.78,3.51,-6.48,-3.81,4.15,-0.48,0.0,0.0
2020-02-10,15387809.0,-11303188.0,-4084620.0,5559699.0,9828110.0,12.74,-9.36,-3.38,4.6,8.13,4.34,4.58,0.0,0.0
2020-02-11,10925157.0,2499493.0,-13424650.0,15731587.0,-4806430.0,5.27,1.21,-6.48,7.59,-2.32,4.57,5.3,0.0,0.0
2020-02-12,16515619.0,-13099602.0,-3416016.0,14521137.0,1994482.0,6.38,-5.06,-1.32,5.61,0.77,4.79,4.81,0.0,0.0
2020-02-13,7564551.0,2884989.0,-10449541.0,5515294.0,2049257.0,1.74,0.66,-2.4,1.27,0.47,5.0,4.38,0.0,0.0
2020-02-14,-35032744.0,25027514.0,10005229.0,-5653417.0,-29379327.0,-12.53,8.95,3.58,-2.02,-10.51,4.77,-4.6,0.0,0.0
2020-02-17,-6726047.0,3252477.0,3473569.0,-10470382.0,3744335.0,-3.51,1.7,1.81,-5.47,1.95,4.83,1.26,0.0,0.0
2020-02-18,-5235526.0,497328.0,4738198.0,-11118463.0,5882937.0,-1.78,0.17,1.61,-3.77,2.0,4.96,2.69,0.0,0.0
2020-02-19,33704959.0,-20416131.0,-13288827.0,11100175.0,22604784.0,5.78,-3.5,-2.28,1.9,3.88,5.31,7.06,0.0,0.0
2020-02-20,-32695177.0,9805675.0,22889503.0,-11214609.0,-21480568.0,-7.66,2.3,5.36,-2.63,-5.03,5.32,0.19,0.0,0.0
2020-02-21,-14962884.0,15882644.0,-919760.0,-4521337.0,-10441547.0,-3.54,3.76,-0.22,-1.07,-2.47,5.34,0.38,0.0,0.0
2020-02-24,-192744.0,6208774.0,-6016031.0,-13610143.0,13417399.0,-0.03,1.13,-1.09,-2.47,2.43,5.6,4.87,0.0,0.0
2020-02-25,152573483.0,-58522790.0,-94050695.0,-14919492.0,167492975.0,18.32,-7.03,-11.29,-1.79,20.11,6.16,10.0,0.0,0.0
2020-02-26,-164079640.0,105993628.0,58086032.0,-64667136.0,-99412504.0,-12.77,8.25,4.52,-5.03,-7.74,5.98,-2.92,0.0,0.0
2020-02-27,-77702462.0,54543220.0,23159242.0,-26400900.0,-51301562.0,-11.19,7.86,3.34,-3.8,-7.39,5.52,-7.69,0.0,0.0
2020-02-28,-76536892.0,53730474.0,22806417.0,-25057022.0,-51479870.0,-15.6,10.95,4.65,-5.11,-10.5,5.06,-8.33,0.0,0.0
2020-03-02,14494479.0,-7835479.0,-6658999.0,6549738.0,7944741.0,3.66,-1.98,-1.68,1.66,2.01,5.39,6.52,0.0,0.0
2020-03-03,-34776719.0,28861701.0,5915019.0,-24982265.0,-9794454.0,-8.21,6.81,1.4,-5.9,-2.31,5.37,-0.37,0.0,0.0
2020-03-04,-10992424.0,11248161.0,-255737.0,-7759947.0,-3232477.0,-4.15,4.25,-0.1,-2.93,-1.22,5.39,0.37,0.0,0.0
2020-03-05,28572172.0,-16145663.0,-12426509.0,-1663355.0,30235527.0,5.6,-3.16,-2.44,-0.33,5.93,5.7,5.75,0.0,0.0
2020-03-06,-23738833.0,18243091.0,5495742.0,1468093.0,-25206926.0,-4.66,3.58,1.08,0.29,-4.94,5.75,0.88,0.0,0.0
2020-03-09,-56629962.0,52407336.0,4222626.0,-36466398.0,-20163564.0,-16.63,15.39,1.24,-10.71,-5.92,5.38,-6.43,0.0,0.0
2020-03-10,-15715237.0,22935589.0,-7220354.0,-9548581.0,-6166656.0,-5.12,7.47,-2.35,-3.11,-2.01,5.44,1.12,0.0,0.0
2020-03-11,-34177479.0,25757512.0,8419966.0,-18791980.0,-15385499.0,-14.34,10.8,3.53,-7.88,-6.45,5.2,-4.41,0.0,0.0
2020-03-12,-27488224.0,21349206.0,6139018.0,-17648742.0,-9839482.0,-16.8,13.05,3.75,-10.79,-6.01,5.09,-2.12,0.0,0.0
2020-03-13,-18350340.0,18536987.0,-186648.0,-14228795.0,-4121545.0,-9.59,9.69,-0.1,-7.44,-2.15,4.96,-2.55,0.0,0.0
2020-03-16,-23202218.0,20809970.0,2392248.0,-9507531.0,-13694687.0,-12.58,11.28,1.3,-5.15,-7.43,4.71,-5.04,0.0,0.0
