date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-3633570.0,4587396.0,-953826.0,-3633570.0,0.0,-10.98,13.86,-2.88,-10.98,0.0,4.56,-2.77,0.0,0.0
2020-01-09,59535.0,509174.0,-568709.0,59535.0,0.0,0.26,2.23,-2.49,0.26,0.0,4.63,1.54,0.0,0.0
2020-01-10,5943882.0,-8322852.0,2378972.0,6615187.0,-671305.0,9.26,-12.97,3.71,10.31,-1.05,4.66,0.65,0.0,0.0
2020-01-13,-3180706.0,746419.0,2434287.0,-2047277.0,-1133429.0,-10.34,2.43,7.91,-6.65,-3.68,4.59,-1.5,0.0,0.0
2020-01-14,2807748.0,-686267.0,-2121481.0,2807748.0,0.0,9.88,-2.42,-7.47,9.88,0.0,4.63,0.87,0.0,0.0
2020-01-15,-267672.0,1776868.0,-1509195.0,-2097792.0,1830120.0,-0.98,6.5,-5.52,-7.68,6.7,4.52,-2.38,0.0,0.0
2020-01-16,-1571065.0,1399981.0,171084.0,-1571065.0,0.0,-5.2,4.63,0.57,-5.2,0.0,4.42,-2.21,0.0,0.0
2020-01-17,-257659.0,1431158.0,-1173499.0,-257659.0,0.0,-1.88,10.46,-8.58,-1.88,0.0,4.37,-1.13,0.0,0.0
2020-01-20,-3421928.0,3029959.0,391970.0,-3421928.0,0.0,-22.55,19.97,2.58,-22.55,0.0,4.38,0.23,0.0,0.0
2020-01-21,-3826579.0,1555877.0,2270703.0,-3826579.0,0.0,-20.43,8.31,12.12,-20.43,0.0,4.3,-1.83,0.0,0.0
2020-01-22,714698.0,-830473.0,115775.0,714698.0,0.0,5.0,-5.81,0.81,5.0,0.0,4.31,0.23,0.0,0.0
2020-01-23,-3481113.0,5204010.0,-1722897.0,-2295553.0,-1185560.0,-9.09,13.58,-4.5,-5.99,-3.09,4.0,-7.19,0.0,0.0
2020-02-03,-484200.0,524520.0,-40320.0,-484200.0,0.0,-9.76,10.58,-0.81,-9.76,0.0,3.6,-10.0,0.0,0.0
2020-02-04,-1048363.0,2687531.0,-1639169.0,-1048363.0,0.0,-3.78,9.69,-5.91,-3.78,0.0,3.4,-5.56,0.0,0.0
2020-02-05,888576.0,1181987.0,-2070563.0,888576.0,0.0,4.41,5.87,-10.28,4.41,0.0,3.53,3.82,0.0,0.0
2020-02-06,-4654997.0,5203625.0,-548629.0,-4654997.0,0.0,-18.93,21.16,-2.23,-18.93,0.0,3.53,0.0,0.0,0.0
2020-02-07,1639470.0,-1139139.0,-500332.0,1064533.0,574937.0,7.79,-5.41,-2.38,5.06,2.73,3.58,1.42,0.0,0.0
2020-02-10,1896931.0,-1257073.0,-639859.0,1896931.0,0.0,8.76,-5.81,-2.96,8.76,0.0,3.65,1.96,0.0,0.0
2020-02-11,8519940.0,-4648457.0,-3871484.0,4997235.0,3522705.0,29.89,-16.31,-13.58,17.53,12.36,4.02,10.14,0.0,0.0
2020-02-12,-6706415.0,8862911.0,-2156495.0,-6706415.0,0.0,-9.19,12.15,-2.96,-9.19,0.0,3.95,-1.74,0.0,0.0
2020-02-13,-3615078.0,5703547.0,-2088467.0,-2475078.0,-1140000.0,-8.93,14.09,-5.16,-6.11,-2.82,3.8,-3.8,0.0,0.0
2020-02-14,-1323233.0,1192356.0,130879.0,-1323233.0,0.0,-6.31,5.68,0.62,-6.31,0.0,3.77,-0.79,0.0,0.0
2020-02-17,-1811782.0,1268353.0,543429.0,-1811782.0,0.0,-7.54,5.28,2.26,-7.54,0.0,3.86,2.39,0.0,0.0
2020-02-18,1572667.0,-872783.0,-699884.0,1572667.0,0.0,5.96,-3.31,-2.65,5.96,0.0,3.92,1.55,0.0,0.0
2020-02-19,2703284.0,-1844135.0,-859150.0,1281646.0,1421638.0,12.23,-8.35,-3.89,5.8,6.43,3.9,-0.51,0.0,0.0
2020-02-20,1689841.0,-147197.0,-1542645.0,1598620.0,91221.0,6.53,-0.57,-5.97,6.18,0.35,3.95,1.28,0.0,0.0
2020-02-21,378839.0,-91172.0,-287666.0,378839.0,0.0,1.21,-0.29,-0.92,1.21,0.0,4.01,1.52,0.0,0.0
2020-02-24,-1285811.0,2908351.0,-1622541.0,-1285811.0,0.0,-6.0,13.58,-7.58,-6.0,0.0,3.96,-1.25,0.0,0.0
2020-02-25,-1316969.0,1936755.0,-619786.0,-1316969.0,0.0,-4.77,7.02,-2.25,-4.77,0.0,3.86,-2.53,0.0,0.0
2020-02-26,1346522.0,-1584240.0,237717.0,1346522.0,0.0,4.78,-5.62,0.84,4.78,0.0,3.93,1.81,0.0,0.0
2020-02-27,60718.0,-580273.0,519556.0,60718.0,0.0,0.32,-3.09,2.77,0.32,0.0,3.93,0.0,0.0,0.0
