date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-10173854.0,-3259519.0,13433373.0,-10975764.0,801910.0,-9.03,-2.89,11.92,-9.74,0.71,48.65,0.41,0.0,0.0
2020-01-09,4493661.0,-4658796.0,165135.0,1410138.0,3083523.0,4.6,-4.76,0.17,1.44,3.15,49.71,2.18,0.0,0.0
2020-01-10,1793603.0,-1429228.0,-364375.0,2233343.0,-439740.0,1.69,-1.35,-0.34,2.11,-0.41,49.23,-0.97,0.0,0.0
2020-01-13,-5766603.0,11419101.0,-5652498.0,-5401443.0,-365160.0,-7.4,14.66,-7.26,-6.93,-0.47,49.27,0.08,0.0,0.0
2020-01-14,-3913614.0,10841669.0,-6928056.0,-6347571.0,2433957.0,-5.44,15.07,-9.63,-8.82,3.38,48.68,-1.2,0.0,0.0
2020-01-15,-1936421.0,90711.0,1845711.0,-1740181.0,-196240.0,-3.25,0.15,3.1,-2.92,-0.33,48.64,-0.08,0.0,0.0
2020-01-16,4228633.0,2935975.0,-7164609.0,1374586.0,2854047.0,5.34,3.7,-9.04,1.73,3.6,49.43,1.62,0.0,0.0
2020-01-17,-10484285.0,10053377.0,430909.0,-6415167.0,-4069118.0,-9.01,8.64,0.37,-5.52,-3.5,48.14,-2.61,0.0,0.0
2020-01-20,-5152678.0,5916603.0,-763925.0,-2524362.0,-2628316.0,-6.71,7.7,-0.99,-3.29,-3.42,48.24,0.21,0.0,0.0
2020-01-21,-172030.0,888244.0,-716215.0,18220805.0,-18392835.0,-0.07,0.36,-0.29,7.4,-7.47,49.81,3.25,0.0,0.0
2020-01-22,3231464.0,-6790618.0,3559155.0,-1469230.0,4700694.0,2.06,-4.32,2.26,-0.93,2.99,50.5,1.39,0.0,0.0
2020-01-23,-9879148.0,4361351.0,5517796.0,-9650533.0,-228615.0,-6.39,2.82,3.57,-6.24,-0.15,49.48,-2.02,0.0,0.0
2020-02-03,-6043178.0,15123371.0,-9080193.0,-4151674.0,-1891504.0,-3.36,8.4,-5.04,-2.31,-1.05,47.04,-4.93,0.0,0.0
2020-02-04,-3897703.0,14438532.0,-10540829.0,-5242383.0,1344680.0,-2.28,8.44,-6.16,-3.06,0.79,47.45,0.87,0.0,0.0
2020-02-05,19579746.0,-25437004.0,5857258.0,13324840.0,6254906.0,8.18,-10.63,2.45,5.57,2.61,50.74,6.93,0.0,0.0
2020-02-06,-566785.0,-14611282.0,15178067.0,-3794752.0,3227967.0,-0.21,-5.46,5.67,-1.42,1.21,51.95,2.38,0.0,0.0
2020-02-07,2593910.0,-13646753.0,11052843.0,3593223.0,-999313.0,1.02,-5.38,4.35,1.42,-0.39,53.04,2.1,0.0,0.0
2020-02-10,-2671408.0,-8674870.0,11346277.0,-2779177.0,107769.0,-1.48,-4.81,6.3,-1.54,0.06,51.16,-3.54,0.0,0.0
2020-02-11,-9780263.0,8731257.0,1049006.0,-4220741.0,-5559522.0,-6.58,5.88,0.71,-2.84,-3.74,49.5,-3.24,0.0,0.0
2020-02-12,-4472537.0,-4973830.0,9446367.0,-2588784.0,-1883753.0,-2.62,-2.92,5.54,-1.52,-1.1,49.04,-0.93,0.0,0.0
2020-02-13,-183816.0,2920928.0,-2737112.0,626435.0,-810251.0,-0.08,1.22,-1.14,0.26,-0.34,47.26,-3.63,0.0,0.0
2020-02-14,-1956482.0,-1853829.0,3810312.0,-806706.0,-1149776.0,-1.47,-1.4,2.87,-0.61,-0.87,47.7,0.93,0.0,0.0
2020-02-17,-7474761.0,24052284.0,-16577524.0,-8252479.0,777718.0,-2.52,8.09,-5.58,-2.78,0.26,47.63,-0.15,0.0,0.0
2020-02-18,-12817212.0,-467883.0,13285095.0,-4821240.0,-7995972.0,-6.74,-0.25,6.99,-2.54,-4.2,47.22,-0.86,0.0,0.0
2020-02-19,-3000934.0,8790840.0,-5789907.0,-480860.0,-2520074.0,-2.26,6.61,-4.35,-0.36,-1.9,46.66,-1.19,0.0,0.0
2020-02-20,14653329.0,-9728108.0,-4925221.0,12358958.0,2294371.0,9.03,-5.99,-3.03,7.61,1.41,47.32,1.41,0.0,0.0
2020-02-21,-18546576.0,20166594.0,-1620018.0,-11094077.0,-7452499.0,-10.35,11.26,-0.9,-6.19,-4.16,47.03,-0.61,0.0,0.0
2020-02-24,-37834232.0,14210666.0,23623565.0,-24948464.0,-12885768.0,-23.19,8.71,14.48,-15.29,-7.9,46.69,-0.72,0.0,0.0
2020-02-25,-20122004.0,8710247.0,11411758.0,337431.0,-20459435.0,-9.62,4.16,5.45,0.16,-9.78,46.6,-0.19,0.0,0.0
2020-02-26,-9374656.0,7606165.0,1768489.0,-9777539.0,402883.0,-6.96,5.65,1.31,-7.26,0.3,45.53,-2.3,0.0,0.0
2020-02-27,-3073213.0,706340.0,2366873.0,-3164573.0,91360.0,-3.23,0.74,2.49,-3.33,0.1,45.68,0.33,0.0,0.0
2020-02-28,-23791785.0,20533413.0,3258372.0,-18515393.0,-5276392.0,-15.59,13.46,2.14,-12.13,-3.46,43.6,-4.55,0.0,0.0
2020-03-02,-11520314.0,10445447.0,1074868.0,-3194732.0,-8325582.0,-8.5,7.71,0.79,-2.36,-6.14,44.22,1.42,0.0,0.0
2020-03-03,-1348433.0,-5160647.0,6509081.0,2106146.0,-3454579.0,-0.8,-3.05,3.85,1.25,-2.04,44.61,0.88,0.0,0.0
2020-03-04,-5914876.0,1539421.0,4375455.0,359169.0,-6274045.0,-6.87,1.79,5.08,0.42,-7.29,44.37,-0.54,0.0,0.0
