date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-31533881.0,6347154.0,25186726.0,10777789.0,-42311670.0,-12.66,2.55,10.11,4.33,-16.99,4.56,-2.77,0.0,0.0
2020-01-09,-12931876.0,13465150.0,-533273.0,-11318376.0,-1613500.0,-11.23,11.7,-0.46,-9.83,-1.4,4.61,1.1,0.0,0.0
2020-01-10,-11001231.0,2697161.0,8304069.0,-9168730.0,-1832501.0,-9.96,2.44,7.51,-8.3,-1.66,4.55,-1.3,0.0,0.0
2020-01-13,-4828380.0,7588958.0,-2760578.0,-4145093.0,-683287.0,-6.33,9.95,-3.62,-5.43,-0.9,4.57,0.44,0.0,0.0
2020-01-14,34904656.0,-20371386.0,-14533271.0,-4566636.0,39471292.0,11.18,-6.52,-4.65,-1.46,12.64,5.03,10.07,0.0,0.0
2020-01-15,-17604439.0,9224888.0,8379551.0,-5428144.0,-12176295.0,-3.88,2.03,1.85,-1.2,-2.68,5.03,0.0,0.0,0.0
2020-01-16,5414859.0,-6947908.0,1533049.0,4391758.0,1023101.0,2.44,-3.13,0.69,1.98,0.46,5.05,0.4,0.0,0.0
2020-01-17,-12321942.0,2894415.0,9427527.0,-12642933.0,320991.0,-7.04,1.65,5.38,-7.22,0.18,4.93,-2.38,0.0,0.0
2020-01-20,-17655481.0,8679611.0,8975870.0,2632185.0,-20287666.0,-11.6,5.7,5.9,1.73,-13.33,4.9,-0.61,0.0,0.0
2020-01-21,-28266606.0,15579006.0,12687601.0,-21085911.0,-7180695.0,-17.32,9.55,7.78,-12.92,-4.4,4.75,-3.06,0.0,0.0
2020-01-22,-1367310.0,-1164059.0,2531371.0,94796.0,-1462106.0,-1.16,-0.99,2.15,0.08,-1.24,4.77,0.42,0.0,0.0
2020-01-23,-17518571.0,10891337.0,6627235.0,-10093057.0,-7425514.0,-12.28,7.63,4.64,-7.07,-5.2,4.57,-4.19,0.0,0.0
2020-02-03,-3431438.0,2905770.0,525669.0,-2088291.0,-1343147.0,-15.38,13.03,2.36,-9.36,-6.02,4.11,-10.07,0.0,0.0
2020-02-04,-10536772.0,9569535.0,967237.0,-10040277.0,-496495.0,-7.6,6.9,0.7,-7.24,-0.36,3.98,-3.16,0.0,0.0
2020-02-05,-12240610.0,7819634.0,4420976.0,-6861053.0,-5379557.0,-9.67,6.18,3.49,-5.42,-4.25,4.03,1.26,0.0,0.0
2020-02-06,5143294.0,-1195625.0,-3947669.0,238663.0,4904631.0,3.65,-0.85,-2.8,0.17,3.48,4.1,1.74,0.0,0.0
2020-02-07,-2311308.0,3012627.0,-701320.0,-2165884.0,-145424.0,-2.42,3.15,-0.73,-2.27,-0.15,4.1,0.0,0.0,0.0
2020-02-10,-5743685.0,3554489.0,2189197.0,-2569535.0,-3174150.0,-5.17,3.2,1.97,-2.31,-2.86,4.14,0.98,0.0,0.0
2020-02-11,-3953716.0,833306.0,3120411.0,-2923949.0,-1029767.0,-4.88,1.03,3.85,-3.61,-1.27,4.15,0.24,0.0,0.0
2020-02-12,1627020.0,-3558921.0,1931901.0,4930977.0,-3303957.0,1.44,-3.15,1.71,4.36,-2.92,4.2,1.2,0.0,0.0
2020-02-13,-3796710.0,2849040.0,947670.0,-1775916.0,-2020794.0,-4.2,3.15,1.05,-1.96,-2.23,4.15,-1.19,0.0,0.0
2020-02-14,-1057140.0,-4157337.0,5214477.0,4269579.0,-5326719.0,-0.83,-3.25,4.08,3.34,-4.17,4.21,1.45,0.0,0.0
2020-02-17,5259307.0,-176513.0,-5082793.0,-3050413.0,8309720.0,3.05,-0.1,-2.95,-1.77,4.82,4.39,4.28,0.0,0.0
2020-02-18,-9759216.0,8999278.0,759937.0,-4056178.0,-5703038.0,-6.51,6.0,0.51,-2.7,-3.8,4.48,2.05,0.0,0.0
2020-02-19,6129649.0,-3629144.0,-2500505.0,5968041.0,161608.0,4.45,-2.63,-1.81,4.33,0.12,4.53,1.12,0.0,0.0
2020-02-20,13085925.0,-7854848.0,-5231077.0,-7663741.0,20749666.0,5.39,-3.23,-2.15,-3.16,8.55,4.73,4.42,0.0,0.0
2020-02-21,-24435621.0,12239742.0,12195879.0,-7775994.0,-16659627.0,-13.39,6.71,6.68,-4.26,-9.13,4.68,-1.06,0.0,0.0
2020-02-24,-20904630.0,13143090.0,7761541.0,-3355383.0,-17549247.0,-12.93,8.13,4.8,-2.08,-10.86,4.57,-2.35,0.0,0.0
2020-02-25,-23449468.0,17002236.0,6447231.0,-7711806.0,-15737662.0,-14.03,10.17,3.86,-4.61,-9.41,4.47,-2.19,0.0,0.0
2020-02-26,6291202.0,-1271639.0,-5019563.0,5484150.0,807052.0,2.13,-0.43,-1.7,1.86,0.27,4.65,4.03,0.0,0.0
2020-02-27,-11893921.0,6207445.0,5686476.0,-7111242.0,-4782679.0,-8.22,4.29,3.93,-4.91,-3.3,4.54,-2.37,0.0,0.0
2020-02-28,-31569196.0,23237662.0,8331535.0,-11560826.0,-20008370.0,-19.73,14.52,5.21,-7.23,-12.51,4.22,-7.05,0.0,0.0
2020-03-02,7680389.0,1293692.0,-8974082.0,4059204.0,3621185.0,4.62,0.78,-5.4,2.44,2.18,4.52,7.11,0.0,0.0
2020-03-03,-9939862.0,3479255.0,6460608.0,756259.0,-10696121.0,-7.47,2.62,4.86,0.57,-8.04,4.47,-1.11,0.0,0.0
2020-03-04,973386.0,-4680845.0,3707460.0,1645647.0,-672261.0,0.77,-3.68,2.92,1.29,-0.53,4.59,2.68,0.0,0.0
2020-03-05,7738382.0,-1556450.0,-6181932.0,-5834713.0,13573095.0,3.17,-0.64,-2.53,-2.39,5.55,4.77,3.92,0.0,0.0
2020-03-06,-18134049.0,7333144.0,10800905.0,-11432547.0,-6701502.0,-11.69,4.73,6.96,-7.37,-4.32,4.61,-3.35,0.0,0.0
2020-03-09,-24368067.0,19741570.0,4626497.0,-11800123.0,-12567944.0,-16.25,13.17,3.09,-7.87,-8.38,4.41,-4.34,0.0,0.0
2020-03-10,548662.0,-5677034.0,5128371.0,5217864.0,-4669202.0,0.39,-4.02,3.63,3.69,-3.3,4.51,2.27,0.0,0.0
2020-03-11,-10427318.0,9071126.0,1356194.0,-3497950.0,-6929368.0,-11.02,9.58,1.43,-3.7,-7.32,4.4,-2.44,0.0,0.0
2020-03-12,-7850320.0,8260310.0,-409989.0,-2260668.0,-5589652.0,-8.91,9.37,-0.47,-2.56,-6.34,4.35,-1.14,0.0,0.0
2020-03-13,1358948.0,-2105327.0,746381.0,-1193959.0,2552907.0,1.14,-1.76,0.62,-1.0,2.14,4.31,-0.92,0.0,0.0
2020-03-16,-20029376.0,15346193.0,4683185.0,-9520174.0,-10509202.0,-18.87,14.46,4.41,-8.97,-9.9,4.12,-4.41,0.0,0.0
2020-03-17,-6575384.0,4820406.0,1754979.0,-5878426.0,-696958.0,-8.2,6.01,2.19,-7.33,-0.87,4.13,0.24,0.0,0.0
2020-03-18,-3697405.0,456710.0,3240696.0,-2647972.0,-1049433.0,-5.04,0.62,4.42,-3.61,-1.43,4.04,-2.18,0.0,0.0
2020-03-19,-10055604.0,7238679.0,2816924.0,-13529676.0,3474072.0,-12.51,9.01,3.51,-16.83,4.32,4.03,-0.25,0.0,0.0
2020-03-20,-1539136.0,798776.0,740360.0,-369299.0,-1169837.0,-2.58,1.34,1.24,-0.62,-1.96,4.09,1.49,0.0,0.0
2020-03-23,-6883348.0,5810751.0,1072597.0,-5881840.0,-1001508.0,-11.59,9.78,1.81,-9.9,-1.69,3.93,-3.91,0.0,0.0
2020-03-24,-10378960.0,9427018.0,951944.0,-8540878.0,-1838082.0,-14.66,13.32,1.34,-12.07,-2.6,3.97,1.02,0.0,0.0
2020-03-25,-567273.0,843328.0,-276055.0,-1099305.0,532032.0,-0.65,0.96,-0.31,-1.25,0.61,4.06,2.27,0.0,0.0
2020-03-26,-4567962.0,891798.0,3676165.0,-267451.0,-4300511.0,-7.37,1.44,5.93,-0.43,-6.94,4.02,-0.99,0.0,0.0
2020-03-27,-2591001.0,733435.0,1857565.0,-4549668.0,1958667.0,-4.8,1.36,3.44,-8.44,3.63,4.02,0.0,0.0,0.0
2020-03-30,1375671.0,417355.0,-1793026.0,3413395.0,-2037724.0,2.69,0.82,-3.5,6.67,-3.98,3.97,-1.24,0.0,0.0
2020-03-31,-7280617.0,5130162.0,2150455.0,-6679601.0,-601016.0,-19.12,13.48,5.65,-17.55,-1.58,3.95,-0.5,0.0,0.0
2020-04-01,4413057.0,-2236651.0,-2176407.0,-187666.0,4600723.0,9.82,-4.98,-4.84,-0.42,10.24,3.96,0.25,0.0,0.0
2020-04-02,-2593428.0,1174395.0,1419033.0,-2470316.0,-123112.0,-5.89,2.67,3.22,-5.61,-0.28,4.0,1.01,0.0,0.0
2020-04-03,-1451902.0,3178845.0,-1726943.0,-1244833.0,-207069.0,-4.08,8.93,-4.85,-3.5,-0.58,3.95,-1.25,0.0,0.0
2020-04-07,-6923439.0,2972731.0,3950707.0,-4214213.0,-2709226.0,-11.98,5.15,6.84,-7.29,-4.69,4.01,1.52,0.0,0.0
2020-04-08,450900.0,1938445.0,-2389345.0,-4019233.0,4470133.0,1.02,4.39,-5.41,-9.09,10.11,3.99,-0.5,0.0,0.0
2020-04-09,-4433929.0,2320926.0,2113002.0,-1367565.0,-3066364.0,-6.76,3.54,3.22,-2.08,-4.67,4.02,0.75,0.0,0.0
2020-04-10,-1872242.0,1514795.0,357447.0,-632059.0,-1240183.0,-4.11,3.32,0.78,-1.39,-2.72,3.98,-1.0,0.0,0.0
