date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1325806.0,1410783.0,-84977.0,-1325806.0,0.0,-5.15,5.48,-0.33,-5.15,0.0,11.57,-0.94,0.0,0.0
2020-01-09,184230.0,1329960.0,-1514190.0,184230.0,0.0,0.77,5.56,-6.33,0.77,0.0,11.28,-2.34,0.0,0.0
2020-01-10,-2346719.0,2011467.0,335251.0,-2346719.0,0.0,-11.19,9.59,1.6,-11.19,0.0,11.21,-0.62,0.0,0.0
2020-01-13,-212929.0,891381.0,-678453.0,-212929.0,0.0,-1.17,4.91,-3.74,-1.17,0.0,11.31,0.89,0.0,0.0
2020-01-14,1157651.0,-676070.0,-481582.0,1157651.0,0.0,7.53,-4.4,-3.13,7.53,0.0,11.35,0.35,0.0,0.0
2020-01-15,69546.0,1843577.0,-1913123.0,95628.0,-26082.0,0.55,14.58,-15.13,0.76,-0.21,11.29,-0.53,0.0,0.0
2020-01-16,-2221237.0,2320956.0,-99719.0,-2221237.0,0.0,-11.83,12.36,-0.53,-11.83,0.0,11.01,-2.48,0.0,0.0
2020-01-17,-173618.0,2178913.0,-2005296.0,-173618.0,0.0,-1.23,15.39,-14.16,-1.23,0.0,10.99,-0.18,0.0,0.0
2020-01-20,1234014.0,-1306590.0,72576.0,1234014.0,0.0,8.0,-8.47,0.47,8.0,0.0,11.1,1.0,0.0,0.0
2020-01-21,-743159.0,807413.0,-64254.0,-743159.0,0.0,-7.01,7.62,-0.61,-7.01,0.0,11.05,-0.45,0.0,0.0
2020-01-22,1532880.0,-1281651.0,-251229.0,1532880.0,0.0,15.46,-12.92,-2.53,15.46,0.0,11.11,0.54,0.0,0.0
2020-01-23,1451480.0,-3229333.0,1777853.0,1461263.0,-9783.0,8.79,-19.56,10.77,8.85,-0.06,10.8,-2.79,0.0,0.0
2020-02-03,178242.0,59414.0,-237656.0,178242.0,0.0,8.63,2.88,-11.51,8.63,0.0,9.72,-10.0,0.0,0.0
2020-02-04,10246218.0,-4339962.0,-5906257.0,2685739.0,7560479.0,24.74,-10.48,-14.26,6.49,18.26,10.48,7.82,0.0,0.0
2020-02-05,1230341.0,-2228095.0,997754.0,1203741.0,26600.0,6.75,-12.23,5.48,6.61,0.15,10.5,0.19,0.0,0.0
2020-02-06,101721.0,691303.0,-793024.0,101721.0,0.0,0.77,5.26,-6.03,0.77,0.0,10.37,-1.24,0.0,0.0
2020-02-07,1764893.0,-654767.0,-1110127.0,550138.0,1214755.0,12.95,-4.8,-8.15,4.04,8.91,10.42,0.48,0.0,0.0
