date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-3033576.0,793997.0,2239580.0,-2018577.0,-1014999.0,-8.93,2.34,6.59,-5.94,-2.99,3.98,-1.24,0.0,0.0
2020-01-09,-144774.0,-2291283.0,2436056.0,-144774.0,0.0,-0.84,-13.34,14.18,-0.84,0.0,4.01,0.75,0.0,0.0
2020-01-10,-63068.0,-1045557.0,1108623.0,-511127.0,448059.0,-0.35,-5.85,6.2,-2.86,2.51,3.99,-0.5,0.0,0.0
2020-01-13,-519346.0,969733.0,-450386.0,-519346.0,0.0,-3.62,6.76,-3.14,-3.62,0.0,4.01,0.5,0.0,0.0
2020-01-14,161160.0,-974605.0,813444.0,-915669.0,1076829.0,0.9,-5.41,4.52,-5.09,5.98,4.02,0.25,0.0,0.0
2020-01-15,694178.0,378182.0,-1072362.0,-307266.0,1001444.0,3.98,2.17,-6.15,-1.76,5.74,4.0,-0.5,0.0,0.0
2020-01-16,-3129659.0,514938.0,2614720.0,-1929824.0,-1199835.0,-19.26,3.17,16.09,-11.88,-7.38,3.96,-1.0,0.0,0.0
2020-01-17,769097.0,73872.0,-842970.0,-300180.0,1069277.0,5.5,0.53,-6.03,-2.15,7.64,3.95,-0.25,0.0,0.0
2020-01-20,403047.0,350091.0,-753138.0,403047.0,0.0,2.34,2.03,-4.37,2.34,0.0,3.98,0.76,0.0,0.0
2020-01-21,-2053522.0,2157973.0,-104451.0,-2053522.0,0.0,-9.03,9.49,-0.46,-9.03,0.0,3.88,-2.51,0.0,0.0
2020-01-22,-665669.0,364492.0,301178.0,-665669.0,0.0,-5.91,3.24,2.68,-5.91,0.0,3.88,0.0,0.0,0.0
2020-01-23,-3608981.0,4297267.0,-688285.0,-2595246.0,-1013735.0,-13.08,15.57,-2.49,-9.4,-3.67,3.73,-3.87,0.0,0.0
2020-02-03,2612972.0,679957.0,-3292929.0,5363109.0,-2750137.0,7.86,2.05,-9.91,16.14,-8.27,3.36,-9.92,0.0,0.0
2020-02-04,-1483584.0,4059197.0,-2575614.0,-1483584.0,0.0,-5.39,14.75,-9.36,-5.39,0.0,3.39,0.89,0.0,0.0
2020-02-05,-2130196.0,1556169.0,574026.0,-2130196.0,0.0,-8.59,6.28,2.31,-8.59,0.0,3.42,0.88,0.0,0.0
2020-02-06,36205.0,-1218154.0,1181949.0,36205.0,0.0,0.19,-6.23,6.04,0.19,0.0,3.46,1.17,0.0,0.0
2020-02-07,-3798864.0,2091717.0,1707147.0,-3798864.0,0.0,-16.54,9.1,7.43,-16.54,0.0,3.47,0.29,0.0,0.0
2020-02-10,1008586.0,-2739847.0,1731261.0,-3226.0,1011812.0,5.05,-13.72,8.67,-0.02,5.07,3.54,2.02,0.0,0.0
2020-02-11,-2392479.0,2208989.0,183489.0,-1364882.0,-1027597.0,-17.0,15.7,1.3,-9.7,-7.3,3.5,-1.13,0.0,0.0
2020-02-12,-1119754.0,328906.0,790848.0,-1131824.0,12070.0,-5.32,1.56,3.76,-5.38,0.06,3.56,1.71,0.0,0.0
2020-02-13,280182.0,-950592.0,670409.0,-910699.0,1190881.0,1.37,-4.64,3.27,-4.44,5.81,3.51,-1.4,0.0,0.0
2020-02-14,934380.0,-1874833.0,940454.0,615468.0,318912.0,5.31,-10.65,5.34,3.5,1.81,3.54,0.85,0.0,0.0
2020-02-17,3098627.0,-1021114.0,-2077513.0,2703897.0,394730.0,10.42,-3.43,-6.99,9.09,1.33,3.63,2.54,0.0,0.0
2020-02-18,518609.0,-5678550.0,5159941.0,620477.0,-101868.0,1.6,-17.53,15.93,1.91,-0.31,3.69,1.65,0.0,0.0
2020-02-19,-1396910.0,3340584.0,-1943673.0,-1167867.0,-229043.0,-5.37,12.83,-7.47,-4.49,-0.88,3.66,-0.81,0.0,0.0
2020-02-20,40143.0,758699.0,-798841.0,529335.0,-489192.0,0.14,2.68,-2.82,1.87,-1.73,3.72,1.64,0.0,0.0
2020-02-21,1694005.0,-2580565.0,886561.0,2743702.0,-1049697.0,3.37,-5.13,1.76,5.45,-2.09,3.81,2.42,0.0,0.0
2020-02-24,1246921.0,243397.0,-1490319.0,-1438442.0,2685363.0,2.61,0.51,-3.12,-3.01,5.63,3.87,1.57,0.0,0.0
2020-02-25,-6908715.0,4878636.0,2030080.0,-7351364.0,442649.0,-8.78,6.2,2.58,-9.34,0.56,3.93,1.55,0.0,0.0
2020-02-26,-821466.0,3390310.0,-2568843.0,-1005076.0,183610.0,-1.69,6.96,-5.27,-2.06,0.38,3.86,-1.78,0.0,0.0
2020-02-27,-6816871.0,7753419.0,-936547.0,-5092791.0,-1724080.0,-19.69,22.4,-2.71,-14.71,-4.98,3.8,-1.55,0.0,0.0
2020-02-28,-6472702.0,5235374.0,1237329.0,-4346536.0,-2126166.0,-18.13,14.67,3.47,-12.18,-5.96,3.62,-4.74,0.0,0.0
2020-03-02,3830819.0,-954252.0,-2876567.0,5573671.0,-1742852.0,9.84,-2.45,-7.39,14.31,-4.48,3.76,3.87,0.0,0.0
2020-03-03,-925110.0,792894.0,132217.0,-757090.0,-168020.0,-3.09,2.65,0.44,-2.53,-0.56,3.74,-0.53,0.0,0.0
2020-03-04,3714355.0,-4367869.0,653514.0,754249.0,2960106.0,8.1,-9.53,1.43,1.65,6.46,3.86,3.21,0.0,0.0
2020-03-05,-4269662.0,3222004.0,1047658.0,-3384330.0,-885332.0,-12.58,9.49,3.09,-9.97,-2.61,3.88,0.52,0.0,0.0
2020-03-06,1458442.0,-2314927.0,856484.0,835167.0,623275.0,3.86,-6.13,2.27,2.21,1.65,3.91,0.77,0.0,0.0
2020-03-09,-9067568.0,8128129.0,939440.0,-7373046.0,-1694522.0,-17.4,15.6,1.8,-14.15,-3.25,3.81,-2.56,0.0,0.0
2020-03-10,-3276533.0,3952265.0,-675731.0,-5112386.0,1835853.0,-7.29,8.79,-1.5,-11.37,4.08,3.85,1.05,0.0,0.0
2020-03-11,-750296.0,390043.0,360252.0,-750296.0,0.0,-2.24,1.16,1.07,-2.24,0.0,3.82,-0.78,0.0,0.0
2020-03-12,-2124971.0,1842278.0,282693.0,-1615950.0,-509021.0,-6.93,6.01,0.92,-5.27,-1.66,3.72,-2.62,0.0,0.0
2020-03-13,-457894.0,2592355.0,-2134461.0,-457894.0,0.0,-1.74,9.84,-8.1,-1.74,0.0,3.66,-1.61,0.0,0.0
2020-03-16,-1511616.0,2586916.0,-1075299.0,-1469508.0,-42108.0,-6.82,11.67,-4.85,-6.63,-0.19,3.57,-2.46,0.0,0.0
2020-03-17,-1633601.0,4625823.0,-2992222.0,-1462136.0,-171465.0,-7.95,22.52,-14.57,-7.12,-0.83,3.52,-1.4,0.0,0.0
2020-03-18,-2280853.0,2772574.0,-491719.0,-2280853.0,0.0,-15.75,19.14,-3.39,-15.75,0.0,3.47,-1.42,0.0,0.0
2020-03-19,799897.0,272769.0,-1072666.0,1370027.0,-570130.0,6.02,2.05,-8.07,10.31,-4.29,3.52,1.44,0.0,0.0
2020-03-20,-871798.0,1899109.0,-1027311.0,-871798.0,0.0,-5.55,12.09,-6.54,-5.55,0.0,3.55,0.85,0.0,0.0
2020-03-23,-2736500.0,1967408.0,769091.0,-2736500.0,0.0,-17.01,12.23,4.78,-17.01,0.0,3.42,-3.66,0.0,0.0
2020-03-24,-1663804.0,1082891.0,580913.0,-1298956.0,-364848.0,-9.13,5.94,3.19,-7.13,-2.0,3.5,2.34,0.0,0.0
2020-03-25,1880888.0,786291.0,-2667179.0,628369.0,1252519.0,6.15,2.57,-8.72,2.05,4.09,3.58,2.29,0.0,0.0
2020-03-26,-2132386.0,-1043107.0,3175492.0,-300086.0,-1832300.0,-6.84,-3.34,10.18,-0.96,-5.87,3.59,0.28,0.0,0.0
2020-03-27,8072730.0,-1219041.0,-6853689.0,4119869.0,3952861.0,12.15,-1.83,-10.32,6.2,5.95,3.68,2.51,0.0,0.0
2020-03-30,-5254307.0,7136863.0,-1882556.0,-2705225.0,-2549082.0,-17.54,23.82,-6.28,-9.03,-8.51,3.54,-3.8,0.0,0.0
2020-03-31,-861931.0,-15340.0,877271.0,-861931.0,0.0,-4.41,-0.08,4.49,-4.41,0.0,3.48,-1.69,0.0,0.0
2020-04-01,-750537.0,764373.0,-13837.0,-750537.0,0.0,-5.22,5.32,-0.1,-5.22,0.0,3.44,-1.15,0.0,0.0
2020-04-02,596739.0,-269882.0,-326856.0,596739.0,0.0,5.46,-2.47,-2.99,5.46,0.0,3.49,1.45,0.0,0.0
2020-04-03,-186123.0,1584647.0,-1398524.0,-119785.0,-66338.0,-1.45,12.34,-10.89,-0.93,-0.52,3.47,-0.57,0.0,0.0
2020-04-07,2404199.0,-1308195.0,-1096004.0,1123059.0,1281140.0,12.69,-6.91,-5.79,5.93,6.76,3.57,2.88,0.0,0.0
2020-04-08,-667888.0,392212.0,275676.0,-853771.0,185883.0,-4.41,2.59,1.82,-5.63,1.23,3.62,1.4,0.0,0.0
2020-04-09,-1984674.0,1825553.0,159121.0,-1984674.0,0.0,-14.1,12.97,1.13,-14.1,0.0,3.61,-0.28,0.0,0.0
2020-04-10,-43184.0,-1057940.0,1101124.0,-43184.0,0.0,-0.27,-6.59,6.86,-0.27,0.0,3.55,-1.66,0.0,0.0
2020-04-13,-2503363.0,562353.0,1941010.0,2064205.0,-4567568.0,-15.88,3.57,12.31,13.09,-28.97,3.51,-1.13,0.0,0.0
2020-04-14,524728.0,-1412853.0,888125.0,524728.0,0.0,4.9,-13.19,8.29,4.9,0.0,3.57,1.71,0.0,0.0
2020-04-15,-1633356.0,2275530.0,-642174.0,-1633356.0,0.0,-11.36,15.82,-4.46,-11.36,0.0,3.48,-2.52,0.0,0.0
2020-04-16,-1018440.0,891776.0,126663.0,784060.0,-1802500.0,-7.64,6.69,0.95,5.88,-13.52,3.49,0.29,0.0,0.0
2020-04-17,-1673417.0,1287233.0,386185.0,-1673417.0,0.0,-13.24,10.18,3.05,-13.24,0.0,3.47,-0.57,0.0,0.0
2020-04-20,-376592.0,709899.0,-333307.0,-376592.0,0.0,-6.51,12.28,-5.76,-6.51,0.0,3.48,0.29,0.0,0.0
2020-04-21,-730085.0,2139712.0,-1409626.0,-730085.0,0.0,-5.57,16.33,-10.76,-5.57,0.0,3.44,-1.15,0.0,0.0
2020-04-22,1233248.0,-975627.0,-257621.0,1233248.0,0.0,15.83,-12.53,-3.31,15.83,0.0,3.49,1.45,0.0,0.0
2020-04-23,-2796852.0,37899.0,2758953.0,-2796852.0,0.0,-29.4,0.4,29.0,-29.4,0.0,3.48,-0.29,0.0,0.0
2020-04-24,-2988415.0,4706905.0,-1718491.0,-2988415.0,0.0,-15.98,25.17,-9.19,-15.98,0.0,3.38,-2.87,0.0,0.0
2020-04-27,-1161197.0,1988105.0,-826908.0,-1161197.0,0.0,-9.18,15.72,-6.54,-9.18,0.0,3.38,0.0,0.0,0.0
2020-04-28,-2179702.0,1548509.0,631193.0,-2179702.0,0.0,-14.96,10.63,4.33,-14.96,0.0,3.31,-2.07,0.0,0.0
2020-04-29,-2751804.0,1344373.0,1407431.0,-2751804.0,0.0,-22.87,11.17,11.69,-22.87,0.0,3.3,-0.3,0.0,0.0
2020-04-30,27080.0,1126845.0,-1153925.0,27080.0,0.0,0.19,7.8,-7.98,0.19,0.0,3.38,2.42,0.0,0.0
2020-05-06,666686.0,-73391.0,-593295.0,661856.0,4830.0,2.9,-0.32,-2.58,2.88,0.02,3.49,3.25,0.0,0.0
2020-05-07,-2991613.0,2822949.0,168664.0,-2991613.0,0.0,-24.58,23.19,1.39,-24.58,0.0,3.42,-2.01,0.0,0.0
2020-05-08,-1368577.0,1062291.0,306285.0,-2158885.0,790308.0,-10.87,8.44,2.43,-17.15,6.28,3.45,0.88,0.0,0.0
2020-05-11,-1420816.0,1384900.0,35917.0,-1420816.0,0.0,-11.97,11.67,0.3,-11.97,0.0,3.43,-0.58,0.0,0.0
2020-05-12,-210576.0,-1440914.0,1651489.0,-210576.0,0.0,-2.21,-15.11,17.32,-2.21,0.0,3.43,0.0,0.0,0.0
2020-05-13,-72373.0,-497615.0,569989.0,-72373.0,0.0,-0.87,-5.96,6.83,-0.87,0.0,3.43,0.0,0.0,0.0
2020-05-14,-724672.0,709291.0,15381.0,-724672.0,0.0,-7.69,7.53,0.16,-7.69,0.0,3.43,0.0,0.0,0.0
2020-05-15,1764091.0,-1056925.0,-707166.0,1764091.0,0.0,9.3,-5.57,-3.73,9.3,0.0,3.47,1.17,0.0,0.0
2020-05-18,309284.0,401335.0,-710618.0,309284.0,0.0,3.37,4.37,-7.74,3.37,0.0,3.46,-0.29,0.0,0.0
2020-05-19,51819.0,-198083.0,146263.0,51819.0,0.0,0.44,-1.67,1.23,0.44,0.0,3.48,0.58,0.0,0.0
2020-05-20,-1316014.0,1813760.0,-497746.0,-1316014.0,0.0,-11.96,16.49,-4.53,-11.96,0.0,3.41,-2.01,0.0,0.0
2020-05-21,15106.0,831397.0,-846503.0,-2144.0,17250.0,0.15,8.4,-8.55,-0.02,0.17,3.41,0.0,0.0,0.0
2020-05-22,-1118177.0,1577687.0,-459509.0,-1118177.0,0.0,-9.82,13.86,-4.04,-9.82,0.0,3.36,-1.47,0.0,0.0
2020-05-25,512273.0,295958.0,-808231.0,512273.0,0.0,7.18,4.15,-11.33,7.18,0.0,3.38,0.6,0.0,0.0
2020-05-26,560700.0,136730.0,-697430.0,560700.0,0.0,7.66,1.87,-9.53,7.66,0.0,3.44,1.78,0.0,0.0
2020-05-27,-2846999.0,3802616.0,-955618.0,-1816489.0,-1030510.0,-16.67,22.27,-5.6,-10.64,-6.03,3.47,0.87,0.0,0.0
2020-05-28,920315.0,-419023.0,-501292.0,920315.0,0.0,8.57,-3.9,-4.67,8.57,0.0,3.47,0.0,0.0,0.0
2020-05-29,3306727.0,-2639855.0,-666873.0,2194961.0,1111766.0,7.73,-6.17,-1.56,5.13,2.6,3.54,2.02,0.0,0.0
2020-06-01,-3446692.0,1463714.0,1982979.0,-3127569.0,-319123.0,-11.38,4.83,6.54,-10.32,-1.05,3.59,1.41,0.0,0.0
2020-06-02,-1102005.0,3845471.0,-2743465.0,158633.0,-1260638.0,-4.8,16.77,-11.96,0.69,-5.5,3.58,-0.28,0.0,0.0
2020-06-03,-53356.0,375902.0,-322545.0,-53356.0,0.0,-0.29,2.05,-1.76,-0.29,0.0,3.54,-1.12,0.0,0.0
2020-06-04,722726.0,-2822427.0,2099702.0,690330.0,32396.0,1.8,-7.03,5.23,1.72,0.08,3.61,1.98,0.0,0.0
2020-06-05,-3843764.0,3504547.0,339217.0,-3192314.0,-651450.0,-13.47,12.28,1.19,-11.19,-2.28,3.55,-1.66,0.0,0.0
2020-06-08,-1216494.0,-594130.0,1810625.0,-1216494.0,0.0,-7.38,-3.6,10.98,-7.38,0.0,3.53,-0.56,0.0,0.0
2020-06-09,1793905.0,-100171.0,-1693734.0,478839.0,1315066.0,4.25,-0.24,-4.01,1.13,3.11,3.6,1.98,0.0,0.0
2020-06-10,-4152014.0,4339673.0,-187659.0,-4152014.0,0.0,-15.01,15.69,-0.68,-15.01,0.0,3.52,-2.22,0.0,0.0
2020-06-11,-3698160.0,2471488.0,1226673.0,-3847800.0,149640.0,-16.55,11.06,5.49,-17.22,0.67,3.48,-1.14,0.0,0.0
2020-06-12,784675.0,946471.0,-1731146.0,753296.0,31379.0,3.6,4.34,-7.94,3.46,0.14,3.49,0.29,0.0,0.0
2020-06-15,-1165822.0,1470248.0,-304426.0,-1165822.0,0.0,-6.98,8.81,-1.82,-6.98,0.0,3.46,-0.86,0.0,0.0
2020-06-16,-868990.0,-1210546.0,2079535.0,-868990.0,0.0,-6.92,-9.64,16.55,-6.92,0.0,3.51,1.45,0.0,0.0
2020-06-18,-926714.0,874218.0,52495.0,-926714.0,0.0,-8.1,7.64,0.46,-8.1,0.0,3.5,-0.57,0.0,0.0
2020-06-19,-1750892.0,285324.0,1465568.0,-1750892.0,0.0,-7.8,1.27,6.53,-7.8,0.0,3.52,0.57,0.0,0.0
2020-06-22,197147.0,520941.0,-718088.0,197147.0,0.0,1.41,3.72,-5.13,1.41,0.0,3.54,0.57,0.0,0.0
2020-06-23,336839.0,160673.0,-497511.0,336839.0,0.0,2.39,1.14,-3.53,2.39,0.0,3.52,-0.56,0.0,0.0
2020-06-29,-833489.0,795693.0,37796.0,-833489.0,0.0,-6.52,6.23,0.3,-6.52,0.0,3.46,-0.57,0.0,0.0
2020-06-30,2995494.0,-1055066.0,-1940426.0,2936277.0,59217.0,11.81,-4.16,-7.65,11.58,0.23,3.53,2.02,0.0,0.0
2020-07-01,-2892746.0,1317638.0,1575108.0,-1737364.0,-1155382.0,-10.49,4.78,5.71,-6.3,-4.19,3.5,-0.85,0.0,0.0
2020-07-02,1886714.0,-904423.0,-982291.0,2074688.0,-187974.0,5.97,-2.86,-3.11,6.56,-0.59,3.57,2.0,0.0,0.0
2020-07-06,2101771.0,394069.0,-2495838.0,4556849.0,-2455078.0,4.0,0.75,-4.75,8.67,-4.67,3.75,3.88,0.0,0.0
2020-07-08,-2665325.0,-1166329.0,3831656.0,-2270543.0,-394782.0,-5.0,-2.19,7.19,-4.26,-0.74,3.81,1.87,0.0,0.0
