date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-24060395.0,21041572.0,3018824.0,-4702819.0,-19357576.0,-22.11,19.34,2.77,-4.32,-17.79,3.68,-3.16,0.0,0.0
2020-01-09,-5227933.0,6455690.0,-1227757.0,-469842.0,-4758091.0,-9.41,11.62,-2.21,-0.85,-8.57,3.71,0.82,0.0,0.0
2020-01-10,-8917703.0,6052269.0,2865435.0,-4085538.0,-4832165.0,-17.5,11.88,5.62,-8.02,-9.48,3.68,-0.81,0.0,0.0
2020-01-13,1824164.0,-14475.0,-1809689.0,-1185644.0,3009808.0,2.77,-0.02,-2.75,-1.8,4.58,3.73,1.36,0.0,0.0
2020-01-14,1777676.0,324029.0,-2101706.0,-1407739.0,3185415.0,2.35,0.43,-2.78,-1.86,4.22,3.75,0.54,0.0,0.0
2020-01-15,-7643466.0,4985872.0,2657594.0,-5167942.0,-2475524.0,-15.88,10.36,5.52,-10.74,-5.14,3.7,-1.33,0.0,0.0
2020-01-16,699882.0,-629453.0,-70430.0,1800882.0,-1101000.0,1.9,-1.71,-0.19,4.9,-2.99,3.68,-0.54,0.0,0.0
2020-01-17,-2341706.0,504775.0,1836931.0,-2341706.0,0.0,-6.64,1.43,5.21,-6.64,0.0,3.66,-0.54,0.0,0.0
2020-01-20,-4459371.0,3567909.0,891462.0,-4036171.0,-423200.0,-11.07,8.86,2.21,-10.02,-1.05,3.68,0.55,0.0,0.0
2020-01-21,-13035322.0,13436271.0,-400949.0,-9619613.0,-3415709.0,-23.7,24.43,-0.73,-17.49,-6.21,3.59,-2.45,0.0,0.0
2020-01-22,-6313559.0,5519973.0,793586.0,-4433479.0,-1880080.0,-12.25,10.71,1.54,-8.6,-3.65,3.59,0.0,0.0,0.0
2020-01-23,-9932180.0,10892609.0,-960430.0,-7357321.0,-2574859.0,-12.71,13.94,-1.23,-9.42,-3.3,3.46,-3.62,0.0,0.0
2020-02-03,-10922467.0,13202203.0,-2279735.0,-7698952.0,-3223515.0,-22.1,26.71,-4.61,-15.58,-6.52,3.11,-10.12,0.0,0.0
2020-02-04,-17455472.0,11314129.0,6141343.0,-6806279.0,-10649193.0,-12.29,7.96,4.32,-4.79,-7.49,3.06,-1.61,0.0,0.0
2020-02-05,-5361167.0,5496973.0,-135807.0,-5597592.0,236425.0,-6.53,6.69,-0.17,-6.82,0.29,3.09,0.98,0.0,0.0
2020-02-06,190672.0,1151803.0,-1342475.0,-652983.0,843655.0,0.29,1.74,-2.03,-0.99,1.28,3.14,1.62,0.0,0.0
2020-02-07,6229280.0,-2049257.0,-4180023.0,1275349.0,4953931.0,7.88,-2.59,-5.28,1.61,6.26,3.18,1.27,0.0,0.0
2020-02-10,-6541290.0,4108296.0,2432993.0,-1328986.0,-5212304.0,-9.88,6.2,3.67,-2.01,-7.87,3.21,0.94,0.0,0.0
2020-02-11,522461.0,650367.0,-1172827.0,-2021773.0,2544234.0,0.85,1.06,-1.92,-3.3,4.16,3.22,0.31,0.0,0.0
2020-02-12,-3374748.0,4929185.0,-1554437.0,-2451981.0,-922767.0,-5.09,7.43,-2.34,-3.7,-1.39,3.23,0.31,0.0,0.0
2020-02-13,-18000425.0,20334724.0,-2334299.0,-16108343.0,-1892082.0,-16.05,18.13,-2.08,-14.36,-1.69,3.14,-2.79,0.0,0.0
2020-02-14,34776825.0,-26693020.0,-8083804.0,21117187.0,13659638.0,19.34,-14.84,-4.49,11.74,7.59,3.31,5.41,0.0,0.0
2020-02-17,13004686.0,-12987068.0,-17618.0,4797047.0,8207639.0,10.26,-10.25,-0.01,3.78,6.48,3.42,3.32,0.0,0.0
2020-02-18,-8108642.0,5769815.0,2338827.0,-388405.0,-7720237.0,-8.1,5.77,2.34,-0.39,-7.72,3.38,-1.17,0.0,0.0
2020-02-19,3463047.0,-2461178.0,-1001867.0,2538564.0,924483.0,3.87,-2.75,-1.12,2.84,1.03,3.38,0.0,0.0,0.0
2020-02-20,20264506.0,-13274474.0,-6990032.0,20503196.0,-238690.0,8.77,-5.75,-3.03,8.87,-0.1,3.58,5.92,0.0,0.0
2020-02-21,-24497503.0,19409013.0,5088490.0,-10375340.0,-14122163.0,-15.08,11.95,3.13,-6.39,-8.69,3.55,-0.84,0.0,0.0
2020-02-24,-12650790.0,10903158.0,1747631.0,-3326360.0,-9324430.0,-8.94,7.7,1.23,-2.35,-6.59,3.46,-2.54,0.0,0.0
2020-02-25,6233543.0,-4723093.0,-1510451.0,17998341.0,-11764798.0,2.54,-1.92,-0.61,7.33,-4.79,3.57,3.18,0.0,0.0
2020-02-26,-11821472.0,2426061.0,9395412.0,-1020039.0,-10801433.0,-6.88,1.41,5.47,-0.59,-6.29,3.47,-2.8,0.0,0.0
2020-02-27,-11476989.0,10134113.0,1342877.0,-10306950.0,-1170039.0,-13.7,12.1,1.6,-12.3,-1.4,3.43,-1.15,0.0,0.0
2020-02-28,-14140320.0,13791485.0,348835.0,-5014480.0,-9125840.0,-13.34,13.01,0.33,-4.73,-8.61,3.3,-3.79,0.0,0.0
2020-03-02,16406572.0,-10479313.0,-5927260.0,13361564.0,3045008.0,15.49,-9.89,-5.6,12.62,2.87,3.45,4.55,0.0,0.0
2020-03-03,15113099.0,-13031480.0,-2081618.0,5672126.0,9440973.0,9.01,-7.77,-1.24,3.38,5.63,3.52,2.03,0.0,0.0
2020-03-04,-18754126.0,9234564.0,9519562.0,-6744851.0,-12009275.0,-17.37,8.55,8.82,-6.25,-11.12,3.47,-1.42,0.0,0.0
2020-03-05,30317666.0,-24277955.0,-6039712.0,11917820.0,18399846.0,14.91,-11.94,-2.97,5.86,9.05,3.6,3.75,0.0,0.0
2020-03-06,2015366.0,2973613.0,-4988979.0,7165192.0,-5149826.0,1.74,2.57,-4.31,6.2,-4.45,3.53,-1.94,0.0,0.0
2020-03-09,-30176142.0,19307538.0,10868606.0,-8599314.0,-21576828.0,-26.7,17.08,9.62,-7.61,-19.09,3.4,-3.68,0.0,0.0
2020-03-10,-5159899.0,5745463.0,-585565.0,-5050793.0,-109106.0,-4.88,5.44,-0.55,-4.78,-0.1,3.43,0.88,0.0,0.0
2020-03-11,-1094732.0,993973.0,100761.0,4466087.0,-5560819.0,-0.95,0.87,0.09,3.89,-4.84,3.41,-0.58,0.0,0.0
2020-03-12,-9154830.0,10490620.0,-1335789.0,-6481149.0,-2673681.0,-10.7,12.26,-1.56,-7.58,-3.13,3.34,-2.05,0.0,0.0
2020-03-13,-12323920.0,11646591.0,677329.0,904512.0,-13228432.0,-10.17,9.61,0.56,0.75,-10.92,3.25,-2.69,0.0,0.0
2020-03-16,-12164098.0,17146576.0,-4982478.0,-9229730.0,-2934368.0,-11.66,16.44,-4.78,-8.85,-2.81,3.12,-4.0,0.0,0.0
2020-03-17,-24727486.0,17556077.0,7171409.0,-19999781.0,-4727705.0,-24.08,17.1,6.98,-19.48,-4.6,3.07,-1.6,0.0,0.0
2020-03-18,-16610118.0,14874339.0,1735780.0,-8566908.0,-8043210.0,-18.71,16.76,1.96,-9.65,-9.06,3.0,-2.28,0.0,0.0
2020-03-19,-7833500.0,9579042.0,-1745542.0,-8289318.0,455818.0,-9.36,11.45,-2.09,-9.9,0.54,3.0,0.0,0.0,0.0
2020-03-20,2099236.0,2857584.0,-4956819.0,2099236.0,0.0,4.86,6.61,-11.47,4.86,0.0,3.03,1.0,0.0,0.0
2020-03-23,-14531056.0,13032324.0,1498732.0,-5025803.0,-9505253.0,-21.49,19.27,2.22,-7.43,-14.06,2.89,-4.62,0.0,0.0
2020-03-24,-3715306.0,5198553.0,-1483246.0,497169.0,-4212475.0,-6.66,9.31,-2.66,0.89,-7.55,2.93,1.38,0.0,0.0
2020-03-25,-1525987.0,-137306.0,1663292.0,-5055895.0,3529908.0,-2.51,-0.23,2.73,-8.31,5.8,2.99,2.05,0.0,0.0
2020-03-26,-4483587.0,5439086.0,-955498.0,-3678398.0,-805189.0,-11.29,13.7,-2.41,-9.26,-2.03,2.94,-1.67,0.0,0.0
2020-03-27,2447939.0,170170.0,-2618110.0,-898912.0,3346851.0,5.59,0.39,-5.97,-2.05,7.64,2.95,0.34,0.0,0.0
2020-03-30,-4131945.0,4823246.0,-691300.0,-3144546.0,-987399.0,-11.25,13.13,-1.88,-8.56,-2.69,2.91,-1.36,0.0,0.0
2020-03-31,298775.0,3112508.0,-3411283.0,-1226802.0,1525577.0,0.74,7.67,-8.41,-3.02,3.76,2.9,-0.34,0.0,0.0
2020-04-01,-4735590.0,2167499.0,2568091.0,-3774056.0,-961534.0,-13.48,6.17,7.31,-10.74,-2.74,2.88,-0.69,0.0,0.0
2020-04-02,-471970.0,873355.0,-401384.0,-471970.0,0.0,-1.38,2.56,-1.18,-1.38,0.0,2.92,1.39,0.0,0.0
2020-04-03,-5710580.0,4848507.0,862075.0,-4199398.0,-1511182.0,-18.04,15.32,2.72,-13.27,-4.77,2.87,-1.71,0.0,0.0
2020-04-07,-13205682.0,10001687.0,3203996.0,2212933.0,-15418615.0,-16.88,12.78,4.09,2.83,-19.71,2.91,1.39,0.0,0.0
2020-04-08,2313556.0,2351131.0,-4664687.0,-2001232.0,4314788.0,3.72,3.78,-7.5,-3.22,6.94,2.91,0.0,0.0,0.0
2020-04-09,2918531.0,-1530282.0,-1388248.0,3184785.0,-266254.0,3.63,-1.9,-1.72,3.96,-0.33,2.95,1.37,0.0,0.0
2020-04-10,-10862315.0,8173576.0,2688740.0,-10862315.0,0.0,-23.61,17.77,5.85,-23.61,0.0,2.89,-2.03,0.0,0.0
2020-04-13,-3453257.0,3549906.0,-96649.0,-3766087.0,312830.0,-11.8,12.13,-0.33,-12.87,1.07,2.87,-0.69,0.0,0.0
2020-04-14,416995.0,-3271097.0,2854103.0,7640019.0,-7223024.0,0.71,-5.56,4.85,12.99,-12.28,2.93,2.09,0.0,0.0
2020-04-15,-15652327.0,10573703.0,5078625.0,-4964424.0,-10687903.0,-31.34,21.17,10.17,-9.94,-21.4,2.86,-2.39,0.0,0.0
2020-04-16,-4887485.0,3677777.0,1209707.0,-3387312.0,-1500173.0,-10.72,8.06,2.65,-7.43,-3.29,2.87,0.35,0.0,0.0
2020-04-17,-2362962.0,1815277.0,547686.0,-959307.0,-1403655.0,-5.17,3.97,1.2,-2.1,-3.07,2.88,0.35,0.0,0.0
2020-04-20,-2568130.0,442497.0,2125633.0,-515694.0,-2052436.0,-6.64,1.14,5.49,-1.33,-5.3,2.88,0.0,0.0,0.0
2020-04-21,-8978296.0,8670087.0,308209.0,-4788425.0,-4189871.0,-16.67,16.1,0.57,-8.89,-7.78,2.83,-1.74,0.0,0.0
2020-04-22,-624691.0,3393986.0,-2769294.0,-745354.0,120663.0,-1.91,10.36,-8.46,-2.28,0.37,2.84,0.35,0.0,0.0
2020-04-23,48505.0,1233650.0,-1282155.0,48505.0,0.0,0.19,4.95,-5.14,0.19,0.0,2.83,-0.35,0.0,0.0
2020-04-24,-5837571.0,4311546.0,1526025.0,-3453091.0,-2384480.0,-14.46,10.68,3.78,-8.55,-5.91,2.79,-1.41,0.0,0.0
2020-04-27,161085.0,2285957.0,-2447042.0,1000051.0,-838966.0,0.41,5.79,-6.2,2.54,-2.13,2.79,0.0,0.0,0.0
2020-04-28,-13624228.0,9947532.0,3676696.0,-10975681.0,-2648547.0,-20.77,15.16,5.6,-16.73,-4.04,2.7,-3.23,0.0,0.0
2020-04-29,-1757086.0,4544020.0,-2786934.0,1192575.0,-2949661.0,-5.26,13.61,-8.35,3.57,-8.84,2.68,-0.74,0.0,0.0
2020-04-30,1368340.0,288398.0,-1656739.0,1402738.0,-34398.0,3.15,0.66,-3.81,3.23,-0.08,2.74,2.24,0.0,0.0
2020-05-06,5590469.0,-1776799.0,-3813670.0,7137565.0,-1547096.0,7.83,-2.49,-5.34,10.0,-2.17,2.82,2.92,0.0,0.0
2020-05-07,-9280388.0,6205460.0,3074926.0,-5294095.0,-3986293.0,-14.74,9.86,4.88,-8.41,-6.33,2.84,0.71,0.0,0.0
2020-05-08,-820751.0,-656215.0,1476967.0,-132801.0,-687950.0,-1.74,-1.39,3.13,-0.28,-1.46,2.86,0.7,0.0,0.0
2020-05-11,-5337617.0,5088976.0,248641.0,-5372017.0,34400.0,-9.97,9.5,0.46,-10.03,0.06,2.84,-0.7,0.0,0.0
2020-05-12,-4260030.0,4625463.0,-365433.0,-4416592.0,156562.0,-11.69,12.69,-1.0,-12.12,0.43,2.8,-1.41,0.0,0.0
2020-05-13,714167.0,-1523621.0,809454.0,1577734.0,-863567.0,2.05,-4.38,2.33,4.54,-2.48,2.82,0.71,0.0,0.0
