date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,91268.0,-2825683.0,2734415.0,-897478.0,988746.0,0.04,-1.31,1.26,-0.41,0.46,3.23,4.87,0.0,0.0
2020-01-09,-13030742.0,17648992.0,-4618251.0,-9438031.0,-3592711.0,-10.66,14.44,-3.78,-7.72,-2.94,3.08,-4.64,0.0,0.0
2020-01-10,-1998422.0,7619038.0,-5620617.0,-1998422.0,0.0,-3.88,14.77,-10.9,-3.88,0.0,3.03,-1.62,0.0,0.0
2020-01-13,-5498730.0,5284667.0,214062.0,-5498730.0,0.0,-15.64,15.03,0.61,-15.64,0.0,3.0,-0.99,0.0,0.0
2020-01-14,-989559.0,3199729.0,-2210170.0,-3548462.0,2558903.0,-2.62,8.46,-5.84,-9.38,6.77,3.01,0.33,0.0,0.0
2020-01-15,-2984592.0,4056214.0,-1071622.0,-2984592.0,0.0,-10.94,14.86,-3.93,-10.94,0.0,2.95,-1.99,0.0,0.0
2020-01-16,-6108780.0,8282535.0,-2173757.0,-3334904.0,-2773876.0,-17.84,24.18,-6.35,-9.74,-8.1,2.88,-2.37,0.0,0.0
2020-01-17,-1520546.0,2592384.0,-1071838.0,944739.0,-2465285.0,-6.0,10.23,-4.23,3.73,-9.73,2.88,0.0,0.0,0.0
2020-01-20,-964240.0,845433.0,118808.0,-1483504.0,519264.0,-5.16,4.52,0.64,-7.94,2.78,2.89,0.35,0.0,0.0
2020-01-21,-6465107.0,8563002.0,-2097895.0,-6465107.0,0.0,-18.99,25.15,-6.16,-18.99,0.0,2.79,-3.46,0.0,0.0
2020-01-22,-3428114.0,2584238.0,843876.0,-550534.0,-2877580.0,-9.65,7.27,2.38,-1.55,-8.1,2.75,-1.43,0.0,0.0
2020-01-23,1691915.0,58608.0,-1750523.0,1174177.0,517738.0,3.86,0.13,-3.99,2.68,1.18,2.76,0.36,0.0,0.0
2020-02-03,-7434.0,3357826.0,-3350392.0,-667272.0,659838.0,-0.01,6.33,-6.32,-1.26,1.24,2.48,-10.14,0.0,0.0
2020-02-04,-2385930.0,2809985.0,-424055.0,-2259426.0,-126504.0,-7.28,8.57,-1.29,-6.89,-0.39,2.5,0.81,0.0,0.0
2020-02-05,-3760938.0,3450838.0,310100.0,-2343055.0,-1417883.0,-8.72,8.0,0.72,-5.43,-3.29,2.52,0.8,0.0,0.0
2020-02-06,-4275173.0,3569062.0,706111.0,-1487963.0,-2787210.0,-9.83,8.21,1.62,-3.42,-6.41,2.54,0.79,0.0,0.0
2020-02-07,390401.0,1471978.0,-1862379.0,4349634.0,-3959233.0,0.83,3.13,-3.95,9.24,-8.41,2.55,0.39,0.0,0.0
2020-02-10,379001.0,-3523148.0,3144147.0,2067921.0,-1688920.0,0.61,-5.63,5.03,3.31,-2.7,2.6,1.96,0.0,0.0
2020-02-11,-4599289.0,6536824.0,-1937534.0,-1208901.0,-3390388.0,-9.99,14.2,-4.21,-2.63,-7.37,2.57,-1.15,0.0,0.0
2020-02-12,-9694066.0,6236449.0,3457616.0,-7118680.0,-2575386.0,-20.9,13.45,7.45,-15.35,-5.55,2.59,0.78,0.0,0.0
2020-02-13,5206196.0,-7088020.0,1881823.0,2120059.0,3086137.0,6.38,-8.68,2.3,2.6,3.78,2.64,1.93,0.0,0.0
2020-02-14,-3696252.0,2021688.0,1674565.0,-1861640.0,-1834612.0,-7.57,4.14,3.43,-3.81,-3.75,2.61,-1.14,0.0,0.0
2020-02-17,259363.0,-1815948.0,1556585.0,-3030313.0,3289676.0,0.53,-3.74,3.21,-6.25,6.78,2.66,1.92,0.0,0.0
2020-02-18,-138258.0,725570.0,-587313.0,1597964.0,-1736222.0,-0.19,0.98,-0.79,2.15,-2.34,2.71,1.88,0.0,0.0
2020-02-19,1008633.0,26150.0,-1034783.0,6151083.0,-5142450.0,0.95,0.02,-0.97,5.78,-4.83,2.77,2.21,0.0,0.0
2020-02-20,-4141352.0,3353105.0,788246.0,-5600055.0,1458703.0,-6.06,4.91,1.15,-8.19,2.13,2.76,-0.36,0.0,0.0
2020-02-21,6975066.0,-1250917.0,-5724149.0,2270292.0,4704774.0,6.42,-1.15,-5.27,2.09,4.33,2.84,2.9,0.0,0.0
2020-02-24,67421491.0,-28259239.0,-39162253.0,8698207.0,58723284.0,27.23,-11.41,-15.81,3.51,23.71,3.12,9.86,0.0,0.0
2020-02-25,-6421277.0,16054766.0,-9633490.0,-25137950.0,18716673.0,-1.21,3.03,-1.82,-4.74,3.53,3.25,4.17,0.0,0.0
2020-02-26,-56059680.0,39477551.0,16582129.0,-38596342.0,-17463338.0,-17.83,12.56,5.28,-12.28,-5.56,3.04,-6.46,0.0,0.0
2020-02-27,-16491055.0,8991346.0,7499710.0,-7713290.0,-8777765.0,-8.01,4.37,3.64,-3.74,-4.26,3.03,-0.33,0.0,0.0
2020-02-28,-14993907.0,16096204.0,-1102297.0,-6180696.0,-8813211.0,-7.49,8.04,-0.55,-3.09,-4.4,2.88,-4.95,0.0,0.0
2020-03-02,-9780322.0,8102011.0,1678311.0,-13785853.0,4005531.0,-7.67,6.35,1.32,-10.81,3.14,2.91,1.04,0.0,0.0
2020-03-03,-2366305.0,3049098.0,-682794.0,-4143561.0,1777256.0,-1.92,2.48,-0.55,-3.37,1.44,2.9,-0.34,0.0,0.0
2020-03-04,-4259753.0,9472535.0,-5212783.0,-7881152.0,3621399.0,-2.59,5.76,-3.17,-4.79,2.2,2.96,2.07,0.0,0.0
2020-03-05,1108009.0,2185373.0,-3293383.0,485234.0,622775.0,0.9,1.78,-2.68,0.39,0.51,2.99,1.01,0.0,0.0
2020-03-06,47433.0,1269801.0,-1317234.0,-6277702.0,6325135.0,0.03,0.67,-0.7,-3.32,3.34,3.04,1.67,0.0,0.0
2020-03-09,-9593886.0,8622085.0,971802.0,-2155008.0,-7438878.0,-6.86,6.17,0.7,-1.54,-5.32,2.94,-3.29,0.0,0.0
2020-03-10,-6867834.0,9297874.0,-2430041.0,686524.0,-7554358.0,-6.43,8.7,-2.27,0.64,-7.07,2.91,-1.02,0.0,0.0
2020-03-11,10880617.0,-5710780.0,-5169836.0,9180370.0,1700247.0,10.02,-5.26,-4.76,8.45,1.57,3.01,3.44,0.0,0.0
2020-03-12,-5014731.0,9024754.0,-4010023.0,-3524719.0,-1490012.0,-6.5,11.7,-5.2,-4.57,-1.93,2.87,-4.65,0.0,0.0
2020-03-13,-2698904.0,4078159.0,-1379254.0,-2999137.0,300233.0,-3.76,5.68,-1.92,-4.18,0.42,2.77,-3.48,0.0,0.0
2020-03-16,-1705622.0,3145238.0,-1439616.0,-548942.0,-1156680.0,-3.12,5.76,-2.64,-1.01,-2.12,2.67,-3.61,0.0,0.0
2020-03-17,-4169093.0,7293018.0,-3123925.0,-4169093.0,0.0,-8.15,14.26,-6.11,-8.15,0.0,2.6,-2.62,0.0,0.0
2020-03-18,-4800749.0,5456345.0,-655595.0,-5608770.0,808021.0,-12.52,14.23,-1.71,-14.63,2.11,2.54,-2.31,0.0,0.0
2020-03-19,-6414463.0,5944980.0,469483.0,-5195577.0,-1218886.0,-16.13,14.95,1.18,-13.06,-3.06,2.55,0.39,0.0,0.0
2020-03-20,727301.0,-3328558.0,2601256.0,-444793.0,1172094.0,1.5,-6.88,5.37,-0.92,2.42,2.65,3.92,0.0,0.0
2020-03-23,-1574399.0,1813835.0,-239435.0,-1574399.0,0.0,-4.28,4.93,-0.65,-4.28,0.0,2.58,-2.64,0.0,0.0
2020-03-24,36153267.0,-18907315.0,-17245951.0,-4113901.0,40267168.0,53.82,-28.15,-25.68,-6.12,59.95,2.84,10.08,0.0,0.0
2020-03-25,-44339961.0,26826036.0,17513926.0,4907869.0,-49247830.0,-12.53,7.58,4.95,1.39,-13.91,2.95,3.87,0.0,0.0
2020-03-26,-33598355.0,24630247.0,8968108.0,-24657321.0,-8941034.0,-16.26,11.92,4.34,-11.93,-4.33,2.83,-4.07,0.0,0.0
2020-03-27,-11662889.0,14788601.0,-3125712.0,-8303360.0,-3359529.0,-6.95,8.81,-1.86,-4.95,-2.0,2.83,0.0,0.0,0.0
2020-03-30,-4017233.0,5549950.0,-1532718.0,-4014475.0,-2758.0,-4.35,6.01,-1.66,-4.35,-0.0,2.71,-4.24,0.0,0.0
2020-03-31,511029.0,3117678.0,-3628707.0,-4135130.0,4646159.0,0.98,5.95,-6.93,-7.9,8.87,2.69,-0.74,0.0,0.0
2020-04-01,-398393.0,503894.0,-105500.0,-3270190.0,2871797.0,-0.4,0.51,-0.11,-3.28,2.88,2.81,4.46,0.0,0.0
2020-04-02,-798987.0,1949797.0,-1150811.0,-739799.0,-59188.0,-1.11,2.72,-1.6,-1.03,-0.08,2.76,-1.78,0.0,0.0
2020-04-03,10395826.0,-4280207.0,-6115620.0,7575016.0,2820810.0,11.49,-4.73,-6.76,8.37,3.12,2.79,1.09,0.0,0.0
2020-04-07,-1310942.0,10238250.0,-8927309.0,-10597.0,-1300345.0,-0.99,7.75,-6.75,-0.01,-0.98,2.88,3.23,0.0,0.0
2020-04-08,-9092660.0,8227658.0,865001.0,-5998562.0,-3094098.0,-11.29,10.21,1.07,-7.45,-3.84,2.85,-1.04,0.0,0.0
2020-04-09,-4982316.0,3882752.0,1099564.0,-3277151.0,-1705165.0,-7.19,5.61,1.59,-4.73,-2.46,2.86,0.35,0.0,0.0
2020-04-10,-6116766.0,5765173.0,351593.0,-1184720.0,-4932046.0,-6.07,5.72,0.35,-1.18,-4.89,2.79,-2.45,0.0,0.0
2020-04-13,-2585088.0,4012662.0,-1427574.0,-2847296.0,262208.0,-5.74,8.91,-3.17,-6.32,0.58,2.75,-1.43,0.0,0.0
2020-04-14,5265798.0,3340078.0,-8605876.0,1758690.0,3507108.0,6.6,4.18,-10.78,2.2,4.39,2.83,2.91,0.0,0.0
2020-04-15,-29932268.0,26893170.0,3039099.0,-27354531.0,-2577737.0,-19.83,17.82,2.01,-18.13,-1.71,2.64,-6.71,0.0,0.0
2020-04-16,-2181382.0,1474288.0,707094.0,1511301.0,-3692683.0,-2.74,1.85,0.89,1.9,-4.64,2.56,-3.03,0.0,0.0
2020-04-17,-8426746.0,10629456.0,-2202710.0,-8426746.0,0.0,-12.4,15.64,-3.24,-12.4,0.0,2.55,-0.39,0.0,0.0
2020-04-20,2689731.0,-2288385.0,-401345.0,2087931.0,601800.0,8.0,-6.81,-1.19,6.21,1.79,2.56,0.39,0.0,0.0
2020-04-21,3400842.0,-1668570.0,-1732273.0,-12683.0,3413525.0,6.18,-3.03,-3.15,-0.02,6.2,2.59,1.17,0.0,0.0
2020-04-22,-5769791.0,2055434.0,3714359.0,-5143845.0,-625946.0,-18.81,6.7,12.11,-16.77,-2.04,2.58,-0.39,0.0,0.0
2020-04-23,13913796.0,-7709911.0,-6203886.0,10664565.0,3249231.0,20.27,-11.23,-9.04,15.54,4.73,2.65,2.71,0.0,0.0
2020-04-24,-7912063.0,2938976.0,4973088.0,-1268378.0,-6643685.0,-13.87,5.15,8.72,-2.22,-11.65,2.56,-3.4,0.0,0.0
2020-04-27,-14933594.0,18662851.0,-3729257.0,-10805885.0,-4127709.0,-18.58,23.22,-4.64,-13.45,-5.14,2.34,-8.59,0.0,0.0
2020-04-28,-3807382.0,8666301.0,-4858918.0,-3191345.0,-616037.0,-5.55,12.64,-7.09,-4.66,-0.9,2.18,-6.84,0.0,0.0
2020-04-29,2430831.0,2953283.0,-5384114.0,2738642.0,-307811.0,4.83,5.86,-10.69,5.44,-0.61,2.26,3.67,0.0,0.0
2020-04-30,14412456.0,-10303087.0,-4109369.0,8654230.0,5758226.0,24.62,-17.6,-7.02,14.78,9.84,2.4,6.19,0.0,0.0
2020-05-06,3667819.0,-437764.0,-3230056.0,4191219.0,-523400.0,9.18,-1.1,-8.09,10.49,-1.31,2.46,2.5,0.0,0.0
2020-05-07,1357459.0,2408862.0,-3766321.0,747379.0,610080.0,4.22,7.49,-11.71,2.32,1.9,2.45,-0.41,0.0,0.0
2020-05-08,464929.0,-969933.0,505004.0,-196251.0,661180.0,1.64,-3.43,1.79,-0.69,2.34,2.47,0.82,0.0,0.0
2020-05-11,5071968.0,-3050420.0,-2021549.0,4840035.0,231933.0,21.8,-13.11,-8.69,20.81,1.0,2.49,0.81,0.0,0.0
2020-05-12,-7654054.0,5279114.0,2374941.0,-2019512.0,-5634542.0,-15.01,10.35,4.66,-3.96,-11.05,2.47,-0.8,0.0,0.0
2020-05-13,-3275043.0,1405303.0,1869740.0,-3275043.0,0.0,-12.05,5.17,6.88,-12.05,0.0,2.44,-1.21,0.0,0.0
2020-05-14,2580085.0,191780.0,-2771865.0,4694737.0,-2114652.0,6.16,0.46,-6.62,11.21,-5.05,2.39,-2.05,0.0,0.0
2020-05-15,-2980416.0,208640.0,2771777.0,-1309965.0,-1670451.0,-10.09,0.71,9.39,-4.44,-5.66,2.35,-1.67,0.0,0.0
2020-05-18,-444468.0,318931.0,125536.0,-444468.0,0.0,-1.06,0.76,0.3,-1.06,0.0,2.38,1.28,0.0,0.0
2020-05-19,-8032841.0,8793343.0,-760501.0,-4697310.0,-3335531.0,-15.66,17.15,-1.48,-9.16,-6.5,2.29,-3.78,0.0,0.0
2020-05-20,3536597.0,-1537292.0,-1999306.0,2499981.0,1036616.0,13.71,-5.96,-7.75,9.69,4.02,2.29,0.0,0.0,0.0
2020-05-21,-4456890.0,3055887.0,1401004.0,-4456890.0,0.0,-16.78,11.5,5.27,-16.78,0.0,2.23,-2.62,0.0,0.0
2020-05-22,764874.0,1127952.0,-1892826.0,764874.0,0.0,4.02,5.92,-9.94,4.02,0.0,2.21,-0.9,0.0,0.0
2020-05-25,6469820.0,-2217225.0,-4252594.0,5717109.0,752711.0,8.49,-2.91,-5.58,7.5,0.99,2.34,5.88,0.0,0.0
2020-05-26,2581605.0,-5008470.0,2426866.0,1158790.0,1422815.0,4.61,-8.94,4.33,2.07,2.54,2.31,-1.28,0.0,0.0
2020-05-27,-4336374.0,2369554.0,1966819.0,-4336374.0,0.0,-14.71,8.04,6.67,-14.71,0.0,2.24,-3.03,0.0,0.0
2020-05-28,6725953.0,-6609979.0,-115975.0,6725953.0,0.0,16.97,-16.68,-0.29,16.97,0.0,2.3,2.68,0.0,0.0
2020-05-29,-2832931.0,1837503.0,995427.0,-2832931.0,0.0,-10.67,6.92,3.75,-10.67,0.0,2.27,-1.3,0.0,0.0
2020-06-01,1922043.0,-352229.0,-1569814.0,1922043.0,0.0,5.83,-1.07,-4.76,5.83,0.0,2.32,2.2,0.0,0.0
2020-06-02,319902.0,977271.0,-1297172.0,625251.0,-305349.0,1.02,3.12,-4.14,1.99,-0.97,2.34,0.86,0.0,0.0
2020-06-03,-1857664.0,38069.0,1819595.0,-1164296.0,-693368.0,-5.61,0.11,5.49,-3.52,-2.09,2.34,0.0,0.0,0.0
2020-06-04,2126807.0,971660.0,-3098467.0,1009160.0,1117647.0,6.18,2.82,-9.0,2.93,3.25,2.37,1.28,0.0,0.0
2020-06-05,-828286.0,769826.0,58461.0,-828286.0,0.0,-3.22,3.0,0.23,-3.22,0.0,2.34,-1.27,0.0,0.0
2020-06-08,1651737.0,-394310.0,-1257428.0,616984.0,1034753.0,7.25,-1.73,-5.52,2.71,4.54,2.36,0.85,0.0,0.0
2020-06-09,-1101409.0,1424186.0,-322777.0,-1101409.0,0.0,-5.8,7.51,-1.7,-5.8,0.0,2.34,-0.85,0.0,0.0
