date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-23207801.0,14548177.0,8659624.0,-3434433.0,-19773368.0,-3.79,2.37,1.41,-0.56,-3.23,84.85,-1.34,0.0,0.0
2020-01-09,54042098.0,-76080704.0,22038592.0,8485216.0,45556882.0,3.52,-4.96,1.44,0.55,2.97,87.5,3.12,0.0,0.0
2020-01-10,266988498.0,-118762896.0,-148225584.0,34350528.0,232637970.0,13.83,-6.15,-7.68,1.78,12.05,90.5,3.43,0.0,0.0
2020-01-13,151707044.0,-29565552.0,-122141504.0,24370320.0,127336724.0,8.56,-1.67,-6.89,1.38,7.19,93.03,2.8,0.0,0.0
2020-01-14,-54525352.0,9411637.0,45113709.0,-53486118.0,-1039234.0,-6.59,1.14,5.46,-6.47,-0.13,92.07,-1.03,0.0,0.0
2020-01-15,1547655.0,13896065.0,-15443712.0,-27432624.0,28980279.0,0.19,1.68,-1.87,-3.32,3.5,92.34,0.29,0.0,0.0
2020-01-16,-20157112.0,377625.0,19779488.0,-18151997.0,-2005115.0,-4.36,0.08,4.28,-3.93,-0.43,92.65,0.34,0.0,0.0
2020-01-17,-44627944.0,15182409.0,29445534.0,-21607827.0,-23020117.0,-9.04,3.08,5.97,-4.38,-4.67,91.8,-0.92,0.0,0.0
2020-01-20,-162006259.0,130959246.0,31047008.0,-97062441.0,-64943818.0,-16.47,13.31,3.16,-9.87,-6.6,90.59,-1.32,0.0,0.0
2020-01-21,-164333995.0,87453484.0,76880528.0,-71015424.0,-93318571.0,-11.97,6.37,5.6,-5.17,-6.8,87.26,-3.68,0.0,0.0
2020-01-22,-75831245.0,14259241.0,61572011.0,-60170357.0,-15660888.0,-10.12,1.9,8.22,-8.03,-2.09,87.51,0.29,0.0,0.0
2020-01-23,-258693938.0,180490135.0,78203792.0,-97670880.0,-161023058.0,-16.47,11.49,4.98,-6.22,-10.25,82.65,-5.55,0.0,0.0
2020-02-03,4466077.0,15910087.0,-20376165.0,-32185578.0,36651655.0,1.35,4.82,-6.17,-9.74,11.09,74.39,-9.99,0.0,0.0
2020-02-04,-447512000.0,250775280.0,196736720.0,-313118400.0,-134393600.0,-14.54,8.15,6.39,-10.17,-4.37,72.12,-3.05,0.0,0.0
2020-02-05,-84202944.0,64160928.0,20042016.0,13088304.0,-97291248.0,-3.78,2.88,0.9,0.59,-4.36,72.4,0.39,0.0,0.0
2020-02-06,19051281.0,-19106320.0,55056.0,21986880.0,-2935599.0,1.42,-1.42,0.0,1.64,-0.22,73.89,2.06,0.0,0.0
2020-02-07,-24253481.0,12731248.0,11522256.0,-897424.0,-23356057.0,-1.87,0.98,0.89,-0.07,-1.8,74.76,1.18,0.0,0.0
2020-02-10,-183312041.0,93523063.0,89788976.0,-147308064.0,-36003977.0,-14.48,7.39,7.09,-11.64,-2.84,73.72,-1.39,0.0,0.0
2020-02-11,123093116.0,-113023472.0,-10069632.0,-10604288.0,133697404.0,7.45,-6.84,-0.61,-0.64,8.1,77.4,4.99,0.0,0.0
2020-02-12,-26967459.0,19480816.0,7486656.0,-15967040.0,-11000419.0,-2.55,1.84,0.71,-1.51,-1.04,77.49,0.12,0.0,0.0
2020-02-13,-72932761.0,39092359.0,33840400.0,9597200.0,-82529961.0,-7.22,3.87,3.35,0.95,-8.17,77.5,0.01,0.0,0.0
2020-02-14,-71953517.0,45125643.0,26827873.0,-26402860.0,-45550657.0,-11.54,7.24,4.3,-4.23,-7.31,77.72,0.28,0.0,0.0
