date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2298347.0,2785794.0,-487447.0,-2298347.0,0.0,-3.04,3.69,-0.65,-3.04,0.0,6.55,0.0,0.0,0.0
2020-01-09,3706782.0,-3625754.0,-81029.0,-1081783.0,4788565.0,4.6,-4.5,-0.1,-1.34,5.94,6.73,2.75,0.0,0.0
2020-01-10,-5521019.0,8284958.0,-2763937.0,-2929286.0,-2591733.0,-11.27,16.91,-5.64,-5.98,-5.29,6.57,-2.38,0.0,0.0
2020-01-13,-2909555.0,6703758.0,-3794203.0,-2926403.0,16848.0,-8.28,19.07,-10.8,-8.33,0.05,6.57,0.0,0.0,0.0
2020-01-14,-2497296.0,4127298.0,-1630002.0,-1085405.0,-1411891.0,-8.28,13.68,-5.4,-3.6,-4.68,6.5,-1.07,0.0,0.0
2020-01-15,-11373361.0,10016886.0,1356475.0,-3979480.0,-7393881.0,-28.57,25.17,3.41,-10.0,-18.58,6.38,-1.85,0.0,0.0
2020-01-16,-1523467.0,4545728.0,-3022261.0,-1181202.0,-342265.0,-6.06,18.09,-12.02,-4.7,-1.36,6.32,-0.94,0.0,0.0
2020-01-17,-1667149.0,3064345.0,-1397196.0,-1952434.0,285285.0,-5.33,9.8,-4.47,-6.24,0.91,6.26,-0.95,0.0,0.0
2020-01-20,-2863628.0,3631465.0,-767837.0,-2733004.0,-130624.0,-11.51,14.59,-3.09,-10.98,-0.52,6.29,0.48,0.0,0.0
2020-01-21,-2862910.0,2622840.0,240071.0,-2862910.0,0.0,-10.63,9.74,0.89,-10.63,0.0,6.22,-1.11,0.0,0.0
2020-01-22,446568.0,-428915.0,-17653.0,446568.0,0.0,1.95,-1.87,-0.08,1.95,0.0,6.22,0.0,0.0,0.0
2020-01-23,-7144710.0,11666859.0,-4522149.0,-6014323.0,-1130387.0,-17.66,28.83,-11.18,-14.86,-2.79,5.91,-4.98,0.0,0.0
2020-02-03,-1400617.0,1983802.0,-583183.0,-2464617.0,1064000.0,-22.01,31.17,-9.16,-38.72,16.72,5.32,-9.98,0.0,0.0
2020-02-04,-6244533.0,5765999.0,478534.0,-4921684.0,-1322849.0,-12.39,11.44,0.95,-9.76,-2.62,5.01,-5.83,0.0,0.0
2020-02-05,-2528743.0,1591882.0,936861.0,-1955926.0,-572817.0,-6.83,4.3,2.53,-5.28,-1.55,5.1,1.8,0.0,0.0
2020-02-06,2026660.0,-179473.0,-1847188.0,2026660.0,0.0,4.63,-0.41,-4.22,4.63,0.0,5.33,4.51,0.0,0.0
2020-02-07,-1082986.0,3061557.0,-1978571.0,-1082986.0,0.0,-2.9,8.19,-5.3,-2.9,0.0,5.43,1.88,0.0,0.0
2020-02-10,13769485.0,-9795772.0,-3973713.0,8693120.0,5076365.0,17.9,-12.73,-5.17,11.3,6.6,5.92,9.02,0.0,0.0
2020-02-11,-15949782.0,10625591.0,5324191.0,-11370611.0,-4579171.0,-25.62,17.07,8.55,-18.26,-7.36,5.56,-6.08,0.0,0.0
2020-02-12,-3345091.0,3031550.0,313542.0,-3345091.0,0.0,-10.44,9.46,0.98,-10.44,0.0,5.61,0.9,0.0,0.0
2020-02-13,-2991417.0,2801568.0,189848.0,-2991417.0,0.0,-9.68,9.07,0.61,-9.68,0.0,5.48,-2.32,0.0,0.0
2020-02-14,-82318.0,625058.0,-542740.0,-82318.0,0.0,-0.41,3.1,-2.69,-0.41,0.0,5.48,0.0,0.0,0.0
2020-02-17,-1870126.0,2734795.0,-864669.0,-808263.0,-1061863.0,-3.88,5.67,-1.79,-1.68,-2.2,5.72,4.38,0.0,0.0
2020-02-18,-540820.0,659866.0,-119048.0,-540820.0,0.0,-0.95,1.16,-0.21,-0.95,0.0,5.89,2.97,0.0,0.0
2020-02-19,6383216.0,-4439115.0,-1944100.0,5069197.0,1314019.0,7.6,-5.29,-2.31,6.04,1.56,5.99,1.7,0.0,0.0
2020-02-20,619023.0,-2177663.0,1558640.0,581874.0,37149.0,1.18,-4.16,2.98,1.11,0.07,6.09,1.67,0.0,0.0
2020-02-21,-2045172.0,4650192.0,-2605020.0,-4224588.0,2179416.0,-3.58,8.15,-4.56,-7.4,3.82,6.12,0.49,0.0,0.0
2020-02-24,-3071250.0,5224050.0,-2152801.0,-2932034.0,-139216.0,-5.52,9.38,-3.87,-5.27,-0.25,6.17,0.82,0.0,0.0
2020-02-25,9817149.0,-3416678.0,-6400471.0,9032912.0,784237.0,7.06,-2.46,-4.6,6.5,0.56,6.32,2.43,0.0,0.0
2020-02-26,12134708.0,-7270951.0,-4863758.0,-1971210.0,14105918.0,6.16,-3.69,-2.47,-1.0,7.16,6.45,2.06,0.0,0.0
2020-02-27,-11157600.0,7747474.0,3410127.0,-8980432.0,-2177168.0,-10.22,7.1,3.12,-8.22,-1.99,6.22,-3.57,0.0,0.0
2020-02-28,-13647672.0,15660890.0,-2013217.0,-10193783.0,-3453889.0,-17.62,20.22,-2.6,-13.16,-4.46,5.67,-8.84,0.0,0.0
2020-03-02,894263.0,-4566290.0,3672026.0,856036.0,38227.0,2.07,-10.59,8.52,1.99,0.09,5.97,5.29,0.0,0.0
2020-03-03,-3739224.0,4533945.0,-794722.0,-4536579.0,797355.0,-5.73,6.95,-1.22,-6.95,1.22,6.05,1.34,0.0,0.0
2020-03-04,2629540.0,-3188116.0,558575.0,2629540.0,0.0,5.87,-7.12,1.25,5.87,0.0,6.17,1.98,0.0,0.0
2020-03-05,-6531711.0,7194787.0,-663076.0,-4919213.0,-1612498.0,-9.61,10.59,-0.98,-7.24,-2.37,6.24,1.13,0.0,0.0
2020-03-06,12529152.0,-8198088.0,-4331064.0,4578014.0,7951138.0,10.41,-6.81,-3.6,3.81,6.61,6.44,3.21,0.0,0.0
2020-03-09,458530.0,-113312.0,-345217.0,-817679.0,1276209.0,0.32,-0.08,-0.24,-0.57,0.89,6.56,1.86,0.0,0.0
2020-03-10,3117760.0,-3652883.0,535123.0,-4148.0,3121908.0,1.86,-2.18,0.32,-0.0,1.87,6.75,2.9,0.0,0.0
2020-03-11,-8231770.0,6000370.0,2231400.0,-5542160.0,-2689610.0,-6.5,4.74,1.76,-4.38,-2.12,6.5,-3.7,0.0,0.0
2020-03-12,-4871998.0,5028972.0,-156974.0,-3764990.0,-1107008.0,-6.73,6.95,-0.22,-5.2,-1.53,6.34,-2.46,0.0,0.0
2020-03-13,-4301500.0,2656829.0,1644670.0,-4295250.0,-6250.0,-6.88,4.25,2.63,-6.87,-0.01,6.21,-2.05,0.0,0.0
2020-03-16,-1312957.0,8065440.0,-6752482.0,-230602.0,-1082355.0,-1.61,9.89,-8.28,-0.28,-1.33,5.99,-3.54,0.0,0.0
