date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-3552606.0,6034108.0,-2481501.0,-3552606.0,0.0,-10.33,17.55,-7.22,-10.33,0.0,6.13,-1.76,0.0,0.0
2020-01-09,-580371.0,1686539.0,-1106168.0,-580371.0,0.0,-2.75,7.98,-5.23,-2.75,0.0,6.16,0.49,0.0,0.0
2020-01-10,-2370792.0,3089423.0,-718631.0,-2370792.0,0.0,-14.36,18.71,-4.35,-14.36,0.0,6.1,-0.97,0.0,0.0
2020-01-13,1033815.0,1020128.0,-2053943.0,1033815.0,0.0,5.59,5.51,-11.1,5.59,0.0,6.12,0.33,0.0,0.0
2020-01-14,-1618918.0,2071038.0,-452120.0,-1618918.0,0.0,-9.5,12.15,-2.65,-9.5,0.0,6.1,-0.33,0.0,0.0
2020-01-15,-1507869.0,2876084.0,-1368214.0,-1507869.0,0.0,-11.25,21.46,-10.21,-11.25,0.0,6.05,-0.82,0.0,0.0
2020-01-16,-1693809.0,2810773.0,-1116963.0,-1693809.0,0.0,-12.71,21.1,-8.38,-12.71,0.0,6.01,-0.66,0.0,0.0
2020-01-17,-335634.0,1721393.0,-1385759.0,-335634.0,0.0,-2.61,13.38,-10.77,-2.61,0.0,5.95,-1.0,0.0,0.0
2020-01-20,315101.0,-723710.0,408609.0,315101.0,0.0,2.77,-6.36,3.59,2.77,0.0,5.99,0.67,0.0,0.0
2020-01-21,-245901.0,1900986.0,-1655085.0,-245901.0,0.0,-2.01,15.53,-13.52,-2.01,0.0,5.92,-1.17,0.0,0.0
2020-01-22,-938281.0,2941500.0,-2003219.0,-938281.0,0.0,-6.07,19.02,-12.95,-6.07,0.0,5.87,-0.84,0.0,0.0
2020-01-23,-2481741.0,5080118.0,-2598377.0,-2481741.0,0.0,-13.14,26.89,-13.75,-13.14,0.0,5.76,-1.87,0.0,0.0
2020-02-03,-684417.0,1354709.0,-670292.0,-684417.0,0.0,-12.91,25.55,-12.64,-12.91,0.0,5.18,-10.07,0.0,0.0
2020-02-04,-3369616.0,4200338.0,-830722.0,-3290732.0,-78884.0,-11.12,13.86,-2.74,-10.86,-0.26,4.92,-5.02,0.0,0.0
2020-02-05,-1911131.0,1959528.0,-48397.0,-1911131.0,0.0,-10.49,10.75,-0.27,-10.49,0.0,4.98,1.22,0.0,0.0
2020-02-06,681020.0,248238.0,-929258.0,681020.0,0.0,3.97,1.45,-5.42,3.97,0.0,5.06,1.61,0.0,0.0
2020-02-07,78691.0,970160.0,-1048850.0,78691.0,0.0,0.48,5.98,-6.46,0.48,0.0,5.07,0.2,0.0,0.0
2020-02-10,840987.0,-22265.0,-818721.0,1014879.0,-173892.0,4.78,-0.13,-4.65,5.77,-0.99,5.17,1.97,0.0,0.0
2020-02-11,1946958.0,-2195909.0,248951.0,1282959.0,663999.0,7.86,-8.86,1.01,5.18,2.68,5.22,0.97,0.0,0.0
2020-02-12,-326543.0,1440973.0,-1114431.0,-326543.0,0.0,-2.09,9.23,-7.14,-2.09,0.0,5.25,0.57,0.0,0.0
2020-02-13,136972.0,-780302.0,643330.0,1367140.0,-1230168.0,0.72,-4.11,3.39,7.21,-6.49,5.26,0.19,0.0,0.0
2020-02-14,-831086.0,1961439.0,-1130353.0,-831086.0,0.0,-5.88,13.88,-8.0,-5.88,0.0,5.23,-0.57,0.0,0.0
2020-02-17,-2145313.0,1905359.0,239953.0,-2115465.0,-29848.0,-9.56,8.49,1.07,-9.43,-0.13,5.35,2.29,0.0,0.0
2020-02-18,-1774145.0,2442534.0,-668390.0,-1774145.0,0.0,-8.54,11.76,-3.22,-8.54,0.0,5.39,0.75,0.0,0.0
2020-02-19,1199924.0,-342912.0,-857012.0,1199924.0,0.0,7.36,-2.1,-5.25,7.36,0.0,5.38,-0.19,0.0,0.0
2020-02-20,-270216.0,809472.0,-539256.0,-270216.0,0.0,-1.21,3.64,-2.42,-1.21,0.0,5.43,0.93,0.0,0.0
2020-02-21,456464.0,1654134.0,-2110597.0,456464.0,0.0,2.13,7.72,-9.84,2.13,0.0,5.44,0.18,0.0,0.0
2020-02-24,-2647157.0,3482980.0,-835823.0,-2647157.0,0.0,-11.51,15.14,-3.63,-11.51,0.0,5.36,-1.47,0.0,0.0
2020-02-25,-3805674.0,4367749.0,-562075.0,-2769167.0,-1036507.0,-10.65,12.22,-1.57,-7.75,-2.9,5.19,-3.17,0.0,0.0
2020-02-26,-906525.0,632080.0,274444.0,-906525.0,0.0,-4.05,2.82,1.22,-4.05,0.0,5.2,0.19,0.0,0.0
2020-02-27,-225037.0,511688.0,-286650.0,-225037.0,0.0,-1.69,3.84,-2.15,-1.69,0.0,5.22,0.38,0.0,0.0
2020-02-28,-2503465.0,5775483.0,-3272018.0,-2503465.0,0.0,-8.97,20.69,-11.72,-8.97,0.0,4.95,-5.17,0.0,0.0
2020-03-02,-1922698.0,409608.0,1513090.0,-1922698.0,0.0,-11.68,2.49,9.2,-11.68,0.0,5.11,3.23,0.0,0.0
2020-03-03,352969.0,407246.0,-760215.0,352969.0,0.0,1.78,2.06,-3.84,1.78,0.0,5.16,0.98,0.0,0.0
2020-03-04,-656023.0,-1927430.0,2583454.0,-656023.0,0.0,-2.33,-6.85,9.19,-2.33,0.0,5.25,1.74,0.0,0.0
2020-03-05,3030705.0,-5076760.0,2046055.0,3030705.0,0.0,8.33,-13.95,5.62,8.33,0.0,5.4,2.86,0.0,0.0
2020-03-06,-3495550.0,2310363.0,1185187.0,-1968325.0,-1527225.0,-11.77,7.78,3.99,-6.63,-5.14,5.4,0.0,0.0,0.0
2020-03-09,-3103723.0,3698706.0,-594983.0,-3103723.0,0.0,-11.86,14.13,-2.27,-11.86,0.0,5.2,-3.7,0.0,0.0
2020-03-10,38001.0,1354059.0,-1392059.0,38001.0,0.0,0.15,5.52,-5.67,0.15,0.0,5.26,1.15,0.0,0.0
2020-03-11,-457623.0,664386.0,-206763.0,-457623.0,0.0,-1.68,2.44,-0.76,-1.68,0.0,5.29,0.57,0.0,0.0
2020-03-12,-1218191.0,3140634.0,-1922443.0,-1218191.0,0.0,-6.41,16.53,-10.12,-6.41,0.0,5.16,-2.46,0.0,0.0
2020-03-13,-2314818.0,2624559.0,-309741.0,-2314818.0,0.0,-8.89,10.07,-1.19,-8.89,0.0,5.06,-1.94,0.0,0.0
2020-03-16,-699743.0,4672176.0,-3972431.0,-699743.0,0.0,-3.19,21.31,-18.12,-3.19,0.0,4.92,-2.77,0.0,0.0
2020-03-17,-288700.0,368404.0,-79705.0,-288700.0,0.0,-1.42,1.81,-0.39,-1.42,0.0,4.92,0.0,0.0,0.0
2020-03-18,-6371.0,1608456.0,-1602085.0,-6371.0,0.0,-0.03,8.48,-8.44,-0.03,0.0,4.86,-1.22,0.0,0.0
2020-03-19,-1543905.0,-391601.0,1935506.0,-1543905.0,0.0,-9.61,-2.44,12.05,-9.61,0.0,4.84,-0.41,0.0,0.0
2020-03-20,906363.0,-738819.0,-167544.0,906363.0,0.0,6.93,-5.65,-1.28,6.93,0.0,4.95,2.27,0.0,0.0
2020-03-23,113762.0,927438.0,-1041200.0,113762.0,0.0,0.95,7.72,-8.67,0.95,0.0,4.8,-3.03,0.0,0.0
