date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-23297723.0,21360774.0,1936950.0,-15952184.0,-7345539.0,-27.57,25.28,2.29,-18.88,-8.69,4.88,-2.79,0.0,0.0
2020-01-09,-4870398.0,3464272.0,1406125.0,-5242309.0,371911.0,-8.62,6.13,2.49,-9.28,0.66,4.92,0.82,0.0,0.0
2020-01-10,-4060725.0,2117275.0,1943449.0,-3138416.0,-922309.0,-8.42,4.39,4.03,-6.51,-1.91,4.94,0.41,0.0,0.0
2020-01-13,21123061.0,-11351428.0,-9771634.0,-2874770.0,23997831.0,20.32,-10.92,-9.4,-2.77,23.09,5.11,3.44,0.0,0.0
2020-01-14,8674499.0,-5717760.0,-2956739.0,8212809.0,461690.0,8.26,-5.44,-2.82,7.82,0.44,5.13,0.39,0.0,0.0
2020-01-15,2534998.0,851680.0,-3386678.0,2534998.0,0.0,4.46,1.5,-5.95,4.46,0.0,5.13,0.0,0.0,0.0
2020-01-16,-9252378.0,8073683.0,1178696.0,-6863319.0,-2389059.0,-20.06,17.5,2.56,-14.88,-5.18,4.99,-2.73,0.0,0.0
2020-01-17,4080092.0,-4357148.0,277056.0,4829998.0,-749906.0,5.69,-6.07,0.39,6.73,-1.05,5.06,1.4,0.0,0.0
2020-01-20,30788973.0,-5191477.0,-25597496.0,-4185400.0,34974373.0,8.51,-1.44,-7.08,-1.16,9.67,5.56,9.88,0.0,0.0
2020-01-21,-30706171.0,33308972.0,-2602800.0,1448987.0,-32155158.0,-6.03,6.54,-0.51,0.28,-6.31,6.12,10.07,0.0,0.0
2020-01-22,-63744497.0,44446681.0,19297816.0,-38414716.0,-25329781.0,-11.95,8.33,3.62,-7.2,-4.75,5.74,-6.21,0.0,0.0
2020-01-23,-4894627.0,17898523.0,-13003894.0,-16698017.0,11803390.0,-0.85,3.12,-2.27,-2.91,2.06,6.01,4.7,0.0,0.0
2020-02-03,-20359173.0,24900580.0,-4541407.0,-31011624.0,10652451.0,-4.86,5.94,-1.08,-7.4,2.54,6.61,9.98,0.0,0.0
2020-02-04,-77940753.0,80845913.0,-2905168.0,-43993612.0,-33947141.0,-9.15,9.49,-0.34,-5.16,-3.99,6.5,-1.66,0.0,0.0
2020-02-05,-4785504.0,37515453.0,-32729952.0,-27564519.0,22779015.0,-0.54,4.22,-3.68,-3.1,2.56,6.89,6.0,0.0,0.0
2020-02-06,-111558725.0,107010912.0,4547808.0,-65520385.0,-46038340.0,-11.24,10.78,0.46,-6.6,-4.64,6.74,-2.18,0.0,0.0
2020-02-07,-106427803.0,99566097.0,6861712.0,-85140431.0,-21287372.0,-13.44,12.57,0.87,-10.75,-2.69,6.16,-8.61,0.0,0.0
2020-02-10,-5638844.0,19747894.0,-14109049.0,-6902389.0,1263545.0,-1.64,5.73,-4.1,-2.0,0.37,5.72,-7.14,0.0,0.0
2020-02-11,-15826591.0,16117232.0,-290641.0,-9672129.0,-6154462.0,-5.72,5.83,-0.11,-3.5,-2.23,5.58,-2.45,0.0,0.0
2020-02-12,-11264085.0,10972307.0,291779.0,-11522171.0,258086.0,-5.64,5.5,0.15,-5.77,0.13,5.61,0.54,0.0,0.0
2020-02-13,-14075001.0,20419910.0,-6344909.0,-6571199.0,-7503802.0,-7.37,10.69,-3.32,-3.44,-3.93,5.46,-2.67,0.0,0.0
2020-02-14,-71272.0,599394.0,-528122.0,3201037.0,-3272309.0,-0.02,0.17,-0.15,0.9,-0.92,5.67,3.85,0.0,0.0
2020-02-17,-21946973.0,16436285.0,5510688.0,-16716325.0,-5230648.0,-9.19,6.89,2.31,-7.0,-2.19,5.7,0.53,0.0,0.0
2020-02-18,20118478.0,-2043311.0,-18075168.0,-2711160.0,22829638.0,7.21,-0.73,-6.48,-0.97,8.18,5.83,2.28,0.0,0.0
2020-02-19,-46453073.0,39644919.0,6808155.0,-31046401.0,-15406672.0,-19.73,16.84,2.89,-13.18,-6.54,5.54,-4.97,0.0,0.0
2020-02-20,-25654474.0,30995197.0,-5340723.0,-8267218.0,-17387256.0,-11.59,14.01,-2.41,-3.74,-7.86,5.42,-2.17,0.0,0.0
2020-02-21,-18370492.0,20680672.0,-2310180.0,-8534975.0,-9835517.0,-9.57,10.77,-1.2,-4.45,-5.12,5.43,0.18,0.0,0.0
2020-02-24,1208264.0,3340190.0,-4548455.0,-2207375.0,3415639.0,0.59,1.64,-2.23,-1.08,1.68,5.52,1.66,0.0,0.0
2020-02-25,-14188638.0,16048870.0,-1860231.0,-8567451.0,-5621187.0,-3.38,3.83,-0.44,-2.04,-1.34,5.7,3.26,0.0,0.0
2020-02-26,-52998350.0,45499248.0,7499103.0,-25536894.0,-27461456.0,-19.88,17.06,2.81,-9.58,-10.3,5.46,-4.21,0.0,0.0
2020-02-27,-21346764.0,24091748.0,-2744985.0,-19835748.0,-1511016.0,-14.62,16.5,-1.88,-13.59,-1.03,5.35,-2.01,0.0,0.0
2020-02-28,-17915837.0,19873179.0,-1957342.0,-11240739.0,-6675098.0,-12.06,13.37,-1.32,-7.56,-4.49,5.19,-2.99,0.0,0.0
2020-03-02,2680516.0,-577216.0,-2103300.0,4074919.0,-1394403.0,2.49,-0.54,-1.96,3.79,-1.3,5.32,2.5,0.0,0.0
2020-03-03,12654091.0,-4302636.0,-8351454.0,-2832772.0,15486863.0,7.58,-2.58,-5.0,-1.7,9.27,5.38,1.13,0.0,0.0
2020-03-04,-7013146.0,9593936.0,-2580790.0,-6223146.0,-790000.0,-7.11,9.72,-2.61,-6.31,-0.8,5.34,-0.74,0.0,0.0
