date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-23949720.0,20200840.0,3748881.0,-17594914.0,-6354806.0,-13.01,10.97,2.04,-9.55,-3.45,2.32,-0.85,0.0,0.0
2020-01-09,-1836310.0,3881976.0,-2045666.0,3669547.0,-5505857.0,-1.57,3.32,-1.75,3.14,-4.72,2.33,0.43,0.0,0.0
2020-01-10,-6927021.0,8789265.0,-1862244.0,-981617.0,-5945404.0,-5.82,7.38,-1.56,-0.82,-4.99,2.3,-1.29,0.0,0.0
2020-01-13,-772659.0,4709344.0,-3936685.0,65030.0,-837689.0,-0.83,5.06,-4.23,0.07,-0.9,2.29,-0.43,0.0,0.0
2020-01-14,200644.0,6521267.0,-6721911.0,3244982.0,-3044338.0,0.15,4.84,-4.99,2.41,-2.26,2.3,0.44,0.0,0.0
2020-01-15,-5763120.0,4271491.0,1491629.0,2863597.0,-8626717.0,-5.19,3.85,1.34,2.58,-7.77,2.29,-0.43,0.0,0.0
2020-01-16,-2217458.0,5175087.0,-2957628.0,-6198619.0,3981161.0,-2.3,5.37,-3.07,-6.43,4.13,2.3,0.44,0.0,0.0
2020-01-17,-9411004.0,3813900.0,5597105.0,-3931289.0,-5479715.0,-11.41,4.62,6.79,-4.77,-6.64,2.29,-0.43,0.0,0.0
2020-01-20,7902764.0,-1064711.0,-6838052.0,4497412.0,3405352.0,9.12,-1.23,-7.89,5.19,3.93,2.31,0.87,0.0,0.0
2020-01-21,-39958479.0,30927209.0,9031270.0,-8765508.0,-31192971.0,-27.49,21.28,6.21,-6.03,-21.46,2.25,-2.6,0.0,0.0
2020-01-22,-5486074.0,7537050.0,-2050976.0,-2510439.0,-2975635.0,-4.45,6.12,-1.67,-2.04,-2.42,2.26,0.44,0.0,0.0
2020-01-23,-2702532.0,6579730.0,-3877199.0,-10263566.0,7561034.0,-2.08,5.05,-2.98,-7.88,5.81,2.21,-2.21,0.0,0.0
2020-02-03,-17216414.0,23119133.0,-5902718.0,-13475891.0,-3740523.0,-21.28,28.57,-7.3,-16.66,-4.62,1.99,-9.95,0.0,0.0
2020-02-04,-13322948.0,17174065.0,-3851118.0,-4712733.0,-8610215.0,-5.61,7.23,-1.62,-1.98,-3.63,1.96,-1.51,0.0,0.0
2020-02-05,-12000620.0,14816672.0,-2816052.0,-2504383.0,-9496237.0,-7.0,8.65,-1.64,-1.46,-5.54,2.0,2.04,0.0,0.0
2020-02-06,-1054790.0,3324161.0,-2269370.0,2316255.0,-3371045.0,-0.67,2.11,-1.44,1.47,-2.14,2.01,0.5,0.0,0.0
