date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-67370504.0,53127169.0,14243335.0,-42528262.0,-24842242.0,-21.49,16.94,4.54,-13.56,-7.92,17.21,-1.88,0.0,0.0
2020-01-09,6628188.0,11692591.0,-18320779.0,10754752.0,-4126564.0,2.12,3.74,-5.87,3.44,-1.32,17.67,2.67,0.0,0.0
2020-01-10,41537047.0,-26026538.0,-15510510.0,30111390.0,11425657.0,9.41,-5.89,-3.51,6.82,2.59,18.41,4.19,0.0,0.0
2020-01-13,-26450869.0,24384444.0,2066424.0,-28861320.0,2410451.0,-6.32,5.83,0.49,-6.9,0.58,18.68,1.47,0.0,0.0
2020-01-14,-38037615.0,34430160.0,3607456.0,-23619636.0,-14417979.0,-12.14,10.99,1.15,-7.54,-4.6,18.31,-1.98,0.0,0.0
2020-01-15,-30758327.0,29123031.0,1635295.0,-24755442.0,-6002885.0,-13.67,12.95,0.73,-11.0,-2.67,18.3,-0.05,0.0,0.0
2020-01-16,-23887576.0,12660717.0,11226859.0,-10850491.0,-13037085.0,-8.8,4.66,4.14,-4.0,-4.8,18.3,0.0,0.0,0.0
2020-01-17,-41147748.0,26573997.0,14573752.0,-23692581.0,-17455167.0,-15.96,10.3,5.65,-9.19,-6.77,17.96,-1.86,0.0,0.0
2020-01-20,-31520724.0,29279760.0,2240963.0,-26371754.0,-5148970.0,-13.33,12.39,0.95,-11.16,-2.18,18.01,0.28,0.0,0.0
2020-01-21,-61117832.0,49694703.0,11423129.0,-42870293.0,-18247539.0,-18.66,15.17,3.49,-13.09,-5.57,17.28,-4.05,0.0,0.0
2020-01-22,-16125507.0,20436885.0,-4311379.0,-17818462.0,1692955.0,-5.51,6.99,-1.47,-6.09,0.58,17.24,-0.23,0.0,0.0
2020-01-23,-30827438.0,38478220.0,-7650782.0,-15374011.0,-15453427.0,-8.56,10.68,-2.12,-4.27,-4.29,16.36,-5.1,0.0,0.0
