date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-231980.0,-1260324.0,1492303.0,-691790.0,459810.0,-1.1,-5.96,7.06,-3.27,2.18,3.92,0.0,0.0,0.0
2020-01-09,3679674.0,-2086269.0,-1593407.0,-49566.0,3729240.0,39.78,-22.55,-17.22,-0.54,40.31,4.31,9.95,0.0,0.0
2020-01-10,3863890.0,-2694714.0,-1169176.0,541147.0,3322743.0,5.48,-3.82,-1.66,0.77,4.71,4.74,9.98,0.0,0.0
2020-01-13,-30781821.0,12755759.0,18026064.0,-26149188.0,-4632633.0,-20.36,8.44,11.92,-17.3,-3.06,4.43,-6.54,0.0,0.0
2020-01-14,-2351044.0,2721917.0,-370873.0,1030719.0,-3381763.0,-2.87,3.32,-0.45,1.26,-4.12,4.26,-3.84,0.0,0.0
2020-01-15,-9230511.0,6928615.0,2301897.0,-6038571.0,-3191940.0,-13.76,10.33,3.43,-9.0,-4.76,3.99,-6.34,0.0,0.0
2020-01-16,1510587.0,655989.0,-2166575.0,1510587.0,0.0,5.22,2.27,-7.48,5.22,0.0,4.0,0.25,0.0,0.0
2020-01-17,-6525767.0,7505103.0,-979337.0,-4088806.0,-2436961.0,-22.53,25.91,-3.38,-14.12,-8.41,3.86,-3.5,0.0,0.0
2020-01-20,-1082766.0,1401737.0,-318970.0,-1082766.0,0.0,-4.76,6.16,-1.4,-4.76,0.0,3.81,-1.3,0.0,0.0
2020-01-21,-1947769.0,3511459.0,-1563688.0,-1947769.0,0.0,-13.52,24.37,-10.85,-13.52,0.0,3.71,-2.62,0.0,0.0
2020-01-22,-475110.0,882584.0,-407473.0,-475110.0,0.0,-2.52,4.69,-2.17,-2.52,0.0,3.66,-1.35,0.0,0.0
2020-01-23,-2236367.0,4768132.0,-2531764.0,-2236367.0,0.0,-10.75,22.92,-12.17,-10.75,0.0,3.47,-5.19,0.0,0.0
2020-02-03,-1250184.0,976248.0,273936.0,-545688.0,-704496.0,-53.34,41.65,11.69,-23.28,-30.06,3.12,-10.09,0.0,0.0
2020-02-04,-1167348.0,3545892.0,-2378545.0,-1167348.0,0.0,-4.55,13.82,-9.27,-4.55,0.0,2.92,-6.41,0.0,0.0
2020-02-05,-143322.0,1154504.0,-1011182.0,-143322.0,0.0,-0.82,6.6,-5.78,-0.82,0.0,3.02,3.42,0.0,0.0
2020-02-06,168334.0,-287700.0,119366.0,168334.0,0.0,0.87,-1.48,0.62,0.87,0.0,3.21,6.29,0.0,0.0
2020-02-07,-633270.0,-742917.0,1376188.0,-633270.0,0.0,-3.31,-3.88,7.19,-3.31,0.0,3.28,2.18,0.0,0.0
2020-02-10,192842.0,653274.0,-846116.0,192842.0,0.0,1.7,5.75,-7.44,1.7,0.0,3.32,1.22,0.0,0.0
2020-02-11,-501743.0,823037.0,-321294.0,-501743.0,0.0,-6.59,10.8,-4.22,-6.59,0.0,3.28,-1.2,0.0,0.0
2020-02-12,-1065664.0,115179.0,950486.0,-1065664.0,0.0,-12.44,1.34,11.1,-12.44,0.0,3.3,0.61,0.0,0.0
2020-02-13,-680750.0,-826132.0,1506882.0,-680750.0,0.0,-5.54,-6.72,12.26,-5.54,0.0,3.35,1.52,0.0,0.0
2020-02-14,-1262229.0,3386302.0,-2124072.0,-1262229.0,0.0,-11.15,29.92,-18.77,-11.15,0.0,3.3,-1.49,0.0,0.0
2020-02-17,1081399.0,161334.0,-1242734.0,1081399.0,0.0,8.36,1.25,-9.61,8.36,0.0,3.39,2.73,0.0,0.0
2020-02-18,888169.0,-1172621.0,284451.0,888169.0,0.0,8.25,-10.89,2.64,8.25,0.0,3.44,1.47,0.0,0.0
2020-02-19,-1355524.0,2029475.0,-673951.0,-1355524.0,0.0,-12.58,18.84,-6.26,-12.58,0.0,3.38,-1.74,0.0,0.0
2020-02-20,29144.0,-309587.0,280444.0,29144.0,0.0,0.25,-2.66,2.41,0.25,0.0,3.47,2.66,0.0,0.0
2020-02-21,-26618.0,1640306.0,-1613688.0,-26618.0,0.0,-0.19,11.63,-11.44,-0.19,0.0,3.5,0.86,0.0,0.0
2020-02-24,-346531.0,1283209.0,-936676.0,-346531.0,0.0,-2.92,10.8,-7.88,-2.92,0.0,3.52,0.57,0.0,0.0
2020-02-25,-1353090.0,2433097.0,-1080007.0,-1353090.0,0.0,-6.67,12.0,-5.33,-6.67,0.0,3.46,-1.7,0.0,0.0
2020-02-26,-1704592.0,1932751.0,-228158.0,-1704592.0,0.0,-7.45,8.45,-1.0,-7.45,0.0,3.42,-1.16,0.0,0.0
2020-02-27,447410.0,1375401.0,-1822811.0,447410.0,0.0,3.03,9.3,-12.33,3.03,0.0,3.47,1.46,0.0,0.0
2020-02-28,-2444179.0,3573205.0,-1129025.0,-2444179.0,0.0,-14.06,20.55,-6.49,-14.06,0.0,3.21,-7.49,0.0,0.0
2020-03-02,387994.0,-394749.0,6755.0,387994.0,0.0,3.56,-3.62,0.06,3.56,0.0,3.34,4.05,0.0,0.0
2020-03-03,-1329142.0,1329050.0,91.0,-1329142.0,0.0,-7.05,7.05,0.0,-7.05,0.0,3.39,1.5,0.0,0.0
2020-03-04,1427281.0,-1404109.0,-23172.0,1427281.0,0.0,9.28,-9.13,-0.15,9.28,0.0,3.5,3.24,0.0,0.0
2020-03-05,410673.0,-865098.0,454425.0,410673.0,0.0,2.02,-4.26,2.24,2.02,0.0,3.58,2.29,0.0,0.0
2020-03-06,-3009166.0,2148558.0,860608.0,-3009166.0,0.0,-16.82,12.01,4.81,-16.82,0.0,3.59,0.28,0.0,0.0
2020-03-09,-1639.0,1664673.0,-1663034.0,-854587.0,852948.0,-0.01,10.43,-10.42,-5.35,5.34,3.48,-3.06,0.0,0.0
2020-03-10,191376.0,715570.0,-906947.0,1810948.0,-1619572.0,0.69,2.58,-3.27,6.52,-5.83,3.58,2.87,0.0,0.0
2020-03-11,2044455.0,-1494601.0,-549854.0,790097.0,1254358.0,5.4,-3.95,-1.45,2.09,3.31,3.72,3.91,0.0,0.0
2020-03-12,631593.0,-851209.0,219615.0,-464873.0,1096466.0,1.03,-1.39,0.36,-0.76,1.79,3.8,2.15,0.0,0.0
2020-03-13,-2192333.0,801931.0,1390401.0,-612782.0,-1579551.0,-5.74,2.1,3.64,-1.61,-4.14,3.64,-4.21,0.0,0.0
2020-03-16,-2284253.0,4440071.0,-2155817.0,-2284253.0,0.0,-8.29,16.12,-7.83,-8.29,0.0,3.45,-5.22,0.0,0.0
2020-03-17,-300119.0,1641262.0,-1341143.0,-300119.0,0.0,-1.46,7.97,-6.51,-1.46,0.0,3.39,-1.74,0.0,0.0
2020-03-18,-1640799.0,-196289.0,1837088.0,-1640799.0,0.0,-10.01,-1.2,11.21,-10.01,0.0,3.31,-2.36,0.0,0.0
2020-03-19,13792598.0,-8373338.0,-5419260.0,6389742.0,7402856.0,17.59,-10.68,-6.91,8.15,9.44,3.64,9.97,0.0,0.0
2020-03-20,-5463288.0,7088779.0,-1625492.0,1224679.0,-6687967.0,-6.63,8.6,-1.97,1.49,-8.11,3.75,3.02,0.0,0.0
2020-03-23,-966674.0,3549092.0,-2582418.0,-966674.0,0.0,-2.35,8.64,-6.29,-2.35,0.0,3.57,-4.8,0.0,0.0
2020-03-24,-5319983.0,5327876.0,-7893.0,-5036373.0,-283610.0,-14.66,14.68,-0.02,-13.88,-0.78,3.52,-1.4,0.0,0.0
2020-03-25,-1807362.0,1953315.0,-145953.0,-1281826.0,-525536.0,-7.72,8.34,-0.62,-5.47,-2.24,3.59,1.99,0.0,0.0
2020-03-26,-1041204.0,2619677.0,-1578473.0,-1041204.0,0.0,-6.14,15.46,-9.31,-6.14,0.0,3.43,-4.46,0.0,0.0
