date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2964870.0,1488791.0,1476081.0,-2629575.0,-335295.0,-7.3,3.67,3.64,-6.48,-0.83,8.32,-2.0,0.0,0.0
2020-01-09,4166110.0,-655404.0,-3510704.0,2810650.0,1355460.0,11.65,-1.83,-9.81,7.86,3.79,8.44,1.44,0.0,0.0
2020-01-10,338441.0,-875458.0,537018.0,3664135.0,-3325694.0,1.01,-2.61,1.6,10.91,-9.9,8.43,-0.12,0.0,0.0
2020-01-13,2321419.0,3374951.0,-5696370.0,2321419.0,0.0,7.01,10.2,-17.21,7.01,0.0,8.53,1.19,0.0,0.0
2020-01-14,4157471.0,139343.0,-4296814.0,3443178.0,714293.0,10.49,0.35,-10.85,8.69,1.8,8.51,-0.23,0.0,0.0
2020-01-15,2158886.0,-430129.0,-1728758.0,1377419.0,781467.0,6.72,-1.34,-5.38,4.29,2.43,8.54,0.35,0.0,0.0
2020-01-16,-2119077.0,834344.0,1284733.0,-880682.0,-1238395.0,-7.31,2.88,4.43,-3.04,-4.27,8.41,-1.52,0.0,0.0
2020-01-17,-2432098.0,3242556.0,-810458.0,106627.0,-2538725.0,-8.77,11.69,-2.92,0.38,-9.15,8.43,0.24,0.0,0.0
2020-01-20,350409.0,1634576.0,-1984986.0,-800566.0,1150975.0,1.58,7.38,-8.96,-3.61,5.2,8.49,0.71,0.0,0.0
2020-01-21,-178737.0,-1644865.0,1823603.0,-178737.0,0.0,-0.45,-4.11,4.55,-0.45,0.0,8.45,-0.47,0.0,0.0
2020-01-22,-2208596.0,1471836.0,736760.0,-1075702.0,-1132894.0,-6.56,4.37,2.19,-3.2,-3.37,8.47,0.24,0.0,0.0
2020-01-23,-5879261.0,4346353.0,1532908.0,-5885120.0,5859.0,-11.11,8.22,2.9,-11.12,0.01,8.25,-2.6,0.0,0.0
2020-02-03,-10194984.0,10907845.0,-712860.0,-6402925.0,-3792059.0,-16.42,17.56,-1.15,-10.31,-6.11,7.43,-9.94,0.0,0.0
2020-02-04,-2503907.0,5516450.0,-3012543.0,-3283438.0,779531.0,-3.63,7.99,-4.36,-4.75,1.13,7.53,1.35,0.0,0.0
2020-02-05,-370178.0,-3544866.0,3915043.0,801538.0,-1171716.0,-0.66,-6.33,6.99,1.43,-2.09,7.63,1.33,0.0,0.0
2020-02-06,2009241.0,-3447782.0,1438543.0,2014714.0,-5473.0,3.4,-5.83,2.43,3.41,-0.01,7.81,2.36,0.0,0.0
2020-02-07,-4712828.0,-836283.0,5549111.0,-4712828.0,0.0,-8.89,-1.58,10.47,-8.89,0.0,7.86,0.64,0.0,0.0
2020-02-10,-1168474.0,107321.0,1061153.0,1651800.0,-2820274.0,-2.05,0.19,1.86,2.9,-4.95,7.92,0.76,0.0,0.0
2020-02-11,-8835041.0,6017074.0,2817967.0,-7576638.0,-1258403.0,-17.22,11.73,5.49,-14.77,-2.45,7.85,-0.88,0.0,0.0
2020-02-12,2754080.0,-958963.0,-1795117.0,7919.0,2746161.0,5.96,-2.08,-3.89,0.02,5.94,7.9,0.64,0.0,0.0
2020-02-13,-4928750.0,3461421.0,1467330.0,-5403662.0,474912.0,-12.31,8.65,3.66,-13.5,1.19,7.79,-1.39,0.0,0.0
2020-02-14,4928281.0,-404707.0,-4523573.0,3471304.0,1456977.0,12.97,-1.07,-11.91,9.14,3.84,7.83,0.51,0.0,0.0
2020-02-17,7507103.0,-6248060.0,-1259044.0,4874756.0,2632347.0,11.16,-9.29,-1.87,7.25,3.91,8.05,2.81,0.0,0.0
2020-02-18,6993103.0,-6572597.0,-420506.0,6538109.0,454994.0,9.84,-9.25,-0.59,9.2,0.64,8.04,-0.12,0.0,0.0
2020-02-19,5223173.0,-1131378.0,-4091794.0,5223173.0,0.0,9.1,-1.97,-7.13,9.1,0.0,8.07,0.37,0.0,0.0
