date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-11569312.0,14596082.0,-3026773.0,-9639849.0,-1929463.0,-7.38,9.32,-1.93,-6.15,-1.23,6.27,0.16,0.0,0.0
2020-01-09,-16727775.0,15834159.0,893615.0,78951.0,-16806726.0,-12.14,11.49,0.65,0.06,-12.2,6.15,-1.91,0.0,0.0
2020-01-10,1375057.0,317800.0,-1692858.0,1160735.0,214322.0,1.71,0.4,-2.11,1.45,0.27,6.06,-1.46,0.0,0.0
2020-01-13,-8085272.0,5968288.0,2116984.0,1052687.0,-9137959.0,-9.58,7.07,2.51,1.25,-10.83,6.02,-0.66,0.0,0.0
2020-01-14,-5080872.0,1515404.0,3565468.0,-5295991.0,215119.0,-7.96,2.37,5.59,-8.3,0.34,5.95,-1.16,0.0,0.0
2020-01-15,10445172.0,-13745211.0,3300039.0,2109555.0,8335617.0,9.75,-12.82,3.08,1.97,7.78,6.01,1.01,0.0,0.0
2020-01-16,3190814.0,-1258635.0,-1932179.0,-1361230.0,4552044.0,6.79,-2.68,-4.11,-2.9,9.68,5.99,-0.33,0.0,0.0
2020-01-17,-8813869.0,3631891.0,5181977.0,-7092393.0,-1721476.0,-15.3,6.3,9.0,-12.31,-2.99,5.93,-1.0,0.0,0.0
2020-01-20,-785269.0,797404.0,-12134.0,-759185.0,-26084.0,-1.75,1.78,-0.03,-1.69,-0.06,5.97,0.67,0.0,0.0
2020-01-21,-5476644.0,2112823.0,3363822.0,-1630550.0,-3846094.0,-10.83,4.18,6.65,-3.22,-7.61,5.87,-1.68,0.0,0.0
2020-01-22,-2944041.0,6381098.0,-3437056.0,-3975099.0,1031058.0,-6.71,14.54,-7.83,-9.06,2.35,5.91,0.68,0.0,0.0
2020-01-23,-13617099.0,5235620.0,8381479.0,-10378775.0,-3238324.0,-18.37,7.06,11.31,-14.0,-4.37,5.73,-3.05,0.0,0.0
2020-02-03,-6674914.0,5462560.0,1212355.0,-4483488.0,-2191426.0,-13.45,11.01,2.44,-9.03,-4.42,5.14,-10.3,0.0,0.0
2020-02-04,-10347357.0,15710874.0,-5363517.0,-9822060.0,-525297.0,-8.77,13.32,-4.55,-8.33,-0.45,5.01,-2.53,0.0,0.0
2020-02-05,-10779342.0,5450715.0,5328627.0,-11762516.0,983174.0,-16.13,8.16,7.97,-17.6,1.47,5.02,0.2,0.0,0.0
2020-02-06,-2109390.0,1704742.0,404649.0,783470.0,-2892860.0,-3.19,2.57,0.61,1.18,-4.37,5.04,0.4,0.0,0.0
2020-02-07,-22439231.0,14982213.0,7457019.0,-3335581.0,-19103650.0,-24.77,16.54,8.23,-3.68,-21.09,4.98,-1.19,0.0,0.0
