date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,2069160.0,1465824.0,-3534986.0,-1569024.0,3638184.0,6.61,4.68,-11.29,-5.01,11.62,4.72,-1.67,0.0,0.0
2020-01-09,459603.0,-1100093.0,640490.0,459603.0,0.0,3.61,-8.64,5.03,3.61,0.0,4.75,0.64,0.0,0.0
2020-01-10,1656902.0,-1378799.0,-278103.0,1656902.0,0.0,11.24,-9.35,-1.89,11.24,0.0,4.7,-1.05,0.0,0.0
2020-01-13,-1779249.0,516697.0,1262553.0,-1779249.0,0.0,-13.89,4.03,9.86,-13.89,0.0,4.7,0.0,0.0,0.0
2020-01-14,563790.0,-1863690.0,1299899.0,563790.0,0.0,3.97,-13.14,9.16,3.97,0.0,4.72,0.43,0.0,0.0
2020-01-15,665864.0,383832.0,-1049696.0,665864.0,0.0,2.41,1.39,-3.79,2.41,0.0,4.71,-0.21,0.0,0.0
2020-01-16,-1014386.0,-1057583.0,2071969.0,-204634.0,-809752.0,-4.81,-5.01,9.82,-0.97,-3.84,4.64,-1.49,0.0,0.0
2020-01-17,2851388.0,1000976.0,-3852363.0,-182979.0,3034367.0,10.61,3.73,-14.34,-0.68,11.29,4.67,0.65,0.0,0.0
2020-01-20,-334446.0,33871.0,300575.0,-334446.0,0.0,-1.67,0.17,1.5,-1.67,0.0,4.65,-0.43,0.0,0.0
2020-01-21,1514494.0,364393.0,-1878887.0,-1174093.0,2688587.0,5.43,1.31,-6.74,-4.21,9.64,4.63,-0.43,0.0,0.0
2020-01-22,-4533181.0,9932937.0,-5399755.0,-3195008.0,-1338173.0,-8.68,19.01,-10.34,-6.12,-2.56,4.49,-3.02,0.0,0.0
2020-01-23,-269894.0,-855007.0,1124902.0,-2714310.0,2444416.0,-0.66,-2.11,2.77,-6.69,6.02,4.39,-2.23,0.0,0.0
2020-02-03,2524.0,2061447.0,-2063970.0,-1182476.0,1185000.0,0.02,13.16,-13.17,-7.55,7.56,3.95,-10.02,0.0,0.0
2020-02-04,-1119675.0,3827333.0,-2707658.0,-1119675.0,0.0,-6.18,21.13,-14.95,-6.18,0.0,3.85,-2.53,0.0,0.0
2020-02-05,-1104988.0,951745.0,153245.0,-1104988.0,0.0,-6.95,5.99,0.96,-6.95,0.0,3.91,1.56,0.0,0.0
2020-02-06,610966.0,1901892.0,-2512858.0,610966.0,0.0,3.02,9.41,-12.44,3.02,0.0,3.94,0.77,0.0,0.0
2020-02-07,-1639766.0,1314826.0,324940.0,-1639766.0,0.0,-12.24,9.81,2.42,-12.24,0.0,3.95,0.25,0.0,0.0
2020-02-10,-63259.0,306266.0,-243007.0,-63259.0,0.0,-0.34,1.63,-1.29,-0.34,0.0,4.04,2.28,0.0,0.0
2020-02-11,-566977.0,1943052.0,-1376076.0,-463149.0,-103828.0,-3.56,12.19,-8.63,-2.9,-0.65,4.02,-0.5,0.0,0.0
2020-02-12,-726351.0,-549648.0,1276000.0,-726351.0,0.0,-5.18,-3.92,9.09,-5.18,0.0,4.05,0.75,0.0,0.0
2020-02-13,-1259129.0,1768619.0,-509491.0,-1259129.0,0.0,-8.24,11.58,-3.33,-8.24,0.0,3.96,-2.22,0.0,0.0
2020-02-14,-642445.0,149789.0,492655.0,-642445.0,0.0,-6.97,1.62,5.34,-6.97,0.0,3.96,0.0,0.0,0.0
2020-02-17,111314.0,153324.0,-264638.0,-2060471.0,2171785.0,0.41,0.56,-0.96,-7.51,7.91,4.08,3.03,0.0,0.0
2020-02-18,474238.0,-265126.0,-209111.0,2386847.0,-1912609.0,1.4,-0.78,-0.62,7.05,-5.65,4.16,1.96,0.0,0.0
2020-02-19,-235872.0,721369.0,-485496.0,-235872.0,0.0,-1.1,3.37,-2.27,-1.1,0.0,4.18,0.48,0.0,0.0
2020-02-20,-264055.0,-1125193.0,1389249.0,-2736182.0,2472127.0,-0.58,-2.47,3.05,-6.01,5.43,4.3,2.87,0.0,0.0
2020-02-21,-1765066.0,4096248.0,-2331183.0,-4814758.0,3049692.0,-3.81,8.84,-5.03,-10.39,6.58,4.31,0.23,0.0,0.0
2020-02-24,-1097797.0,5262221.0,-4164425.0,-1097797.0,0.0,-4.17,19.99,-15.82,-4.17,0.0,4.27,-0.93,0.0,0.0
2020-02-25,-2764915.0,2495733.0,269183.0,-2764915.0,0.0,-10.23,9.24,1.0,-10.23,0.0,4.21,-1.41,0.0,0.0
2020-02-26,-2010763.0,1947249.0,63512.0,2045328.0,-4056091.0,-5.31,5.14,0.17,5.4,-10.71,4.23,0.48,0.0,0.0
2020-02-27,-1068021.0,2559544.0,-1491523.0,-1068021.0,0.0,-5.38,12.9,-7.52,-5.38,0.0,4.2,-0.71,0.0,0.0
2020-02-28,-2310342.0,3058279.0,-747938.0,-6517463.0,4207121.0,-6.82,9.03,-2.21,-19.25,12.43,4.0,-4.76,0.0,0.0
2020-03-02,1670097.0,-1195635.0,-474463.0,1670097.0,0.0,9.03,-6.47,-2.57,9.03,0.0,4.15,3.75,0.0,0.0
2020-03-03,940945.0,644065.0,-1585012.0,-83828.0,1024773.0,4.42,3.02,-7.44,-0.39,4.81,4.18,0.72,0.0,0.0
2020-03-04,-179283.0,166708.0,12575.0,-179283.0,0.0,-0.88,0.82,0.06,-0.88,0.0,4.21,0.72,0.0,0.0
2020-03-05,1779475.0,-735853.0,-1043623.0,1387330.0,392145.0,5.46,-2.26,-3.2,4.25,1.2,4.31,2.38,0.0,0.0
2020-03-06,-3116249.0,1978306.0,1137945.0,-2827517.0,-288732.0,-13.78,8.75,5.03,-12.5,-1.28,4.33,0.46,0.0,0.0
2020-03-09,-996784.0,3464821.0,-2468036.0,-133259.0,-863525.0,-2.35,8.18,-5.83,-0.31,-2.04,4.17,-3.7,0.0,0.0
2020-03-10,880204.0,-2541094.0,1660888.0,-1228705.0,2108909.0,2.52,-7.28,4.76,-3.52,6.05,4.31,3.36,0.0,0.0
2020-03-11,-1806163.0,1861403.0,-55241.0,-1806163.0,0.0,-5.8,5.97,-0.18,-5.8,0.0,4.25,-1.39,0.0,0.0
2020-03-12,-787178.0,2010905.0,-1223727.0,-787178.0,0.0,-2.99,7.65,-4.65,-2.99,0.0,4.16,-2.12,0.0,0.0
2020-03-13,450376.0,851577.0,-1301953.0,-3948624.0,4399000.0,1.36,2.56,-3.92,-11.89,13.25,4.13,-0.72,0.0,0.0
2020-03-16,-1313457.0,527715.0,785745.0,-476882.0,-836575.0,-5.51,2.21,3.3,-2.0,-3.51,4.05,-1.94,0.0,0.0
2020-03-17,1769636.0,-2803236.0,1033601.0,-1660985.0,3430621.0,4.85,-7.69,2.83,-4.55,9.41,4.15,2.47,0.0,0.0
2020-03-18,790797.0,3835508.0,-4626305.0,-887523.0,1678320.0,2.44,11.85,-14.3,-2.74,5.19,4.02,-3.13,0.0,0.0
2020-03-19,-498447.0,-1163071.0,1661518.0,-5559229.0,5060782.0,-1.56,-3.63,5.18,-17.34,15.79,4.09,1.74,0.0,0.0
2020-03-20,-1099402.0,554563.0,544839.0,-1099402.0,0.0,-8.86,4.47,4.39,-8.86,0.0,4.1,0.24,0.0,0.0
