date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,12407192.0,-8907686.0,-3499506.0,7046250.0,5360942.0,12.49,-8.97,-3.52,7.09,5.4,9.41,2.28,0.0,0.0
2020-01-09,1189710.0,-1472556.0,282847.0,996987.0,192723.0,1.96,-2.43,0.47,1.64,0.32,9.37,-0.43,0.0,0.0
2020-01-10,-7175920.0,2697028.0,4478892.0,-5338172.0,-1837748.0,-13.47,5.06,8.41,-10.02,-3.45,9.4,0.32,0.0,0.0
2020-01-13,-2644205.0,884124.0,1760082.0,-3648314.0,1004109.0,-5.4,1.81,3.6,-7.45,2.05,9.47,0.74,0.0,0.0
2020-01-14,-15280676.0,12294011.0,2986665.0,-11201343.0,-4079333.0,-22.63,18.21,4.42,-16.59,-6.04,9.2,-2.85,0.0,0.0
2020-01-15,-12184725.0,11157237.0,1027488.0,-10598071.0,-1586654.0,-20.26,18.55,1.71,-17.62,-2.64,9.09,-1.2,0.0,0.0
2020-01-16,-109762.0,-634717.0,744478.0,-109762.0,0.0,-0.24,-1.4,1.64,-0.24,0.0,9.11,0.22,0.0,0.0
2020-01-17,-3245850.0,671880.0,2573971.0,-2946822.0,-299028.0,-6.69,1.38,5.3,-6.07,-0.62,8.96,-1.65,0.0,0.0
2020-01-20,-4091292.0,3754869.0,336423.0,-3807907.0,-283385.0,-6.27,5.75,0.52,-5.84,-0.43,8.89,-0.78,0.0,0.0
2020-01-21,-26741023.0,21140132.0,5600892.0,-20683764.0,-6057259.0,-19.48,15.4,4.08,-15.07,-4.41,8.32,-6.41,0.0,0.0
2020-01-22,-4067243.0,12268812.0,-8201571.0,364586.0,-4431829.0,-3.94,11.9,-7.95,0.35,-4.3,7.98,-4.09,0.0,0.0
2020-01-23,-16004265.0,12653448.0,3350817.0,-9301660.0,-6702605.0,-15.61,12.34,3.27,-9.07,-6.54,7.54,-5.51,0.0,0.0
2020-02-03,-1283310.0,978439.0,304871.0,-638260.0,-645050.0,-51.95,39.61,12.34,-25.84,-26.11,6.79,-9.95,0.0,0.0
2020-02-04,-7136554.0,1582290.0,5554264.0,10286115.0,-17422669.0,-4.45,0.99,3.46,6.42,-10.87,6.21,-8.54,0.0,0.0
2020-02-05,-8494538.0,11857056.0,-3362517.0,-1606355.0,-6888183.0,-6.3,8.8,-2.49,-1.19,-5.11,6.75,8.7,0.0,0.0
2020-02-06,630229.0,-795842.0,165613.0,1380139.0,-749910.0,0.55,-0.69,0.14,1.2,-0.65,6.84,1.33,0.0,0.0
2020-02-07,3872288.0,-8465948.0,4593661.0,3872288.0,0.0,3.34,-7.29,3.96,3.34,0.0,7.19,5.12,0.0,0.0
2020-02-10,472744.0,-7841597.0,7368853.0,-10223.0,482967.0,0.48,-8.0,7.51,-0.01,0.49,7.54,4.87,0.0,0.0
2020-02-11,-3612743.0,3190106.0,422636.0,-4038633.0,425890.0,-4.97,4.39,0.58,-5.56,0.59,7.4,-1.86,0.0,0.0
2020-02-12,-6870406.0,1528152.0,5342253.0,-6126130.0,-744276.0,-11.49,2.56,8.93,-10.25,-1.24,7.4,0.0,0.0,0.0
2020-02-13,-2710110.0,6083005.0,-3372895.0,-2710110.0,0.0,-7.71,17.3,-9.59,-7.71,0.0,7.29,-1.49,0.0,0.0
2020-02-14,1418950.0,302525.0,-1721476.0,1418950.0,0.0,4.19,0.89,-5.08,4.19,0.0,7.28,-0.14,0.0,0.0
2020-02-17,1949982.0,-2712322.0,762340.0,1949982.0,0.0,3.39,-4.72,1.33,3.39,0.0,7.49,2.88,0.0,0.0
2020-02-18,5408590.0,-5979651.0,571060.0,2301494.0,3107096.0,4.73,-5.23,0.5,2.01,2.72,7.92,5.74,0.0,0.0
2020-02-19,-721843.0,2954204.0,-2232361.0,-146443.0,-575400.0,-0.8,3.29,-2.49,-0.16,-0.64,7.9,-0.25,0.0,0.0
2020-02-20,25124837.0,-17499388.0,-7625449.0,13443173.0,11681664.0,8.71,-6.07,-2.64,4.66,4.05,8.68,9.87,0.0,0.0
2020-02-21,-12800421.0,8684949.0,4115471.0,-5476323.0,-7324098.0,-8.26,5.6,2.66,-3.53,-4.73,8.45,-2.65,0.0,0.0
2020-02-24,-15536842.0,13594858.0,1941983.0,-12384521.0,-3152321.0,-12.52,10.95,1.56,-9.98,-2.54,8.18,-3.2,0.0,0.0
2020-02-25,-8107407.0,9850285.0,-1742878.0,-11758027.0,3650620.0,-6.7,8.14,-1.44,-9.71,3.02,8.01,-2.08,0.0,0.0
2020-02-26,-3415647.0,-197643.0,3613290.0,-5614476.0,2198829.0,-5.44,-0.31,5.76,-8.95,3.5,7.79,-2.75,0.0,0.0
2020-02-27,-5634384.0,3861592.0,1772792.0,-4213644.0,-1420740.0,-8.01,5.49,2.52,-5.99,-2.02,7.84,0.64,0.0,0.0
2020-02-28,-6942203.0,8574693.0,-1632489.0,-6942203.0,0.0,-11.0,13.58,-2.59,-11.0,0.0,7.23,-7.78,0.0,0.0
2020-03-02,-3613802.0,3043979.0,569822.0,-3613802.0,0.0,-7.5,6.32,1.18,-7.5,0.0,7.34,1.52,0.0,0.0
2020-03-03,-2051596.0,1348310.0,703285.0,-2073839.0,22243.0,-3.7,2.43,1.27,-3.74,0.04,7.3,-0.54,0.0,0.0
2020-03-04,-305558.0,915234.0,-609676.0,-1496966.0,1191408.0,-0.71,2.13,-1.42,-3.49,2.78,7.38,1.1,0.0,0.0
2020-03-05,2587270.0,-564665.0,-2022605.0,-432700.0,3019970.0,3.6,-0.79,-2.82,-0.6,4.21,7.59,2.85,0.0,0.0
2020-03-06,9606769.0,-4787400.0,-4819369.0,6539454.0,3067315.0,12.25,-6.1,-6.14,8.34,3.91,7.79,2.64,0.0,0.0
2020-03-09,-3951264.0,4900577.0,-949313.0,-5634083.0,1682819.0,-4.4,5.45,-1.06,-6.27,1.87,7.58,-2.7,0.0,0.0
2020-03-10,13947767.0,-8478842.0,-5468924.0,11440624.0,2507143.0,16.31,-9.91,-6.39,13.38,2.93,7.97,5.15,0.0,0.0
2020-03-11,32506253.0,-20223339.0,-12282914.0,-2880447.0,35386700.0,11.09,-6.9,-4.19,-0.98,12.07,8.31,4.27,0.0,0.0
2020-03-12,-18663305.0,18259578.0,403728.0,-10095654.0,-8567651.0,-13.02,12.74,0.28,-7.04,-5.98,8.16,-1.81,0.0,0.0
2020-03-13,8747950.0,-12385926.0,3637978.0,7071189.0,1676761.0,4.41,-6.25,1.84,3.57,0.85,8.45,3.55,0.0,0.0
2020-03-16,-17900165.0,8041467.0,9858697.0,-12799205.0,-5100960.0,-11.05,4.96,6.09,-7.9,-3.15,8.12,-3.91,0.0,0.0
2020-03-17,-5115413.0,1573602.0,3541811.0,-5431688.0,316275.0,-4.31,1.33,2.99,-4.58,0.27,7.89,-2.83,0.0,0.0
2020-03-18,4963963.0,-3150187.0,-1813776.0,1637400.0,3326563.0,3.9,-2.48,-1.43,1.29,2.61,7.88,-0.13,0.0,0.0
2020-03-19,-13072378.0,16071771.0,-2999393.0,-4578718.0,-8493660.0,-9.52,11.71,-2.18,-3.34,-6.19,7.64,-3.05,0.0,0.0
2020-03-20,8498928.0,-2770921.0,-5728007.0,3049495.0,5449433.0,6.19,-2.02,-4.17,2.22,3.97,7.96,4.19,0.0,0.0
2020-03-23,-2352638.0,4662368.0,-2309730.0,-5766082.0,3413444.0,-2.61,5.17,-2.56,-6.39,3.78,7.38,-7.29,0.0,0.0
2020-03-24,-8492491.0,11216116.0,-2723626.0,-7507757.0,-984734.0,-10.32,13.63,-3.31,-9.13,-1.2,7.12,-3.52,0.0,0.0
2020-03-25,6440414.0,-1307862.0,-5132551.0,225215.0,6215199.0,6.92,-1.41,-5.52,0.24,6.68,7.23,1.54,0.0,0.0
2020-03-26,-1418627.0,5889942.0,-4471316.0,-1412147.0,-6480.0,-2.76,11.48,-8.71,-2.75,-0.01,7.07,-2.21,0.0,0.0
2020-03-27,-4224204.0,6934713.0,-2710509.0,-2562341.0,-1661863.0,-9.59,15.74,-6.15,-5.82,-3.77,6.88,-2.69,0.0,0.0
2020-03-30,-8432157.0,10753644.0,-2321487.0,-11486317.0,3054160.0,-13.39,17.08,-3.69,-18.25,4.85,6.37,-7.41,0.0,0.0
2020-03-31,-157503.0,2344565.0,-2187062.0,-157503.0,0.0,-0.58,8.7,-8.12,-0.58,0.0,6.28,-1.41,0.0,0.0
2020-04-01,660527.0,-3732917.0,3072390.0,660527.0,0.0,2.07,-11.69,9.62,2.07,0.0,6.4,1.91,0.0,0.0
2020-04-02,34432.0,-2058460.0,2024029.0,34432.0,0.0,0.12,-7.2,7.08,0.12,0.0,6.52,1.88,0.0,0.0
2020-04-03,3498447.0,-2789218.0,-709231.0,3484426.0,14021.0,9.16,-7.3,-1.86,9.12,0.04,6.74,3.37,0.0,0.0
2020-04-07,2375983.0,-1064533.0,-1311450.0,202433.0,2173550.0,4.33,-1.94,-2.39,0.37,3.96,7.02,4.15,0.0,0.0
2020-04-08,6690029.0,-667749.0,-6022280.0,4914780.0,1775249.0,5.64,-0.56,-5.08,4.15,1.5,7.38,5.13,0.0,0.0
2020-04-09,2928077.0,-789415.0,-2138661.0,3846428.0,-918351.0,2.26,-0.61,-1.65,2.96,-0.71,7.63,3.39,0.0,0.0
2020-04-10,-7801411.0,-2157329.0,9958741.0,-5975667.0,-1825744.0,-4.64,-1.28,5.93,-3.56,-1.09,7.61,-0.26,0.0,0.0
2020-04-13,-642014.0,5173379.0,-4531365.0,163031.0,-805045.0,-0.65,5.27,-4.61,0.17,-0.82,7.44,-2.23,0.0,0.0
2020-04-14,1815232.0,1345760.0,-3160992.0,675850.0,1139382.0,3.02,2.24,-5.26,1.12,1.9,7.58,1.88,0.0,0.0
2020-04-15,-5698360.0,5216422.0,481940.0,-2339929.0,-3358431.0,-12.94,11.85,1.09,-5.31,-7.63,7.42,-2.11,0.0,0.0
2020-04-16,-3035486.0,10273840.0,-7238354.0,-2756662.0,-278824.0,-4.93,16.67,-11.75,-4.47,-0.45,7.32,-1.35,0.0,0.0
2020-04-17,-4890628.0,5559926.0,-669296.0,-3622486.0,-1268142.0,-5.37,6.11,-0.73,-3.98,-1.39,7.22,-1.37,0.0,0.0
2020-04-20,954604.0,-8265617.0,7311012.0,1586577.0,-631973.0,0.68,-5.85,5.17,1.12,-0.45,7.66,6.09,0.0,0.0
2020-04-21,11341075.0,-12778932.0,1437856.0,9474393.0,1866682.0,8.53,-9.61,1.08,7.12,1.4,7.77,1.44,0.0,0.0
2020-04-22,16548519.0,-12166139.0,-4382380.0,9756191.0,6792328.0,13.94,-10.25,-3.69,8.22,5.72,8.15,4.89,0.0,0.0
2020-04-23,19334701.0,-15179574.0,-4155127.0,13242398.0,6092303.0,9.35,-7.34,-2.01,6.4,2.94,8.5,4.29,0.0,0.0
2020-04-24,52597208.0,-25837055.0,-26760153.0,20357950.0,32239258.0,17.43,-8.56,-8.87,6.75,10.68,9.35,10.0,0.0,0.0
2020-04-27,-48886269.0,12673944.0,36212325.0,-48621577.0,-264692.0,-8.12,2.1,6.01,-8.07,-0.04,10.01,7.06,0.0,0.0
2020-04-28,-8392640.0,989336.0,7403304.0,-8184271.0,-208369.0,-2.48,0.29,2.19,-2.42,-0.06,9.01,-9.99,0.0,0.0
2020-04-29,23733071.0,-8727315.0,-15005756.0,-3782467.0,27515538.0,6.3,-2.32,-3.99,-1.0,7.31,9.52,5.66,0.0,0.0
2020-04-30,-29177366.0,28490598.0,686767.0,-21243404.0,-7933962.0,-12.77,12.47,0.3,-9.3,-3.47,8.97,-5.78,0.0,0.0
2020-05-06,-9651872.0,7463167.0,2188704.0,-7952652.0,-1699220.0,-6.35,4.91,1.44,-5.23,-1.12,9.0,0.33,0.0,0.0
2020-05-07,-10917382.0,4070644.0,6846739.0,2739540.0,-13656922.0,-9.81,3.66,6.15,2.46,-12.28,8.65,-3.89,0.0,0.0
2020-05-08,-1137926.0,947420.0,190504.0,-730628.0,-407298.0,-1.54,1.29,0.26,-0.99,-0.55,8.78,1.5,0.0,0.0
2020-05-11,-11072130.0,7145806.0,3926325.0,-3739719.0,-7332411.0,-14.02,9.05,4.97,-4.73,-9.28,8.56,-2.51,0.0,0.0
2020-05-12,4350467.0,-10133848.0,5783382.0,3441365.0,909102.0,5.3,-12.36,7.05,4.2,1.11,8.74,2.1,0.0,0.0
2020-05-13,18910230.0,-8771953.0,-10138277.0,7847216.0,11063014.0,9.9,-4.59,-5.31,4.11,5.79,9.5,8.7,0.0,0.0
2020-05-14,-6928246.0,5792759.0,1135488.0,-5798846.0,-1129400.0,-9.92,8.29,1.63,-8.3,-1.62,9.1,-4.21,0.0,0.0
2020-05-15,-441165.0,528395.0,-87228.0,-501069.0,59904.0,-0.64,0.76,-0.13,-0.72,0.09,9.1,0.0,0.0,0.0
2020-05-18,-451390.0,-429434.0,880822.0,-1465429.0,1014039.0,-0.66,-0.63,1.29,-2.14,1.48,9.08,-0.22,0.0,0.0
2020-05-19,-7362139.0,3196004.0,4166135.0,-1680967.0,-5681172.0,-11.67,5.06,6.6,-2.66,-9.0,9.09,0.11,0.0,0.0
2020-05-20,1359268.0,275388.0,-1634657.0,5473090.0,-4113822.0,1.72,0.35,-2.06,6.91,-5.2,9.21,1.32,0.0,0.0
2020-05-21,-959508.0,-1326514.0,2286021.0,-5235385.0,4275877.0,-1.06,-1.46,2.52,-5.76,4.7,9.29,0.87,0.0,0.0
2020-05-22,-6215965.0,5041696.0,1174268.0,1020857.0,-7236822.0,-5.01,4.06,0.95,0.82,-5.83,9.13,-1.72,0.0,0.0
2020-05-25,-5140095.0,2261789.0,2878306.0,-7080252.0,1940157.0,-5.43,2.39,3.04,-7.48,2.05,9.35,2.41,0.0,0.0
2020-05-26,30726905.0,-14345459.0,-16381446.0,-760287.0,31487192.0,18.74,-8.75,-9.99,-0.46,19.21,10.29,10.05,0.0,0.0
2020-05-27,-11043439.0,18394668.0,-7351229.0,-18706248.0,7662809.0,-3.3,5.49,-2.19,-5.58,2.29,10.05,-2.33,0.0,0.0
2020-05-28,-3946791.0,-159726.0,4106516.0,-2594142.0,-1352649.0,-2.23,-0.09,2.32,-1.47,-0.76,10.1,0.5,0.0,0.0
2020-05-29,30676629.0,-15423795.0,-15252835.0,-7060025.0,37736654.0,16.47,-8.28,-8.19,-3.79,20.26,11.11,10.0,0.0,0.0
2020-06-01,-5051282.0,12575492.0,-7524208.0,-18447424.0,13396142.0,-0.91,2.26,-1.35,-3.32,2.41,12.22,9.99,0.0,0.0
2020-06-02,-160132090.0,115408884.0,44723197.0,-54671583.0,-105460507.0,-15.0,10.81,4.19,-5.12,-9.88,11.25,-7.94,0.0,0.0
2020-06-03,-22944768.0,27596178.0,-4651410.0,-15653894.0,-7290874.0,-3.97,4.77,-0.8,-2.71,-1.26,11.19,-0.53,0.0,0.0
2020-06-04,-60845647.0,48957560.0,11888088.0,-15931455.0,-44914192.0,-16.22,13.05,3.17,-4.25,-11.97,10.51,-6.08,0.0,0.0
2020-06-05,-16290564.0,24415406.0,-8124842.0,1450870.0,-17741434.0,-4.95,7.43,-2.47,0.44,-5.4,10.24,-2.57,0.0,0.0
2020-06-08,-24311830.0,15278968.0,9032862.0,-13748725.0,-10563105.0,-9.77,6.14,3.63,-5.53,-4.25,10.18,-0.59,0.0,0.0
2020-06-09,-48513944.0,42004435.0,6509508.0,-20620791.0,-27893153.0,-17.42,15.08,2.34,-7.4,-10.01,10.04,-1.38,0.0,0.0
2020-06-10,7814565.0,9712760.0,-17527325.0,9190263.0,-1375698.0,2.95,3.67,-6.62,3.47,-0.52,10.25,2.09,0.0,0.0
