date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-1890518.0,2447559.0,-557039.0,-80519.0,-1809999.0,-5.89,7.62,-1.73,-0.25,-5.64,7.89,-1.5,0.0,0.0
2020-01-09,-3183654.0,977795.0,2205859.0,-3183654.0,0.0,-15.2,4.67,10.53,-15.2,0.0,7.95,0.76,0.0,0.0
2020-01-10,-2298303.0,1652422.0,645882.0,-1121006.0,-1177297.0,-12.19,8.76,3.43,-5.95,-6.24,7.93,-0.25,0.0,0.0
2020-01-13,-2002929.0,1066711.0,936219.0,-2002929.0,0.0,-9.95,5.3,4.65,-9.95,0.0,7.97,0.5,0.0,0.0
2020-01-14,7821592.0,-6583161.0,-1238430.0,5625470.0,2196122.0,15.92,-13.4,-2.52,11.45,4.47,8.1,1.63,0.0,0.0
2020-01-15,-1146065.0,-449621.0,1595687.0,-971346.0,-174719.0,-4.48,-1.76,6.23,-3.8,-0.68,8.01,-1.11,0.0,0.0
2020-01-16,-2642827.0,987525.0,1655304.0,-829016.0,-1813811.0,-11.23,4.2,7.03,-3.52,-7.71,7.93,-1.0,0.0,0.0
2020-01-17,238310.0,-2169254.0,1930944.0,1472103.0,-1233793.0,1.24,-11.28,10.04,7.65,-6.41,7.97,0.5,0.0,0.0
2020-01-20,-362905.0,-996160.0,1359065.0,-362905.0,0.0,-2.2,-6.05,8.25,-2.2,0.0,7.96,-0.13,0.0,0.0
2020-01-21,-4258014.0,1918934.0,2339081.0,-4258014.0,0.0,-20.5,9.24,11.26,-20.5,0.0,7.85,-1.38,0.0,0.0
2020-01-22,-1750377.0,1673316.0,77060.0,-1069037.0,-681340.0,-8.29,7.92,0.36,-5.06,-3.23,7.85,0.0,0.0,0.0
2020-01-23,-4315272.0,2144010.0,2171263.0,-2270410.0,-2044862.0,-13.24,6.58,6.66,-6.96,-6.27,7.65,-2.55,0.0,0.0
2020-02-03,-3920629.0,4259328.0,-338700.0,-1497574.0,-2423055.0,-9.93,10.79,-0.86,-3.79,-6.14,6.86,-10.33,0.0,0.0
2020-02-04,834488.0,2439329.0,-3273816.0,1838480.0,-1003992.0,2.52,7.36,-9.87,5.55,-3.03,6.93,1.02,0.0,0.0
2020-02-05,-405766.0,-2335897.0,2741663.0,-405766.0,0.0,-1.65,-9.49,11.14,-1.65,0.0,7.0,1.01,0.0,0.0
2020-02-06,-4032762.0,21216.0,4011547.0,-2884884.0,-1147878.0,-15.39,0.08,15.31,-11.01,-4.38,7.08,1.14,0.0,0.0
2020-02-07,-3229648.0,3703176.0,-473528.0,-3229648.0,0.0,-14.43,16.55,-2.12,-14.43,0.0,7.03,-0.71,0.0,0.0
2020-02-10,407262.0,592301.0,-999565.0,595292.0,-188030.0,2.33,3.38,-5.71,3.4,-1.07,7.09,0.85,0.0,0.0
2020-02-11,-2058814.0,214370.0,1844444.0,-2058814.0,0.0,-8.23,0.86,7.37,-8.23,0.0,7.15,0.85,0.0,0.0
2020-02-12,-122302.0,-206884.0,329186.0,-122302.0,0.0,-0.87,-1.47,2.34,-0.87,0.0,7.16,0.14,0.0,0.0
2020-02-13,-1094204.0,1169720.0,-75517.0,-1925985.0,831781.0,-7.15,7.64,-0.49,-12.58,5.43,7.07,-1.26,0.0,0.0
2020-02-14,-1215560.0,298254.0,917305.0,-1215560.0,0.0,-9.21,2.26,6.95,-9.21,0.0,7.1,0.42,0.0,0.0
2020-02-17,1276410.0,19474.0,-1295885.0,552521.0,723889.0,3.24,0.05,-3.29,1.4,1.84,7.25,2.11,0.0,0.0
2020-02-18,-987336.0,1393208.0,-405872.0,-2287737.0,1300401.0,-3.49,4.92,-1.43,-8.08,4.59,7.23,-0.28,0.0,0.0
2020-02-19,-6390287.0,2768418.0,3621869.0,-4643432.0,-1746855.0,-20.32,8.8,11.51,-14.76,-5.55,7.17,-0.83,0.0,0.0
2020-02-20,959003.0,-821082.0,-137921.0,1285567.0,-326564.0,2.13,-1.82,-0.31,2.85,-0.72,7.35,2.51,0.0,0.0
2020-02-21,-3405347.0,1190435.0,2214913.0,-644844.0,-2760503.0,-7.12,2.49,4.63,-1.35,-5.77,7.37,0.27,0.0,0.0
2020-02-24,-2496386.0,5014772.0,-2518386.0,-2496386.0,0.0,-5.5,11.05,-5.55,-5.5,0.0,7.27,-1.36,0.0,0.0
2020-02-25,-3633878.0,4303981.0,-670103.0,-2481996.0,-1151882.0,-9.14,10.83,-1.69,-6.24,-2.9,7.15,-1.65,0.0,0.0
