date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,99524812.0,-36775647.0,-62749160.0,13754583.0,85770229.0,13.28,-4.91,-8.38,1.84,11.45,10.92,9.97,0.0,0.0
2020-01-09,-79621991.0,37402061.0,42219930.0,-35640883.0,-43981108.0,-12.83,6.02,6.8,-5.74,-7.08,10.71,-1.92,0.0,0.0
2020-01-10,-46314073.0,33643978.0,12670094.0,-28676461.0,-17637612.0,-12.44,9.04,3.4,-7.7,-4.74,10.26,-4.2,0.0,0.0
2020-01-13,1440730.0,8843652.0,-10284382.0,2586030.0,-1145300.0,0.48,2.95,-3.43,0.86,-0.38,10.51,2.44,0.0,0.0
2020-01-14,-16795997.0,11725568.0,5070429.0,-11146931.0,-5649066.0,-3.37,2.36,1.02,-2.24,-1.13,10.55,0.38,0.0,0.0
2020-01-15,-16252491.0,17374090.0,-1121600.0,-14894651.0,-1357840.0,-6.49,6.94,-0.45,-5.95,-0.54,10.39,-1.52,0.0,0.0
2020-01-16,-5852668.0,3476741.0,2375926.0,-4796832.0,-1055836.0,-2.56,1.52,1.04,-2.09,-0.46,10.21,-1.73,0.0,0.0
2020-01-17,-55751316.0,29176307.0,26575009.0,-45331730.0,-10419586.0,-20.28,10.61,9.67,-16.49,-3.79,9.98,-2.25,0.0,0.0
2020-01-20,-9235859.0,4753104.0,4482754.0,-7488791.0,-1747068.0,-5.32,2.74,2.58,-4.32,-1.01,10.1,1.2,0.0,0.0
2020-01-21,-36824614.0,29972277.0,6852337.0,-20268453.0,-16556161.0,-22.07,17.96,4.11,-12.15,-9.92,9.84,-2.57,0.0,0.0
2020-01-22,1761003.0,-1501216.0,-259787.0,5520746.0,-3759743.0,0.83,-0.71,-0.12,2.6,-1.77,10.05,2.13,0.0,0.0
2020-01-23,-45738439.0,28181627.0,17556811.0,-34358727.0,-11379712.0,-20.07,12.36,7.7,-15.07,-4.99,9.46,-5.87,0.0,0.0
2020-02-03,-2743846.0,4818898.0,-2075053.0,-3999922.0,1256076.0,-5.81,10.21,-4.4,-8.47,2.66,8.51,-10.04,0.0,0.0
2020-02-04,-8909912.0,2898846.0,6011066.0,-10863694.0,1953782.0,-4.67,1.52,3.15,-5.7,1.02,8.75,2.82,0.0,0.0
2020-02-05,-9969431.0,8948283.0,1021148.0,-11457387.0,1487956.0,-3.68,3.3,0.38,-4.23,0.55,9.17,4.8,0.0,0.0
2020-02-06,-20681734.0,6883353.0,13798380.0,-13264473.0,-7417261.0,-9.65,3.21,6.44,-6.19,-3.46,9.22,0.55,0.0,0.0
2020-02-07,16180470.0,-6521722.0,-9658748.0,13216695.0,2963775.0,7.32,-2.95,-4.37,5.98,1.34,9.41,2.06,0.0,0.0
2020-02-10,21923729.0,-24130278.0,2206549.0,7893470.0,14030259.0,6.51,-7.16,0.65,2.34,4.16,10.04,6.7,0.0,0.0
2020-02-11,-22888011.0,15530088.0,7357923.0,-21772600.0,-1115411.0,-10.78,7.31,3.47,-10.25,-0.53,9.69,-3.49,0.0,0.0
