date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-20945353.0,16079030.0,4866324.0,-14917490.0,-6027863.0,-24.91,19.12,5.79,-17.74,-7.17,3.82,-2.8,0.0,0.0
2020-01-09,4095347.0,-438525.0,-3656823.0,-811714.0,4907061.0,7.68,-0.82,-6.86,-1.52,9.2,3.87,1.31,0.0,0.0
2020-01-10,1009964.0,2086361.0,-3096325.0,1009964.0,0.0,3.32,6.86,-10.18,3.32,0.0,3.85,-0.52,0.0,0.0
2020-01-13,-4455123.0,3213826.0,1241298.0,-4314143.0,-140980.0,-14.36,10.36,4.0,-13.91,-0.45,3.84,-0.26,0.0,0.0
2020-01-14,-3319284.0,3026818.0,292466.0,-2122159.0,-1197125.0,-10.63,9.7,0.94,-6.8,-3.83,3.83,-0.26,0.0,0.0
2020-01-15,-4455200.0,5912691.0,-1457491.0,-3244844.0,-1210356.0,-12.89,17.1,-4.22,-9.39,-3.5,3.77,-1.57,0.0,0.0
2020-01-16,1118311.0,1276473.0,-2394783.0,1118311.0,0.0,4.89,5.58,-10.47,4.89,0.0,3.75,-0.53,0.0,0.0
2020-01-17,-21328704.0,30133283.0,-8804579.0,-14758236.0,-6570468.0,-15.13,21.37,-6.24,-10.47,-4.66,3.38,-9.87,0.0,0.0
2020-01-20,-5552077.0,3294005.0,2258074.0,-6566043.0,1013966.0,-7.16,4.25,2.91,-8.47,1.31,3.47,2.66,0.0,0.0
2020-01-21,-4918362.0,4163701.0,754663.0,-5861455.0,943093.0,-5.31,4.5,0.82,-6.33,1.02,3.57,2.88,0.0,0.0
2020-01-22,-5969436.0,7884984.0,-1915549.0,-3123701.0,-2845735.0,-9.78,12.92,-3.14,-5.12,-4.66,3.45,-3.36,0.0,0.0
2020-01-23,-9823544.0,9708738.0,114806.0,-8523563.0,-1299981.0,-16.79,16.59,0.2,-14.56,-2.22,3.36,-2.61,0.0,0.0
2020-02-03,-6074382.0,7597231.0,-1522849.0,-4182310.0,-1892072.0,-7.6,9.51,-1.91,-5.23,-2.37,3.24,-3.57,0.0,0.0
2020-02-04,-1817684.0,485585.0,1332099.0,-3677915.0,1860231.0,-1.72,0.46,1.26,-3.48,1.76,3.46,6.79,0.0,0.0
2020-02-05,3270208.0,-8393801.0,5123593.0,1467218.0,1802990.0,2.25,-5.76,3.52,1.01,1.24,3.63,4.91,0.0,0.0
2020-02-06,-12703796.0,15098206.0,-2394409.0,-12421759.0,-282037.0,-6.95,8.27,-1.31,-6.8,-0.15,3.7,1.93,0.0,0.0
2020-02-07,-3881625.0,10805082.0,-6923457.0,-10975128.0,7093503.0,-1.96,5.47,-3.5,-5.55,3.59,3.8,2.7,0.0,0.0
2020-02-10,-7493598.0,7441991.0,51607.0,-5655904.0,-1837694.0,-7.56,7.51,0.05,-5.71,-1.86,3.64,-4.21,0.0,0.0
2020-02-11,-12982468.0,11580984.0,1401485.0,-10046324.0,-2936144.0,-18.07,16.12,1.95,-13.98,-4.09,3.54,-2.75,0.0,0.0
2020-02-12,2575607.0,-494946.0,-2080660.0,2575607.0,0.0,5.21,-1.0,-4.21,5.21,0.0,3.55,0.28,0.0,0.0
2020-02-13,-9851612.0,9272956.0,578657.0,-8833172.0,-1018440.0,-19.94,18.77,1.17,-17.88,-2.06,3.43,-3.38,0.0,0.0
2020-02-14,-5166848.0,5977139.0,-810291.0,-5610216.0,443368.0,-7.52,8.7,-1.18,-8.17,0.65,3.48,1.46,0.0,0.0
2020-02-17,3636755.0,-3005013.0,-631742.0,4269555.0,-632800.0,6.87,-5.68,-1.19,8.07,-1.2,3.53,1.44,0.0,0.0
2020-02-18,-5987267.0,8217009.0,-2229742.0,-4858373.0,-1128894.0,-11.99,16.46,-4.47,-9.73,-2.26,3.54,0.28,0.0,0.0
2020-02-19,-6821896.0,9032384.0,-2210487.0,-5258444.0,-1563452.0,-13.51,17.89,-4.38,-10.42,-3.1,3.46,-2.26,0.0,0.0
2020-02-20,-2619902.0,3449248.0,-829347.0,-2619902.0,0.0,-5.82,7.67,-1.84,-5.82,0.0,3.46,0.0,0.0,0.0
2020-02-21,-729374.0,1011246.0,-281872.0,139054.0,-868428.0,-1.5,2.08,-0.58,0.29,-1.79,3.47,0.29,0.0,0.0
2020-02-24,-1569211.0,3458366.0,-1889156.0,-2623950.0,1054739.0,-3.21,7.09,-3.87,-5.38,2.16,3.52,1.44,0.0,0.0
2020-02-25,-3740306.0,5603550.0,-1863244.0,-3740306.0,0.0,-5.85,8.76,-2.91,-5.85,0.0,3.51,-0.28,0.0,0.0
2020-02-26,-7087859.0,5257409.0,1830450.0,-5547150.0,-1540709.0,-12.93,9.59,3.34,-10.12,-2.81,3.46,-1.42,0.0,0.0
2020-02-27,-1999891.0,1123025.0,876868.0,-288027.0,-1711864.0,-4.71,2.65,2.07,-0.68,-4.03,3.44,-0.58,0.0,0.0
2020-02-28,-2542825.0,7851426.0,-5308600.0,-2194371.0,-348454.0,-6.2,19.13,-12.93,-5.35,-0.85,3.3,-4.07,0.0,0.0
2020-03-02,-310982.0,-2435945.0,2746928.0,-310982.0,0.0,-0.99,-7.78,8.77,-0.99,0.0,3.37,2.12,0.0,0.0
2020-03-03,4926185.0,-3585907.0,-1340278.0,4926185.0,0.0,13.3,-9.68,-3.62,13.3,0.0,3.43,1.78,0.0,0.0
2020-03-04,-1103712.0,1223927.0,-120216.0,-1247024.0,143312.0,-3.25,3.6,-0.35,-3.67,0.42,3.42,-0.29,0.0,0.0
2020-03-05,-2125303.0,-640199.0,2765502.0,-1318658.0,-806645.0,-4.23,-1.27,5.5,-2.62,-1.6,3.47,1.46,0.0,0.0
