date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-26792380.0,39897337.0,-13104956.0,-22813713.0,-3978667.0,-6.11,9.1,-2.99,-5.2,-0.91,7.25,-1.09,0.0,0.0
2020-01-09,-4381580.0,-2304274.0,6685853.0,13315920.0,-17697500.0,-1.7,-0.89,2.6,5.17,-6.87,7.26,0.14,0.0,0.0
2020-01-10,-40899792.0,26659009.0,14240784.0,-19983004.0,-20916788.0,-21.05,13.72,7.33,-10.29,-10.77,7.1,-2.2,0.0,0.0
2020-01-13,-171120.0,-5042419.0,5213539.0,481948.0,-653068.0,-0.13,-3.79,3.92,0.36,-0.49,7.18,1.13,0.0,0.0
2020-01-14,12097391.0,100819.0,-12198210.0,1205130.0,10892261.0,4.18,0.03,-4.22,0.42,3.77,7.29,1.53,0.0,0.0
2020-01-15,-9759419.0,13732294.0,-3972875.0,-6129507.0,-3629912.0,-6.89,9.69,-2.8,-4.33,-2.56,7.18,-1.51,0.0,0.0
2020-01-16,-40113552.0,28559098.0,11554454.0,-22008056.0,-18105496.0,-21.95,15.63,6.32,-12.04,-9.91,7.0,-2.51,0.0,0.0
2020-01-17,-2149805.0,9267555.0,-7117750.0,1517903.0,-3667708.0,-2.12,9.14,-7.02,1.5,-3.62,7.01,0.14,0.0,0.0
2020-01-20,-10710722.0,4704013.0,6006710.0,-6523156.0,-4187566.0,-9.06,3.98,5.08,-5.52,-3.54,7.04,0.43,0.0,0.0
2020-01-21,-23279992.0,20208103.0,3071889.0,-17360135.0,-5919857.0,-19.42,16.85,2.56,-14.48,-4.94,6.84,-2.84,0.0,0.0
2020-01-22,-12216419.0,12997234.0,-780815.0,-17099928.0,4883509.0,-8.33,8.86,-0.53,-11.66,3.33,6.76,-1.17,0.0,0.0
2020-01-23,-28171756.0,30881653.0,-2709897.0,-20010330.0,-8161426.0,-16.33,17.9,-1.57,-11.6,-4.73,6.38,-5.62,0.0,0.0
2020-02-03,-3669312.0,4701823.0,-1032511.0,-3330991.0,-338321.0,-16.31,20.9,-4.59,-14.81,-1.5,5.74,-10.03,0.0,0.0
2020-02-04,-19405959.0,13859577.0,5546383.0,-8105495.0,-11300464.0,-9.01,6.43,2.57,-3.76,-5.24,5.57,-2.96,0.0,0.0
