date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2662354.0,1637409.0,1024945.0,-2672104.0,9750.0,-8.78,5.4,3.38,-8.81,0.03,1.92,-1.54,0.0,0.0
2020-01-09,7928098.0,-7346605.0,-581493.0,8492290.0,-564192.0,10.11,-9.37,-0.74,10.83,-0.72,2.02,5.21,0.0,0.0
2020-01-10,-12446473.0,11883876.0,562596.0,-11264721.0,-1181752.0,-20.83,19.88,0.94,-18.85,-1.98,1.93,-4.46,0.0,0.0
2020-01-13,-2110472.0,1640297.0,470175.0,-1008239.0,-1102233.0,-8.23,6.4,1.83,-3.93,-4.3,1.94,0.52,0.0,0.0
2020-01-14,-3138359.0,2278523.0,859836.0,-1428765.0,-1709594.0,-13.95,10.13,3.82,-6.35,-7.6,1.93,-0.52,0.0,0.0
2020-01-15,2521378.0,-783160.0,-1738218.0,2345274.0,176104.0,9.46,-2.94,-6.52,8.8,0.66,1.97,2.07,0.0,0.0
2020-01-16,-2973357.0,1903724.0,1069633.0,-2973357.0,0.0,-13.9,8.9,5.0,-13.9,0.0,1.94,-1.52,0.0,0.0
2020-01-17,-923342.0,1180597.0,-257255.0,108073.0,-1031415.0,-2.41,3.09,-0.67,0.28,-2.7,1.96,1.03,0.0,0.0
2020-01-20,1473294.0,-445778.0,-1027517.0,1970262.0,-496968.0,5.55,-1.68,-3.87,7.42,-1.87,1.97,0.51,0.0,0.0
2020-01-21,277634.0,-345808.0,68174.0,277634.0,0.0,1.65,-2.06,0.41,1.65,0.0,1.95,-1.02,0.0,0.0
2020-01-22,2875629.0,-416622.0,-2459008.0,2875629.0,0.0,11.61,-1.68,-9.93,11.61,0.0,1.95,0.0,0.0,0.0
2020-01-23,-17259910.0,13168469.0,4091441.0,-14155273.0,-3104637.0,-35.53,27.11,8.42,-29.14,-6.39,1.85,-5.13,0.0,0.0
2020-02-03,-417120.0,405328.0,11792.0,-417120.0,0.0,-49.21,47.82,1.39,-49.21,0.0,1.76,-4.86,0.0,0.0
2020-02-04,-1701897.0,1466928.0,234969.0,-670004.0,-1031893.0,-49.21,42.41,6.79,-19.37,-29.83,1.67,-5.11,0.0,0.0
2020-02-05,-3448543.0,4120692.0,-672149.0,-2359417.0,-1089126.0,-7.72,9.23,-1.5,-5.28,-2.44,1.65,-1.2,0.0,0.0
2020-02-06,-2795874.0,2961588.0,-165714.0,-1020398.0,-1775476.0,-8.02,8.5,-0.48,-2.93,-5.09,1.64,-0.61,0.0,0.0
2020-02-07,-6453560.0,3933572.0,2519989.0,-4587326.0,-1866234.0,-22.28,13.58,8.7,-15.83,-6.44,1.61,-1.83,0.0,0.0
2020-02-10,870135.0,-57248.0,-812887.0,594063.0,276072.0,2.42,-0.16,-2.26,1.65,0.77,1.69,4.97,0.0,0.0
