date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-21684671.0,24826733.0,-3142062.0,-4997590.0,-16687081.0,-11.53,13.2,-1.67,-2.66,-8.87,5.65,-4.24,0.0,0.0
2020-01-09,-7543765.0,7338929.0,204836.0,-6806023.0,-737742.0,-5.47,5.32,0.15,-4.93,-0.53,5.73,1.42,0.0,0.0
2020-01-10,-14806687.0,16940383.0,-2133695.0,-14587734.0,-218953.0,-13.35,15.27,-1.92,-13.15,-0.2,5.64,-1.57,0.0,0.0
2020-01-13,8883062.0,-6780664.0,-2102397.0,7650337.0,1232725.0,7.2,-5.5,-1.71,6.21,1.0,5.77,2.3,0.0,0.0
2020-01-14,-16735369.0,16992721.0,-257352.0,-15361076.0,-1374293.0,-12.65,12.85,-0.19,-11.61,-1.04,5.68,-1.56,0.0,0.0
2020-01-15,-9490458.0,15452300.0,-5961844.0,-4871537.0,-4618921.0,-7.94,12.92,-4.99,-4.07,-3.86,5.7,0.35,0.0,0.0
2020-01-16,-13977520.0,13158075.0,819445.0,-9767168.0,-4210352.0,-14.26,13.43,0.84,-9.97,-4.3,5.52,-3.16,0.0,0.0
2020-01-17,-1665514.0,1829721.0,-164207.0,-1647690.0,-17824.0,-2.79,3.06,-0.27,-2.76,-0.03,5.54,0.36,0.0,0.0
2020-01-20,27220715.0,-22871862.0,-4348854.0,12802334.0,14418381.0,8.01,-6.73,-1.28,3.77,4.24,6.1,10.11,0.0,0.0
2020-01-21,-3680904.0,5011569.0,-1330665.0,-24817930.0,21137026.0,-1.2,1.64,-0.44,-8.12,6.91,6.21,1.8,0.0,0.0
2020-01-22,-10452091.0,13575001.0,-3122912.0,-21228100.0,10776009.0,-4.33,5.63,-1.29,-8.8,4.47,6.12,-1.45,0.0,0.0
2020-01-23,-29073330.0,32067848.0,-2994518.0,-25063955.0,-4009375.0,-13.38,14.76,-1.38,-11.54,-1.85,5.73,-6.37,0.0,0.0
2020-02-03,-3746694.0,3439002.0,307692.0,-3746694.0,0.0,-24.38,22.38,2.0,-24.38,0.0,5.16,-9.95,0.0,0.0
2020-02-04,-13537845.0,8758397.0,4779447.0,-16686213.0,3148368.0,-8.34,5.4,2.95,-10.28,1.94,4.98,-3.49,0.0,0.0
2020-02-05,-5131942.0,7357482.0,-2225541.0,-3433883.0,-1698059.0,-4.14,5.93,-1.79,-2.77,-1.37,5.08,2.01,0.0,0.0
2020-02-06,3940467.0,-1944971.0,-1995497.0,2960219.0,980248.0,2.88,-1.42,-1.46,2.16,0.72,5.23,2.95,0.0,0.0
2020-02-07,2359031.0,-921734.0,-1437297.0,-4106747.0,6465778.0,1.07,-0.42,-0.65,-1.86,2.93,5.57,6.5,0.0,0.0
2020-02-10,-7401761.0,14455872.0,-7054111.0,-7069325.0,-332436.0,-3.63,7.08,-3.46,-3.46,-0.16,5.68,1.97,0.0,0.0
2020-02-11,-19166491.0,16938174.0,2228317.0,-14692204.0,-4474287.0,-13.85,12.24,1.61,-10.62,-3.23,5.48,-3.52,0.0,0.0
2020-02-12,5792312.0,-6063987.0,271676.0,8099954.0,-2307642.0,3.37,-3.53,0.16,4.72,-1.34,5.69,3.83,0.0,0.0
2020-02-13,-6808353.0,5311785.0,1496569.0,-8021067.0,1212714.0,-3.26,2.54,0.72,-3.84,0.58,5.68,-0.18,0.0,0.0
2020-02-14,-7773892.0,13122637.0,-5348746.0,-4471534.0,-3302358.0,-3.59,6.07,-2.47,-2.07,-1.53,5.83,2.64,0.0,0.0
2020-02-17,8457299.0,-15621914.0,7164615.0,5029816.0,3427483.0,4.0,-7.4,3.39,2.38,1.62,5.96,2.23,0.0,0.0
2020-02-18,3202011.0,1112539.0,-4314551.0,-3108619.0,6310630.0,1.27,0.44,-1.71,-1.23,2.51,6.09,2.18,0.0,0.0
2020-02-19,-9719378.0,14264799.0,-4545420.0,-22528740.0,12809362.0,-3.02,4.44,-1.41,-7.01,3.98,6.1,0.16,0.0,0.0
2020-02-20,-40147944.0,31942637.0,8205308.0,-37491855.0,-2656089.0,-9.02,7.17,1.84,-8.42,-0.6,6.26,2.62,0.0,0.0
