date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-18657373.0,19103292.0,-445920.0,3795475.0,-22452848.0,-7.87,8.06,-0.19,1.6,-9.47,14.3,-0.14,0.0,0.0
2020-01-09,-13159799.0,3721183.0,9438617.0,9652360.0,-22812159.0,-7.12,2.01,5.1,5.22,-12.34,14.56,1.82,0.0,0.0
2020-01-10,1425740.0,4174463.0,-5600203.0,1888980.0,-463240.0,1.12,3.29,-4.41,1.49,-0.37,14.74,1.24,0.0,0.0
2020-01-13,-7520045.0,4239205.0,3280840.0,8553631.0,-16073676.0,-3.45,1.94,1.5,3.92,-7.37,14.98,1.63,0.0,0.0
2020-01-14,-30127536.0,32700019.0,-2572483.0,-5741101.0,-24386435.0,-6.97,7.57,-0.6,-1.33,-5.64,15.36,2.54,0.0,0.0
2020-01-15,-14712880.0,83458.0,14629422.0,5034093.0,-19746973.0,-5.27,0.03,5.24,1.8,-7.07,15.47,0.72,0.0,0.0
2020-01-16,-21545677.0,21993836.0,-448160.0,-16436260.0,-5109417.0,-9.37,9.57,-0.19,-7.15,-2.22,15.21,-1.68,0.0,0.0
2020-01-17,-6027314.0,6494193.0,-466881.0,-5137504.0,-889810.0,-4.86,5.23,-0.38,-4.14,-0.72,15.16,-0.33,0.0,0.0
2020-01-20,-5290025.0,2863449.0,2426575.0,-1549844.0,-3740181.0,-3.7,2.0,1.7,-1.09,-2.62,15.28,0.79,0.0,0.0
2020-01-21,-4527593.0,2919278.0,1608315.0,-4767393.0,239800.0,-3.24,2.09,1.15,-3.41,0.17,15.18,-0.65,0.0,0.0
2020-01-22,-11245763.0,-859222.0,12104984.0,-8994420.0,-2251343.0,-7.52,-0.57,8.09,-6.01,-1.5,15.3,0.79,0.0,0.0
2020-01-23,-26267664.0,22826567.0,3441098.0,-21162507.0,-5105157.0,-10.85,9.43,1.42,-8.74,-2.11,14.72,-3.79,0.0,0.0
2020-02-03,-5728489.0,4408203.0,1320286.0,-2732766.0,-2995723.0,-30.12,23.18,6.94,-14.37,-15.75,13.24,-10.05,0.0,0.0
2020-02-04,-827970.0,-7828656.0,8656623.0,-2303736.0,1475766.0,-0.37,-3.46,3.83,-1.02,0.65,12.86,-2.87,0.0,0.0
2020-02-05,-10518114.0,-9310285.0,19828399.0,-9062876.0,-1455238.0,-4.24,-3.75,7.99,-3.65,-0.59,12.99,1.01,0.0,0.0
2020-02-06,-10716355.0,667269.0,10049085.0,-7483031.0,-3233324.0,-4.25,0.26,3.99,-2.97,-1.28,13.02,0.23,0.0,0.0
2020-02-07,-12132265.0,14258395.0,-2126131.0,-14507918.0,2375653.0,-5.48,6.44,-0.96,-6.55,1.07,12.98,-0.31,0.0,0.0
2020-02-10,289402.0,-6766411.0,6477009.0,-2354026.0,2643428.0,0.12,-2.74,2.63,-0.95,1.07,13.32,2.62,0.0,0.0
2020-02-11,15836716.0,-6034899.0,-9801816.0,17655156.0,-1818440.0,6.14,-2.34,-3.8,6.84,-0.7,13.45,0.98,0.0,0.0
