date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-4265400.0,5719614.0,-1454214.0,-4265400.0,0.0,-9.35,12.54,-3.19,-9.35,0.0,14.71,-1.41,0.0,0.0
2020-01-09,1526892.0,-1489142.0,-37749.0,1506242.0,20650.0,5.91,-5.77,-0.15,5.83,0.08,14.76,0.34,0.0,0.0
2020-01-10,546813.0,-75153.0,-471659.0,546813.0,0.0,3.78,-0.52,-3.26,3.78,0.0,14.76,0.0,0.0,0.0
2020-01-13,-3668104.0,827020.0,2841085.0,-3668104.0,0.0,-11.97,2.7,9.27,-11.97,0.0,14.77,0.07,0.0,0.0
2020-01-14,-2108923.0,3260231.0,-1151308.0,-2108923.0,0.0,-8.45,13.06,-4.61,-8.45,0.0,14.82,0.34,0.0,0.0
2020-01-15,-2626539.0,2877770.0,-251231.0,-2626539.0,0.0,-13.67,14.98,-1.31,-13.67,0.0,14.73,-0.61,0.0,0.0
2020-01-16,-3667726.0,2253179.0,1414548.0,-2610862.0,-1056864.0,-15.59,9.58,6.01,-11.1,-4.49,14.67,-0.41,0.0,0.0
2020-01-17,-3128321.0,2719230.0,409091.0,-3128321.0,0.0,-12.82,11.14,1.68,-12.82,0.0,14.56,-0.75,0.0,0.0
2020-01-20,-4681083.0,2215266.0,2465817.0,-3536514.0,-1144569.0,-12.38,5.86,6.52,-9.35,-3.03,14.35,-1.44,0.0,0.0
2020-01-21,-1430402.0,4318429.0,-2888028.0,-1430402.0,0.0,-3.0,9.05,-6.05,-3.0,0.0,14.24,-0.77,0.0,0.0
2020-01-22,113248.0,-1054199.0,940952.0,113248.0,0.0,0.6,-5.59,4.99,0.6,0.0,14.27,0.21,0.0,0.0
2020-01-23,-1839387.0,2840179.0,-1000791.0,-1839387.0,0.0,-5.35,8.27,-2.91,-5.35,0.0,14.03,-1.68,0.0,0.0
2020-02-03,-4287618.0,590786.0,3696833.0,-101974.0,-4185644.0,-6.63,0.91,5.72,-0.16,-6.47,13.04,-7.06,0.0,0.0
2020-02-04,830059.0,1315902.0,-2145960.0,1138263.0,-308204.0,1.67,2.65,-4.32,2.29,-0.62,13.48,3.37,0.0,0.0
2020-02-05,-1194660.0,3437540.0,-2242880.0,-1247973.0,53313.0,-3.39,9.75,-6.36,-3.54,0.15,13.52,0.3,0.0,0.0
2020-02-06,2611352.0,-2275353.0,-335999.0,2611352.0,0.0,10.58,-9.22,-1.36,10.58,0.0,13.67,1.11,0.0,0.0
2020-02-07,-2296519.0,2241519.0,54999.0,-2296519.0,0.0,-13.53,13.2,0.32,-13.53,0.0,13.6,-0.51,0.0,0.0
2020-02-10,-1430841.0,551676.0,879164.0,-333077.0,-1097764.0,-7.28,2.81,4.47,-1.69,-5.58,13.73,0.96,0.0,0.0
2020-02-11,3033663.0,-1205135.0,-1828528.0,996301.0,2037362.0,14.78,-5.87,-8.91,4.86,9.93,13.76,0.22,0.0,0.0
2020-02-12,1480152.0,215819.0,-1695970.0,1480152.0,0.0,10.27,1.5,-11.77,10.27,0.0,13.8,0.29,0.0,0.0
2020-02-13,2304207.0,-1411884.0,-892323.0,2304207.0,0.0,10.28,-6.3,-3.98,10.28,0.0,13.86,0.43,0.0,0.0
2020-02-14,782153.0,-2316265.0,1534112.0,782153.0,0.0,4.83,-14.3,9.47,4.83,0.0,13.92,0.43,0.0,0.0
2020-02-17,843571.0,-383205.0,-460365.0,843571.0,0.0,4.43,-2.01,-2.42,4.43,0.0,14.04,0.86,0.0,0.0
2020-02-18,1678527.0,-589284.0,-1089243.0,1678527.0,0.0,8.05,-2.83,-5.22,8.05,0.0,13.98,-0.43,0.0,0.0
2020-02-19,1732201.0,-799835.0,-932367.0,1732201.0,0.0,7.53,-3.47,-4.05,7.53,0.0,14.01,0.21,0.0,0.0
2020-02-20,663792.0,-395921.0,-267870.0,663792.0,0.0,4.28,-2.56,-1.73,4.28,0.0,14.11,0.71,0.0,0.0
2020-02-21,-1016850.0,890268.0,126583.0,-352274.0,-664576.0,-5.77,5.05,0.72,-2.0,-3.77,14.11,0.0,0.0,0.0
2020-02-24,2060282.0,-287655.0,-1772627.0,2060282.0,0.0,9.37,-1.31,-8.06,9.37,0.0,14.0,-0.78,0.0,0.0
2020-02-25,-2542997.0,1323465.0,1219531.0,-757486.0,-1785511.0,-6.81,3.54,3.27,-2.03,-4.78,13.81,-1.36,0.0,0.0
2020-02-26,-1700501.0,1554604.0,145897.0,-1700501.0,0.0,-6.05,5.53,0.52,-6.05,0.0,13.75,-0.43,0.0,0.0
