date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-10029101.0,9099295.0,929806.0,-7699711.0,-2329390.0,-13.95,12.66,1.29,-10.71,-3.24,9.56,-2.35,0.0,0.0
2020-01-09,-1935563.0,3539070.0,-1603507.0,-178849.0,-1756714.0,-3.25,5.95,-2.7,-0.3,-2.95,9.65,0.94,0.0,0.0
2020-01-10,-2377544.0,4280439.0,-1902895.0,-1123044.0,-1254500.0,-5.31,9.56,-4.25,-2.51,-2.8,9.63,-0.21,0.0,0.0
2020-01-13,-3119510.0,4652111.0,-1532601.0,-3119510.0,0.0,-6.42,9.58,-3.16,-6.42,0.0,9.72,0.93,0.0,0.0
2020-01-14,-2698986.0,4757758.0,-2058773.0,-1513386.0,-1185600.0,-6.22,10.96,-4.74,-3.49,-2.73,9.7,-0.21,0.0,0.0
2020-01-15,-8009167.0,8097872.0,-88705.0,-7965787.0,-43380.0,-15.31,15.48,-0.17,-15.23,-0.08,9.54,-1.65,0.0,0.0
2020-01-16,-3300559.0,1820915.0,1479644.0,-2071873.0,-1228686.0,-11.1,6.12,4.97,-6.97,-4.13,9.5,-0.42,0.0,0.0
2020-01-17,-2820399.0,2678121.0,142278.0,-1401399.0,-1419000.0,-8.51,8.08,0.43,-4.23,-4.28,9.43,-0.74,0.0,0.0
2020-01-20,-2689181.0,2096345.0,592837.0,-2689181.0,0.0,-8.14,6.34,1.79,-8.14,0.0,9.47,0.42,0.0,0.0
2020-01-21,690792.0,-555644.0,-135149.0,3815218.0,-3124426.0,1.76,-1.41,-0.34,9.7,-7.94,9.33,-1.48,0.0,0.0
2020-01-22,-1745477.0,2585027.0,-839550.0,-1691363.0,-54114.0,-4.05,5.99,-1.95,-3.92,-0.13,9.31,-0.21,0.0,0.0
2020-01-23,-11643220.0,11589320.0,53900.0,-10536105.0,-1107115.0,-18.66,18.57,0.09,-16.88,-1.77,8.98,-3.54,0.0,0.0
2020-02-03,-6020326.0,6454450.0,-434123.0,-3317276.0,-2703050.0,-19.8,21.23,-1.43,-10.91,-8.89,8.08,-10.02,0.0,0.0
2020-02-04,-9283183.0,11884891.0,-2601708.0,-8301026.0,-982157.0,-10.68,13.67,-2.99,-9.55,-1.13,7.82,-3.22,0.0,0.0
2020-02-05,1597703.0,-243404.0,-1354299.0,627678.0,970025.0,2.36,-0.36,-2.0,0.93,1.44,8.02,2.56,0.0,0.0
2020-02-06,2838950.0,-194842.0,-2644108.0,5894370.0,-3055420.0,4.15,-0.28,-3.87,8.62,-4.47,8.23,2.62,0.0,0.0
2020-02-07,-1709194.0,3736451.0,-2027258.0,-1678623.0,-30571.0,-3.11,6.79,-3.69,-3.05,-0.06,8.22,-0.12,0.0,0.0
2020-02-10,2601261.0,-4558694.0,1957433.0,3519543.0,-918282.0,5.23,-9.17,3.94,7.08,-1.85,8.41,2.31,0.0,0.0
2020-02-11,-3339345.0,1088701.0,2250644.0,-2871442.0,-467903.0,-8.63,2.81,5.82,-7.42,-1.21,8.36,-0.59,0.0,0.0
2020-02-12,-2683668.0,916992.0,1766677.0,1084871.0,-3768539.0,-7.02,2.4,4.62,2.84,-9.85,8.4,0.48,0.0,0.0
2020-02-13,-4894988.0,5807301.0,-912314.0,-4894988.0,0.0,-11.38,13.51,-2.12,-11.38,0.0,8.25,-1.79,0.0,0.0
2020-02-14,1800659.0,607528.0,-2408187.0,1800659.0,0.0,5.98,2.02,-8.0,5.98,0.0,8.26,0.12,0.0,0.0
2020-02-17,3414662.0,-1979562.0,-1435100.0,2976738.0,437924.0,6.04,-3.5,-2.54,5.26,0.77,8.52,3.15,0.0,0.0
2020-02-18,-1155387.0,-2538860.0,3694248.0,-1755196.0,599809.0,-2.38,-5.24,7.62,-3.62,1.24,8.54,0.23,0.0,0.0
2020-02-19,4832251.0,-1439905.0,-3392346.0,4832251.0,0.0,10.25,-3.05,-7.19,10.25,0.0,8.55,0.12,0.0,0.0
2020-02-20,7202625.0,-6233521.0,-969104.0,5618720.0,1583905.0,10.73,-9.29,-1.44,8.37,2.36,8.71,1.87,0.0,0.0
2020-02-21,-4959363.0,2944538.0,2014825.0,-3659611.0,-1299752.0,-8.01,4.75,3.25,-5.91,-2.1,8.72,0.11,0.0,0.0
2020-02-24,-3100659.0,2708118.0,392542.0,1407372.0,-4508031.0,-3.92,3.43,0.5,1.78,-5.7,8.65,-0.8,0.0,0.0
2020-02-25,-6261515.0,8621131.0,-2359616.0,-1555465.0,-4706050.0,-7.08,9.74,-2.67,-1.76,-5.32,8.42,-2.66,0.0,0.0
2020-02-26,72214435.0,-42948930.0,-29265504.0,8873071.0,63341364.0,21.67,-12.89,-8.78,2.66,19.0,9.26,9.98,0.0,0.0
2020-02-27,-36083462.0,15766522.0,20316941.0,10580416.0,-46663878.0,-12.16,5.32,6.85,3.57,-15.73,9.02,-2.59,0.0,0.0
2020-02-28,5649888.0,4341217.0,-9991104.0,1054050.0,4595838.0,1.89,1.45,-3.34,0.35,1.54,9.03,0.11,0.0,0.0
2020-03-02,19132024.0,-8960583.0,-10171441.0,19117378.0,14646.0,5.42,-2.54,-2.88,5.42,0.0,9.72,7.64,0.0,0.0
2020-03-03,-45630199.0,20927259.0,24702940.0,-28382025.0,-17248174.0,-14.4,6.61,7.8,-8.96,-5.44,9.56,-1.65,0.0,0.0
