date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-13099874.0,13254845.0,-154971.0,-12010309.0,-1089565.0,-8.98,9.09,-0.11,-8.24,-0.75,3.59,-2.18,0.0,0.0
2020-01-09,-4205822.0,539145.0,3666676.0,-4205822.0,0.0,-4.24,0.54,3.69,-4.24,0.0,3.62,0.84,0.0,0.0
2020-01-10,-7771698.0,6450766.0,1320933.0,-6675250.0,-1096448.0,-12.22,10.14,2.08,-10.49,-1.72,3.54,-2.21,0.0,0.0
2020-01-13,-2528801.0,4982431.0,-2453632.0,-2516600.0,-12201.0,-4.81,9.48,-4.67,-4.79,-0.02,3.54,0.0,0.0,0.0
2020-01-14,7268638.0,-4131468.0,-3137170.0,4043696.0,3224942.0,9.04,-5.14,-3.9,5.03,4.01,3.58,1.13,0.0,0.0
2020-01-15,-2718218.0,-602622.0,3320840.0,-2917560.0,199342.0,-1.79,-0.4,2.19,-1.92,0.13,3.66,2.23,0.0,0.0
2020-01-16,-6698766.0,10228486.0,-3529720.0,-5363846.0,-1334920.0,-8.32,12.71,-4.39,-6.66,-1.66,3.57,-2.46,0.0,0.0
2020-01-17,-7006300.0,11369865.0,-4363565.0,-3836086.0,-3170214.0,-11.7,18.99,-7.29,-6.41,-5.29,3.44,-3.64,0.0,0.0
2020-01-20,-7467541.0,8122867.0,-655326.0,-7467541.0,0.0,-17.34,18.87,-1.52,-17.34,0.0,3.42,-0.58,0.0,0.0
2020-01-21,-2552461.0,6001258.0,-3448796.0,-6525569.0,3973108.0,-4.17,9.8,-5.63,-10.66,6.49,3.44,0.58,0.0,0.0
2020-01-22,-4607146.0,7519474.0,-2912328.0,-3444614.0,-1162532.0,-10.56,17.24,-6.68,-7.9,-2.67,3.36,-2.33,0.0,0.0
2020-01-23,-12601802.0,24618252.0,-12016451.0,-12023363.0,-578439.0,-10.78,21.06,-10.28,-10.28,-0.49,3.02,-10.12,0.0,0.0
2020-02-03,-285872.0,2118064.0,-1832192.0,-285872.0,0.0,-3.69,27.34,-23.65,-3.69,0.0,2.72,-9.93,0.0,0.0
2020-02-04,-5393252.0,6694767.0,-1301515.0,-2727091.0,-2666161.0,-7.58,9.41,-1.83,-3.83,-3.75,2.58,-5.15,0.0,0.0
2020-02-05,-49244.0,1868297.0,-1819054.0,-49244.0,0.0,-0.11,4.21,-4.1,-0.11,0.0,2.69,4.26,0.0,0.0
2020-02-06,-882690.0,2673671.0,-1790982.0,-882690.0,0.0,-1.93,5.85,-3.92,-1.93,0.0,2.71,0.74,0.0,0.0
2020-02-07,-678787.0,2650600.0,-1971812.0,-744961.0,66174.0,-1.35,5.28,-3.93,-1.48,0.13,2.74,1.11,0.0,0.0
2020-02-10,-1510048.0,970213.0,539836.0,-342508.0,-1167540.0,-2.69,1.73,0.96,-0.61,-2.08,2.84,3.65,0.0,0.0
2020-02-11,-3142838.0,4695054.0,-1552216.0,-752235.0,-2390603.0,-7.38,11.03,-3.65,-1.77,-5.62,2.85,0.35,0.0,0.0
2020-02-12,3505607.0,-809744.0,-2695864.0,2310327.0,1195280.0,6.22,-1.44,-4.79,4.1,2.12,2.97,4.21,0.0,0.0
2020-02-13,-7903024.0,8384138.0,-481114.0,-5232395.0,-2670629.0,-15.83,16.8,-0.96,-10.48,-5.35,2.88,-3.03,0.0,0.0
2020-02-14,-1977839.0,3004647.0,-1026807.0,-1616687.0,-361152.0,-5.05,7.68,-2.62,-4.13,-0.92,2.9,0.69,0.0,0.0
2020-02-17,6669516.0,-3441690.0,-3227827.0,6669516.0,0.0,11.03,-5.69,-5.34,11.03,0.0,3.0,3.45,0.0,0.0
2020-02-18,-211992.0,1566215.0,-1354223.0,-1507290.0,1295298.0,-0.39,2.87,-2.48,-2.76,2.38,3.07,2.33,0.0,0.0
2020-02-19,2995527.0,-4416939.0,1421411.0,3169623.0,-174096.0,3.83,-5.65,1.82,4.06,-0.22,3.09,0.65,0.0,0.0
2020-02-20,2315419.0,813205.0,-3128625.0,3441106.0,-1125687.0,3.6,1.26,-4.86,5.34,-1.75,3.16,2.27,0.0,0.0
2020-02-21,-127201.0,-1821875.0,1949076.0,877919.0,-1005120.0,-0.15,-2.16,2.31,1.04,-1.19,3.25,2.85,0.0,0.0
2020-02-24,-2869004.0,121187.0,2747818.0,-5056134.0,2187130.0,-2.6,0.11,2.49,-4.58,1.98,3.36,3.38,0.0,0.0
2020-02-25,-8635239.0,12132214.0,-3496974.0,-6840833.0,-1794406.0,-7.8,10.96,-3.16,-6.18,-1.62,3.27,-2.68,0.0,0.0
2020-02-26,14454557.0,-9638851.0,-4815706.0,-10069543.0,24524100.0,5.12,-3.42,-1.71,-3.57,8.69,3.4,3.98,0.0,0.0
2020-02-27,-18774629.0,7856414.0,10918216.0,-11801095.0,-6973534.0,-7.66,3.2,4.45,-4.81,-2.84,3.44,1.18,0.0,0.0
2020-02-28,-19506877.0,25974152.0,-6467275.0,-12001094.0,-7505783.0,-13.32,17.73,-4.41,-8.19,-5.12,3.1,-9.88,0.0,0.0
2020-03-02,4235090.0,-1788502.0,-2446590.0,2108540.0,2126550.0,4.7,-1.98,-2.71,2.34,2.36,3.17,2.26,0.0,0.0
2020-03-03,-5899342.0,7149121.0,-1249780.0,-5867512.0,-31830.0,-6.2,7.51,-1.31,-6.17,-0.03,3.17,0.0,0.0,0.0
2020-03-04,-691309.0,2257110.0,-1565802.0,-753909.0,62600.0,-1.19,3.88,-2.69,-1.29,0.11,3.16,-0.32,0.0,0.0
2020-03-05,4053916.0,3398398.0,-7452315.0,6175660.0,-2121744.0,4.96,4.16,-9.12,7.56,-2.6,3.2,1.27,0.0,0.0
2020-03-06,-7071968.0,10095701.0,-3023734.0,-5700458.0,-1371510.0,-12.77,18.22,-5.46,-10.29,-2.48,3.15,-1.56,0.0,0.0
2020-03-09,-12775420.0,14656424.0,-1881004.0,-9420867.0,-3354553.0,-16.8,19.27,-2.47,-12.39,-4.41,3.04,-3.49,0.0,0.0
2020-03-10,-864911.0,-315283.0,1180193.0,1031137.0,-1896048.0,-1.34,-0.49,1.83,1.6,-2.94,3.13,2.96,0.0,0.0
2020-03-11,2653430.0,-16124.0,-2637305.0,1344835.0,1308595.0,3.0,-0.02,-2.98,1.52,1.48,3.17,1.28,0.0,0.0
2020-03-12,-8484337.0,10297003.0,-1812666.0,-8540335.0,55998.0,-16.32,19.81,-3.49,-16.43,0.11,3.07,-3.15,0.0,0.0
2020-03-13,-1542315.0,4586916.0,-3044601.0,-1421972.0,-120343.0,-3.6,10.69,-7.1,-3.31,-0.28,3.03,-1.3,0.0,0.0
2020-03-16,-3497093.0,6665288.0,-3168195.0,-3497093.0,0.0,-8.08,15.4,-7.32,-8.08,0.0,2.92,-3.63,0.0,0.0
2020-03-17,-923631.0,3344926.0,-2421295.0,-923631.0,0.0,-3.06,11.08,-8.02,-3.06,0.0,2.87,-1.71,0.0,0.0
2020-03-18,-3635865.0,4171244.0,-535379.0,-2553906.0,-1081959.0,-11.8,13.53,-1.74,-8.29,-3.51,2.79,-2.79,0.0,0.0
2020-03-19,-2086894.0,3617769.0,-1530875.0,-2086894.0,0.0,-7.67,13.29,-5.63,-7.67,0.0,2.78,-0.36,0.0,0.0
2020-03-20,-3542.0,2501361.0,-2497819.0,19642.0,-23184.0,-0.02,11.36,-11.34,0.09,-0.11,2.81,1.08,0.0,0.0
2020-03-23,-1340675.0,2294580.0,-953905.0,-1314919.0,-25756.0,-6.52,11.15,-4.64,-6.39,-0.13,2.7,-3.91,0.0,0.0
2020-03-24,-347497.0,1463838.0,-1116341.0,-347497.0,0.0,-1.88,7.91,-6.04,-1.88,0.0,2.73,1.11,0.0,0.0
2020-03-25,3314754.0,-1805148.0,-1509608.0,2208482.0,1106272.0,8.52,-4.64,-3.88,5.68,2.84,2.87,5.13,0.0,0.0
2020-03-26,-1971590.0,2942986.0,-971396.0,-1971590.0,0.0,-8.16,12.19,-4.02,-8.16,0.0,2.78,-3.14,0.0,0.0
2020-03-27,-560247.0,2438827.0,-1878580.0,-560247.0,0.0,-3.03,13.21,-10.17,-3.03,0.0,2.74,-1.44,0.0,0.0
2020-03-30,-3264965.0,6550281.0,-3285316.0,-77235.0,-3187730.0,-11.21,22.5,-11.28,-0.27,-10.95,2.6,-5.11,0.0,0.0
2020-03-31,-1787724.0,4194210.0,-2406486.0,-1787724.0,0.0,-6.2,14.55,-8.35,-6.2,0.0,2.53,-2.69,0.0,0.0
2020-04-01,-1244924.0,5120346.0,-3875424.0,-2372579.0,1127655.0,-4.4,18.1,-13.7,-8.39,3.99,2.47,-2.37,0.0,0.0
2020-04-02,-927848.0,698188.0,229659.0,-927848.0,0.0,-3.47,2.61,0.86,-3.47,0.0,2.5,1.21,0.0,0.0
2020-04-03,525247.0,2272219.0,-2797466.0,525247.0,0.0,2.33,10.09,-12.43,2.33,0.0,2.5,0.0,0.0,0.0
2020-04-07,-774922.0,1285883.0,-510962.0,-774922.0,0.0,-2.35,3.9,-1.55,-2.35,0.0,2.58,3.2,0.0,0.0
2020-04-08,-1505291.0,3319381.0,-1814090.0,-133640.0,-1371651.0,-5.22,11.52,-6.29,-0.46,-4.76,2.62,1.55,0.0,0.0
2020-04-09,1246094.0,-5113956.0,3867862.0,691118.0,554976.0,1.36,-5.57,4.21,0.75,0.6,2.74,4.58,0.0,0.0
2020-04-10,-6435922.0,9729523.0,-3293599.0,-5286379.0,-1149543.0,-14.16,21.41,-7.25,-11.63,-2.53,2.6,-5.11,0.0,0.0
2020-04-13,-4108614.0,4005662.0,102952.0,-4108614.0,0.0,-14.21,13.85,0.36,-14.21,0.0,2.5,-3.85,0.0,0.0
2020-04-14,2835611.0,-3678353.0,842742.0,2896795.0,-61184.0,13.25,-17.19,3.94,13.54,-0.29,2.57,2.8,0.0,0.0
2020-04-15,-4037907.0,4921044.0,-883137.0,-4390311.0,352404.0,-16.61,20.24,-3.63,-18.06,1.45,2.51,-2.33,0.0,0.0
2020-04-16,2143868.0,-2028714.0,-115153.0,2143868.0,0.0,10.2,-9.65,-0.55,10.2,0.0,2.54,1.2,0.0,0.0
2020-04-17,-6496577.0,6781297.0,-284720.0,-5119146.0,-1377431.0,-22.0,22.97,-0.96,-17.34,-4.66,2.47,-2.76,0.0,0.0
2020-04-20,-1512433.0,3011024.0,-1498590.0,-1512433.0,0.0,-7.47,14.88,-7.41,-7.47,0.0,2.45,-0.81,0.0,0.0
2020-04-21,-6609362.0,8325994.0,-1716632.0,-6609362.0,0.0,-18.21,22.95,-4.73,-18.21,0.0,2.37,-3.27,0.0,0.0
2020-04-22,2144903.0,21753.0,-2166656.0,2144903.0,0.0,10.12,0.1,-10.22,10.12,0.0,2.41,1.69,0.0,0.0
2020-04-23,-3838755.0,5790605.0,-1951851.0,-3770449.0,-68306.0,-19.57,29.52,-9.95,-19.22,-0.35,2.34,-2.9,0.0,0.0
2020-04-24,-2300222.0,5137444.0,-2837221.0,-1016584.0,-1283638.0,-8.16,18.23,-10.07,-3.61,-4.56,2.24,-4.27,0.0,0.0
2020-04-27,-480923.0,7321043.0,-6840121.0,-468839.0,-12084.0,-0.72,10.98,-10.26,-0.7,-0.02,2.04,-8.93,0.0,0.0
2020-04-28,-1171683.0,5587348.0,-4415666.0,-3073697.0,1902014.0,-2.44,11.66,-9.21,-6.41,3.97,1.93,-5.39,0.0,0.0
2020-04-29,347008.0,1423751.0,-1770759.0,347596.0,-588.0,1.31,5.38,-6.69,1.31,-0.0,1.88,-2.59,0.0,0.0
2020-05-06,-319694.0,622204.0,-302510.0,-319694.0,0.0,-19.31,37.57,-18.27,-19.31,0.0,1.79,-4.79,0.0,0.0
2020-05-07,216920.0,290360.0,-507280.0,216920.0,0.0,12.05,16.13,-28.17,12.05,0.0,1.7,-5.03,0.0,0.0
2020-05-08,-809514.0,946242.0,-136728.0,-809514.0,0.0,-30.88,36.09,-5.22,-30.88,0.0,1.62,-4.71,0.0,0.0
2020-05-11,-627088.0,870254.0,-243166.0,515130.0,-1142218.0,-17.28,23.99,-6.7,14.2,-31.48,1.54,-4.94,0.0,0.0
2020-05-12,0.0,132130.0,-132130.0,0.0,0.0,0.0,6.64,-6.64,0.0,0.0,1.46,-5.19,0.0,0.0
2020-05-13,12249332.0,-9762789.0,-2486542.0,1554579.0,10694753.0,14.16,-11.28,-2.87,1.8,12.36,1.44,-1.37,0.0,0.0
2020-05-14,-12427532.0,7961101.0,4466433.0,-4993734.0,-7433798.0,-23.62,15.13,8.49,-9.49,-14.13,1.38,-4.17,0.0,0.0
2020-05-15,433800.0,1209273.0,-1643074.0,433800.0,0.0,1.93,5.37,-7.3,1.93,0.0,1.39,0.72,0.0,0.0
2020-05-18,-2400733.0,1806369.0,594363.0,-1788984.0,-611749.0,-7.77,5.84,1.92,-5.79,-1.98,1.32,-5.04,0.0,0.0
2020-05-19,1068773.0,525854.0,-1594627.0,1977889.0,-909116.0,2.92,1.44,-4.35,5.4,-2.48,1.26,-4.55,0.0,0.0
2020-05-20,-3875580.0,2742995.0,1132584.0,-2648460.0,-1227120.0,-19.01,13.46,5.56,-12.99,-6.02,1.2,-4.76,0.0,0.0
2020-05-21,1185280.0,-310807.0,-874471.0,970152.0,215128.0,4.06,-1.07,-3.0,3.33,0.74,1.2,0.0,0.0,0.0
2020-05-22,5161953.0,-3454152.0,-1707801.0,2513749.0,2648204.0,19.85,-13.28,-6.57,9.67,10.18,1.26,5.0,0.0,0.0
2020-05-25,-2377475.0,1733896.0,643580.0,-1671995.0,-705480.0,-8.39,6.12,2.27,-5.9,-2.49,1.25,-0.79,0.0,0.0
2020-05-26,-114294.0,-1384525.0,1498819.0,-10408.0,-103886.0,-0.55,-6.65,7.2,-0.05,-0.5,1.27,1.6,0.0,0.0
2020-05-27,1624205.0,348032.0,-1972237.0,1624205.0,0.0,6.85,1.47,-8.31,6.85,0.0,1.3,2.36,0.0,0.0
2020-05-28,-6864175.0,3363361.0,3500814.0,-4813024.0,-2051151.0,-27.26,13.36,13.9,-19.11,-8.14,1.24,-4.62,0.0,0.0
2020-05-29,3632971.0,-1385269.0,-2247703.0,2261944.0,1371027.0,21.73,-8.29,-13.45,13.53,8.2,1.27,2.42,0.0,0.0
2020-06-01,3369576.0,-1652583.0,-1716996.0,1862224.0,1507352.0,16.03,-7.86,-8.17,8.86,7.17,1.3,2.36,0.0,0.0
2020-06-02,-35805.0,-729389.0,765194.0,-332048.0,296243.0,-0.17,-3.49,3.67,-1.59,1.42,1.33,2.31,0.0,0.0
2020-06-03,556586.0,101566.0,-658151.0,543518.0,13068.0,3.32,0.61,-3.93,3.24,0.08,1.35,1.5,0.0,0.0
2020-06-04,4126761.0,-2815975.0,-1310787.0,1747297.0,2379464.0,13.13,-8.96,-4.17,5.56,7.57,1.42,5.19,0.0,0.0
2020-06-05,1384445.0,888490.0,-2272935.0,-773803.0,2158248.0,3.67,2.35,-6.02,-2.05,5.72,1.49,4.93,0.0,0.0
2020-06-08,-1717840.0,1119886.0,597955.0,-1717840.0,0.0,-4.45,2.9,1.55,-4.45,0.0,1.56,4.7,0.0,0.0
2020-06-09,-4594657.0,3960196.0,634461.0,-3210709.0,-1383948.0,-20.42,17.6,2.82,-14.27,-6.15,1.48,-5.13,0.0,0.0
2020-06-10,-7376136.0,4342143.0,3033993.0,-3211831.0,-4164305.0,-19.87,11.7,8.17,-8.65,-11.22,1.42,-4.05,0.0,0.0
2020-06-11,482622.0,1642450.0,-2125072.0,482622.0,0.0,1.9,6.47,-8.37,1.9,0.0,1.42,0.0,0.0,0.0
2020-06-12,-932986.0,402910.0,530075.0,-976417.0,43431.0,-5.69,2.46,3.23,-5.95,0.26,1.39,-2.11,0.0,0.0
2020-06-15,-484582.0,417262.0,67320.0,-484582.0,0.0,-3.04,2.61,0.42,-3.04,0.0,1.36,-2.16,0.0,0.0
