date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-9437571.0,15267186.0,-5829614.0,-9592209.0,154638.0,-8.11,13.11,-5.01,-8.24,0.13,7.65,-3.04,0.0,0.0
2020-01-09,5623908.0,-3068856.0,-2555051.0,5623908.0,0.0,8.54,-4.66,-3.88,8.54,0.0,7.76,1.44,0.0,0.0
2020-01-10,-8458496.0,4518121.0,3940375.0,-4732907.0,-3725589.0,-9.75,5.21,4.54,-5.46,-4.3,7.77,0.13,0.0,0.0
2020-01-13,-3238005.0,9627679.0,-6389673.0,2040626.0,-5278631.0,-4.77,14.19,-9.42,3.01,-7.78,7.79,0.26,0.0,0.0
2020-01-14,1275102.0,5453597.0,-6728699.0,-439500.0,1714602.0,1.52,6.51,-8.03,-0.52,2.05,7.8,0.13,0.0,0.0
2020-01-15,-10877603.0,12184990.0,-1307385.0,-7375058.0,-3502545.0,-17.0,19.04,-2.04,-11.52,-5.47,7.69,-1.41,0.0,0.0
2020-01-16,-4276491.0,5112274.0,-835782.0,-4276491.0,0.0,-9.66,11.55,-1.89,-9.66,0.0,7.64,-0.65,0.0,0.0
2020-01-17,-4639270.0,2976235.0,1663037.0,-3493270.0,-1146000.0,-8.92,5.72,3.2,-6.72,-2.2,7.55,-1.18,0.0,0.0
2020-01-20,6800694.0,-5651048.0,-1149646.0,5848012.0,952682.0,13.61,-11.31,-2.3,11.7,1.91,7.72,2.25,0.0,0.0
2020-01-21,-4727940.0,3368135.0,1359806.0,-4253588.0,-474352.0,-9.72,6.93,2.8,-8.75,-0.98,7.58,-1.81,0.0,0.0
2020-01-22,-3006238.0,5308347.0,-2302108.0,-2559169.0,-447069.0,-4.84,8.55,-3.71,-4.12,-0.72,7.54,-0.53,0.0,0.0
2020-01-23,-7216231.0,9669272.0,-2453040.0,-2961731.0,-4254500.0,-8.2,10.99,-2.79,-3.37,-4.84,7.15,-5.17,0.0,0.0
2020-02-03,-1004400.0,2058696.0,-1054296.0,-1004400.0,0.0,-13.42,27.5,-14.08,-13.42,0.0,6.43,-10.07,0.0,0.0
2020-02-04,-721990.0,3727003.0,-3005011.0,1905759.0,-2627749.0,-0.81,4.16,-3.35,2.13,-2.93,6.19,-3.73,0.0,0.0
2020-02-05,-9685934.0,5357891.0,4328043.0,-9384805.0,-301129.0,-14.27,7.89,6.38,-13.83,-0.44,6.25,0.97,0.0,0.0
2020-02-06,-1476800.0,3909966.0,-2433167.0,-2023195.0,546395.0,-2.22,5.87,-3.65,-3.04,0.82,6.39,2.24,0.0,0.0
2020-02-07,2150475.0,-1931918.0,-218556.0,665851.0,1484624.0,3.58,-3.22,-0.36,1.11,2.47,6.48,1.41,0.0,0.0
2020-02-10,-1523410.0,-2481075.0,4004484.0,-3771750.0,2248340.0,-1.96,-3.19,5.15,-4.85,2.89,6.68,3.09,0.0,0.0
2020-02-11,-11100763.0,11856727.0,-755964.0,-8494044.0,-2606719.0,-15.95,17.03,-1.09,-12.2,-3.74,6.61,-1.05,0.0,0.0
2020-02-12,2288425.0,127640.0,-2416064.0,249574.0,2038851.0,4.07,0.23,-4.3,0.44,3.63,6.71,1.51,0.0,0.0
2020-02-13,355797.0,699380.0,-1055177.0,1396722.0,-1040925.0,0.59,1.15,-1.74,2.3,-1.72,6.68,-0.45,0.0,0.0
2020-02-14,7938624.0,-7738106.0,-200518.0,5163166.0,2775458.0,6.91,-6.74,-0.17,4.49,2.42,6.88,2.99,0.0,0.0
2020-02-17,-3048721.0,3175025.0,-126305.0,1052111.0,-4100832.0,-1.15,1.19,-0.05,0.4,-1.54,7.57,10.03,0.0,0.0
2020-02-18,-21211637.0,26065774.0,-4854137.0,-18159844.0,-3051793.0,-6.56,8.06,-1.5,-5.61,-0.94,7.68,1.45,0.0,0.0
2020-02-19,-22955264.0,26930156.0,-3974892.0,-23176824.0,221560.0,-12.47,14.63,-2.16,-12.59,0.12,7.38,-3.91,0.0,0.0
2020-02-20,4012068.0,-6159097.0,2147029.0,3868617.0,143451.0,2.86,-4.39,1.53,2.76,0.1,7.54,2.17,0.0,0.0
2020-02-21,-7360662.0,12212373.0,-4851710.0,-5003060.0,-2357602.0,-5.93,9.84,-3.91,-4.03,-1.9,7.46,-1.06,0.0,0.0
