date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2019-12-30,-19008775.0,23343982.0,-4335208.0,-3521642.0,-15487133.0,-4.96,6.09,-1.13,-0.92,-4.04,14.35,0.42,0.0,0.0
2019-12-31,14949591.0,-7898694.0,-7050896.0,10716532.0,4233059.0,4.32,-2.28,-2.04,3.1,1.22,14.55,1.39,0.0,0.0
2020-01-02,-9623846.0,-5643621.0,15267466.0,-15241087.0,5617241.0,-2.18,-1.28,3.46,-3.46,1.27,14.79,1.65,0.0,0.0
2020-01-03,-39302407.0,14136566.0,25165841.0,-31019847.0,-8282560.0,-8.43,3.03,5.4,-6.65,-1.78,14.68,-0.74,0.0,0.0
2020-01-06,2857697.0,9224130.0,-12081827.0,-20099693.0,22957390.0,0.5,1.61,-2.1,-3.5,4.0,15.12,3.0,0.0,0.0
2020-01-07,-123870.0,-10330806.0,10454676.0,14997067.0,-15120937.0,-0.02,-1.76,1.78,2.55,-2.57,15.39,1.79,0.0,0.0
2020-01-08,-11869604.0,17458202.0,-5588599.0,-2568092.0,-9301512.0,-2.3,3.38,-1.08,-0.5,-1.8,15.34,-0.32,0.0,0.0
2020-01-09,38581080.0,-32581797.0,-5999284.0,31818361.0,6762719.0,8.02,-6.77,-1.25,6.61,1.41,15.82,3.13,0.0,0.0
2020-01-10,-73965347.0,33678761.0,40286585.0,-36208342.0,-37757005.0,-17.86,8.13,9.73,-8.74,-9.11,15.48,-2.15,0.0,0.0
2020-01-13,57164765.0,-27459298.0,-29705472.0,-25748048.0,82912813.0,6.16,-2.96,-3.2,-2.78,8.94,16.85,8.85,0.0,0.0
2020-01-14,-36497242.0,18044335.0,18452912.0,-23711536.0,-12785706.0,-4.07,2.01,2.06,-2.64,-1.43,17.01,0.95,0.0,0.0
2020-01-15,-36192811.0,18949596.0,17243215.0,-6199241.0,-29993570.0,-6.79,3.55,3.23,-1.16,-5.63,16.62,-2.29,0.0,0.0
2020-01-16,36972967.0,-29654970.0,-7317997.0,21224601.0,15748366.0,7.37,-5.91,-1.46,4.23,3.14,17.08,2.77,0.0,0.0
2020-01-17,164246144.0,-51643080.0,-112603056.0,-43063456.0,207309600.0,11.56,-3.64,-7.93,-3.03,14.6,18.79,10.01,0.0,0.0
2020-01-20,15206480.0,7120110.0,-22326592.0,-45203104.0,60409584.0,0.82,0.39,-1.21,-2.45,3.27,20.67,10.01,0.0,0.0
2020-01-21,-47195262.0,35004224.0,12191056.0,-35521728.0,-11673534.0,-2.59,1.92,0.67,-1.95,-0.64,21.01,1.64,0.0,0.0
2020-01-22,178635686.0,-65368017.0,-113267680.0,-74652576.0,253288262.0,14.0,-5.12,-8.87,-5.85,19.84,23.11,10.0,0.0,0.0
2020-01-23,-64955808.0,47676480.0,17279312.0,-121149312.0,56193504.0,-2.03,1.49,0.54,-3.79,1.76,24.95,7.96,0.0,0.0
2020-02-03,-1195056.0,22026319.0,-20831264.0,-80437968.0,79242912.0,-0.07,1.32,-1.25,-4.84,4.76,22.46,-9.98,0.0,0.0
2020-02-04,-312398656.0,148119840.0,164278816.0,-103064400.0,-209334256.0,-9.84,4.66,5.17,-3.25,-6.59,23.55,4.85,0.0,0.0
2020-02-05,142190160.0,-34018976.0,-108171216.0,-209337632.0,351527792.0,4.05,-0.97,-3.08,-5.96,10.0,25.91,10.02,0.0,0.0
2020-02-06,139661168.0,-21758608.0,-117902544.0,-161487616.0,301148784.0,3.91,-0.61,-3.3,-4.52,8.42,28.5,10.0,0.0,0.0
2020-02-07,-484923744.0,301144592.0,183779152.0,-67341152.0,-417582592.0,-13.98,8.68,5.3,-1.94,-12.04,26.0,-8.77,0.0,0.0
2020-02-10,-49091808.0,34737760.0,14354048.0,-14100688.0,-34991120.0,-2.14,1.51,0.63,-0.61,-1.53,26.8,3.08,0.0,0.0
2020-02-11,-356160907.0,235702880.0,120458032.0,-11416416.0,-344744491.0,-14.89,9.86,5.04,-0.48,-14.42,24.13,-9.96,0.0,0.0
2020-02-12,-62384212.0,52243552.0,10140672.0,-73283184.0,10898972.0,-3.2,2.68,0.52,-3.75,0.56,24.44,1.28,0.0,0.0
2020-02-13,-6031443.0,21993072.0,-15961616.0,-12773904.0,6742461.0,-0.34,1.25,-0.91,-0.73,0.38,24.69,1.02,0.0,0.0
