date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-20723972.0,21490866.0,-766893.0,-13926926.0,-6797046.0,-10.05,10.42,-0.37,-6.75,-3.3,6.24,-4.15,0.0,0.0
2020-01-09,24884239.0,-20890245.0,-3993993.0,7455335.0,17428904.0,11.54,-9.69,-1.85,3.46,8.08,6.49,4.01,0.0,0.0
2020-01-10,83465606.0,-45396521.0,-38069086.0,10432101.0,73033505.0,28.17,-15.32,-12.85,3.52,24.65,7.14,10.02,0.0,0.0
2020-01-13,-50076962.0,59257004.0,-9180041.0,-51199395.0,1122433.0,-6.22,7.36,-1.14,-6.36,0.14,7.55,5.74,0.0,0.0
2020-01-14,-55577916.0,53066621.0,2511297.0,-21917259.0,-33660657.0,-11.04,10.54,0.5,-4.35,-6.69,7.09,-6.09,0.0,0.0
2020-01-15,-12052539.0,21430750.0,-9378212.0,1682603.0,-13735142.0,-2.63,4.68,-2.05,0.37,-3.0,7.29,2.82,0.0,0.0
2020-01-16,-12390226.0,18397946.0,-6007719.0,-12753457.0,363231.0,-3.63,5.39,-1.76,-3.73,0.11,7.11,-2.47,0.0,0.0
2020-01-17,22385075.0,-11876902.0,-10508174.0,-138438.0,22523513.0,6.82,-3.62,-3.2,-0.04,6.87,7.19,1.13,0.0,0.0
2020-01-20,7322467.0,142349.0,-7464816.0,4155026.0,3167441.0,2.26,0.04,-2.31,1.28,0.98,7.39,2.78,0.0,0.0
2020-01-21,-21545533.0,30130528.0,-8584995.0,-12067557.0,-9477976.0,-9.69,13.55,-3.86,-5.43,-4.26,7.1,-3.92,0.0,0.0
2020-01-22,-16036775.0,19904216.0,-3867442.0,-8778241.0,-7258534.0,-6.4,7.94,-1.54,-3.5,-2.89,7.03,-0.99,0.0,0.0
2020-01-23,-35655241.0,43974960.0,-8319718.0,-22452796.0,-13202445.0,-17.01,20.98,-3.97,-10.71,-6.3,6.6,-6.12,0.0,0.0
2020-02-03,-1452924.0,2536380.0,-1083456.0,-1452924.0,0.0,-18.05,31.5,-13.46,-18.05,0.0,5.94,-10.0,0.0,0.0
2020-02-04,-20842665.0,20589311.0,253354.0,-19348026.0,-1494639.0,-9.78,9.66,0.12,-9.08,-0.7,5.54,-6.73,0.0,0.0
2020-02-05,-12240907.0,16951567.0,-4710660.0,-9342169.0,-2898738.0,-7.0,9.69,-2.69,-5.34,-1.66,5.67,2.35,0.0,0.0
2020-02-06,1430673.0,-2131198.0,700526.0,-2178545.0,3609218.0,0.83,-1.24,0.41,-1.27,2.1,5.81,2.47,0.0,0.0
2020-02-07,2043088.0,43103.0,-2086191.0,573237.0,1469851.0,0.97,0.02,-0.99,0.27,0.7,6.05,4.13,0.0,0.0
2020-02-10,-11821413.0,10106678.0,1714735.0,-11915188.0,93775.0,-7.85,6.71,1.14,-7.91,0.06,6.02,-0.5,0.0,0.0
2020-02-11,2805408.0,-3354397.0,548989.0,187090.0,2618318.0,1.41,-1.68,0.28,0.09,1.31,6.15,2.16,0.0,0.0
2020-02-12,34932172.0,-20827625.0,-14104545.0,14461969.0,20470203.0,11.99,-7.15,-4.84,4.96,7.03,6.58,6.99,0.0,0.0
2020-02-13,58009428.0,-19121140.0,-38888288.0,-9893040.0,67902468.0,9.89,-3.26,-6.63,-1.69,11.58,7.24,10.03,0.0,0.0
