date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-02,-10859030.0,10408420.0,450609.0,-8751607.0,-2107423.0,-13.43,12.87,0.56,-10.82,-2.61,10.68,0.66,0.0,0.0
2020-01-03,-5825954.0,5293474.0,532480.0,-5825954.0,0.0,-11.72,10.65,1.07,-11.72,0.0,10.62,-0.56,0.0,0.0
2020-01-06,443967.0,-3843870.0,3399903.0,-3025712.0,3469679.0,0.55,-4.79,4.23,-3.77,4.32,10.76,1.32,0.0,0.0
2020-01-07,-2480118.0,-22416.0,2502535.0,1573778.0,-4053896.0,-3.32,-0.03,3.35,2.11,-5.43,10.92,1.49,0.0,0.0
2020-01-08,-6376889.0,4753915.0,1622974.0,-4528658.0,-1848231.0,-8.38,6.25,2.13,-5.95,-2.43,10.65,-2.47,0.0,0.0
2020-01-09,-4852722.0,5070978.0,-218256.0,-3714430.0,-1138292.0,-7.67,8.02,-0.35,-5.87,-1.8,10.84,1.78,0.0,0.0
2020-01-10,9762545.0,-7715964.0,-2046581.0,8621985.0,1140560.0,7.7,-6.08,-1.61,6.8,0.9,11.13,2.68,0.0,0.0
2020-01-13,-4714851.0,-812216.0,5527067.0,-3091149.0,-1623702.0,-5.45,-0.94,6.39,-3.57,-1.88,11.06,-0.63,0.0,0.0
2020-01-14,-1200303.0,708599.0,491704.0,-54160.0,-1146143.0,-2.27,1.34,0.93,-0.1,-2.16,10.93,-1.18,0.0,0.0
2020-01-15,-4986519.0,714725.0,4271794.0,-4356664.0,-629855.0,-6.63,0.95,5.68,-5.79,-0.84,11.14,1.92,0.0,0.0
2020-01-16,-1437252.0,459875.0,977378.0,-1564786.0,127534.0,-2.94,0.94,2.0,-3.2,0.26,11.05,-0.81,0.0,0.0
2020-01-17,-6094881.0,5580353.0,514527.0,-6094881.0,0.0,-14.88,13.62,1.26,-14.88,0.0,10.98,-0.63,0.0,0.0
2020-01-20,-34716182.0,25667149.0,9049033.0,-21417930.0,-13298252.0,-28.16,20.82,7.34,-17.37,-10.79,10.51,-4.28,0.0,0.0
2020-01-21,-20871470.0,20540389.0,331082.0,-14950195.0,-5921275.0,-26.64,26.21,0.42,-19.08,-7.56,10.13,-3.62,0.0,0.0
2020-01-22,-9546065.0,7866552.0,1679514.0,-7086152.0,-2459913.0,-19.4,15.98,3.41,-14.4,-5.0,10.18,0.49,0.0,0.0
2020-01-23,-21349844.0,14761908.0,6587937.0,-14360619.0,-6989225.0,-28.39,19.63,8.76,-19.09,-9.29,9.7,-4.72,0.0,0.0
2020-02-03,-1587157.0,1498452.0,88706.0,-1587157.0,0.0,-13.18,12.44,0.74,-13.18,0.0,8.73,-10.0,0.0,0.0
2020-02-04,-1956976.0,-3754024.0,5711000.0,-2101784.0,144808.0,-2.19,-4.21,6.4,-2.36,0.16,8.63,-1.15,0.0,0.0
2020-02-05,-776151.0,3729329.0,-2953178.0,-776151.0,0.0,-1.18,5.65,-4.47,-1.18,0.0,8.86,2.67,0.0,0.0
2020-02-06,741325.0,576306.0,-1317630.0,1216837.0,-475512.0,1.33,1.04,-2.37,2.19,-0.86,9.09,2.6,0.0,0.0
2020-02-07,-533062.0,571000.0,-37937.0,680142.0,-1213204.0,-1.01,1.09,-0.07,1.3,-2.31,9.27,1.98,0.0,0.0
