date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-27036942.0,23610867.0,3426076.0,-16257087.0,-10779855.0,-12.16,10.62,1.54,-7.31,-4.85,6.18,-1.59,0.0,0.0
2020-01-09,-6952415.0,8321388.0,-1368973.0,-4923341.0,-2029074.0,-5.18,6.21,-1.02,-3.67,-1.51,6.23,0.81,0.0,0.0
2020-01-10,-9558749.0,11048017.0,-1489267.0,-5136266.0,-4422483.0,-9.16,10.58,-1.43,-4.92,-4.24,6.15,-1.28,0.0,0.0
2020-01-13,-19576396.0,21138388.0,-1561991.0,-13170074.0,-6406322.0,-15.31,16.53,-1.22,-10.3,-5.01,6.09,-0.98,0.0,0.0
2020-01-14,8518514.0,-3003214.0,-5515301.0,4409719.0,4108795.0,6.5,-2.29,-4.21,3.36,3.13,6.14,0.82,0.0,0.0
2020-01-15,-7039749.0,5623712.0,1416038.0,-1985681.0,-5054068.0,-8.56,6.84,1.72,-2.41,-6.14,6.07,-1.14,0.0,0.0
2020-01-16,-3466160.0,6279802.0,-2813641.0,-960343.0,-2505817.0,-4.83,8.76,-3.92,-1.34,-3.49,6.03,-0.66,0.0,0.0
2020-01-17,-9457123.0,10982220.0,-1525097.0,-6610944.0,-2846179.0,-11.56,13.43,-1.86,-8.08,-3.48,5.97,-1.0,0.0,0.0
2020-01-20,-3623909.0,5100998.0,-1477090.0,-2391637.0,-1232272.0,-2.29,3.22,-0.93,-1.51,-0.78,6.18,3.52,0.0,0.0
2020-01-21,-30840328.0,18489036.0,12351292.0,-11268742.0,-19571586.0,-6.77,4.06,2.71,-2.47,-4.3,6.42,3.88,0.0,0.0
2020-01-22,-21350347.0,33232638.0,-11882291.0,-16443935.0,-4906412.0,-8.77,13.66,-4.88,-6.76,-2.02,6.18,-3.74,0.0,0.0
2020-01-23,-6551079.0,10683307.0,-4132227.0,-11386914.0,4835835.0,-3.21,5.24,-2.03,-5.58,2.37,6.08,-1.62,0.0,0.0
2020-02-03,-23218928.0,37214381.0,-13995453.0,-14165455.0,-9053473.0,-8.68,13.91,-5.23,-5.3,-3.38,5.55,-8.72,0.0,0.0
