date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,1042990.0,-1564112.0,521121.0,877918.0,165072.0,0.96,-1.45,0.48,0.81,0.15,4.54,1.11,0.0,0.0
2020-01-09,-4201997.0,6173341.0,-1971344.0,-5202523.0,1000526.0,-6.62,9.72,-3.1,-8.19,1.58,4.53,-0.22,0.0,0.0
2020-01-10,-5911474.0,6650694.0,-739219.0,-4305363.0,-1606111.0,-12.84,14.44,-1.61,-9.35,-3.49,4.45,-1.77,0.0,0.0
2020-01-13,4007962.0,-1321193.0,-2686770.0,2874874.0,1133088.0,7.81,-2.57,-5.23,5.6,2.21,4.53,1.8,0.0,0.0
2020-01-14,-7895920.0,6575601.0,1320320.0,-5964213.0,-1931707.0,-18.86,15.71,3.15,-14.25,-4.61,4.44,-1.99,0.0,0.0
2020-01-15,-6892171.0,7835257.0,-943086.0,-6956682.0,64511.0,-18.9,21.49,-2.59,-19.08,0.18,4.38,-1.35,0.0,0.0
2020-01-16,-3046859.0,4679912.0,-1633053.0,-3046859.0,0.0,-13.59,20.88,-7.29,-13.59,0.0,4.32,-1.37,0.0,0.0
2020-01-17,-1896912.0,2417217.0,-520306.0,-1906005.0,9093.0,-9.33,11.89,-2.56,-9.38,0.04,4.29,-0.69,0.0,0.0
2020-01-20,-3170412.0,5955361.0,-2784949.0,-3170412.0,0.0,-8.75,16.43,-7.68,-8.75,0.0,4.25,-0.93,0.0,0.0
2020-01-21,-16636426.0,16894014.0,-257587.0,-10070113.0,-6566313.0,-31.56,32.04,-0.49,-19.1,-12.45,4.09,-3.76,0.0,0.0
2020-01-22,-6876450.0,5115964.0,1760486.0,-5632844.0,-1243606.0,-7.15,5.32,1.83,-5.86,-1.29,3.9,-4.65,0.0,0.0
2020-01-23,-4418544.0,4045952.0,372593.0,-4378477.0,-40067.0,-7.81,7.15,0.66,-7.74,-0.07,3.88,-0.51,0.0,0.0
2020-02-03,817673.0,4035540.0,-4853213.0,-1970420.0,2788093.0,1.71,8.43,-10.14,-4.12,5.82,3.49,-10.05,0.0,0.0
2020-02-04,-12037988.0,9796699.0,2241289.0,-1493232.0,-10544756.0,-15.16,12.34,2.82,-1.88,-13.28,3.46,-0.86,0.0,0.0
2020-02-05,-9937015.0,11204624.0,-1267609.0,-10113475.0,176460.0,-16.9,19.06,-2.16,-17.2,0.3,3.43,-0.87,0.0,0.0
2020-02-06,-1159941.0,2639462.0,-1479521.0,-1159941.0,0.0,-2.41,5.49,-3.08,-2.41,0.0,3.44,0.29,0.0,0.0
2020-02-07,-6036504.0,7643704.0,-1607199.0,-4107072.0,-1929432.0,-15.98,20.23,-4.25,-10.87,-5.11,3.4,-1.16,0.0,0.0
2020-02-10,2040365.0,-2491206.0,450841.0,-37085.0,2077450.0,4.59,-5.61,1.01,-0.08,4.68,3.5,2.94,0.0,0.0
2020-02-11,118031.0,1778703.0,-1896734.0,-299652.0,417683.0,0.33,5.03,-5.36,-0.85,1.18,3.5,0.0,0.0,0.0
2020-02-12,8415260.0,-8222502.0,-192758.0,5537113.0,2878147.0,9.0,-8.8,-0.21,5.92,3.08,3.73,6.57,0.0,0.0
2020-02-13,20085592.0,-13141384.0,-6944207.0,16680735.0,3404857.0,13.78,-9.01,-4.76,11.44,2.34,3.98,6.7,0.0,0.0
