date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-90788586.0,83443968.0,7344619.0,-39148960.0,-51639626.0,-15.67,14.4,1.27,-6.76,-8.91,12.55,-4.05,0.0,0.0
2020-01-09,-14073186.0,16343695.0,-2270509.0,1073704.0,-15146890.0,-4.27,4.96,-0.69,0.33,-4.59,12.68,1.04,0.0,0.0
2020-01-10,-105558552.0,85244989.0,20313563.0,-38406864.0,-67151688.0,-25.73,20.78,4.95,-9.36,-16.37,12.25,-3.39,0.0,0.0
2020-01-13,-236966849.0,148879807.0,88087050.0,-135083536.0,-101883313.0,-22.69,14.26,8.43,-12.93,-9.76,11.6,-5.31,0.0,0.0
2020-01-14,-27289625.0,34108569.0,-6818943.0,-27050659.0,-238966.0,-5.85,7.31,-1.46,-5.8,-0.05,11.63,0.26,0.0,0.0
2020-01-15,-95648064.0,79943999.0,15704065.0,-35940115.0,-59707949.0,-22.19,18.55,3.64,-8.34,-13.86,11.35,-2.41,0.0,0.0
2020-01-16,-13744825.0,7969904.0,5774921.0,-7333070.0,-6411755.0,-4.98,2.89,2.09,-2.66,-2.32,11.28,-0.62,0.0,0.0
2020-01-17,-64773800.0,54811540.0,9962260.0,-24128823.0,-40644977.0,-21.51,18.2,3.31,-8.01,-13.49,11.05,-2.04,0.0,0.0
2020-01-20,-10043204.0,700954.0,9342250.0,-4576600.0,-5466604.0,-3.13,0.22,2.91,-1.43,-1.7,11.16,1.0,0.0,0.0
2020-01-21,-82549418.0,65204813.0,17344605.0,-45361290.0,-37188128.0,-24.86,19.64,5.22,-13.66,-11.2,10.76,-3.58,0.0,0.0
2020-01-22,-35345328.0,32571789.0,2773539.0,-23070111.0,-12275217.0,-11.19,10.31,0.88,-7.3,-3.89,10.64,-1.12,0.0,0.0
2020-01-23,-84839646.0,60323265.0,24516381.0,-45670666.0,-39168980.0,-19.62,13.95,5.67,-10.56,-9.06,9.96,-6.39,0.0,0.0
2020-02-03,-5689600.0,4992512.0,697088.0,-3297280.0,-2392320.0,-21.04,18.46,2.58,-12.19,-8.85,8.96,-10.04,0.0,0.0
2020-02-04,-45497315.0,35696004.0,9801312.0,-3934719.0,-41562596.0,-7.01,5.5,1.51,-0.61,-6.41,8.36,-6.7,0.0,0.0
2020-02-05,-45792692.0,60787876.0,-14995183.0,-34066062.0,-11726630.0,-8.4,11.15,-2.75,-6.25,-2.15,8.64,3.35,0.0,0.0
2020-02-06,-11981009.0,19330067.0,-7349058.0,-10401277.0,-1579732.0,-2.2,3.55,-1.35,-1.91,-0.29,9.25,7.06,0.0,0.0
2020-02-07,-12476916.0,9287632.0,3189283.0,-1667273.0,-10809643.0,-3.25,2.42,0.83,-0.43,-2.81,9.11,-1.51,0.0,0.0
2020-02-10,70382743.0,-25722228.0,-44660514.0,24060407.0,46322336.0,11.89,-4.35,-7.55,4.07,7.83,9.85,8.12,0.0,0.0
2020-02-11,-7097532.0,12777299.0,-5679767.0,-11256707.0,4159175.0,-1.5,2.7,-1.2,-2.38,0.88,9.6,-2.54,0.0,0.0
2020-02-12,-15342489.0,11866603.0,3475885.0,-9491082.0,-5851407.0,-5.56,4.3,1.26,-3.44,-2.12,9.61,0.1,0.0,0.0
2020-02-13,-2827393.0,5053328.0,-2225935.0,3075646.0,-5903039.0,-1.18,2.1,-0.93,1.28,-2.46,9.56,-0.52,0.0,0.0
2020-02-14,32017121.0,-5661509.0,-26355613.0,-5812922.0,37830043.0,6.04,-1.07,-4.97,-1.1,7.13,9.82,2.72,0.0,0.0
