date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-2686809.0,1812130.0,874679.0,-1431217.0,-1255592.0,-7.16,4.83,2.33,-3.81,-3.34,6.97,-2.24,0.0,0.0
2020-01-09,281503.0,1943668.0,-2225171.0,281503.0,0.0,1.11,7.66,-8.77,1.11,0.0,7.06,1.29,0.0,0.0
2020-01-10,2730598.0,-3156492.0,425893.0,2730598.0,0.0,7.41,-8.57,1.16,7.41,0.0,7.09,0.42,0.0,0.0
2020-01-13,558324.0,125243.0,-683568.0,558324.0,0.0,2.09,0.47,-2.56,2.09,0.0,7.14,0.71,0.0,0.0
2020-01-14,-4556740.0,5414588.0,-857847.0,-3123991.0,-1432749.0,-15.34,18.23,-2.89,-10.52,-4.82,7.07,-0.98,0.0,0.0
2020-01-15,972120.0,-1334128.0,362008.0,2408655.0,-1436535.0,3.49,-4.78,1.3,8.64,-5.15,7.08,0.14,0.0,0.0
2020-01-16,-48037.0,-1333390.0,1381428.0,1634696.0,-1682733.0,-0.14,-3.91,4.05,4.8,-4.94,7.12,0.56,0.0,0.0
2020-01-17,-7826691.0,5038075.0,2788617.0,-6669497.0,-1157194.0,-20.18,12.99,7.19,-17.2,-2.98,6.92,-2.81,0.0,0.0
2020-01-20,340540.0,-476959.0,136418.0,340540.0,0.0,1.58,-2.21,0.63,1.58,0.0,6.98,0.87,0.0,0.0
2020-01-21,-285151.0,3517415.0,-3232265.0,-285151.0,0.0,-1.39,17.19,-15.79,-1.39,0.0,6.9,-1.15,0.0,0.0
2020-01-22,-874383.0,838131.0,36251.0,-874383.0,0.0,-5.37,5.14,0.22,-5.37,0.0,6.91,0.14,0.0,0.0
2020-01-23,-2165049.0,2639377.0,-474327.0,-1064887.0,-1100162.0,-8.82,10.75,-1.93,-4.34,-4.48,6.69,-3.18,0.0,0.0
2020-02-03,-623097.0,530104.0,92995.0,-623097.0,0.0,-13.05,11.11,1.95,-13.05,0.0,6.01,-10.16,0.0,0.0
2020-02-04,-3480939.0,4822666.0,-1341726.0,-3480939.0,0.0,-7.38,10.23,-2.85,-7.38,0.0,5.69,-5.32,0.0,0.0
2020-02-05,-1053389.0,2952409.0,-1899019.0,-1053389.0,0.0,-2.92,8.19,-5.27,-2.92,0.0,5.74,0.88,0.0,0.0
2020-02-06,1071758.0,-587763.0,-483996.0,1071758.0,0.0,3.49,-1.91,-1.57,3.49,0.0,5.83,1.57,0.0,0.0
2020-02-07,1517109.0,-1396424.0,-120685.0,1517109.0,0.0,3.73,-3.44,-0.3,3.73,0.0,6.06,3.95,0.0,0.0
