date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-39194941.0,33395121.0,5799820.0,-30746006.0,-8448935.0,-13.21,11.26,1.95,-10.36,-2.85,38.86,-3.81,0.0,0.0
2020-01-09,3133308.0,261816.0,-3395123.0,-605484.0,3738792.0,1.46,0.12,-1.58,-0.28,1.75,39.43,1.47,0.0,0.0
2020-01-10,-7891017.0,8117110.0,-226094.0,1353986.0,-9245003.0,-3.55,3.65,-0.1,0.61,-4.16,39.33,-0.25,0.0,0.0
2020-01-13,-9045366.0,11175461.0,-2130095.0,-13840603.0,4795237.0,-3.69,4.55,-0.87,-5.64,1.95,40.24,2.31,0.0,0.0
2020-01-14,-4965936.0,8884642.0,-3918707.0,-3207347.0,-1758589.0,-3.24,5.8,-2.56,-2.1,-1.15,39.83,-1.02,0.0,0.0
2020-01-15,-3916181.0,5819642.0,-1903459.0,2870422.0,-6786603.0,-2.16,3.2,-1.05,1.58,-3.74,40.45,1.56,0.0,0.0
2020-01-16,-8682894.0,5375809.0,3307086.0,-5107165.0,-3575729.0,-5.48,3.39,2.09,-3.22,-2.26,40.4,-0.12,0.0,0.0
2020-01-17,17529012.0,917873.0,-18446885.0,10833463.0,6695549.0,7.29,0.38,-7.67,4.5,2.78,41.13,1.81,0.0,0.0
2020-01-20,-13136805.0,10153509.0,2983296.0,-9702905.0,-3433900.0,-4.77,3.69,1.08,-3.52,-1.25,40.93,-0.49,0.0,0.0
2020-01-21,-16918159.0,21919359.0,-5001201.0,-12841982.0,-4076177.0,-9.44,12.24,-2.79,-7.17,-2.28,39.41,-3.71,0.0,0.0
2020-01-22,-30387408.0,23247587.0,7139821.0,-20012343.0,-10375065.0,-15.58,11.92,3.66,-10.26,-5.32,39.3,-0.28,0.0,0.0
2020-01-23,-47343093.0,41146293.0,6196800.0,-34918841.0,-12424252.0,-17.97,15.62,2.35,-13.26,-4.72,37.56,-4.43,0.0,0.0
2020-02-03,-8144413.0,11186955.0,-3042541.0,-4265830.0,-3878583.0,-32.04,44.01,-11.97,-16.78,-15.26,33.8,-10.01,0.0,0.0
2020-02-04,6103206.0,-5184278.0,-918929.0,6909889.0,-806683.0,1.32,-1.12,-0.2,1.49,-0.17,32.43,-4.05,0.0,0.0
2020-02-05,-11247165.0,17253063.0,-6005898.0,-18967273.0,7720108.0,-3.51,5.38,-1.87,-5.91,2.41,33.88,4.47,0.0,0.0
2020-02-06,1558327.0,-827981.0,-730347.0,1137424.0,420903.0,0.7,-0.37,-0.33,0.51,0.19,34.83,2.8,0.0,0.0
2020-02-07,26482239.0,-22769620.0,-3712621.0,31835264.0,-5353025.0,7.75,-6.66,-1.09,9.31,-1.57,36.56,4.97,0.0,0.0
