date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,-14631803.0,17985477.0,-3353673.0,-7980014.0,-6651789.0,-19.16,23.55,-4.39,-10.45,-8.71,3.2,-3.61,0.0,0.0
2020-01-09,1096716.0,-113868.0,-982848.0,989480.0,107236.0,2.45,-0.25,-2.19,2.21,0.24,3.24,1.25,0.0,0.0
2020-01-10,1833465.0,702200.0,-2535665.0,2205824.0,-372359.0,5.26,2.01,-7.28,6.33,-1.07,3.22,-0.62,0.0,0.0
2020-01-13,666472.0,-285395.0,-381077.0,-3200687.0,3867159.0,2.03,-0.87,-1.16,-9.73,11.76,3.25,0.93,0.0,0.0
2020-01-14,1840710.0,236369.0,-2077078.0,5912285.0,-4071575.0,4.8,0.62,-5.42,15.42,-10.62,3.26,0.31,0.0,0.0
2020-01-15,-4562395.0,4189243.0,373153.0,-3302087.0,-1260308.0,-18.1,16.62,1.48,-13.1,-5.0,3.22,-1.23,0.0,0.0
2020-01-16,-3689043.0,5568231.0,-1879189.0,-1007433.0,-2681610.0,-10.56,15.93,-5.38,-2.88,-7.67,3.18,-1.24,0.0,0.0
2020-01-17,-2852469.0,3428295.0,-575826.0,-2807523.0,-44946.0,-11.34,13.63,-2.29,-11.16,-0.18,3.17,-0.31,0.0,0.0
2020-01-20,-2208733.0,2235680.0,-26946.0,-1990318.0,-218415.0,-7.83,7.93,-0.1,-7.06,-0.77,3.21,1.26,0.0,0.0
2020-01-21,-7952549.0,8021549.0,-68999.0,-4230851.0,-3721698.0,-19.76,19.93,-0.17,-10.51,-9.25,3.13,-2.49,0.0,0.0
2020-01-22,-5679054.0,4296339.0,1382716.0,-206119.0,-5472935.0,-12.59,9.53,3.07,-0.46,-12.13,3.1,-0.96,0.0,0.0
2020-01-23,-8175921.0,8965720.0,-789797.0,-1996240.0,-6179681.0,-17.55,19.25,-1.7,-4.29,-13.27,2.98,-3.87,0.0,0.0
2020-02-03,-1611468.0,2945539.0,-1334072.0,-1429502.0,-181966.0,-18.13,33.15,-15.01,-16.09,-2.05,2.68,-10.07,0.0,0.0
2020-02-04,-7224073.0,8209951.0,-985879.0,-6429186.0,-794887.0,-10.68,12.14,-1.46,-9.5,-1.18,2.57,-4.1,0.0,0.0
2020-02-05,-3894016.0,5459635.0,-1565619.0,-3738199.0,-155817.0,-9.03,12.66,-3.63,-8.67,-0.36,2.6,1.17,0.0,0.0
2020-02-06,8006028.0,-5474887.0,-2531141.0,7713632.0,292396.0,7.58,-5.18,-2.4,7.3,0.28,2.81,8.08,0.0,0.0
2020-02-07,-6278919.0,3956069.0,2322850.0,2001967.0,-8280886.0,-6.8,4.28,2.52,2.17,-8.97,2.84,1.07,0.0,0.0
2020-02-10,11475554.0,-8257149.0,-3218405.0,4187284.0,7288270.0,54.26,-39.04,-15.22,19.8,34.46,3.12,9.86,0.0,0.0
2020-02-11,-32367967.0,29576384.0,2791583.0,-9618307.0,-22749660.0,-12.6,11.51,1.09,-3.74,-8.86,3.05,-2.24,0.0,0.0
2020-02-12,-9745975.0,7882744.0,1863230.0,-10317362.0,571387.0,-10.33,8.36,1.98,-10.94,0.61,3.0,-1.64,0.0,0.0
2020-02-13,-6751965.0,7637927.0,-885962.0,-4066655.0,-2685310.0,-6.21,7.02,-0.81,-3.74,-2.47,3.01,0.33,0.0,0.0
2020-02-14,-4980794.0,3184946.0,1795849.0,-3683375.0,-1297419.0,-10.71,6.85,3.86,-7.92,-2.79,2.95,-1.99,0.0,0.0
