date,m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
2020-01-08,3350284.0,-2030065.0,-1320219.0,2458587.0,891697.0,17.01,-10.31,-6.7,12.48,4.53,6.05,-1.47,0.0,0.0
2020-01-09,-3128271.0,3947916.0,-819645.0,-1935043.0,-1193228.0,-13.17,16.62,-3.45,-8.15,-5.02,5.98,-1.16,0.0,0.0
2020-01-10,-166177.0,420256.0,-254078.0,-705591.0,539414.0,-0.87,2.19,-1.32,-3.68,2.81,5.97,-0.17,0.0,0.0
2020-01-13,313558.0,1039361.0,-1352919.0,-1271893.0,1585451.0,1.49,4.93,-6.42,-6.04,7.53,5.96,-0.17,0.0,0.0
2020-01-14,2762778.0,-1204318.0,-1558460.0,965637.0,1797141.0,11.38,-4.96,-6.42,3.98,7.4,5.94,-0.34,0.0,0.0
2020-01-15,-4223831.0,2632875.0,1590956.0,-4223831.0,0.0,-13.91,8.67,5.24,-13.91,0.0,5.75,-3.2,0.0,0.0
2020-01-16,-2137557.0,1622847.0,514711.0,-2137557.0,0.0,-19.29,14.65,4.65,-19.29,0.0,5.71,-0.7,0.0,0.0
2020-01-17,-3155295.0,4759770.0,-1604474.0,-1575708.0,-1579587.0,-12.21,18.41,-6.21,-6.1,-6.11,5.53,-3.15,0.0,0.0
2020-01-20,69555.0,1814458.0,-1884013.0,-1057945.0,1127500.0,0.29,7.53,-7.82,-4.39,4.68,5.67,2.53,0.0,0.0
2020-01-21,444153.0,-700494.0,256340.0,764927.0,-320774.0,1.04,-1.63,0.6,1.78,-0.75,5.93,4.59,0.0,0.0
2020-01-22,-3501201.0,5210345.0,-1709143.0,-3501201.0,0.0,-10.63,15.82,-5.19,-10.63,0.0,5.56,-6.24,0.0,0.0
2020-01-23,-723921.0,2930090.0,-2206168.0,-723921.0,0.0,-3.18,12.89,-9.7,-3.18,0.0,5.54,-0.36,0.0,0.0
2020-02-03,-19468833.0,14704239.0,4764596.0,-13585452.0,-5883381.0,-29.34,22.16,7.18,-20.48,-8.87,4.99,-9.93,0.0,0.0
2020-02-04,-484561.0,249446.0,235116.0,-484561.0,0.0,-0.94,0.48,0.45,-0.94,0.0,5.2,4.21,0.0,0.0
2020-02-05,-3186181.0,840803.0,2345379.0,-3052091.0,-134090.0,-7.67,2.02,5.65,-7.35,-0.32,5.48,5.38,0.0,0.0
2020-02-06,7755237.0,-3133708.0,-4621529.0,-879715.0,8634952.0,7.78,-3.14,-4.64,-0.88,8.66,6.03,10.04,0.0,0.0
2020-02-07,-14279151.0,11376241.0,2902911.0,-12843775.0,-1435376.0,-14.35,11.43,2.92,-12.91,-1.44,5.82,-3.48,0.0,0.0
2020-02-10,-1064086.0,532442.0,531644.0,-997747.0,-66339.0,-2.13,1.07,1.06,-2.0,-0.13,5.7,-2.06,0.0,0.0
2020-02-11,-1340821.0,289412.0,1051408.0,-1340821.0,0.0,-4.68,1.01,3.67,-4.68,0.0,5.54,-2.81,0.0,0.0
2020-02-12,1954661.0,-217150.0,-1737512.0,1954661.0,0.0,10.74,-1.19,-9.54,10.74,0.0,5.56,0.36,0.0,0.0
2020-02-13,-1672624.0,1562579.0,110045.0,-1672624.0,0.0,-7.46,6.97,0.49,-7.46,0.0,5.44,-2.16,0.0,0.0
2020-02-14,-1817020.0,962504.0,854516.0,-358740.0,-1458280.0,-10.73,5.69,5.05,-2.12,-8.62,5.37,-1.29,0.0,0.0
2020-02-17,2482393.0,-645018.0,-1837375.0,2482393.0,0.0,11.43,-2.97,-8.46,11.43,0.0,5.52,2.79,0.0,0.0
2020-02-18,192506.0,450461.0,-642967.0,192506.0,0.0,0.86,2.02,-2.88,0.86,0.0,5.56,0.72,0.0,0.0
2020-02-19,3255648.0,685030.0,-3940679.0,-469583.0,3725231.0,3.21,0.67,-3.88,-0.46,3.67,6.12,10.07,0.0,0.0
2020-02-20,-3393850.0,6539165.0,-3145315.0,-2251993.0,-1141857.0,-4.09,7.88,-3.79,-2.71,-1.38,6.03,-1.47,0.0,0.0
2020-02-21,-6372383.0,3009216.0,3363168.0,-3512940.0,-2859443.0,-12.06,5.69,6.36,-6.65,-5.41,5.96,-1.16,0.0,0.0
2020-02-24,-898524.0,1160819.0,-262294.0,-898524.0,0.0,-1.47,1.9,-0.43,-1.47,0.0,6.15,3.19,0.0,0.0
2020-02-25,3869604.0,-5843803.0,1974199.0,85055.0,3784549.0,3.86,-5.83,1.97,0.08,3.78,6.43,4.55,0.0,0.0
2020-02-26,-7486885.0,8787725.0,-1300839.0,-7486885.0,0.0,-13.38,15.71,-2.32,-13.38,0.0,6.07,-5.6,0.0,0.0
2020-02-27,8301040.0,-7045378.0,-1255662.0,6611143.0,1689897.0,13.77,-11.69,-2.08,10.97,2.8,6.32,4.12,0.0,0.0
2020-02-28,839222.0,2999833.0,-3839054.0,-1263183.0,2102405.0,1.19,4.25,-5.44,-1.79,2.98,6.24,-1.27,0.0,0.0
2020-03-02,-1312312.0,209481.0,1102829.0,-1312312.0,0.0,-2.27,0.36,1.91,-2.27,0.0,6.22,-0.32,0.0,0.0
2020-03-03,7051611.0,-5403391.0,-1648221.0,6642428.0,409183.0,9.79,-7.5,-2.29,9.23,0.57,6.44,3.54,0.0,0.0
